ligand_id,ls_rate,ls_iter,mean_generations,std_generations,median_generations,min_generations,max_generations,mean_score,std_score,median_score,min_score,max_score,n_runs
1fkb_ligand,0,50,113.0,58.45606137186384,85.5,60,233,1610.6914692,2234.124214000962,-0.8168705,-7.100815,6040.476074,10
1fkb_ligand,0,100,113.0,58.45606137186384,85.5,60,233,1610.6914692,2234.124214000962,-0.8168705,-7.100815,6040.476074,10
1fkb_ligand,0,150,113.0,58.45606137186384,85.5,60,233,1610.6914692,2234.124214000962,-0.8168705,-7.100815,6040.476074,10
1fkb_ligand,0,200,113.0,58.45606137186384,85.5,60,233,1610.6914692,2234.124214000962,-0.8168705,-7.100815,6040.476074,10
1fkb_ligand,0,250,113.0,58.45606137186384,85.5,60,233,1610.6914692,2234.124214000962,-0.8168705,-7.100815,6040.476074,10
1fkb_ligand,0,300,113.0,58.45606137186384,85.5,60,233,1610.6914692,2234.124214000962,-0.8168705,-7.100815,6040.476074,10
1fkb_ligand,25,50,77.3,24.390571949013413,74.5,42,111,3368.9593335,10642.355215042613,-2.521024,-5.198983,33657.585938,10
1fkb_ligand,25,100,71.1,39.1448875617522,66.0,31,158,3767.3971265,10421.78077361142,-2.6636115,-15.633774,33304.703125,10
1fkb_ligand,25,150,47.1,13.666260156555877,45.0,31,68,3418.9688811,10250.079514478359,-4.2891325,-15.62107,32551.830078,10
1fkb_ligand,25,200,50.9,20.63680638514055,48.5,29,90,3243.2123981,10273.551487638722,-4.3507915,-15.954236,32482.25,10
1fkb_ligand,25,250,51.1,27.894443891212457,35.5,31,103,3244.442638,10278.226903497974,-4.7818175,-15.965065,32496.787109,10
1fkb_ligand,25,300,45.6,36.929963745205896,31.5,29,149,3275.2467745999993,10376.62911991575,-4.8660855000000005,-17.575199,32807.648438,10
1fkb_ligand,50,50,69.3,37.70072206794512,53.5,35,153,328.1735316,701.6157870581554,-3.429819,-16.350101,1672.529785,10
1fkb_ligand,50,100,47.8,19.37237437406393,41.0,27,81,161.6593983,521.7101213169936,-3.9359495,-16.272192,1646.323486,10
1fkb_ligand,50,150,42.2,15.053976957011134,36.5,27,69,-3.4301164,7.371056414901631,-3.7570395,-16.330074,13.594103,10
1fkb_ligand,50,200,41.7,9.345824973989426,42.5,28,53,-4.4494285,5.430226393734493,-4.407188,-16.3402,5.332681,10
1fkb_ligand,50,250,37.9,16.20322327330104,31.5,26,74,-3.5531607999999997,7.185021468481725,-4.1307035,-16.329027,13.458744,10
1fkb_ligand,50,300,30.4,8.448537019968475,28.5,23,53,3.0003535999999995,23.514603428473585,-4.3920425,-16.313526,66.13559,10
1fkb_ligand,75,50,65.5,40.588038741590964,54.0,33,155,327.7965475,696.9206290393089,-2.9821619999999998,-14.895032,1664.008911,10
1fkb_ligand,75,100,66.2,56.03332341859916,46.0,27,180,157.7945938,512.355096701864,-3.769285,-15.95804,1615.816406,10
1fkb_ligand,75,150,59.3,33.43999601275893,47.0,27,118,156.9693931,518.6140625898308,-5.6676195,-15.956076,1632.92627,10
1fkb_ligand,75,200,53.5,35.4440090534039,48.0,25,149,154.16765660000002,508.01944217478825,-4.998303,-16.31543,1599.96106,10
1fkb_ligand,75,250,45.3,20.423570261397057,37.5,25,87,155.35214119999998,512.6935507447064,-4.7672025,-15.946885,1614.454102,10
1fkb_ligand,75,300,40.1,24.09448991874375,31.0,25,105,135.5993573,425.79827051245934,-4.3906,-16.262295,1345.662354,10
1fkb_ligand,100,50,148.8,300.170247989,46.0,33,1000,129.4072832,426.40004960664845,-4.1000615,-16.640966,1342.902588,10
1fkb_ligand,100,100,132.4,304.9069803508386,36.0,27,1000,105.1677296,347.8069166411817,-3.9377544999999996,-15.243727,1094.974121,10
1fkb_ligand,100,150,231.7,405.1043898388003,37.5,27,1000,97.8092134,332.4757646013371,-5.849608,-16.2285,1043.984375,10
1fkb_ligand,100,200,107.1,231.450234631791,31.0,24,765,-5.9936063,4.343514785666021,-5.1804425,-14.919486,-2.388051,10
1fkb_ligand,100,250,35.4,9.92415683516181,31.0,25,53,-6.720178,4.261341817963393,-5.273427,-16.272205,-3.051267,10
1fkb_ligand,100,300,28.77777777777778,3.3829638550307397,27.0,25,36,-5.431780888888889,4.191059870465926,-4.48001,-16.222483,-2.575431,9
