ligand_id,ls_rate,ls_iter,mean_generations,std_generations,median_generations,min_generations,max_generations,mean_score,std_score,median_score,min_score,max_score,n_runs
1hii_ligand,0,50,100.0,0.0,100.0,100,100,1571.7002312,2172.7248279133805,578.099701,-1.216832,7154.765137,10
1hii_ligand,0,100,100.0,0.0,100.0,100,100,1571.7002312,2172.7248279133805,578.099701,-1.216832,7154.765137,10
1hii_ligand,0,150,100.0,0.0,100.0,100,100,1571.7002312,2172.7248279133805,578.099701,-1.216832,7154.765137,10
1hii_ligand,0,200,100.0,0.0,100.0,100,100,1571.7002312,2172.7248279133805,578.099701,-1.216832,7154.765137,10
1hii_ligand,0,250,100.0,0.0,100.0,100,100,1571.7002312,2172.7248279133805,578.099701,-1.216832,7154.765137,10
1hii_ligand,0,300,100.0,0.0,100.0,100,100,1571.7002312,2172.7248279133805,578.099701,-1.216832,7154.765137,10
1hii_ligand,25,50,100.0,0.0,100.0,100,100,6671.832084399999,18960.85192749879,33.385985,-2.790652,60492.054688,10
1hii_ligand,25,100,100.0,0.0,100.0,100,100,2108.7137952000003,5153.537292976555,0.2710294999999999,-4.1439,16264.375,10
1hii_ligand,25,150,100.0,0.0,100.0,100,100,1537.0523762,3311.0553021929923,-1.3255314999999999,-3.757797,10507.233398,10
1hii_ligand,25,200,100.0,0.0,100.0,100,100,4650.5649837,13040.59052781094,62.9002545,-4.168074,41678.609375,10
1hii_ligand,25,250,100.0,0.0,100.0,100,100,701.6919086,996.5337988140401,0.2756555,-3.930271,2706.106445,10
1hii_ligand,25,300,100.0,0.0,100.0,100,100,938.5917238000002,1725.2752450892044,-0.4976355,-5.757765,5064.696289,10
1hii_ligand,50,50,100.0,0.0,100.0,100,100,1060.2448204,2073.1477286547974,0.1330835,-2.788757,5482.964844,10
1hii_ligand,50,100,100.0,0.0,100.0,100,100,608.3834186,996.9179418422168,83.276625,-4.808879,2776.612305,10
1hii_ligand,50,150,100.0,0.0,100.0,100,100,267.9296049,851.7103841561307,-1.3692995,-3.861562,2691.936523,10
1hii_ligand,50,200,100.0,0.0,100.0,100,100,454.3187411,857.8143047056584,-1.3742265,-5.951452,2597.200439,10
1hii_ligand,50,250,100.0,0.0,100.0,100,100,-0.4825996999999999,5.9709209527260825,-1.9577565000000001,-9.57106,11.366211,10
1hii_ligand,50,300,100.0,0.0,100.0,100,100,-3.056489,2.4286210268467623,-2.713748,-9.308188,-0.721689,10
1hii_ligand,75,50,100.0,0.0,100.0,100,100,3957.0816036999995,8872.59055248513,-0.4520305,-3.04034,28602.509766,10
1hii_ligand,75,100,100.0,0.0,100.0,100,100,578.8798928,1361.0286103434303,-1.6844044999999999,-10.370568,4241.317871,10
1hii_ligand,75,150,100.0,0.0,100.0,100,100,162.62657689999998,367.1089287865636,-0.5269305,-4.562169,1086.33728,10
1hii_ligand,75,200,100.0,0.0,100.0,100,100,104.0537543,334.0368871417133,-1.7521755,-4.829337,1054.707886,10
1hii_ligand,75,250,100.0,0.0,100.0,100,100,0.3311493999999998,9.00717662075803,-1.7900155,-4.802641,25.586159,10
1hii_ligand,75,300,100.0,0.0,100.0,100,100,-2.2532049,1.4380234379586174,-2.5725635000000002,-3.936487,0.049322,10
1hii_ligand,100,50,100.0,0.0,100.0,100,100,69.3596422,146.1438063567356,0.023220499999999977,-4.059293,458.796844,10
1hii_ligand,100,100,100.0,0.0,100.0,100,100,412.48077190000004,1068.0015686610573,-1.960869,-10.79707,3414.66333,10
1hii_ligand,100,150,100.0,0.0,100.0,100,100,245.97620300000003,787.9004690473514,-2.6871235,-9.763034,2488.366699,10
1hii_ligand,100,200,100.0,0.0,100.0,100,100,-3.4455699,4.070087647006155,-3.5228415,-11.163097,5.589531,10
1hii_ligand,100,250,100.0,0.0,100.0,100,100,231.34014469999997,743.0640859250535,-2.475847,-11.21548,2346.12085,10
1hii_ligand,100,300,100.0,0.0,100.0,100,100,-3.4687365,2.9491368094874155,-3.125419,-11.150676,-0.835805,10
