name,score,gen,seed,rot,atoms,evals,population,rate,iterations,rmsd_best_scoring_pose,rmsd_min
1fkb_ligand,-8.699424,500,0,6,144,50000,100,N/A,N/A,1.478732,1.478732
1fkb_ligand,-11.501920,500,0,6,144,15050000,100,100,300,1.180079,1.122702
1fkb_ligand,3542.601318,500,1,6,144,50000,100,N/A,N/A,10.408946,10.055539
1fkb_ligand,3437.711182,500,1,6,144,15050000,100,100,300,10.409196,10.058064
1fkb_ligand,-2.636185,500,2,6,144,50000,100,N/A,N/A,7.680455,7.575824
1fkb_ligand,-2.827878,500,2,6,144,15050000,100,100,300,7.205531,7.092627
1fkb_ligand,-3.344511,500,3,6,144,50000,100,N/A,N/A,10.210017,9.630679
1fkb_ligand,-3.599500,500,3,6,144,15050000,100,100,300,10.048366,9.482880
1fkb_ligand,-6.645033,500,4,6,144,50000,100,N/A,N/A,10.913433,10.682560
1fkb_ligand,-7.020751,500,4,6,144,15050000,100,100,300,10.896914,10.671764
1fkb_ligand,3114.247314,500,5,6,144,50000,100,N/A,N/A,8.499267,8.189348
1fkb_ligand,3024.005859,500,5,6,144,15050000,100,100,300,8.539496,8.223940
1fkb_ligand,5814.104004,500,6,6,144,50000,100,N/A,N/A,8.479726,8.397825
1fkb_ligand,4770.840332,500,6,6,144,15050000,100,100,300,8.439892,8.360942
1fkb_ligand,-0.717656,500,7,6,144,50000,100,N/A,N/A,27.754005,26.785261
1fkb_ligand,-0.976714,500,7,6,144,15050000,100,100,300,27.520725,26.582787
1fkb_ligand,2819.922607,500,8,6,144,50000,100,N/A,N/A,14.992171,14.343894
1fkb_ligand,2220.556152,500,8,6,144,15050000,100,100,300,14.845046,14.214473
1fkb_ligand,-4.073412,500,9,6,144,50000,100,N/A,N/A,9.542295,9.204000
1fkb_ligand,-4.557805,500,9,6,144,15050000,100,100,300,9.472205,9.108757
1hii_ligand,6469.763184,500,0,19,93,50000,100,N/A,N/A,8.175698,7.832282
1hii_ligand,4977.055664,500,0,19,93,15050000,100,100,300,8.237307,7.891703
1hii_ligand,-1.930685,500,1,19,93,50000,100,N/A,N/A,17.475918,17.365423
1hii_ligand,-2.058347,500,1,19,93,15050000,100,100,300,17.454544,17.344761
1hii_ligand,-1.737259,500,2,19,93,50000,100,N/A,N/A,19.602503,18.956858
1hii_ligand,-1.900982,500,2,19,93,15050000,100,100,300,19.568571,18.925320
1hii_ligand,2083.591797,500,3,19,93,50000,100,N/A,N/A,9.621371,8.781709
1hii_ligand,1623.248657,500,3,19,93,15050000,100,100,300,9.758331,8.929027
1hii_ligand,376.225128,500,4,19,93,50000,100,N/A,N/A,9.076143,8.713000
1hii_ligand,358.319824,500,4,19,93,15050000,100,100,300,9.095785,8.731072
1hii_ligand,110.688766,500,5,19,93,50000,100,N/A,N/A,10.506446,9.482337
1hii_ligand,99.726349,500,5,19,93,15050000,100,100,300,10.560527,9.543342
1hii_ligand,0.021937,500,6,19,93,50000,100,N/A,N/A,17.100662,16.454723
1hii_ligand,-0.489116,500,6,19,93,15050000,100,100,300,16.725218,16.132322
1hii_ligand,333.686066,500,7,19,93,50000,100,N/A,N/A,7.078107,6.654549
1hii_ligand,306.368866,500,7,19,93,15050000,100,100,300,7.066650,6.646399
1hii_ligand,130.729706,500,8,19,93,50000,100,N/A,N/A,6.271450,5.971971
1hii_ligand,119.295204,500,8,19,93,15050000,100,100,300,6.312535,6.009197
1hii_ligand,199.009964,500,9,19,93,50000,100,N/A,N/A,17.959173,16.367657
1hii_ligand,189.748230,500,9,19,93,15050000,100,100,300,18.036835,16.395403
2ya6_ligand,-2.547184,500,0,6,36,50000,100,N/A,N/A,4.785119,4.671910
2ya6_ligand,-2.943618,500,0,6,36,15050000,100,100,300,4.792175,4.680486
2ya6_ligand,95.982765,500,1,6,36,50000,100,N/A,N/A,3.417367,3.179859
2ya6_ligand,71.426659,500,1,6,36,15050000,100,100,300,3.339515,3.142922
2ya6_ligand,-3.933780,500,2,6,36,50000,100,N/A,N/A,5.340547,5.309193
2ya6_ligand,-4.147297,500,2,6,36,15050000,100,100,300,5.345613,5.300411
2ya6_ligand,543.228821,500,3,6,36,50000,100,N/A,N/A,3.758124,3.154899
2ya6_ligand,292.257843,500,3,6,36,15050000,100,100,300,3.648348,3.069391
2ya6_ligand,215.032898,500,4,6,36,50000,100,N/A,N/A,4.799131,4.250540
2ya6_ligand,75.215828,500,4,6,36,15050000,100,100,300,4.745080,4.188098
2ya6_ligand,5.693559,500,5,6,36,50000,100,N/A,N/A,4.669467,4.597484
2ya6_ligand,4.984796,500,5,6,36,15050000,100,100,300,4.674780,4.593143
2ya6_ligand,-1.993718,500,6,6,36,50000,100,N/A,N/A,4.606977,4.585174
2ya6_ligand,-2.243994,500,6,6,36,15050000,100,100,300,4.602901,4.581502
2ya6_ligand,1669.391724,500,7,6,36,50000,100,N/A,N/A,6.580514,6.507835
2ya6_ligand,1573.647217,500,7,6,36,15050000,100,100,300,6.559155,6.486669
2ya6_ligand,10.884181,500,8,6,36,50000,100,N/A,N/A,4.107631,3.996856
2ya6_ligand,9.260156,500,8,6,36,15050000,100,100,300,4.086313,4.005268
2ya6_ligand,-2.916946,500,9,6,36,50000,100,N/A,N/A,4.969609,4.866641
2ya6_ligand,-3.273487,500,9,6,36,15050000,100,100,300,4.981111,4.874753
3udd_ligand,-4.177084,500,0,7,48,50000,100,N/A,N/A,14.823624,14.806330
3udd_ligand,-4.779068,500,0,7,48,15050000,100,100,300,15.065808,14.873514
3udd_ligand,-3.231583,500,1,7,48,50000,100,N/A,N/A,8.842003,8.030415
3udd_ligand,-4.050372,500,1,7,48,15050000,100,100,300,8.424004,7.642282
3udd_ligand,-3.939234,500,2,7,48,50000,100,N/A,N/A,15.287402,14.712132
3udd_ligand,-4.273508,500,2,7,48,15050000,100,100,300,15.668634,15.045657
3udd_ligand,238.850204,500,3,7,48,50000,100,N/A,N/A,7.427960,6.914104
3udd_ligand,133.201431,500,3,7,48,15050000,100,100,300,7.483763,7.012271
3udd_ligand,-6.321736,500,4,7,48,50000,100,N/A,N/A,15.765144,14.055823
3udd_ligand,-6.481359,500,4,7,48,15050000,100,100,300,15.632635,13.968167
3udd_ligand,-4.002639,500,5,7,48,50000,100,N/A,N/A,27.188538,26.104034
3udd_ligand,-4.109162,500,5,7,48,15050000,100,100,300,27.123196,26.046532
3udd_ligand,-4.643588,500,6,7,48,50000,100,N/A,N/A,10.154407,9.378167
3udd_ligand,-4.760843,500,6,7,48,15050000,100,100,300,9.928536,9.207284
3udd_ligand,-6.109023,500,7,7,48,50000,100,N/A,N/A,17.026627,16.870377
3udd_ligand,-6.229277,500,7,7,48,15050000,100,100,300,16.953617,16.831816
3udd_ligand,-4.421223,500,8,7,48,50000,100,N/A,N/A,10.031992,9.343508
3udd_ligand,-4.809023,500,8,7,48,15050000,100,100,300,9.834464,9.156706
3udd_ligand,-3.194924,500,9,7,48,50000,100,N/A,N/A,15.201979,14.946280
3udd_ligand,-3.684092,500,9,7,48,15050000,100,100,300,15.749859,15.083676
4few_ligand,-3.969470,500,0,2,37,50000,100,N/A,N/A,22.686146,21.000511
4few_ligand,-4.073518,500,0,2,37,15050000,100,100,300,21.898487,20.928711
4few_ligand,-3.038006,500,1,2,37,50000,100,N/A,N/A,28.659718,28.659199
4few_ligand,-4.232316,500,1,2,37,15050000,100,100,300,28.435246,28.295338
4few_ligand,-4.349266,500,2,2,37,50000,100,N/A,N/A,27.439169,27.348627
4few_ligand,-4.396226,500,2,2,37,15050000,100,100,300,27.410206,27.323364
4few_ligand,-5.062727,500,3,2,37,50000,100,N/A,N/A,20.541637,20.441010
4few_ligand,-5.299344,500,3,2,37,15050000,100,100,300,20.309694,20.255173
4few_ligand,-4.317965,500,4,2,37,50000,100,N/A,N/A,27.447960,27.122776
4few_ligand,-4.388975,500,4,2,37,15050000,100,100,300,27.469460,27.140087
4few_ligand,-4.736528,500,5,2,37,50000,100,N/A,N/A,21.059696,19.442316
4few_ligand,-4.859393,500,5,2,37,15050000,100,100,300,20.894876,19.291403
4few_ligand,-3.430117,500,6,2,37,50000,100,N/A,N/A,24.100788,22.793261
4few_ligand,-3.460114,500,6,2,37,15050000,100,100,300,24.102730,22.797169
4few_ligand,-5.583857,500,7,2,37,50000,100,N/A,N/A,23.431189,23.126307
4few_ligand,-5.682046,500,7,2,37,15050000,100,100,300,23.277905,22.964565
4few_ligand,-2.359993,500,8,2,37,50000,100,N/A,N/A,23.781080,23.749859
4few_ligand,-2.392258,500,8,2,37,15050000,100,100,300,23.793318,23.767281
4few_ligand,-4.667630,500,9,2,37,50000,100,N/A,N/A,23.732948,22.347212
4few_ligand,-4.704513,500,9,2,37,15050000,100,100,300,23.739431,22.356855
5cst_ligand,-1.044261,500,0,6,37,50000,100,N/A,N/A,6.991323,6.243509
5cst_ligand,-1.120199,500,0,6,37,15050000,100,100,300,6.886156,6.225962
5cst_ligand,-0.970607,500,1,6,37,50000,100,N/A,N/A,8.054338,7.807463
5cst_ligand,-2.004886,500,1,6,37,15050000,100,100,300,8.301755,7.927237
5cst_ligand,-1.876519,500,2,6,37,50000,100,N/A,N/A,6.275493,6.274929
5cst_ligand,-1.943285,500,2,6,37,15050000,100,100,300,6.193047,6.193047
5cst_ligand,20.241003,500,3,6,37,50000,100,N/A,N/A,6.574603,6.415991
5cst_ligand,19.561699,500,3,6,37,15050000,100,100,300,6.577126,6.417205
5cst_ligand,-2.726139,500,4,6,37,50000,100,N/A,N/A,7.899220,7.670640
5cst_ligand,-2.851923,500,4,6,37,15050000,100,100,300,7.957177,7.726739
5cst_ligand,-6.627810,500,5,6,37,50000,100,N/A,N/A,7.419951,7.368668
5cst_ligand,-6.885634,500,5,6,37,15050000,100,100,300,7.316067,7.274188
5cst_ligand,10.772465,500,6,6,37,50000,100,N/A,N/A,6.122725,6.103980
5cst_ligand,7.204551,500,6,6,37,15050000,100,100,300,6.221667,6.135809
5cst_ligand,-1.916774,500,7,6,37,50000,100,N/A,N/A,7.330504,7.317763
5cst_ligand,-2.126558,500,7,6,37,15050000,100,100,300,7.040413,7.039608
5cst_ligand,-2.893168,500,8,6,37,50000,100,N/A,N/A,9.583865,8.774313
5cst_ligand,-2.962358,500,8,6,37,15050000,100,100,300,9.522833,8.719427
5cst_ligand,-1.588790,500,9,6,37,50000,100,N/A,N/A,6.627597,6.227393
5cst_ligand,-1.733109,500,9,6,37,15050000,100,100,300,6.588511,6.197392
5uez_ligand,-3.225844,500,0,4,39,50000,100,N/A,N/A,17.103481,17.075191
5uez_ligand,-3.466061,500,0,4,39,15050000,100,100,300,16.820303,16.809278
5uez_ligand,-2.960460,500,1,4,39,50000,100,N/A,N/A,18.537277,18.441597
5uez_ligand,-3.173018,500,1,4,39,15050000,100,100,300,18.667732,18.514685
5uez_ligand,-2.905484,500,2,4,39,50000,100,N/A,N/A,19.051710,18.949846
5uez_ligand,-2.986284,500,2,4,39,15050000,100,100,300,19.073288,18.970455
5uez_ligand,-3.371211,500,3,4,39,50000,100,N/A,N/A,20.942768,20.863766
5uez_ligand,-3.461331,500,3,4,39,15050000,100,100,300,21.410557,20.876158
5uez_ligand,-3.307089,500,4,4,39,50000,100,N/A,N/A,21.922203,21.347048
5uez_ligand,-3.341530,500,4,4,39,15050000,100,100,300,21.877945,21.322474
5uez_ligand,-3.355425,500,5,4,39,50000,100,N/A,N/A,17.824759,16.466413
5uez_ligand,-3.415663,500,5,4,39,15050000,100,100,300,17.548424,16.465805
5uez_ligand,-3.207376,500,6,4,39,50000,100,N/A,N/A,17.119703,17.012047
5uez_ligand,-3.536020,500,6,4,39,15050000,100,100,300,16.804829,16.616129
5uez_ligand,-2.183558,500,7,4,39,50000,100,N/A,N/A,19.809998,19.762215
5uez_ligand,-2.541519,500,7,4,39,15050000,100,100,300,19.386335,19.290422
