name,score,generations,seed,rotamers,atoms,evaluations,population,rate,iterations
1fkb_ligand,-16.680193,122,0,6,144,1232200,100,100,100
1fkb_ligand,-5.865024,86,10,6,144,868600,100,100,100
1fkb_ligand,-6.198534,194,11,6,144,1959400,100,100,100
1fkb_ligand,-6.889580,186,12,6,144,1878600,100,100,100
1fkb_ligand,-8.689054,108,13,6,144,1090800,100,100,100
1fkb_ligand,-6.174936,238,14,6,144,2403800,100,100,100
1fkb_ligand,-8.134782,232,1,6,144,2343200,100,100,100
1fkb_ligand,-7.554722,96,2,6,144,969600,100,100,100
1fkb_ligand,-5.080489,146,3,6,144,1474600,100,100,100
1fkb_ligand,-7.679505,94,4,6,144,949400,100,100,100
1fkb_ligand,-4.168469,115,5,6,144,1161500,100,100,100
1fkb_ligand,-5.663303,77,6,6,144,777700,100,100,100
1fkb_ligand,-5.896863,98,7,6,144,989800,100,100,100
1fkb_ligand,-3.014354,149,8,6,144,1504900,100,100,100
1fkb_ligand,-8.205172,81,9,6,144,818100,100,100,100
1fkb_ligand,-16.578642,468,0,6,144,514800,100,100,10
1fkb_ligand,-2.000840,480,10,6,144,528000,100,100,10
1fkb_ligand,-5.483116,355,11,6,144,390500,100,100,10
1fkb_ligand,-6.145727,181,12,6,144,199100,100,100,10
1fkb_ligand,-3.757855,354,13,6,144,389400,100,100,10
1fkb_ligand,-5.555167,415,14,6,144,456500,100,100,10
1fkb_ligand,0.988699,500,1,6,144,550000,100,100,10
1fkb_ligand,-4.807401,409,2,6,144,449900,100,100,10
1fkb_ligand,-7.355304,500,3,6,144,550000,100,100,10
1fkb_ligand,-7.681735,497,4,6,144,546700,100,100,10
1fkb_ligand,-5.551988,500,5,6,144,550000,100,100,10
1fkb_ligand,-5.536891,162,6,6,144,178200,100,100,10
1fkb_ligand,-2.306135,500,7,6,144,550000,100,100,10
1fkb_ligand,-4.147680,345,8,6,144,379500,100,100,10
1fkb_ligand,-4.435268,209,9,6,144,229900,100,100,10
1fkb_ligand,-16.700075,98,0,6,144,1969800,100,100,200
1fkb_ligand,-4.630061,180,10,6,144,3618000,100,100,200
1fkb_ligand,-6.446476,122,11,6,144,2452200,100,100,200
1fkb_ligand,-8.121141,156,12,6,144,3135600,100,100,200
1fkb_ligand,-8.731417,341,13,6,144,6854100,100,100,200
1fkb_ligand,-6.494331,102,14,6,144,2050200,100,100,200
1fkb_ligand,-16.530170,182,1,6,144,3658200,100,100,200
1fkb_ligand,-7.301983,124,2,6,144,2492400,100,100,200
1fkb_ligand,-5.081839,124,3,6,144,2492400,100,100,200
1fkb_ligand,-7.735173,181,4,6,144,3638100,100,100,200
1fkb_ligand,-6.022341,66,5,6,144,1326600,100,100,200
1fkb_ligand,-7.135744,72,6,6,144,1447200,100,100,200
1fkb_ligand,-5.620565,60,7,6,144,1206000,100,100,200
1fkb_ligand,-8.723965,102,8,6,144,2050200,100,100,200
1fkb_ligand,-7.125370,135,9,6,144,2713500,100,100,200
1fkb_ligand,-16.662432,217,0,6,144,564200,100,100,25
1fkb_ligand,-5.179028,500,10,6,144,1300000,100,100,25
1fkb_ligand,-6.242387,102,11,6,144,265200,100,100,25
1fkb_ligand,-6.142151,170,12,6,144,442000,100,100,25
1fkb_ligand,-7.663239,133,13,6,144,345800,100,100,25
1fkb_ligand,-4.787937,140,14,6,144,364000,100,100,25
1fkb_ligand,-1.555075,153,1,6,144,397800,100,100,25
1fkb_ligand,-5.559459,289,2,6,144,751400,100,100,25
1fkb_ligand,-4.091330,134,3,6,144,348400,100,100,25
1fkb_ligand,-7.645535,129,4,6,144,335400,100,100,25
1fkb_ligand,-5.719637,141,5,6,144,366600,100,100,25
1fkb_ligand,-4.460862,500,6,6,144,1300000,100,100,25
1fkb_ligand,-4.970389,500,7,6,144,1300000,100,100,25
1fkb_ligand,-2.859002,111,8,6,144,288600,100,100,25
1fkb_ligand,-7.976809,155,9,6,144,403000,100,100,25
1fkb_ligand,-16.690676,124,0,6,144,632400,100,100,50
1fkb_ligand,-4.205736,102,10,6,144,520200,100,100,50
1fkb_ligand,-5.481071,146,11,6,144,744600,100,100,50
1fkb_ligand,-7.280485,84,12,6,144,428400,100,100,50
1fkb_ligand,-8.737741,188,13,6,144,958800,100,100,50
1fkb_ligand,-4.607240,110,14,6,144,561000,100,100,50
1fkb_ligand,-5.649718,189,1,6,144,963900,100,100,50
1fkb_ligand,-6.380575,113,2,6,144,576300,100,100,50
1fkb_ligand,-4.428099,148,3,6,144,754800,100,100,50
1fkb_ligand,-7.698609,156,4,6,144,795600,100,100,50
1fkb_ligand,-2.078278,110,5,6,144,561000,100,100,50
1fkb_ligand,-7.415760,114,6,6,144,581400,100,100,50
1fkb_ligand,-4.914889,199,7,6,144,1014900,100,100,50
1fkb_ligand,-3.152251,159,8,6,144,810900,100,100,50
1fkb_ligand,-8.717028,207,9,6,144,1055700,100,100,50
1fkb_ligand,-11.834022,152,0,6,144,167200,100,10,100
1fkb_ligand,-5.297976,199,10,6,144,218900,100,10,100
1fkb_ligand,-3.811856,109,11,6,144,119900,100,10,100
1fkb_ligand,-8.272999,270,12,6,144,297000,100,10,100
1fkb_ligand,-6.169809,84,13,6,144,92400,100,10,100
1fkb_ligand,-4.264368,260,14,6,144,286000,100,10,100
1fkb_ligand,-3.421871,245,1,6,144,269500,100,10,100
1fkb_ligand,-4.485887,306,2,6,144,336600,100,10,100
1fkb_ligand,-5.160161,353,3,6,144,388300,100,10,100
1fkb_ligand,-7.775632,226,4,6,144,248600,100,10,100
1fkb_ligand,-2.345286,240,5,6,144,264000,100,10,100
1fkb_ligand,-5.438352,139,6,6,144,152900,100,10,100
1fkb_ligand,-4.881879,208,7,6,144,228800,100,10,100
1fkb_ligand,-1.976439,138,8,6,144,151800,100,10,100
1fkb_ligand,-5.099720,216,9,6,144,237600,100,10,100
1fkb_ligand,-17.552858,270,0,6,144,54000,100,10,10
1fkb_ligand,-1.089453,223,10,6,144,44600,100,10,10
1fkb_ligand,-4.069850,260,11,6,144,52000,100,10,10
1fkb_ligand,-6.143917,138,12,6,144,27600,100,10,10
1fkb_ligand,-5.333066,257,13,6,144,51400,100,10,10
1fkb_ligand,-6.287826,423,14,6,144,84600,100,10,10
1fkb_ligand,-0.253312,366,1,6,144,73200,100,10,10
1fkb_ligand,-4.005002,500,2,6,144,100000,100,10,10
1fkb_ligand,-4.927958,257,3,6,144,51400,100,10,10
1fkb_ligand,-7.448352,297,4,6,144,59400,100,10,10
1fkb_ligand,-3.119286,497,5,6,144,99400,100,10,10
1fkb_ligand,-4.460747,213,6,6,144,42600,100,10,10
1fkb_ligand,-1.518910,296,7,6,144,59200,100,10,10
1fkb_ligand,-3.255109,293,8,6,144,58600,100,10,10
1fkb_ligand,-5.634624,151,9,6,144,30200,100,10,10
1fkb_ligand,-16.317909,111,0,6,144,233100,100,10,200
1fkb_ligand,-5.130833,178,10,6,144,373800,100,10,200
1fkb_ligand,-7.465194,144,11,6,144,302400,100,10,200
1fkb_ligand,-7.763427,317,12,6,144,665700,100,10,200
1fkb_ligand,-7.520607,123,13,6,144,258300,100,10,200
1fkb_ligand,-5.273127,170,14,6,144,357000,100,10,200
1fkb_ligand,-5.601927,142,1,6,144,298200,100,10,200
1fkb_ligand,-3.529971,179,2,6,144,375900,100,10,200
1fkb_ligand,-3.483346,249,3,6,144,522900,100,10,200
1fkb_ligand,-7.819784,223,4,6,144,468300,100,10,200
1fkb_ligand,-2.921926,279,5,6,144,585900,100,10,200
1fkb_ligand,-5.788948,104,6,6,144,218400,100,10,200
1fkb_ligand,-4.925797,410,7,6,144,861000,100,10,200
