ligand,crystal_score,final_score,rmsd,com,num_atoms,num_rotamers,iterations
1fkb_ligand,-15.7972,-16.052,0.0508759,0.0506797,144,6,10
1fkb_ligand,-15.7972,-16.52,0.141372,0.140834,144,6,25
1fkb_ligand,-15.7972,-17.1968,0.276125,0.27508,144,6,50
1fkb_ligand,-15.7972,-17.4282,0.349492,0.348609,144,6,100
1fkb_ligand,-15.7972,-17.4893,0.377094,0.375629,144,6,200
1hii_ligand,-15.0215,-15.0978,0.0496771,0.0495043,93,19,10
1hii_ligand,-15.0215,-15.1475,0.115504,0.114632,93,19,25
1hii_ligand,-15.0215,-15.2238,0.149475,0.148612,93,19,50
1hii_ligand,-15.0215,-15.2575,0.15461,0.153005,93,19,100
1hii_ligand,-15.0215,-15.3162,0.163225,0.158715,93,19,200
2ya6_ligand,-10.7923,-12.9247,0.0467288,0.0466683,36,6,10
2ya6_ligand,-10.7923,-13.1238,0.0714893,0.0713114,36,6,25
2ya6_ligand,-10.7923,-13.4154,0.126248,0.125744,36,6,50
2ya6_ligand,-10.7923,-13.5175,0.173523,0.171292,36,6,100
2ya6_ligand,-10.7923,-13.5741,0.18625,0.174686,36,6,200
3udd_ligand,-18.9354,-19.0652,0.0424408,0.0421379,48,7,10
3udd_ligand,-18.9354,-19.2505,0.108647,0.108231,48,7,25
3udd_ligand,-18.9354,-19.4263,0.19638,0.195703,48,7,50
3udd_ligand,-18.9354,-19.6061,0.333189,0.330814,48,7,100
3udd_ligand,-18.9354,-19.8723,0.470519,0.45021,48,7,200
4few_ligand,244.443,244.377,0.0412189,0.0411043,37,2,10
4few_ligand,244.443,244.203,0.0890273,0.0889097,37,2,25
4few_ligand,244.443,242.543,0.129289,0.12884,37,2,50
4few_ligand,244.443,192.041,0.253664,0.247519,37,2,100
4few_ligand,244.443,27.0913,0.369847,0.317596,37,2,200
5cst_ligand,-3.82605,-5.37227,0.0494747,0.0493383,37,6,10
5cst_ligand,-3.82605,-6.0129,0.0907603,0.0903961,37,6,25
5cst_ligand,-3.82605,-6.96219,0.168593,0.167909,37,6,50
5cst_ligand,-3.82605,-7.94241,0.228358,0.227404,37,6,100
5cst_ligand,-3.82605,-8.08217,0.230382,0.228267,37,6,200
5uez_ligand,-9.45327,-9.48738,0.0464488,0.0463714,39,4,10
5uez_ligand,-9.45327,-9.54764,0.128674,0.128478,39,4,25
5uez_ligand,-9.45327,-9.59204,0.213526,0.212868,39,4,50
5uez_ligand,-9.45327,-9.68866,0.426344,0.42543,39,4,100
5uez_ligand,-9.45327,-9.71704,0.451282,0.448561,39,4,200
5wuk_ligand,-10.5758,-10.6421,0.0398051,0.0396801,41,5,10
5wuk_ligand,-10.5758,-10.6712,0.0740747,0.07378,41,5,25
5wuk_ligand,-10.5758,-10.682,0.0878566,0.0862917,41,5,50
5wuk_ligand,-10.5758,-10.691,0.0939719,0.0872497,41,5,100
5wuk_ligand,-10.5758,-10.7066,0.112941,0.0907537,41,5,200
