ligand_id,ls_rate,ls_iter,mean_generations,std_generations,median_generations,min_generations,max_generations,mean_score,std_score,median_score,min_score,max_score,n_runs
5cst_ligand,0,50,94.8,16.44384383287557,100.0,48,100,2.9104075,9.790452317604004,-0.9971865,-3.500292,24.268074,10
5cst_ligand,0,100,94.8,16.44384383287557,100.0,48,100,2.9104075,9.790452317604004,-0.9971865,-3.500292,24.268074,10
5cst_ligand,0,150,94.8,16.44384383287557,100.0,48,100,2.9104075,9.790452317604004,-0.9971865,-3.500292,24.268074,10
5cst_ligand,0,200,94.8,16.44384383287557,100.0,48,100,2.9104075,9.790452317604004,-0.9971865,-3.500292,24.268074,10
5cst_ligand,0,250,94.8,16.44384383287557,100.0,48,100,2.9104075,9.790452317604004,-0.9971865,-3.500292,24.268074,10
5cst_ligand,0,300,94.8,16.44384383287557,100.0,48,100,2.9104075,9.790452317604004,-0.9971865,-3.500292,24.268074,10
5cst_ligand,25,50,41.9,40.847820559296,18.0,8,100,241.5732959,774.8389873643349,-3.4697855000000004,-4.364181,2446.802979,10
5cst_ligand,25,100,34.7,39.095467199607114,12.5,8,100,305.4697191,977.0977250592327,-3.4091,-4.483116,3086.337891,10
5cst_ligand,25,150,45.9,46.65583207560086,14.5,5,100,304.3807798,973.6846897714556,-3.3648249999999997,-4.494598,3075.535156,10
5cst_ligand,25,200,54.2,48.33632174669479,57.0,6,100,303.13124869999996,970.5013536117397,-3.333274,-5.950957,3065.225098,10
5cst_ligand,25,250,37.2,44.03231136840813,9.5,5,100,248.06171220000002,797.2511588383828,-3.690965,-6.646706,2517.076416,10
5cst_ligand,25,300,43.6,48.54825777855817,7.0,5,100,245.26990059999997,787.1826770274621,-3.7105935,-4.259096,2485.630859,10
5cst_ligand,50,50,51.6,42.52894439215616,31.0,12,100,211.70864419999998,679.6247339663773,-3.338788,-3.796293,2145.953857,10
5cst_ligand,50,100,55.5,47.08679928245991,60.5,6,100,194.07127229999998,625.1328026670553,-3.402301,-5.855284,1973.227661,10
5cst_ligand,50,150,19.7,28.51140122828059,8.0,6,99,-4.0355797,0.7374771026434274,-3.8504875,-5.811322,-3.326145,10
5cst_ligand,50,200,27.8,39.19410386496644,6.0,5,100,221.5300097,713.3077443174823,-3.529116,-6.620539,2251.637207,10
5cst_ligand,50,250,27.1,39.23278107795968,6.0,5,100,219.73871750000004,708.4505360531643,-3.9867485,-6.501603,2236.022217,10
5cst_ligand,50,300,34.0,45.55338748228403,6.0,5,100,219.20880069999998,706.8427614773085,-3.910835,-6.807796,2230.91626,10
5cst_ligand,75,50,46.5,42.64908491919193,25.5,6,100,-3.0972567,1.3307331457222327,-3.36589,-4.625819,-0.357693,10
5cst_ligand,75,100,45.3,47.20887393041458,13.5,5,100,302.49263090000005,968.5331703800802,-3.6721665,-5.131218,3058.984863,10
5cst_ligand,75,150,27.6,38.63849548485724,7.0,5,100,218.0347323,703.0049578487619,-3.5638385,-6.374896,2218.819336,10
5cst_ligand,75,200,33.8,45.68442477110406,6.0,5,100,245.66840420000003,789.7357364381108,-3.648186,-6.312939,2493.293457,10
5cst_ligand,75,250,34.1,45.49102475580577,6.5,5,100,244.8420701,788.7754260162953,-4.176871,-6.817697,2489.733887,10
5cst_ligand,75,300,24.3,39.9000139236957,5.5,5,100,244.65401349999996,787.5221076504505,-3.9460505,-6.670163,2485.979248,10
5cst_ligand,100,50,40.7,41.22580098271793,18.0,5,100,-3.3078412,0.8553940989504715,-3.359298,-4.610202,-1.866616,10
5cst_ligand,100,100,36.6,43.91203327866596,10.0,5,100,-3.7383543,1.0021030097532166,-3.6059105,-5.575755,-2.196742,10
5cst_ligand,100,150,25.9,39.18177013754114,6.0,5,100,-4.0559846,0.9955097341705235,-4.035828,-5.527685,-2.216654,10
5cst_ligand,100,200,35.2,44.8300494460282,7.0,5,100,-3.953779,1.0357106633505324,-3.662001,-6.217798,-2.804339,10
5cst_ligand,100,250,18.1,29.801006694405473,5.5,5,100,-4.3448582,1.1197439135338838,-4.1443785,-6.800084,-3.196509,10
5cst_ligand,100,300,14.9,29.916364900985027,5.0,5,100,9.9159934,45.634577123489244,-4.166394,-6.488698,139.763733,10
