ligand,crystal_score,final_score,rmsd,com,num_atoms,num_rotamers,iterations
1fkb_ligand,-15.7972,-16.7402,0.331591,0.321019,144,6,10
1fkb_ligand,-15.7972,-17.1685,0.416838,0.40152,144,6,50
1fkb_ligand,-15.7972,-17.5589,0.46617,0.430514,144,6,100
1fkb_ligand,-15.7972,-17.3914,0.343358,0.335238,144,6,25
1fkb_ligand,-15.7972,-17.1913,0.538215,0.504155,144,6,200
1hii_ligand,-15.0215,-13.7878,0.444623,0.366695,93,19,10
1hii_ligand,-15.0215,-15.2152,0.289434,0.0613856,93,19,25
1hii_ligand,-15.0215,-15.3745,0.260716,0.136748,93,19,50
1hii_ligand,-15.0215,-15.6207,0.297153,0.0737532,93,19,100
1hii_ligand,-15.0215,-15.8993,0.533422,0.297033,93,19,200
2ya6_ligand,-10.7923,-5.65918,0.328907,0.305044,36,6,10
2ya6_ligand,-10.7923,-13.5737,0.218589,0.178704,36,6,25
2ya6_ligand,-10.7923,-12.9555,0.182676,0.142692,36,6,50
2ya6_ligand,-10.7923,-12.838,0.228921,0.170426,36,6,100
3udd_ligand,-18.9354,-18.9603,0.297335,0.268994,48,7,10
3udd_ligand,-18.9354,-19.6399,0.407609,0.394746,48,7,25
3udd_ligand,-18.9354,-19.5929,0.677751,0.648259,48,7,50
3udd_ligand,-18.9354,-19.4785,0.724933,0.667349,48,7,100
3udd_ligand,-18.9354,-19.6869,0.555007,0.464271,48,7,200
2ya6_ligand,-10.7923,-11.7829,0.330257,0.289175,36,6,200
4few_ligand,244.443,128.45,0.322124,0.307047,37,2,10
4few_ligand,244.443,8.99648,0.385879,0.323494,37,2,25
4few_ligand,244.443,-4.84923,0.559341,0.475383,37,2,50
5cst_ligand,-3.82605,-8.05557,0.263439,0.250508,37,6,10
4few_ligand,244.443,-10.4203,0.473951,0.228899,37,2,100
5cst_ligand,-3.82605,-8.36116,0.241824,0.201413,37,6,25
4few_ligand,244.443,-11.7632,0.678376,0.20306,37,2,200
5cst_ligand,-3.82605,-8.42115,0.274934,0.176929,37,6,50
5uez_ligand,-9.45327,-9.66292,0.379714,0.364721,39,4,10
5uez_ligand,-9.45327,-9.74535,0.388191,0.372567,39,4,25
5uez_ligand,-9.45327,-9.82432,0.376704,0.335389,39,4,50
5cst_ligand,-3.82605,-10.3895,0.480429,0.302026,37,6,100
5cst_ligand,-3.82605,-10.8515,0.421615,0.151552,37,6,200
5uez_ligand,-9.45327,-9.91225,0.381659,0.296002,39,4,100
5uez_ligand,-9.45327,-9.64819,0.53702,0.440087,39,4,200
5wuk_ligand,-10.5758,-9.75735,0.347573,0.314649,41,5,25
5wuk_ligand,-10.5758,-10.2444,0.162042,0.143533,41,5,10
5wuk_ligand,-10.5758,5.26048,13.485,13.4641,41,5,100
5wuk_ligand,-10.5758,624946,3.10745,3.10684,41,5,50
5wuk_ligand,-10.5758,-1.92506,13.0367,13.0137,41,5,200
