ligand,crystal_score,final_score,rmsd,com,num_atoms,num_rotamers,iterations
10gs_ligand,-14.3668,-14.675,0.137712,0.0909502,59,14,300
1a30_ligand,-10.7596,-11.2329,0.254052,0.233755,49,15,300
1bcu_ligand,-5.03665,-5.67146,0.500508,0.489456,27,2,300
1e66_ligand,-11.9904,-12.3143,0.358625,0.300422,40,11,300
1f8b_ligand,-9.23097,-10.223,0.105552,0.0558727,36,15,300
1f8c_ligand,-7.46249,-8.21547,0.171532,0.154269,38,15,300
1f8d_ligand,-7.46257,-8.26971,0.284772,0.273774,38,15,300
1gpk_ligand,-7.22602,-7.61623,0.335791,0.278454,37,14,300
1h23_ligand,-4.39893,-5.4436,0.375879,0.251201,84,31,300
1hfs_ligand,-16.9407,-17.2573,0.176072,0.160601,99,23,300
1hnn_ligand,-3.8039,-4.63077,0.256114,0.242682,27,6,300
1igj_ligand,-2.94682,-3.91812,0.680067,0.551656,81,40,300
1jyq_ligand,-16.7446,-21.1267,0.158687,0.128327,85,21,300
1kel_ligand,-10.5836,-11.0526,0.219158,0.1931,40,10,300
1lbk_ligand,-10.5484,-10.7631,0.0970773,0.0936726,36,11,300
1lol_ligand,-8.40348,-9.82137,0.426117,0.415031,35,15,300
1lor_ligand,-9.70816,-11.0708,0.168643,0.148223,33,13,300
1mq6_ligand,-16.2916,-16.7046,0.241675,0.221147,56,17,300
1n1m_ligand,-4.54185,-4.72241,0.196776,0.16501,31,10,300
1n2v_ligand,-6.48163,-6.60211,0.196301,0.14077,27,10,300
1nvq_ligand,-7.57664,-7.95556,0.264077,0.253516,63,23,300
1o3f_ligand,23.3224,11.5356,0.353939,0.344897,43,7,300
1o5b_ligand,-5.64287,-6.30345,0.301517,0.286445,21,4,300
1os0_ligand,-14.0894,-15.2326,0.362493,0.309755,65,13,300
1oyt_ligand,-10.4088,-10.9589,0.258087,0.236198,55,15,300
1p1q_ligand,-9.66187,-10.4328,0.233454,0.226324,23,9,300
1ps3_ligand,-5.08341,-6.81999,0.202491,0.15144,28,13,300
1qi0_ligand,1.38901,-1.13324,0.342361,0.328949,45,24,300
1r5y_ligand,-8.50922,-8.72054,0.102282,0.0883139,21,4,300
1sln_ligand,-14.0924,-15.1099,0.220143,0.158949,70,15,300
1sqa_ligand,-11.6793,-12.023,0.13103,0.105545,54,7,300
1u1b_ligand,-9.08966,-10.494,0.341135,0.300841,74,32,300
1u33_ligand,-6.941,-9.12037,0.341963,0.333141,70,37,300
1uto_ligand,-4.94361,-6.12312,1.00637,1.00248,21,3,300
1vso_ligand,-6.85176,-8.38592,0.165619,0.15855,38,14,300
1w3k_ligand,10.0486,-5.16123,0.232837,0.21206,43,22,300
1w3l_ligand,36.431,-5.32641,0.346881,0.33062,64,34,300
1w4o_ligand,-4.14467,-7.9085,0.397979,0.392764,32,13,300
1xd0_ligand,-7.41296,-9.72396,0.351586,0.130127,109,58,300
1yc1_ligand,-6.14502,-6.47094,0.378788,0.310531,42,14,300
1z95_ligand,-14.557,-14.966,0.139757,0.102662,43,9,300
1zea_ligand,-5.38502,-9.10088,0.414568,0.384351,129,42,300
2brb_ligand,-6.29082,-6.64161,0.346915,0.302665,42,9,300
2cbj_ligand,-8.50163,-9.07373,0.304045,0.263129,44,15,300
2cet_ligand,-4.39549,-5.81258,0.287613,0.206175,42,16,300
2d1o_ligand,-11.5356,-12.0351,0.159098,0.140552,77,20,300
2d3u_ligand,-9.11446,-10.036,0.372245,0.361767,40,9,300
2fvd_ligand,-11.989,-12.8461,0.329244,0.315731,51,14,300
2g70_ligand,-2.9448,-3.12465,0.210545,0.170966,28,8,300
2gss_ligand,-6.52644,-7.33352,0.581081,0.565915,30,7,300
2hb1_ligand,-7.72077,-8.38135,0.309955,0.290618,17,7,300
2iwx_ligand,-7.35185,-7.94761,0.464008,0.427689,45,15,300
2j62_ligand,-12.7731,-13.7294,0.232791,0.174334,54,19,300
2j78_ligand,-6.75551,-7.0748,0.164121,0.15993,25,12,300
2jdm_ligand,-3.7747,-4.2806,0.291605,0.289287,26,12,300
2jdu_ligand,-2.0458,-2.83481,0.264724,0.223436,26,12,300
2jdy_ligand,-1.26856,-2.16929,0.273983,0.253411,27,13,300
2obf_ligand,-8.58603,-8.96484,0.106125,0.0551294,41,9,300
