name,score,generations,seed,rotamers,atoms,evaluations,population,rate,iteration
1fkb_ligand,-13.680258,9,0,6,144,90900,100,100,100
1fkb_ligand,-5.540947,9,10,6,144,90900,100,100,100
1fkb_ligand,-4.225896,9,11,6,144,90900,100,100,100
1fkb_ligand,-6.075592,9,12,6,144,90900,100,100,100
1fkb_ligand,-7.263250,9,13,6,144,90900,100,100,100
1fkb_ligand,-5.329625,9,14,6,144,90900,100,100,100
1fkb_ligand,-6.430849,9,1,6,144,90900,100,100,100
1fkb_ligand,-5.475502,9,2,6,144,90900,100,100,100
1fkb_ligand,-2.961786,9,3,6,144,90900,100,100,100
1fkb_ligand,-7.491348,9,4,6,144,90900,100,100,100
1fkb_ligand,-3.953306,9,5,6,144,90900,100,100,100
1fkb_ligand,-4.762985,9,6,6,144,90900,100,100,100
1fkb_ligand,-4.933335,9,7,6,144,90900,100,100,100
1fkb_ligand,-2.846294,9,8,6,144,90900,100,100,100
1fkb_ligand,-8.191150,9,9,6,144,90900,100,100,100
1fkb_ligand,-16.285940,90,0,6,144,99000,100,100,10
1fkb_ligand,-1.881612,90,10,6,144,99000,100,100,10
1fkb_ligand,-5.473103,90,11,6,144,99000,100,100,10
1fkb_ligand,-6.147584,90,12,6,144,99000,100,100,10
1fkb_ligand,-1.278180,90,13,6,144,99000,100,100,10
1fkb_ligand,-5.519821,90,14,6,144,99000,100,100,10
1fkb_ligand,1.191700,90,1,6,144,99000,100,100,10
1fkb_ligand,-4.796115,90,2,6,144,99000,100,100,10
1fkb_ligand,-3.781429,90,3,6,144,99000,100,100,10
1fkb_ligand,-7.672165,90,4,6,144,99000,100,100,10
1fkb_ligand,-5.497083,90,5,6,144,99000,100,100,10
1fkb_ligand,-5.532928,90,6,6,144,99000,100,100,10
1fkb_ligand,-1.544027,90,7,6,144,99000,100,100,10
1fkb_ligand,-3.278813,90,8,6,144,99000,100,100,10
1fkb_ligand,-4.106622,90,9,6,144,99000,100,100,10
1fkb_ligand,-0.172382,4,0,6,144,80400,100,100,200
1fkb_ligand,-3.332323,4,10,6,144,80400,100,100,200
1fkb_ligand,-3.428818,4,11,6,144,80400,100,100,200
1fkb_ligand,-3.585644,4,12,6,144,80400,100,100,200
1fkb_ligand,-6.600371,4,13,6,144,80400,100,100,200
1fkb_ligand,66.444519,4,14,6,144,80400,100,100,200
1fkb_ligand,-0.555629,4,1,6,144,80400,100,100,200
1fkb_ligand,-1.214594,4,2,6,144,80400,100,100,200
1fkb_ligand,56.968185,4,3,6,144,80400,100,100,200
1fkb_ligand,-6.794257,4,4,6,144,80400,100,100,200
1fkb_ligand,3.508183,4,5,6,144,80400,100,100,200
1fkb_ligand,1.752155,4,6,6,144,80400,100,100,200
1fkb_ligand,-2.494797,4,7,6,144,80400,100,100,200
1fkb_ligand,120.178490,4,8,6,144,80400,100,100,200
1fkb_ligand,-4.533754,4,9,6,144,80400,100,100,200
1fkb_ligand,-16.178495,38,0,6,144,98800,100,100,25
1fkb_ligand,-4.477154,38,10,6,144,98800,100,100,25
1fkb_ligand,-6.237266,38,11,6,144,98800,100,100,25
1fkb_ligand,-6.128540,38,12,6,144,98800,100,100,25
1fkb_ligand,-7.288196,38,13,6,144,98800,100,100,25
1fkb_ligand,-2.552468,38,14,6,144,98800,100,100,25
1fkb_ligand,-0.256639,38,1,6,144,98800,100,100,25
1fkb_ligand,-4.970803,38,2,6,144,98800,100,100,25
1fkb_ligand,-4.063396,38,3,6,144,98800,100,100,25
1fkb_ligand,-7.638272,38,4,6,144,98800,100,100,25
1fkb_ligand,-4.959483,38,5,6,144,98800,100,100,25
1fkb_ligand,-4.290378,38,6,6,144,98800,100,100,25
1fkb_ligand,-4.886605,38,7,6,144,98800,100,100,25
1fkb_ligand,-2.560547,38,8,6,144,98800,100,100,25
1fkb_ligand,-7.630457,38,9,6,144,98800,100,100,25
1fkb_ligand,-1.110661,3,0,6,144,90300,100,100,300
1fkb_ligand,-2.659855,3,10,6,144,90300,100,100,300
1fkb_ligand,-3.922918,3,11,6,144,90300,100,100,300
1fkb_ligand,-5.758964,3,12,6,144,90300,100,100,300
1fkb_ligand,-6.647378,3,13,6,144,90300,100,100,300
1fkb_ligand,-4.832820,3,14,6,144,90300,100,100,300
1fkb_ligand,-0.951835,3,1,6,144,90300,100,100,300
1fkb_ligand,-3.581262,3,2,6,144,90300,100,100,300
1fkb_ligand,17.718462,3,3,6,144,90300,100,100,300
1fkb_ligand,-7.126823,3,4,6,144,90300,100,100,300
1fkb_ligand,-1.946355,3,5,6,144,90300,100,100,300
1fkb_ligand,-4.218365,3,6,6,144,90300,100,100,300
1fkb_ligand,-3.936050,3,7,6,144,90300,100,100,300
1fkb_ligand,-1.503106,3,8,6,144,90300,100,100,300
1fkb_ligand,-6.147610,3,9,6,144,90300,100,100,300
1fkb_ligand,-14.678008,19,0,6,144,96900,100,100,50
1fkb_ligand,-4.181368,19,10,6,144,96900,100,100,50
1fkb_ligand,-2.523081,19,11,6,144,96900,100,100,50
1fkb_ligand,-7.226987,19,12,6,144,96900,100,100,50
1fkb_ligand,-7.244883,19,13,6,144,96900,100,100,50
1fkb_ligand,-4.466421,19,14,6,144,96900,100,100,50
1fkb_ligand,-4.102321,19,1,6,144,96900,100,100,50
1fkb_ligand,-6.239213,19,2,6,144,96900,100,100,50
1fkb_ligand,-3.198909,19,3,6,144,96900,100,100,50
1fkb_ligand,-7.456026,19,4,6,144,96900,100,100,50
