ligand,iteration,com_distance
1fkb_ligand,0,0
1fkb_ligand,1,0.386291
1fkb_ligand,2,0.268278
1fkb_ligand,3,0.525093
1fkb_ligand,4,0.43102
1fkb_ligand,5,0.338563
1fkb_ligand,6,0.320594
1fkb_ligand,7,0.329001
1fkb_ligand,8,0.312969
1fkb_ligand,9,0.287887
1fkb_ligand,10,0.32107
1fkb_ligand,11,0.27707
1fkb_ligand,12,0.318232
1fkb_ligand,13,0.365905
1fkb_ligand,14,0.303428
1fkb_ligand,15,0.348527
1fkb_ligand,16,0.370163
1fkb_ligand,17,0.406509
1fkb_ligand,18,0.298066
1fkb_ligand,19,0.357778
1fkb_ligand,20,0.369631
1fkb_ligand,21,0.410037
1fkb_ligand,22,0.286955
1fkb_ligand,23,0.479652
1fkb_ligand,24,0.179695
1fkb_ligand,25,0.357438
1fkb_ligand,26,0.393439
1fkb_ligand,27,0.303678
1fkb_ligand,28,0.336761
1fkb_ligand,29,0.357961
1fkb_ligand,30,0.396492
1fkb_ligand,31,0.424359
1fkb_ligand,32,0.242334
1fkb_ligand,33,0.484333
1fkb_ligand,34,0.20548
1fkb_ligand,35,0.435147
1fkb_ligand,36,0.055674
1fkb_ligand,37,0.0811758
1fkb_ligand,38,0.221224
1fkb_ligand,39,0.365985
1fkb_ligand,40,0.362158
1fkb_ligand,41,0.287744
1fkb_ligand,42,0.348999
1fkb_ligand,43,0.419465
1fkb_ligand,44,0.29871
1fkb_ligand,45,0.44376
1fkb_ligand,46,0.24754
1fkb_ligand,47,0.405423
1fkb_ligand,48,0.414541
1fkb_ligand,49,0.447901
1fkb_ligand,50,0.274822
1fkb_ligand,51,0.425151
1fkb_ligand,52,0.294906
1fkb_ligand,53,0.465788
1fkb_ligand,54,0.28181
1fkb_ligand,55,0.385228
1fkb_ligand,56,0.385262
1fkb_ligand,57,0.434659
1fkb_ligand,58,0.372284
1fkb_ligand,59,0.441367
1fkb_ligand,60,0.190965
1fkb_ligand,61,0.370932
1fkb_ligand,62,0.274043
1fkb_ligand,63,0.30154
1fkb_ligand,64,0.419669
1fkb_ligand,65,0.291135
1fkb_ligand,66,0.310057
