ligand,iteration,standalone_ls_score
1fkb_ligand,0,-15.7972
1fkb_ligand,1,-16.9375
1fkb_ligand,2,-13.9886
1fkb_ligand,3,-12.1594
1fkb_ligand,4,-15.2592
1fkb_ligand,5,-15.9251
1fkb_ligand,6,-16.4685
1fkb_ligand,7,-16.6374
1fkb_ligand,8,-16.7854
1fkb_ligand,9,-16.9415
1fkb_ligand,10,-16.9702
1fkb_ligand,11,-16.9671
1fkb_ligand,12,-17.1553
1fkb_ligand,13,-17.1113
1fkb_ligand,14,-17.0151
1fkb_ligand,15,-17.2278
1fkb_ligand,16,-17.377
1fkb_ligand,17,-17.103
1fkb_ligand,18,-16.9918
1fkb_ligand,19,-17.1902
1fkb_ligand,20,-17.3734
1fkb_ligand,21,-17.1052
1fkb_ligand,22,-16.4444
1fkb_ligand,23,-15.9565
1fkb_ligand,24,-16.6759
1fkb_ligand,25,-17.3877
1fkb_ligand,26,-17.2648
1fkb_ligand,27,-17.0219
1fkb_ligand,28,-17.1879
1fkb_ligand,29,-17.3328
1fkb_ligand,30,-17.47
1fkb_ligand,31,-17.0798
1fkb_ligand,32,-16.8147
1fkb_ligand,33,-16.7513
1fkb_ligand,34,-16.8326
1fkb_ligand,35,-13.8148
1fkb_ligand,36,-15.5581
1fkb_ligand,37,-16.0394
1fkb_ligand,38,-16.6442
1fkb_ligand,39,-17.0149
1fkb_ligand,40,-16.836
1fkb_ligand,41,-16.96
1fkb_ligand,42,-17.3177
1fkb_ligand,43,-17.4057
1fkb_ligand,44,-16.0257
1fkb_ligand,45,-16.4807
1fkb_ligand,46,-17.0416
1fkb_ligand,47,-17.3881
1fkb_ligand,48,-17.498
1fkb_ligand,49,-17.2708
1fkb_ligand,50,-16.9051
1fkb_ligand,51,-17.1001
1fkb_ligand,52,-17.2171
1fkb_ligand,53,-17.3283
1fkb_ligand,54,-16.879
1fkb_ligand,55,-17.2608
1fkb_ligand,56,-17.4423
1fkb_ligand,57,-17.3873
1fkb_ligand,58,-16.9328
1fkb_ligand,59,-15.8318
1fkb_ligand,60,-16.5258
1fkb_ligand,61,-16.9687
1fkb_ligand,62,-16.6658
1fkb_ligand,63,-16.9796
1fkb_ligand,64,-17.1872
1fkb_ligand,65,-16.7324
1fkb_ligand,66,-17.1574
1fkb_ligand,67,-17.3747
1fkb_ligand,68,-16.8507
1fkb_ligand,69,-17.1583
1fkb_ligand,70,-17.4613
1fkb_ligand,71,-17.1123
1fkb_ligand,72,-16.9341
1fkb_ligand,73,-17.3188
1fkb_ligand,74,-17.543
1fkb_ligand,75,-17.1344
1fkb_ligand,76,-16.3291
1fkb_ligand,77,-16.4143
1fkb_ligand,78,-16.8216
1fkb_ligand,79,-17.3035
1fkb_ligand,80,-17.4612
1fkb_ligand,81,-17.1732
1fkb_ligand,82,-15.3496
1fkb_ligand,83,-16.9792
1fkb_ligand,84,-17.3092
1fkb_ligand,85,-17.4565
1fkb_ligand,86,-17.4865
1fkb_ligand,87,-17.4264
1fkb_ligand,88,-16.9607
1fkb_ligand,89,-17.2207
1fkb_ligand,90,-17.3755
1fkb_ligand,91,-15.0247
1fkb_ligand,92,-16.4123
1fkb_ligand,93,-16.8234
1fkb_ligand,94,-17.0804
1fkb_ligand,95,-16.9591
1fkb_ligand,96,-16.2538
1fkb_ligand,97,-16.6944
1fkb_ligand,98,-17.066
1fkb_ligand,99,-17.2837
1fkb_ligand,100,-17.4416
1fkb_ligand,101,-17.4805
1fkb_ligand,102,-17.5069
1fkb_ligand,103,-17.4025
1fkb_ligand,104,-17.0197
1fkb_ligand,105,-17.26
1fkb_ligand,106,-17.4467
1fkb_ligand,107,-17.4012
1fkb_ligand,108,-17.4593
1fkb_ligand,109,-16.9282
1fkb_ligand,110,-17.1079
1fkb_ligand,111,-17.2029
1fkb_ligand,112,-17.3169
1fkb_ligand,113,-16.9084
1fkb_ligand,114,-17.1813
1fkb_ligand,115,-17.4256
1fkb_ligand,116,-17.5418
1fkb_ligand,117,-16.7086
1fkb_ligand,118,-16.0501
1fkb_ligand,119,-17.0023
1fkb_ligand,120,-17.1899
1fkb_ligand,121,-17.3223
1fkb_ligand,122,-17.4238
1fkb_ligand,123,-17.3866
1fkb_ligand,124,-16.9527
1fkb_ligand,125,-12.5223
1fkb_ligand,126,-16.4079
1fkb_ligand,127,-16.6767
1fkb_ligand,128,-16.9698
1fkb_ligand,129,-17.1654
1fkb_ligand,130,-16.8959
1fkb_ligand,131,-17.2404
1fkb_ligand,132,-17.4795
1fkb_ligand,133,-17.3287
1fkb_ligand,134,-17.0074
1fkb_ligand,135,-17.3065
1fkb_ligand,136,-17.4927
1fkb_ligand,137,-17.4245
1fkb_ligand,138,-16.9457
1fkb_ligand,139,-17.2595
1fkb_ligand,140,-17.4343
1fkb_ligand,141,-17.5067
1fkb_ligand,142,-17.2343
1fkb_ligand,143,-16.3791
1fkb_ligand,144,-16.7438
1fkb_ligand,145,-17.111
1fkb_ligand,146,-17.3451
1fkb_ligand,147,-17.4652
1fkb_ligand,148,-17.4361
1fkb_ligand,149,-16.9793
1fkb_ligand,150,-17.2728
1fkb_ligand,151,-17.4532
1fkb_ligand,152,-17.5252
1fkb_ligand,153,-17.2902
1fkb_ligand,154,-16.2705
1fkb_ligand,155,-16.6974
1fkb_ligand,156,-16.9726
1fkb_ligand,157,-16.9879
1fkb_ligand,158,-16.7649
