ligand,iteration,standalone_ls_score
1hii_ligand,0,-15.0215
1hii_ligand,1,-14.2695
1hii_ligand,2,-12.3722
1hii_ligand,3,-14.1236
1hii_ligand,4,-13.8921
1hii_ligand,5,-14.4937
1hii_ligand,6,-14.7578
1hii_ligand,7,-15.1121
1hii_ligand,8,-14.895
1hii_ligand,9,-13.4437
1hii_ligand,10,-4.01128
1hii_ligand,11,-8.6142
1hii_ligand,12,-14.481
1hii_ligand,13,-14.8197
1hii_ligand,14,-14.8689
1hii_ligand,15,-14.8872
1hii_ligand,16,-14.9839
1hii_ligand,17,-15.001
1hii_ligand,18,-15.0001
1hii_ligand,19,-15.0987
1hii_ligand,20,-15.0997
1hii_ligand,21,-15.1094
1hii_ligand,22,-15.1232
1hii_ligand,23,-15.1608
1hii_ligand,24,-15.1358
1hii_ligand,25,-15.1734
1hii_ligand,26,-15.1744
1hii_ligand,27,-15.1732
1hii_ligand,28,-15.2062
1hii_ligand,29,-15.2423
1hii_ligand,30,-15.2649
1hii_ligand,31,-15.2891
1hii_ligand,32,-15.2106
1hii_ligand,33,-15.2901
1hii_ligand,34,-15.2463
1hii_ligand,35,-14.6869
1hii_ligand,36,-14.3393
1hii_ligand,37,-14.6014
1hii_ligand,38,-14.766
1hii_ligand,39,-15.1516
1hii_ligand,40,-15.268
1hii_ligand,41,-15.2954
1hii_ligand,42,-15.3054
1hii_ligand,43,-15.3287
1hii_ligand,44,-15.3463
1hii_ligand,45,-15.3134
1hii_ligand,46,-15.3459
1hii_ligand,47,-15.3428
1hii_ligand,48,-15.3619
1hii_ligand,49,-15.3291
1hii_ligand,50,-15.4285
1hii_ligand,51,-15.0713
1hii_ligand,52,-14.5991
1hii_ligand,53,-14.8379
1hii_ligand,54,-13.9757
1hii_ligand,55,-4.74213
1hii_ligand,56,-5.46339
1hii_ligand,57,-15.088
1hii_ligand,58,-15.2155
1hii_ligand,59,-15.2406
1hii_ligand,60,-15.2677
1hii_ligand,61,-15.3017
1hii_ligand,62,-15.3291
1hii_ligand,63,-15.3545
1hii_ligand,64,-15.3638
1hii_ligand,65,-15.3767
1hii_ligand,66,-15.3904
1hii_ligand,67,-15.4084
1hii_ligand,68,-15.4259
1hii_ligand,69,-15.4478
1hii_ligand,70,-15.4556
1hii_ligand,71,-15.4325
1hii_ligand,72,-15.4817
1hii_ligand,73,-15.4844
1hii_ligand,74,-15.5131
1hii_ligand,75,-15.5223
1hii_ligand,76,-15.5031
1hii_ligand,77,-15.5046
1hii_ligand,78,-15.3006
1hii_ligand,79,-15.5981
1hii_ligand,80,-15.5993
1hii_ligand,81,-15.602
1hii_ligand,82,-15.5712
1hii_ligand,83,-15.6414
1hii_ligand,84,-15.5956
1hii_ligand,85,-15.6245
1hii_ligand,86,-14.8883
1hii_ligand,87,-15.0652
1hii_ligand,88,-12.9691
1hii_ligand,89,-11.6876
1hii_ligand,90,-9.22911
1hii_ligand,91,-12.2743
1hii_ligand,92,-14.118
1hii_ligand,93,-15.2199
1hii_ligand,94,-15.3101
1hii_ligand,95,-15.3458
1hii_ligand,96,-15.2994
1hii_ligand,97,-15.4183
1hii_ligand,98,-15.3764
1hii_ligand,99,-15.4912
1hii_ligand,100,-15.4799
1hii_ligand,101,-15.5662
1hii_ligand,102,-15.5408
1hii_ligand,103,-15.5915
1hii_ligand,104,-15.5519
1hii_ligand,105,-15.6113
1hii_ligand,106,-15.5726
1hii_ligand,107,-15.6205
1hii_ligand,108,-15.5639
1hii_ligand,109,-15.5849
1hii_ligand,110,-15.5952
1hii_ligand,111,-15.6697
1hii_ligand,112,-15.618
1hii_ligand,113,-15.2759
1hii_ligand,114,-14.9586
1hii_ligand,115,-15.4533
1hii_ligand,116,-15.2671
1hii_ligand,117,-15.6249
1hii_ligand,118,-15.5022
1hii_ligand,119,-14.5285
1hii_ligand,120,-9.36906
1hii_ligand,121,-14.057
1hii_ligand,122,-15.2385
1hii_ligand,123,-15.5915
1hii_ligand,124,-15.6124
1hii_ligand,125,-15.6459
1hii_ligand,126,-15.6515
1hii_ligand,127,-15.6767
1hii_ligand,128,-15.6734
1hii_ligand,129,-15.6877
1hii_ligand,130,-15.6902
1hii_ligand,131,-15.722
1hii_ligand,132,-15.6864
1hii_ligand,133,-15.7389
1hii_ligand,134,-15.7388
1hii_ligand,135,-15.7133
1hii_ligand,136,-15.7623
1hii_ligand,137,-15.7268
1hii_ligand,138,-15.7728
1hii_ligand,139,-15.6908
1hii_ligand,140,-15.6852
1hii_ligand,141,-14.9712
1hii_ligand,142,-14.9576
1hii_ligand,143,-13.3941
1hii_ligand,144,-10.9406
1hii_ligand,145,-6.81504
1hii_ligand,146,-14.3884
1hii_ligand,147,-15.147
1hii_ligand,148,-15.5884
1hii_ligand,149,-15.6069
1hii_ligand,150,-15.6591
1hii_ligand,151,-15.6664
1hii_ligand,152,-15.6615
1hii_ligand,153,-15.6885
1hii_ligand,154,-15.6809
1hii_ligand,155,-15.6908
1hii_ligand,156,-15.7119
1hii_ligand,157,-15.7105
1hii_ligand,158,-15.7252
1hii_ligand,159,-15.7273
1hii_ligand,160,-15.7318
1hii_ligand,161,-15.7135
1hii_ligand,162,-15.7477
1hii_ligand,163,-15.7091
1hii_ligand,164,-15.7628
1hii_ligand,165,-15.7279
1hii_ligand,166,-15.7657
1hii_ligand,167,-15.7055
1hii_ligand,168,-15.7582
1hii_ligand,169,-15.7175
1hii_ligand,170,-15.033
1hii_ligand,171,-14.7167
1hii_ligand,172,-15.51
1hii_ligand,173,-15.0165
1hii_ligand,174,-14.8947
1hii_ligand,175,-14.8459
1hii_ligand,176,-15.3173
1hii_ligand,177,-15.0388
1hii_ligand,178,-14.0366
1hii_ligand,179,-13.9929
1hii_ligand,180,-15.3433
1hii_ligand,181,-15.4616
1hii_ligand,182,-15.6349
1hii_ligand,183,-15.6869
1hii_ligand,184,-15.7108
1hii_ligand,185,-15.7174
1hii_ligand,186,-15.7346
1hii_ligand,187,-15.7231
1hii_ligand,188,-15.6849
1hii_ligand,189,-15.7161
1hii_ligand,190,-15.6487
1hii_ligand,191,-15.4474
1hii_ligand,192,-14.7332
1hii_ligand,193,-14.8292
1hii_ligand,194,-13.3417
1hii_ligand,195,-13.6156
1hii_ligand,196,-15.1653
1hii_ligand,197,-15.2365
1hii_ligand,198,-15.0792
1hii_ligand,199,-15.2941
1hii_ligand,200,-15.3088
1hii_ligand,201,-15.2191
1hii_ligand,202,-15.2879
1hii_ligand,203,-15.6393
1hii_ligand,204,-15.6707
1hii_ligand,205,-15.7257
1hii_ligand,206,-15.6969
1hii_ligand,207,-15.7486
1hii_ligand,208,-15.7177
1hii_ligand,209,-15.7153
1hii_ligand,210,-15.5662
1hii_ligand,211,-15.1734
1hii_ligand,212,-14.5323
1hii_ligand,213,-15.3155
1hii_ligand,214,-15.7253
1hii_ligand,215,-15.7636
1hii_ligand,216,-15.7875
1hii_ligand,217,-15.7826
1hii_ligand,218,-15.8002
1hii_ligand,219,-15.8292
1hii_ligand,220,-15.7124
1hii_ligand,221,-15.7835
1hii_ligand,222,-15.5272
1hii_ligand,223,-13.368
1hii_ligand,224,-11.6578
1hii_ligand,225,-15.2952
1hii_ligand,226,-15.7215
1hii_ligand,227,-15.7444
1hii_ligand,228,-15.8033
1hii_ligand,229,-15.8126
1hii_ligand,230,-15.8219
1hii_ligand,231,-15.7811
1hii_ligand,232,-15.8023
1hii_ligand,233,-15.7463
1hii_ligand,234,-15.8086
1hii_ligand,235,-15.7392
1hii_ligand,236,-15.8306
1hii_ligand,237,-15.7619
1hii_ligand,238,-15.7978
1hii_ligand,239,-15.6349
1hii_ligand,240,-15.7237
1hii_ligand,241,-15.1521
1hii_ligand,242,-14.8892
1hii_ligand,243,-14.2553
1hii_ligand,244,-14.1772
1hii_ligand,245,-14.288
1hii_ligand,246,-15.4695
1hii_ligand,247,-15.7587
1hii_ligand,248,-15.8055
1hii_ligand,249,-15.838
1hii_ligand,250,-15.8447
1hii_ligand,251,-15.8435
1hii_ligand,252,-15.7741
1hii_ligand,253,-14.9428
1hii_ligand,254,-14.9778
1hii_ligand,255,-15.5443
1hii_ligand,256,-15.6763
1hii_ligand,257,-15.7732
1hii_ligand,258,-15.7722
1hii_ligand,259,-15.7568
1hii_ligand,260,-15.6757
1hii_ligand,261,-14.7575
1hii_ligand,262,-14.6368
1hii_ligand,263,-14.589
1hii_ligand,264,-15.2699
1hii_ligand,265,-15.8164
1hii_ligand,266,-15.7388
1hii_ligand,267,-15.7762
1hii_ligand,268,-15.7156
