ligand,iteration,com_distance
2ya6_ligand,0,0
2ya6_ligand,1,0.387374
2ya6_ligand,2,0.20202
2ya6_ligand,3,0.473478
2ya6_ligand,4,0.192075
2ya6_ligand,5,0.202354
2ya6_ligand,6,0.339544
2ya6_ligand,7,0.217455
2ya6_ligand,8,0.18929
2ya6_ligand,9,0.165414
2ya6_ligand,10,0.38195
2ya6_ligand,11,0.190045
2ya6_ligand,12,0.186953
2ya6_ligand,13,0.166834
2ya6_ligand,14,0.368033
2ya6_ligand,15,0.210756
2ya6_ligand,16,0.179223
2ya6_ligand,17,0.279733
2ya6_ligand,18,0.268458
2ya6_ligand,19,0.365619
2ya6_ligand,20,0.229129
2ya6_ligand,21,0.284137
2ya6_ligand,22,0.343131
2ya6_ligand,23,0.192142
2ya6_ligand,24,0.208251
2ya6_ligand,25,0.171727
2ya6_ligand,26,0.415549
2ya6_ligand,27,0.151325
2ya6_ligand,28,0.379801
2ya6_ligand,29,0.343931
2ya6_ligand,30,0.409254
2ya6_ligand,31,0.284111
2ya6_ligand,32,0.413795
2ya6_ligand,33,0.245379
2ya6_ligand,34,0.174463
2ya6_ligand,35,0.448607
2ya6_ligand,36,0.192747
2ya6_ligand,37,0.226028
2ya6_ligand,38,0.327198
2ya6_ligand,39,0.292488
2ya6_ligand,40,0.393933
2ya6_ligand,41,0.357635
2ya6_ligand,42,0.226062
2ya6_ligand,43,0.259105
2ya6_ligand,44,0.146624
2ya6_ligand,45,0.447831
2ya6_ligand,46,0.18651
2ya6_ligand,47,0.416297
2ya6_ligand,48,0.226308
2ya6_ligand,49,0.209876
2ya6_ligand,50,0.207836
2ya6_ligand,51,0.279774
2ya6_ligand,52,0.130336
2ya6_ligand,53,0.518723
2ya6_ligand,54,0.239154
2ya6_ligand,55,0.473861
2ya6_ligand,56,0.332339
2ya6_ligand,57,0.320259
2ya6_ligand,58,0.419007
2ya6_ligand,59,0.413503
2ya6_ligand,60,0.277586
2ya6_ligand,61,0.187092
2ya6_ligand,62,0.421281
2ya6_ligand,63,0.288387
2ya6_ligand,64,0.249341
2ya6_ligand,65,0.340771
2ya6_ligand,66,0.200463
2ya6_ligand,67,0.429357
2ya6_ligand,68,0.185803
2ya6_ligand,69,0.343331
2ya6_ligand,70,0.122872
2ya6_ligand,71,0.191886
2ya6_ligand,72,0.488697
2ya6_ligand,73,0.227873
2ya6_ligand,74,0.40595
2ya6_ligand,75,0.143105
2ya6_ligand,76,0.592649
2ya6_ligand,77,0.220242
2ya6_ligand,78,0.565408
2ya6_ligand,79,0.469053
2ya6_ligand,80,0.302003
2ya6_ligand,81,0.484551
2ya6_ligand,82,0.247111
2ya6_ligand,83,0.419603
2ya6_ligand,84,0.235025
2ya6_ligand,85,0.21104
2ya6_ligand,86,0.30401
2ya6_ligand,87,0.389135
2ya6_ligand,88,0.448846
2ya6_ligand,89,0.268749
2ya6_ligand,90,0.230128
2ya6_ligand,91,0.360118
2ya6_ligand,92,0.175261
2ya6_ligand,93,0.364961
2ya6_ligand,94,0.406319
2ya6_ligand,95,0.283325
2ya6_ligand,96,0.350047
2ya6_ligand,97,0.227209
2ya6_ligand,98,0.406205
2ya6_ligand,99,0.16462
2ya6_ligand,100,0.464435
2ya6_ligand,101,0.243606
2ya6_ligand,102,0.420473
2ya6_ligand,103,0.191991
2ya6_ligand,104,0.348671
2ya6_ligand,105,0.16346
2ya6_ligand,106,0.514484
2ya6_ligand,107,0.363139
2ya6_ligand,108,0.557337
2ya6_ligand,109,0.307536
2ya6_ligand,110,0.389658
2ya6_ligand,111,0.267196
2ya6_ligand,112,0.425876
2ya6_ligand,113,0.237653
2ya6_ligand,114,0.414785
2ya6_ligand,115,0.222912
2ya6_ligand,116,0.401979
2ya6_ligand,117,0.199239
2ya6_ligand,118,0.473663
2ya6_ligand,119,0.204565
2ya6_ligand,120,0.462201
2ya6_ligand,121,0.215834
2ya6_ligand,122,0.523997
2ya6_ligand,123,0.207113
2ya6_ligand,124,0.544871
2ya6_ligand,125,0.112901
2ya6_ligand,126,0.588292
2ya6_ligand,127,0.213269
2ya6_ligand,128,0.484119
2ya6_ligand,129,0.183213
2ya6_ligand,130,0.557703
2ya6_ligand,131,0.0950803
2ya6_ligand,132,0.665309
2ya6_ligand,133,0.448303
2ya6_ligand,134,0.547624
2ya6_ligand,135,0.287007
2ya6_ligand,136,0.405066
2ya6_ligand,137,0.234106
2ya6_ligand,138,0.406334
2ya6_ligand,139,0.217587
2ya6_ligand,140,0.418908
2ya6_ligand,141,0.192617
2ya6_ligand,142,0.399179
2ya6_ligand,143,0.112606
2ya6_ligand,144,0.596067
2ya6_ligand,145,0.279098
2ya6_ligand,146,0.526429
2ya6_ligand,147,0.236781
2ya6_ligand,148,0.436753
2ya6_ligand,149,0.234889
2ya6_ligand,150,0.413652
2ya6_ligand,151,0.172651
2ya6_ligand,152,0.44204
2ya6_ligand,153,0.0853563
2ya6_ligand,154,0.664093
2ya6_ligand,155,0.391695
2ya6_ligand,156,0.46106
2ya6_ligand,157,0.470205
2ya6_ligand,158,0.638186
2ya6_ligand,159,0.148293
2ya6_ligand,160,0.423482
2ya6_ligand,161,0.300171
2ya6_ligand,162,0.420393
2ya6_ligand,163,0.270875
2ya6_ligand,164,0.41049
2ya6_ligand,165,0.244612
2ya6_ligand,166,0.40462
2ya6_ligand,167,0.24476
2ya6_ligand,168,0.393917
2ya6_ligand,169,0.232495
2ya6_ligand,170,0.36706
2ya6_ligand,171,0.261259
2ya6_ligand,172,0.486907
2ya6_ligand,173,0.268987
2ya6_ligand,174,0.544318
2ya6_ligand,175,0.215647
2ya6_ligand,176,0.47514
2ya6_ligand,177,0.258861
2ya6_ligand,178,0.574864
2ya6_ligand,179,0.162756
2ya6_ligand,180,0.648963
2ya6_ligand,181,0.237009
2ya6_ligand,182,0.293099
2ya6_ligand,183,0.188192
2ya6_ligand,184,0.568665
2ya6_ligand,185,0.222627
2ya6_ligand,186,0.336338
2ya6_ligand,187,0.205012
2ya6_ligand,188,0.529863
2ya6_ligand,189,0.148041
2ya6_ligand,190,0.373992
2ya6_ligand,191,0.395679
2ya6_ligand,192,0.501547
2ya6_ligand,193,0.238659
2ya6_ligand,194,0.438827
2ya6_ligand,195,0.241436
2ya6_ligand,196,0.377775
2ya6_ligand,197,0.196978
2ya6_ligand,198,0.42799
2ya6_ligand,199,0.12879
2ya6_ligand,200,0.555342
2ya6_ligand,201,0.2474
2ya6_ligand,202,0.546204
2ya6_ligand,203,0.416341
2ya6_ligand,204,0.48748
2ya6_ligand,205,0.279922
2ya6_ligand,206,0.392832
2ya6_ligand,207,0.234171
2ya6_ligand,208,0.367696
2ya6_ligand,209,0.186544
2ya6_ligand,210,0.310614
2ya6_ligand,211,0.171211
2ya6_ligand,212,0.411056
2ya6_ligand,213,0.13886
2ya6_ligand,214,0.605571
2ya6_ligand,215,0.0449235
2ya6_ligand,216,0.632036
2ya6_ligand,217,0.356971
2ya6_ligand,218,0.191347
2ya6_ligand,219,0.518244
2ya6_ligand,220,0.242395
2ya6_ligand,221,0.26697
2ya6_ligand,222,0.423165
2ya6_ligand,223,0.184674
2ya6_ligand,224,0.490313
2ya6_ligand,225,0.175738
2ya6_ligand,226,0.395353
2ya6_ligand,227,0.435643
2ya6_ligand,228,0.387265
2ya6_ligand,229,0.221952
2ya6_ligand,230,0.469254
2ya6_ligand,231,0.186668
2ya6_ligand,232,0.472328
2ya6_ligand,233,0.218436
2ya6_ligand,234,0.429879
2ya6_ligand,235,0.235515
2ya6_ligand,236,0.295858
2ya6_ligand,237,0.171911
2ya6_ligand,238,0.52672
2ya6_ligand,239,0.184625
2ya6_ligand,240,0.566185
2ya6_ligand,241,0.476974
2ya6_ligand,242,0.375529
2ya6_ligand,243,0.544156
2ya6_ligand,244,0.253479
2ya6_ligand,245,0.487197
2ya6_ligand,246,0.212843
2ya6_ligand,247,0.355021
2ya6_ligand,248,0.258449
2ya6_ligand,249,0.258904
2ya6_ligand,250,0.170182
2ya6_ligand,251,0.523673
2ya6_ligand,252,0.270421
2ya6_ligand,253,0.3315
2ya6_ligand,254,0.217024
2ya6_ligand,255,0.352316
2ya6_ligand,256,0.173707
2ya6_ligand,257,0.293025
2ya6_ligand,258,0.16
2ya6_ligand,259,0.538815
2ya6_ligand,260,0.305425
2ya6_ligand,261,0.281455
2ya6_ligand,262,0.265791
2ya6_ligand,263,0.377344
2ya6_ligand,264,0.441353
2ya6_ligand,265,0.500564
2ya6_ligand,266,0.621316
2ya6_ligand,267,0.206765
2ya6_ligand,268,0.365405
2ya6_ligand,269,0.20377
2ya6_ligand,270,0.304568
2ya6_ligand,271,0.207959
2ya6_ligand,272,0.320248
2ya6_ligand,273,0.190034
2ya6_ligand,274,0.455028
2ya6_ligand,275,0.153545
2ya6_ligand,276,0.473305
2ya6_ligand,277,0.237517
2ya6_ligand,278,0.444736
2ya6_ligand,279,0.471836
2ya6_ligand,280,0.378284
2ya6_ligand,281,0.390541
2ya6_ligand,282,0.384415
2ya6_ligand,283,0.284791
2ya6_ligand,284,0.447827
2ya6_ligand,285,0.206426
2ya6_ligand,286,0.501261
2ya6_ligand,287,0.295438
2ya6_ligand,288,0.299069
2ya6_ligand,289,0.222063
2ya6_ligand,290,0.426702
2ya6_ligand,291,0.179333
2ya6_ligand,292,0.376382
2ya6_ligand,293,0.239681
2ya6_ligand,294,0.285091
2ya6_ligand,295,0.442374
2ya6_ligand,296,0.163063
2ya6_ligand,297,0.574606
2ya6_ligand,298,0.318694
2ya6_ligand,299,0.272767
