ligand,iteration,rmsd
4few_ligand,0,2.17245e-06
4few_ligand,1,0.387083
4few_ligand,2,0.169571
4few_ligand,3,0.390636
4few_ligand,4,0.557592
4few_ligand,5,0.391211
4few_ligand,6,0.662462
4few_ligand,7,0.521573
4few_ligand,8,0.711752
4few_ligand,9,0.666824
4few_ligand,10,0.55414
4few_ligand,11,0.69331
4few_ligand,12,0.573725
4few_ligand,13,0.654048
4few_ligand,14,0.500765
4few_ligand,15,0.683912
4few_ligand,16,0.617264
4few_ligand,17,0.790768
4few_ligand,18,0.491325
4few_ligand,19,0.595759
4few_ligand,20,0.720987
4few_ligand,21,0.599103
4few_ligand,22,0.589459
4few_ligand,23,0.789461
4few_ligand,24,0.575998
4few_ligand,25,0.546611
4few_ligand,26,0.751408
4few_ligand,27,0.652701
4few_ligand,28,0.540865
4few_ligand,29,0.601916
4few_ligand,30,0.804966
4few_ligand,31,0.456638
4few_ligand,32,0.63555
4few_ligand,33,0.820108
4few_ligand,34,0.519134
4few_ligand,35,0.63712
4few_ligand,36,0.824134
4few_ligand,37,0.615385
4few_ligand,38,0.575159
4few_ligand,39,0.720242
4few_ligand,40,0.678508
4few_ligand,41,0.707514
4few_ligand,42,0.537063
4few_ligand,43,0.70204
4few_ligand,44,0.692573
4few_ligand,45,0.517545
4few_ligand,46,0.657321
4few_ligand,47,0.739097
4few_ligand,48,0.674166
4few_ligand,49,0.678859
4few_ligand,50,0.836473
4few_ligand,51,0.581443
4few_ligand,52,0.568794
4few_ligand,53,0.671152
4few_ligand,54,0.771251
4few_ligand,55,0.659033
4few_ligand,56,0.751842
4few_ligand,57,0.654849
4few_ligand,58,0.688615
4few_ligand,59,0.809744
4few_ligand,60,0.649078
4few_ligand,61,0.723347
4few_ligand,62,0.59795
4few_ligand,63,0.707829
4few_ligand,64,0.811988
4few_ligand,65,0.644249
4few_ligand,66,0.761827
4few_ligand,67,0.673477
4few_ligand,68,0.807297
4few_ligand,69,0.657701
4few_ligand,70,0.769886
4few_ligand,71,0.653444
4few_ligand,72,0.725649
4few_ligand,73,0.869882
4few_ligand,74,0.58658
4few_ligand,75,0.711695
4few_ligand,76,0.834271
4few_ligand,77,0.654557
4few_ligand,78,0.77786
4few_ligand,79,0.690511
4few_ligand,80,0.840048
4few_ligand,81,0.631734
4few_ligand,82,0.736277
4few_ligand,83,0.662324
4few_ligand,84,0.800989
4few_ligand,85,0.741768
4few_ligand,86,0.824823
4few_ligand,87,0.589221
4few_ligand,88,0.669374
4few_ligand,89,0.72813
4few_ligand,90,0.723391
4few_ligand,91,0.799425
4few_ligand,92,0.665824
4few_ligand,93,0.734026
4few_ligand,94,0.828612
4few_ligand,95,0.677566
4few_ligand,96,0.771171
4few_ligand,97,0.78984
4few_ligand,98,0.68768
4few_ligand,99,0.793246
4few_ligand,100,0.854126
4few_ligand,101,0.639149
4few_ligand,102,0.716308
4few_ligand,103,0.795448
4few_ligand,104,0.897577
4few_ligand,105,0.696436
4few_ligand,106,0.763423
4few_ligand,107,0.864613
4few_ligand,108,0.675581
4few_ligand,109,0.741731
4few_ligand,110,0.857431
4few_ligand,111,0.750574
4few_ligand,112,0.736073
4few_ligand,113,0.841355
4few_ligand,114,0.702023
