ligand,iteration,standalone_ls_score
4few_ligand,0,244.443
4few_ligand,1,247.85
4few_ligand,2,243.094
4few_ligand,3,240.922
4few_ligand,4,235.834
4few_ligand,5,226.884
4few_ligand,6,217.755
4few_ligand,7,197.513
4few_ligand,8,178.136
4few_ligand,9,154.521
4few_ligand,10,129.481
4few_ligand,11,107.688
4few_ligand,12,90.26
4few_ligand,13,71.7763
4few_ligand,14,58.7457
4few_ligand,15,49.1503
4few_ligand,16,40.575
4few_ligand,17,35.8255
4few_ligand,18,28.8442
4few_ligand,19,24.1592
4few_ligand,20,22.2332
4few_ligand,21,19.8595
4few_ligand,22,15.4196
4few_ligand,23,15.5921
4few_ligand,24,12.8293
4few_ligand,25,9.65769
4few_ligand,26,10.335
4few_ligand,27,7.67828
4few_ligand,28,6.03566
4few_ligand,29,5.25704
4few_ligand,30,6.62966
4few_ligand,31,3.16659
4few_ligand,32,2.99937
4few_ligand,33,6.41101
4few_ligand,34,1.51828
4few_ligand,35,1.06097
4few_ligand,36,3.00542
4few_ligand,37,1.89381
4few_ligand,38,-0.519163
4few_ligand,39,-0.53977
4few_ligand,40,-0.201033
4few_ligand,41,-0.673709
4few_ligand,42,-2.3523
4few_ligand,43,-0.775153
4few_ligand,44,-2.07507
4few_ligand,45,-3.30406
4few_ligand,46,-2.90133
4few_ligand,47,-2.88231
4few_ligand,48,-2.48161
4few_ligand,49,-3.73814
4few_ligand,50,-0.536456
4few_ligand,51,-4.63021
4few_ligand,52,-4.8619
4few_ligand,53,-4.80594
4few_ligand,54,-3.94247
4few_ligand,55,-5.12609
4few_ligand,56,-4.58417
4few_ligand,57,-5.38296
4few_ligand,58,-5.76254
4few_ligand,59,-3.46977
4few_ligand,60,-6.05724
4few_ligand,61,-5.79247
4few_ligand,62,-6.67072
4few_ligand,63,-6.46111
4few_ligand,64,-5.33163
4few_ligand,65,-6.94415
4few_ligand,66,-6.56913
4few_ligand,67,-7.16416
4few_ligand,68,-6.04408
4few_ligand,69,-7.34288
4few_ligand,70,-6.70495
4few_ligand,71,-7.56601
4few_ligand,72,-7.60728
4few_ligand,73,-5.65951
4few_ligand,74,-8.08783
4few_ligand,75,-7.8401
4few_ligand,76,-6.70405
4few_ligand,77,-8.16119
4few_ligand,78,-7.93467
4few_ligand,79,-8.33895
4few_ligand,80,-7.17387
4few_ligand,81,-8.52666
4few_ligand,82,-8.36995
4few_ligand,83,-8.59194
4few_ligand,84,-7.37546
4few_ligand,85,-8.4284
4few_ligand,86,-6.75177
4few_ligand,87,-8.9995
4few_ligand,88,-8.94473
4few_ligand,89,-8.54618
4few_ligand,90,-8.9265
4few_ligand,91,-7.71973
4few_ligand,92,-9.14295
4few_ligand,93,-9.06017
4few_ligand,94,-8.59008
4few_ligand,95,-9.27806
4few_ligand,96,-8.94712
4few_ligand,97,-9.01223
4few_ligand,98,-9.47855
4few_ligand,99,-8.4058
4few_ligand,100,-8.46744
4few_ligand,101,-9.61305
4few_ligand,102,-9.50544
4few_ligand,103,-9.41084
4few_ligand,104,-8.0827
4few_ligand,105,-9.55934
4few_ligand,106,-9.66223
4few_ligand,107,-8.75361
4few_ligand,108,-9.77625
4few_ligand,109,-9.82868
4few_ligand,110,-8.98751
4few_ligand,111,-8.97126
4few_ligand,112,-9.98193
4few_ligand,113,-8.79329
4few_ligand,114,-9.99522
4few_ligand,115,-9.17232
4few_ligand,116,-8.81919
4few_ligand,117,-10.13
4few_ligand,118,-10.0907
4few_ligand,119,-9.99357
4few_ligand,120,-9.28553
4few_ligand,121,-9.16854
4few_ligand,122,-10.2213
4few_ligand,123,-9.38492
4few_ligand,124,-10.2188
4few_ligand,125,-10.1083
4few_ligand,126,-9.82082
4few_ligand,127,-8.84654
4few_ligand,128,-10.4184
4few_ligand,129,-10.3547
4few_ligand,130,-10.2665
4few_ligand,131,-8.55356
4few_ligand,132,-8.80097
4few_ligand,133,-10.5264
4few_ligand,134,-10.4665
4few_ligand,135,-10.4399
4few_ligand,136,-9.96653
4few_ligand,137,-10.4269
4few_ligand,138,-10.2088
4few_ligand,139,-10.4519
4few_ligand,140,-9.6773
4few_ligand,141,-10.5109
4few_ligand,142,-10.545
4few_ligand,143,-10.3098
4few_ligand,144,-9.30503
4few_ligand,145,-10.61
4few_ligand,146,-10.5803
4few_ligand,147,-10.5942
4few_ligand,148,-9.80275
4few_ligand,149,-10.6
4few_ligand,150,-10.7138
4few_ligand,151,-10.2574
4few_ligand,152,-10.3546
4few_ligand,153,-10.7344
4few_ligand,154,-10.7877
4few_ligand,155,-10.0651
4few_ligand,156,-9.86222
4few_ligand,157,-10.9106
4few_ligand,158,-10.173
4few_ligand,159,-10.737
4few_ligand,160,-10.7797
4few_ligand,161,-10.8728
4few_ligand,162,-10.0195
4few_ligand,163,-10.7779
4few_ligand,164,-10.9495
4few_ligand,165,-10.7494
4few_ligand,166,-10.6896
4few_ligand,167,-10.745
4few_ligand,168,-10.8736
4few_ligand,169,-8.96989
4few_ligand,170,-10.2755
4few_ligand,171,-10.3986
4few_ligand,172,-10.7671
4few_ligand,173,-11.0179
4few_ligand,174,-10.6923
4few_ligand,175,-10.8638
4few_ligand,176,-10.7685
4few_ligand,177,-11.1112
4few_ligand,178,-11.1273
4few_ligand,179,-11.1211
4few_ligand,180,-11.1355
4few_ligand,181,-10.809
4few_ligand,182,-10.5185
4few_ligand,183,-11.1551
4few_ligand,184,-11.1329
4few_ligand,185,-11.0471
4few_ligand,186,-11.1992
