ligand,iteration,com_distance
5uez_ligand,0,0
5uez_ligand,1,0.247103
5uez_ligand,2,0.418077
5uez_ligand,3,0.292381
5uez_ligand,4,0.352445
5uez_ligand,5,0.303474
5uez_ligand,6,0.326416
5uez_ligand,7,0.350573
5uez_ligand,8,0.0429867
5uez_ligand,9,0.113329
5uez_ligand,10,0.0919444
5uez_ligand,11,0.233039
5uez_ligand,12,0.316815
5uez_ligand,13,0.244331
5uez_ligand,14,0.234522
5uez_ligand,15,0.232095
5uez_ligand,16,0.264457
5uez_ligand,17,0.307398
5uez_ligand,18,0.344553
5uez_ligand,19,0.152261
5uez_ligand,20,0.150854
5uez_ligand,21,0.343728
5uez_ligand,22,0.304749
5uez_ligand,23,0.278072
5uez_ligand,24,0.277454
5uez_ligand,25,0.304262
5uez_ligand,26,0.470519
5uez_ligand,27,0.153433
5uez_ligand,28,0.373321
5uez_ligand,29,0.247574
5uez_ligand,30,0.430206
5uez_ligand,31,0.178325
5uez_ligand,32,0.455188
5uez_ligand,33,0.192592
5uez_ligand,34,0.539981
5uez_ligand,35,0.379216
5uez_ligand,36,0.307215
5uez_ligand,37,0.283629
5uez_ligand,38,0.272834
5uez_ligand,39,0.264431
5uez_ligand,40,0.280436
5uez_ligand,41,0.381519
5uez_ligand,42,0.309475
5uez_ligand,43,0.411039
5uez_ligand,44,0.109891
5uez_ligand,45,0.435734
5uez_ligand,46,0.248221
5uez_ligand,47,0.251331
5uez_ligand,48,0.405839
5uez_ligand,49,0.297427
5uez_ligand,50,0.271386
5uez_ligand,51,0.400962
5uez_ligand,52,0.273606
5uez_ligand,53,0.495048
5uez_ligand,54,0.362199
5uez_ligand,55,0.288752
5uez_ligand,56,0.259449
5uez_ligand,57,0.375574
5uez_ligand,58,0.40291
5uez_ligand,59,0.436997
5uez_ligand,60,0.149407
5uez_ligand,61,0.427671
5uez_ligand,62,0.304455
5uez_ligand,63,0.263725
5uez_ligand,64,0.321176
5uez_ligand,65,0.482606
5uez_ligand,66,0.39308
5uez_ligand,67,0.491822
5uez_ligand,68,0.312917
5uez_ligand,69,0.31954
5uez_ligand,70,0.419316
5uez_ligand,71,0.331367
5uez_ligand,72,0.444318
5uez_ligand,73,0.127916
5uez_ligand,74,0.389257
5uez_ligand,75,0.234333
5uez_ligand,76,0.451854
5uez_ligand,77,0.211102
5uez_ligand,78,0.537532
5uez_ligand,79,0.337364
5uez_ligand,80,0.482504
5uez_ligand,81,0.288202
5uez_ligand,82,0.640885
5uez_ligand,83,0.3928
5uez_ligand,84,0.294669
5uez_ligand,85,0.296602
5uez_ligand,86,0.274597
5uez_ligand,87,0.267739
5uez_ligand,88,0.269762
5uez_ligand,89,0.273874
5uez_ligand,90,0.287671
5uez_ligand,91,0.411634
5uez_ligand,92,0.322728
5uez_ligand,93,0.318051
5uez_ligand,94,0.42238
5uez_ligand,95,0.142408
5uez_ligand,96,0.460262
5uez_ligand,97,0.279893
5uez_ligand,98,0.272975
5uez_ligand,99,0.264952
5uez_ligand,100,0.274963
5uez_ligand,101,0.421301
5uez_ligand,102,0.329
5uez_ligand,103,0.426451
5uez_ligand,104,0.310765
5uez_ligand,105,0.42767
5uez_ligand,106,0.123859
5uez_ligand,107,0.398825
5uez_ligand,108,0.257491
5uez_ligand,109,0.460954
5uez_ligand,110,0.232084
5uez_ligand,111,0.549615
5uez_ligand,112,0.309969
5uez_ligand,113,0.479976
5uez_ligand,114,0.351833
5uez_ligand,115,0.306049
5uez_ligand,116,0.299827
5uez_ligand,117,0.405699
5uez_ligand,118,0.352236
5uez_ligand,119,0.319857
5uez_ligand,120,0.414123
5uez_ligand,121,0.149143
5uez_ligand,122,0.467482
5uez_ligand,123,0.288085
5uez_ligand,124,0.489787
5uez_ligand,125,0.337379
5uez_ligand,126,0.516265
5uez_ligand,127,0.350874
5uez_ligand,128,0.301496
5uez_ligand,129,0.303161
5uez_ligand,130,0.44943
5uez_ligand,131,0.305047
5uez_ligand,132,0.463788
5uez_ligand,133,0.14304
5uez_ligand,134,0.401407
5uez_ligand,135,0.315783
5uez_ligand,136,0.525718
5uez_ligand,137,0.376101
5uez_ligand,138,0.528559
5uez_ligand,139,0.381329
5uez_ligand,140,0.782705
5uez_ligand,141,0.215883
5uez_ligand,142,0.164682
5uez_ligand,143,0.257611
5uez_ligand,144,0.212226
5uez_ligand,145,0.227297
5uez_ligand,146,0.25172
5uez_ligand,147,0.270796
5uez_ligand,148,0.291117
5uez_ligand,149,0.413285
5uez_ligand,150,0.305878
5uez_ligand,151,0.309298
5uez_ligand,152,0.420735
5uez_ligand,153,0.331094
5uez_ligand,154,0.327284
5uez_ligand,155,0.43604
5uez_ligand,156,0.14716
5uez_ligand,157,0.451136
5uez_ligand,158,0.284714
5uez_ligand,159,0.442857
5uez_ligand,160,0.325682
5uez_ligand,161,0.315877
5uez_ligand,162,0.426609
5uez_ligand,163,0.312464
5uez_ligand,164,0.424259
5uez_ligand,165,0.346381
5uez_ligand,166,0.310317
5uez_ligand,167,0.462575
5uez_ligand,168,0.131362
5uez_ligand,169,0.413306
5uez_ligand,170,0.272461
5uez_ligand,171,0.48315
5uez_ligand,172,0.217371
5uez_ligand,173,0.560118
5uez_ligand,174,0.309785
5uez_ligand,175,0.289232
5uez_ligand,176,0.293202
5uez_ligand,177,0.398061
5uez_ligand,178,0.30253
5uez_ligand,179,0.40291
5uez_ligand,180,0.302743
5uez_ligand,181,0.404659
5uez_ligand,182,0.33182
5uez_ligand,183,0.313578
5uez_ligand,184,0.301525
5uez_ligand,185,0.376773
5uez_ligand,186,0.281893
5uez_ligand,187,0.426686
5uez_ligand,188,0.303038
5uez_ligand,189,0.46062
5uez_ligand,190,0.1416
5uez_ligand,191,0.427945
5uez_ligand,192,0.233034
5uez_ligand,193,0.533151
5uez_ligand,194,0.358011
5uez_ligand,195,0.51375
5uez_ligand,196,0.238593
5uez_ligand,197,0.629944
5uez_ligand,198,0.396072
5uez_ligand,199,0.316784
5uez_ligand,200,0.332673
5uez_ligand,201,0.32023
5uez_ligand,202,0.335493
5uez_ligand,203,0.317393
5uez_ligand,204,0.323006
5uez_ligand,205,0.438514
5uez_ligand,206,0.315553
5uez_ligand,207,0.318708
5uez_ligand,208,0.310215
5uez_ligand,209,0.450276
5uez_ligand,210,0.288312
5uez_ligand,211,0.462401
5uez_ligand,212,0.109742
5uez_ligand,213,0.41476
5uez_ligand,214,0.30291
5uez_ligand,215,0.28078
5uez_ligand,216,0.280142
5uez_ligand,217,0.309034
5uez_ligand,218,0.469682
5uez_ligand,219,0.278322
5uez_ligand,220,0.473477
5uez_ligand,221,0.34178
5uez_ligand,222,0.303715
5uez_ligand,223,0.303374
5uez_ligand,224,0.490638
5uez_ligand,225,0.27556
5uez_ligand,226,0.478938
5uez_ligand,227,0.278576
5uez_ligand,228,0.310118
5uez_ligand,229,0.325766
5uez_ligand,230,0.322318
5uez_ligand,231,0.548867
5uez_ligand,232,0.176909
5uez_ligand,233,0.535514
5uez_ligand,234,0.326785
5uez_ligand,235,0.497119
5uez_ligand,236,0.227148
5uez_ligand,237,0.653473
5uez_ligand,238,0.418233
5uez_ligand,239,0.690845
5uez_ligand,240,0.231457
5uez_ligand,241,0.184537
5uez_ligand,242,0.197357
5uez_ligand,243,0.233556
5uez_ligand,244,0.269078
5uez_ligand,245,0.28568
5uez_ligand,246,0.303772
5uez_ligand,247,0.40117
5uez_ligand,248,0.284248
5uez_ligand,249,0.302513
5uez_ligand,250,0.409282
5uez_ligand,251,0.274083
