ligand,iteration,com_distance
5wuk_ligand,0,0
5wuk_ligand,1,0.372288
5wuk_ligand,2,0.458532
5wuk_ligand,3,0.314454
5wuk_ligand,4,0.111063
5wuk_ligand,5,0.276353
5wuk_ligand,6,0.0495044
5wuk_ligand,7,0.219502
5wuk_ligand,8,0.110157
5wuk_ligand,9,0.231191
5wuk_ligand,10,0.0926249
5wuk_ligand,11,0.254685
5wuk_ligand,12,0.148786
5wuk_ligand,13,0.294098
5wuk_ligand,14,0.108795
5wuk_ligand,15,0.29354
5wuk_ligand,16,0.214583
5wuk_ligand,17,0.386099
5wuk_ligand,18,0.338141
5wuk_ligand,19,0.387031
5wuk_ligand,20,0.338838
5wuk_ligand,21,0.383296
5wuk_ligand,22,0.226907
5wuk_ligand,23,0.302252
5wuk_ligand,24,0.224552
5wuk_ligand,25,0.28494
5wuk_ligand,26,0.224805
5wuk_ligand,27,0.296774
5wuk_ligand,28,0.241842
5wuk_ligand,29,0.35892
5wuk_ligand,30,0.277762
5wuk_ligand,31,0.386765
5wuk_ligand,32,0.421121
5wuk_ligand,33,0.446915
5wuk_ligand,34,0.444563
5wuk_ligand,35,0.355834
5wuk_ligand,36,0.261544
5wuk_ligand,37,0.340297
5wuk_ligand,38,0.28121
5wuk_ligand,39,0.263402
5wuk_ligand,40,0.189319
5wuk_ligand,41,0.363516
5wuk_ligand,42,0.298811
5wuk_ligand,43,0.392344
5wuk_ligand,44,0.325145
5wuk_ligand,45,0.378599
5wuk_ligand,46,0.32642
5wuk_ligand,47,0.407788
5wuk_ligand,48,0.471952
5wuk_ligand,49,0.335227
5wuk_ligand,50,0.297431
5wuk_ligand,51,0.359511
5wuk_ligand,52,0.347466
5wuk_ligand,53,0.388501
5wuk_ligand,54,0.410471
5wuk_ligand,55,0.383882
5wuk_ligand,56,0.456339
5wuk_ligand,57,0.454772
5wuk_ligand,58,0.562438
5wuk_ligand,59,0.585849
5wuk_ligand,60,0.99409
5wuk_ligand,61,1.31147
5wuk_ligand,62,1.8095
5wuk_ligand,63,2.38233
5wuk_ligand,64,3.22977
5wuk_ligand,65,3.45449
5wuk_ligand,66,7.41311
5wuk_ligand,67,6.34899
5wuk_ligand,68,6.23486
5wuk_ligand,69,7.05715
5wuk_ligand,70,7.51358
5wuk_ligand,71,7.42194
5wuk_ligand,72,7.43948
5wuk_ligand,73,7.45604
5wuk_ligand,74,7.47171
5wuk_ligand,75,7.48655
5wuk_ligand,76,7.5006
5wuk_ligand,77,7.51394
5wuk_ligand,78,7.52587
5wuk_ligand,79,7.5373
5wuk_ligand,80,7.54825
5wuk_ligand,81,7.55876
5wuk_ligand,82,7.56885
5wuk_ligand,83,7.57855
5wuk_ligand,84,7.58788
