ligand,iteration,standalone_ls_score
5wuk_ligand,0,-10.5758
5wuk_ligand,1,-9.43108
5wuk_ligand,2,-9.03457
5wuk_ligand,3,-9.93377
5wuk_ligand,4,-10.3719
5wuk_ligand,5,-10.2341
5wuk_ligand,6,-10.5115
5wuk_ligand,7,-10.3105
5wuk_ligand,8,-10.4589
5wuk_ligand,9,-10.4129
5wuk_ligand,10,-10.3818
5wuk_ligand,11,-10.2334
5wuk_ligand,12,-10.2345
5wuk_ligand,13,-10.245
5wuk_ligand,14,-10.1416
5wuk_ligand,15,-10.077
5wuk_ligand,16,-9.84867
5wuk_ligand,17,-9.43607
5wuk_ligand,18,-8.95286
5wuk_ligand,19,-9.42141
5wuk_ligand,20,-8.93592
5wuk_ligand,21,-9.44378
5wuk_ligand,22,-9.67419
5wuk_ligand,23,-9.87609
5wuk_ligand,24,-9.77703
5wuk_ligand,25,-10.013
5wuk_ligand,26,-9.85252
5wuk_ligand,27,-9.9672
5wuk_ligand,28,-9.88449
5wuk_ligand,29,-9.41536
5wuk_ligand,30,-9.46097
5wuk_ligand,31,-9.16648
5wuk_ligand,32,-8.5044
5wuk_ligand,33,-8.58274
5wuk_ligand,34,-7.93317
5wuk_ligand,35,-9.60677
5wuk_ligand,36,-9.63646
5wuk_ligand,37,-9.73831
5wuk_ligand,38,-9.73341
5wuk_ligand,39,-10.1324
5wuk_ligand,40,-9.78944
5wuk_ligand,41,-9.55321
5wuk_ligand,42,-9.37377
5wuk_ligand,43,-9.29065
5wuk_ligand,44,-9.18152
5wuk_ligand,45,-9.32976
5wuk_ligand,46,-9.21468
5wuk_ligand,47,-9.01219
5wuk_ligand,48,-7.81471
5wuk_ligand,49,-9.79302
5wuk_ligand,50,-9.65154
5wuk_ligand,51,-9.33797
5wuk_ligand,52,-9.12098
5wuk_ligand,53,-9.2036
5wuk_ligand,54,-8.6379
5wuk_ligand,55,-9.19409
5wuk_ligand,56,-8.42404
5wuk_ligand,57,-8.1447
5wuk_ligand,58,-6.92663
5wuk_ligand,59,-6.22998
5wuk_ligand,60,17.1472
5wuk_ligand,61,103.796
5wuk_ligand,62,1868.66
5wuk_ligand,63,86396
5wuk_ligand,64,743142
5wuk_ligand,65,886670
5wuk_ligand,66,129894
5wuk_ligand,67,383382
5wuk_ligand,68,109787
5wuk_ligand,69,20344.6
5wuk_ligand,70,56109
5wuk_ligand,71,346.515
