ligand,iteration,standalone_ls_score
3udd_ligand,0,420756
3udd_ligand,1,243887
3udd_ligand,2,219458
3udd_ligand,3,201049
3udd_ligand,4,214846
3udd_ligand,5,170044
3udd_ligand,6,159767
3udd_ligand,7,126924
3udd_ligand,8,134953
3udd_ligand,9,116073
3udd_ligand,10,104924
3udd_ligand,11,93474.3
3udd_ligand,12,75597.5
3udd_ligand,13,93035.4
3udd_ligand,14,72984.4
3udd_ligand,15,95100.5
3udd_ligand,16,64122.8
3udd_ligand,17,72950.5
3udd_ligand,18,62705.8
3udd_ligand,19,79637.1
3udd_ligand,20,64006
3udd_ligand,21,76172.1
3udd_ligand,22,59910.6
3udd_ligand,23,61672.6
3udd_ligand,24,61465.3
3udd_ligand,25,72695.1
3udd_ligand,26,56371.7
3udd_ligand,27,63360.5
3udd_ligand,28,90587.7
3udd_ligand,29,101192
3udd_ligand,30,67636.7
3udd_ligand,31,52828.6
3udd_ligand,32,56808.3
3udd_ligand,33,65609.2
3udd_ligand,34,88007.5
3udd_ligand,35,131612
3udd_ligand,36,67131
3udd_ligand,37,72864.7
3udd_ligand,38,80686.5
3udd_ligand,39,67979.6
3udd_ligand,40,68973.1
3udd_ligand,41,71635.8
3udd_ligand,42,73281.3
3udd_ligand,43,59314.2
3udd_ligand,44,74302.2
3udd_ligand,45,75278
3udd_ligand,46,71557.3
3udd_ligand,47,83448.1
3udd_ligand,48,58239.4
3udd_ligand,49,69485.2
3udd_ligand,50,68030.8
3udd_ligand,51,65207.9
3udd_ligand,52,69198.3
3udd_ligand,53,77405.1
3udd_ligand,54,72613.9
3udd_ligand,55,67204.1
3udd_ligand,56,92633.6
3udd_ligand,57,87354.9
3udd_ligand,58,68200.9
3udd_ligand,59,63026.3
3udd_ligand,60,66141.3
3udd_ligand,61,67635.3
3udd_ligand,62,84419.3
3udd_ligand,63,120097
3udd_ligand,64,102784
3udd_ligand,65,122594
3udd_ligand,66,137348
3udd_ligand,67,104940
3udd_ligand,68,101394
3udd_ligand,69,108549
3udd_ligand,70,92764.7
3udd_ligand,71,107372
3udd_ligand,72,61254.2
3udd_ligand,73,63757.9
3udd_ligand,74,58846.4
3udd_ligand,75,61772.8
3udd_ligand,76,64608
3udd_ligand,77,60594.8
3udd_ligand,78,53304.4
3udd_ligand,79,50928.3
3udd_ligand,80,60806.5
3udd_ligand,81,65401.7
3udd_ligand,82,99407.4
3udd_ligand,83,86544.9
3udd_ligand,84,63680.9
3udd_ligand,85,74361.4
3udd_ligand,86,58238.2
3udd_ligand,87,57057.7
3udd_ligand,88,74152.3
3udd_ligand,89,72935.5
3udd_ligand,90,76028.2
3udd_ligand,91,98804
3udd_ligand,92,58975.7
3udd_ligand,93,61423.4
3udd_ligand,94,68493.7
3udd_ligand,95,83437.9
3udd_ligand,96,71164.6
3udd_ligand,97,83230
3udd_ligand,98,80235.7
3udd_ligand,99,98719.8
3udd_ligand,100,85261.9
3udd_ligand,101,72520.6
3udd_ligand,102,95451.8
3udd_ligand,103,76155.3
3udd_ligand,104,60711.4
3udd_ligand,105,59653.1
3udd_ligand,106,52842.4
3udd_ligand,107,62498.2
3udd_ligand,108,61473.1
3udd_ligand,109,86823.4
3udd_ligand,110,81648.6
3udd_ligand,111,62721.8
3udd_ligand,112,86665
3udd_ligand,113,92989.7
3udd_ligand,114,57056.9
3udd_ligand,115,56713.6
3udd_ligand,116,55573.1
3udd_ligand,117,65375.4
3udd_ligand,118,74102
3udd_ligand,119,61488.9
3udd_ligand,120,94812.1
3udd_ligand,121,81713.3
3udd_ligand,122,80142.7
3udd_ligand,123,75369.8
3udd_ligand,124,65535.6
3udd_ligand,125,85220
3udd_ligand,126,66672.8
3udd_ligand,127,51479.8
3udd_ligand,128,50234.2
3udd_ligand,129,79248.9
3udd_ligand,130,69690.1
3udd_ligand,131,94650.6
3udd_ligand,132,66400.4
3udd_ligand,133,61388.7
3udd_ligand,134,66894.4
3udd_ligand,135,60957.4
3udd_ligand,136,75702.5
3udd_ligand,137,67944.7
3udd_ligand,138,54297.5
3udd_ligand,139,82582.8
3udd_ligand,140,69045.2
3udd_ligand,141,94401.2
3udd_ligand,142,95084.9
3udd_ligand,143,90441.9
3udd_ligand,144,65413.6
3udd_ligand,145,58107.9
3udd_ligand,146,58779.8
3udd_ligand,147,72082.2
3udd_ligand,148,51621.4
3udd_ligand,149,51468
3udd_ligand,150,86536.3
3udd_ligand,151,61971.9
3udd_ligand,152,82541.6
3udd_ligand,153,62380.8
3udd_ligand,154,76874
3udd_ligand,155,108685
3udd_ligand,156,97725.6
3udd_ligand,157,57034.7
3udd_ligand,158,60475.7
3udd_ligand,159,136633
3udd_ligand,160,112319
3udd_ligand,161,64244.7
3udd_ligand,162,69309.6
3udd_ligand,163,57785.7
3udd_ligand,164,52560.3
3udd_ligand,165,64831.2
3udd_ligand,166,66275.5
3udd_ligand,167,80998.9
3udd_ligand,168,89644.7
3udd_ligand,169,86818.4
3udd_ligand,170,82794.2
3udd_ligand,171,75670.6
3udd_ligand,172,64197.8
3udd_ligand,173,76688.6
3udd_ligand,174,73563.5
3udd_ligand,175,58960.1
3udd_ligand,176,59103.6
3udd_ligand,177,62256
3udd_ligand,178,58786.3
3udd_ligand,179,50927.4
3udd_ligand,180,50993.5
3udd_ligand,181,73660.6
3udd_ligand,182,68880.2
3udd_ligand,183,76635.1
3udd_ligand,184,54436.2
3udd_ligand,185,53562
3udd_ligand,186,48380.4
3udd_ligand,187,75703.6
3udd_ligand,188,65426.9
3udd_ligand,189,61167
3udd_ligand,190,105631
3udd_ligand,191,73321.9
3udd_ligand,192,63662.1
3udd_ligand,193,53387.2
3udd_ligand,194,66202.6
3udd_ligand,195,55686.6
3udd_ligand,196,53858.7
3udd_ligand,197,95332.5
3udd_ligand,198,59328.6
3udd_ligand,199,54346.4
3udd_ligand,200,51074.8
3udd_ligand,201,86346.5
3udd_ligand,202,64841.2
3udd_ligand,203,62481.7
3udd_ligand,204,61719.5
3udd_ligand,205,52059.7
3udd_ligand,206,105251
3udd_ligand,207,88734.8
3udd_ligand,208,63627.9
3udd_ligand,209,62643.6
3udd_ligand,210,90128.3
3udd_ligand,211,101869
3udd_ligand,212,68085.7
3udd_ligand,213,53180.8
3udd_ligand,214,53874.4
3udd_ligand,215,88967.4
3udd_ligand,216,85190
3udd_ligand,217,65790.5
3udd_ligand,218,83293.5
3udd_ligand,219,68987.3
3udd_ligand,220,77531.7
3udd_ligand,221,85148.3
3udd_ligand,222,103875
3udd_ligand,223,82961.9
3udd_ligand,224,53586.9
3udd_ligand,225,49265.3
3udd_ligand,226,51273.4
3udd_ligand,227,85323.5
3udd_ligand,228,54196.4
3udd_ligand,229,52150.7
3udd_ligand,230,49246.6
3udd_ligand,231,64593.9
3udd_ligand,232,88897.7
3udd_ligand,233,76257.3
3udd_ligand,234,80709.2
3udd_ligand,235,117850
3udd_ligand,236,52908.8
3udd_ligand,237,49180.9
3udd_ligand,238,75874.3
3udd_ligand,239,47761.5
3udd_ligand,240,48791.1
3udd_ligand,241,52462.5
3udd_ligand,242,79215.5
3udd_ligand,243,55950.1
3udd_ligand,244,51491
3udd_ligand,245,66168
3udd_ligand,246,58275.4
3udd_ligand,247,55377.4
3udd_ligand,248,87008.9
3udd_ligand,249,75330.3
3udd_ligand,250,69986.1
3udd_ligand,251,61032.7
3udd_ligand,252,65746.9
3udd_ligand,253,60951.9
3udd_ligand,254,45616.7
3udd_ligand,255,79879.5
3udd_ligand,256,60302.3
3udd_ligand,257,49973.5
3udd_ligand,258,49604.5
3udd_ligand,259,57445.9
3udd_ligand,260,90728.6
3udd_ligand,261,98420.7
3udd_ligand,262,100620
3udd_ligand,263,60546.5
3udd_ligand,264,117489
3udd_ligand,265,80798.7
3udd_ligand,266,62118.5
3udd_ligand,267,66049.6
3udd_ligand,268,108643
3udd_ligand,269,76101.9
3udd_ligand,270,123347
3udd_ligand,271,133152
3udd_ligand,272,86759.1
3udd_ligand,273,56819.3
3udd_ligand,274,72044
3udd_ligand,275,70476.7
3udd_ligand,276,60747.1
3udd_ligand,277,50980.5
3udd_ligand,278,42213.4
3udd_ligand,279,50741.9
3udd_ligand,280,48667.8
3udd_ligand,281,64538.5
3udd_ligand,282,77867
3udd_ligand,283,61464.4
3udd_ligand,284,109040
3udd_ligand,285,82160.3
3udd_ligand,286,62377.8
3udd_ligand,287,60834.6
3udd_ligand,288,119764
3udd_ligand,289,126776
3udd_ligand,290,63318.8
3udd_ligand,291,70278.6
3udd_ligand,292,86669.4
3udd_ligand,293,53380.7
3udd_ligand,294,47784.5
3udd_ligand,295,47041.1
3udd_ligand,296,59154.6
3udd_ligand,297,69421.9
3udd_ligand,298,81507.8
3udd_ligand,299,60478.3
