ligand,iteration,com_distance
5cst_ligand,0,0
5cst_ligand,1,0.38902
5cst_ligand,2,0.568095
5cst_ligand,3,0.388183
5cst_ligand,4,0.464901
5cst_ligand,5,0.575187
5cst_ligand,6,0.179134
5cst_ligand,7,0.344954
5cst_ligand,8,0.257621
5cst_ligand,9,0.523498
5cst_ligand,10,0.371782
5cst_ligand,11,0.540877
5cst_ligand,12,0.324247
5cst_ligand,13,0.251124
5cst_ligand,14,0.205936
5cst_ligand,15,0.551722
5cst_ligand,16,0.197345
5cst_ligand,17,0.270869
5cst_ligand,18,0.32879
5cst_ligand,19,0.195628
5cst_ligand,20,0.570396
5cst_ligand,21,0.386525
5cst_ligand,22,0.299082
5cst_ligand,23,0.422676
5cst_ligand,24,0.223764
5cst_ligand,25,0.475368
5cst_ligand,26,0.247964
5cst_ligand,27,0.597616
5cst_ligand,28,0.397105
5cst_ligand,29,0.21783
5cst_ligand,30,0.578082
5cst_ligand,31,0.13271
5cst_ligand,32,0.497338
5cst_ligand,33,0.102372
5cst_ligand,34,0.622922
5cst_ligand,35,0.411893
5cst_ligand,36,0.373218
5cst_ligand,37,0.536837
5cst_ligand,38,0.314686
5cst_ligand,39,0.372878
5cst_ligand,40,0.508482
5cst_ligand,41,0.146017
5cst_ligand,42,0.565882
5cst_ligand,43,0.354308
5cst_ligand,44,0.335275
5cst_ligand,45,0.463031
5cst_ligand,46,0.159128
5cst_ligand,47,0.394513
5cst_ligand,48,0.171578
5cst_ligand,49,0.390734
5cst_ligand,50,0.291035
5cst_ligand,51,0.294397
5cst_ligand,52,0.360793
5cst_ligand,53,0.286412
5cst_ligand,54,0.382848
5cst_ligand,55,0.457929
5cst_ligand,56,0.259833
5cst_ligand,57,0.511058
5cst_ligand,58,0.338802
5cst_ligand,59,0.213575
5cst_ligand,60,0.350139
5cst_ligand,61,0.337533
5cst_ligand,62,0.222948
5cst_ligand,63,0.311258
5cst_ligand,64,0.325274
5cst_ligand,65,0.269941
5cst_ligand,66,0.344906
5cst_ligand,67,0.29777
5cst_ligand,68,0.517566
5cst_ligand,69,0.28499
5cst_ligand,70,0.362448
5cst_ligand,71,0.233619
5cst_ligand,72,0.272034
5cst_ligand,73,0.356317
5cst_ligand,74,0.261853
5cst_ligand,75,0.333627
5cst_ligand,76,0.255922
5cst_ligand,77,0.339554
5cst_ligand,78,0.310202
5cst_ligand,79,0.176375
5cst_ligand,80,0.440947
5cst_ligand,81,0.129826
5cst_ligand,82,0.476412
5cst_ligand,83,0.315246
5cst_ligand,84,0.287651
5cst_ligand,85,0.259298
5cst_ligand,86,0.39235
5cst_ligand,87,0.331873
5cst_ligand,88,0.395136
5cst_ligand,89,0.268134
5cst_ligand,90,0.522592
5cst_ligand,91,0.271677
5cst_ligand,92,0.424041
5cst_ligand,93,0.174798
5cst_ligand,94,0.429765
5cst_ligand,95,0.137509
5cst_ligand,96,0.229222
5cst_ligand,97,0.393906
5cst_ligand,98,0.339543
5cst_ligand,99,0.148364
5cst_ligand,100,0.330895
5cst_ligand,101,0.253162
5cst_ligand,102,0.409016
5cst_ligand,103,0.326212
5cst_ligand,104,0.421915
5cst_ligand,105,0.226492
5cst_ligand,106,0.32995
5cst_ligand,107,0.400031
5cst_ligand,108,0.152794
5cst_ligand,109,0.475336
5cst_ligand,110,0.284757
5cst_ligand,111,0.320069
5cst_ligand,112,0.153882
5cst_ligand,113,0.295515
5cst_ligand,114,0.406863
5cst_ligand,115,0.206938
5cst_ligand,116,0.321968
5cst_ligand,117,0.275642
5cst_ligand,118,0.324048
5cst_ligand,119,0.197024
5cst_ligand,120,0.310668
5cst_ligand,121,0.275896
5cst_ligand,122,0.326359
5cst_ligand,123,0.175183
5cst_ligand,124,0.369908
5cst_ligand,125,0.239076
5cst_ligand,126,0.478578
5cst_ligand,127,0.211449
5cst_ligand,128,0.376351
5cst_ligand,129,0.274131
5cst_ligand,130,0.338626
5cst_ligand,131,0.189111
5cst_ligand,132,0.259914
5cst_ligand,133,0.327795
5cst_ligand,134,0.193292
5cst_ligand,135,0.361983
5cst_ligand,136,0.302666
5cst_ligand,137,0.258362
5cst_ligand,138,0.185226
5cst_ligand,139,0.389724
5cst_ligand,140,0.249052
5cst_ligand,141,0.21338
5cst_ligand,142,0.218541
5cst_ligand,143,0.28069
5cst_ligand,144,0.407681
5cst_ligand,145,0.194939
5cst_ligand,146,0.448622
5cst_ligand,147,0.226252
5cst_ligand,148,0.46132
5cst_ligand,149,0.27015
5cst_ligand,150,0.332799
5cst_ligand,151,0.192989
5cst_ligand,152,0.399899
5cst_ligand,153,0.443381
5cst_ligand,154,0.284298
5cst_ligand,155,0.201061
5cst_ligand,156,0.408573
5cst_ligand,157,0.381116
5cst_ligand,158,0.612055
5cst_ligand,159,0.224485
5cst_ligand,160,0.347193
5cst_ligand,161,0.282823
5cst_ligand,162,0.427715
5cst_ligand,163,0.446598
5cst_ligand,164,0.500278
5cst_ligand,165,0.357792
5cst_ligand,166,0.576668
5cst_ligand,167,0.5182
5cst_ligand,168,0.463636
5cst_ligand,169,0.371997
5cst_ligand,170,0.667046
5cst_ligand,171,0.341425
5cst_ligand,172,0.585199
5cst_ligand,173,0.301883
5cst_ligand,174,0.564
5cst_ligand,175,0.348469
5cst_ligand,176,0.685838
5cst_ligand,177,0.218274
5cst_ligand,178,0.475416
5cst_ligand,179,0.347669
5cst_ligand,180,0.501667
5cst_ligand,181,0.431957
5cst_ligand,182,0.362039
5cst_ligand,183,0.442738
5cst_ligand,184,0.33863
5cst_ligand,185,0.541598
5cst_ligand,186,0.40743
5cst_ligand,187,0.404592
5cst_ligand,188,0.268628
5cst_ligand,189,0.554954
5cst_ligand,190,0.372779
5cst_ligand,191,0.442639
5cst_ligand,192,0.222636
5cst_ligand,193,0.459173
5cst_ligand,194,0.389674
5cst_ligand,195,0.302342
5cst_ligand,196,0.499549
5cst_ligand,197,0.362458
5cst_ligand,198,0.343833
5cst_ligand,199,0.567947
5cst_ligand,200,0.451664
5cst_ligand,201,0.322208
5cst_ligand,202,0.561302
5cst_ligand,203,0.416805
5cst_ligand,204,0.403662
5cst_ligand,205,0.237524
5cst_ligand,206,0.558014
5cst_ligand,207,0.293926
5cst_ligand,208,0.534824
5cst_ligand,209,0.40066
5cst_ligand,210,0.372021
5cst_ligand,211,0.277927
5cst_ligand,212,0.512963
5cst_ligand,213,0.44166
5cst_ligand,214,0.310341
5cst_ligand,215,0.587022
5cst_ligand,216,0.410532
5cst_ligand,217,0.485083
5cst_ligand,218,0.336298
5cst_ligand,219,0.621518
5cst_ligand,220,0.146313
5cst_ligand,221,0.389172
5cst_ligand,222,0.305501
5cst_ligand,223,0.460426
5cst_ligand,224,0.34488
5cst_ligand,225,0.498327
5cst_ligand,226,0.253463
5cst_ligand,227,0.478046
5cst_ligand,228,0.450256
5cst_ligand,229,0.449051
5cst_ligand,230,0.310904
5cst_ligand,231,0.456714
