ligand,iteration,standalone_ls_score
5wuk_ligand,0,208994
5wuk_ligand,1,204147
5wuk_ligand,2,146554
5wuk_ligand,3,142902
5wuk_ligand,4,141459
5wuk_ligand,5,149750
5wuk_ligand,6,122656
5wuk_ligand,7,157707
5wuk_ligand,8,97536.6
5wuk_ligand,9,171137
5wuk_ligand,10,144818
5wuk_ligand,11,139166
5wuk_ligand,12,124092
5wuk_ligand,13,123026
5wuk_ligand,14,132031
5wuk_ligand,15,93527.9
5wuk_ligand,16,162080
5wuk_ligand,17,143113
5wuk_ligand,18,59507.1
5wuk_ligand,19,77018
5wuk_ligand,20,99463.7
5wuk_ligand,21,73650.3
5wuk_ligand,22,76274.3
5wuk_ligand,23,77810.8
5wuk_ligand,24,91414.7
5wuk_ligand,25,87100.3
5wuk_ligand,26,56767.9
5wuk_ligand,27,49925.1
5wuk_ligand,28,69959.3
5wuk_ligand,29,71272.1
5wuk_ligand,30,56743.1
5wuk_ligand,31,56840.8
5wuk_ligand,32,50508.2
5wuk_ligand,33,41867.7
5wuk_ligand,34,31438.4
5wuk_ligand,35,32500.6
5wuk_ligand,36,37927.8
5wuk_ligand,37,34856.4
5wuk_ligand,38,28740.1
5wuk_ligand,39,35920.5
5wuk_ligand,40,39955.2
5wuk_ligand,41,37914
5wuk_ligand,42,44945
5wuk_ligand,43,31165.8
5wuk_ligand,44,22487.3
5wuk_ligand,45,27486.9
5wuk_ligand,46,28695
5wuk_ligand,47,27953.7
5wuk_ligand,48,29610.6
5wuk_ligand,49,51856.3
5wuk_ligand,50,29546.3
5wuk_ligand,51,45282.9
5wuk_ligand,52,34748.4
5wuk_ligand,53,29976.3
5wuk_ligand,54,35623.2
5wuk_ligand,55,29301
5wuk_ligand,56,17684.7
5wuk_ligand,57,32920.7
5wuk_ligand,58,21356.2
5wuk_ligand,59,26693.6
5wuk_ligand,60,32209.8
5wuk_ligand,61,22738.7
5wuk_ligand,62,20589.2
5wuk_ligand,63,22412
5wuk_ligand,64,22900.9
5wuk_ligand,65,29928.7
5wuk_ligand,66,24777.7
5wuk_ligand,67,32530.3
5wuk_ligand,68,24418
5wuk_ligand,69,15612.3
5wuk_ligand,70,25241.9
5wuk_ligand,71,26881.7
5wuk_ligand,72,32719.2
5wuk_ligand,73,30099.8
5wuk_ligand,74,27119.2
5wuk_ligand,75,23924.7
5wuk_ligand,76,14564.8
5wuk_ligand,77,14687.9
5wuk_ligand,78,15124
5wuk_ligand,79,14585.7
5wuk_ligand,80,12861.1
5wuk_ligand,81,13131.3
5wuk_ligand,82,12370.1
5wuk_ligand,83,13281.9
5wuk_ligand,84,13735.4
5wuk_ligand,85,17166.6
5wuk_ligand,86,14324.2
5wuk_ligand,87,12758.9
5wuk_ligand,88,18119.1
5wuk_ligand,89,21297.1
5wuk_ligand,90,13004.1
5wuk_ligand,91,12080.2
5wuk_ligand,92,24579.2
5wuk_ligand,93,22725.9
5wuk_ligand,94,12966.7
5wuk_ligand,95,21989.5
5wuk_ligand,96,18310.6
5wuk_ligand,97,36081.4
5wuk_ligand,98,28119.5
5wuk_ligand,99,34364.1
5wuk_ligand,100,73565
5wuk_ligand,101,64282.1
5wuk_ligand,102,14854
5wuk_ligand,103,9238.88
5wuk_ligand,104,8683.39
5wuk_ligand,105,9511.27
5wuk_ligand,106,9122.36
5wuk_ligand,107,8044.71
5wuk_ligand,108,8647.05
5wuk_ligand,109,8002.31
5wuk_ligand,110,8257.08
5wuk_ligand,111,7809.14
5wuk_ligand,112,9709.85
5wuk_ligand,113,8156.04
5wuk_ligand,114,8728.98
5wuk_ligand,115,7658.19
5wuk_ligand,116,7247.44
5wuk_ligand,117,7525.96
5wuk_ligand,118,7905.4
5wuk_ligand,119,10325.8
5wuk_ligand,120,10646.3
5wuk_ligand,121,12075.7
5wuk_ligand,122,13436.6
5wuk_ligand,123,8798.04
5wuk_ligand,124,9067.55
5wuk_ligand,125,18540.4
5wuk_ligand,126,30925.2
5wuk_ligand,127,10328
5wuk_ligand,128,12486.9
5wuk_ligand,129,7636.95
5wuk_ligand,130,7214.24
5wuk_ligand,131,7198.56
5wuk_ligand,132,7906.38
5wuk_ligand,133,7112.8
5wuk_ligand,134,8209.2
5wuk_ligand,135,6765.86
5wuk_ligand,136,7163.54
5wuk_ligand,137,7795.89
5wuk_ligand,138,9011.22
5wuk_ligand,139,8259.61
5wuk_ligand,140,8062.06
5wuk_ligand,141,8717.83
5wuk_ligand,142,10278.5
5wuk_ligand,143,11051.4
5wuk_ligand,144,9537.05
5wuk_ligand,145,12044.5
5wuk_ligand,146,16619.7
5wuk_ligand,147,22900.5
5wuk_ligand,148,10633.4
5wuk_ligand,149,8835.05
5wuk_ligand,150,11226.6
5wuk_ligand,151,12909.1
5wuk_ligand,152,14956.2
5wuk_ligand,153,7259.05
5wuk_ligand,154,6383.71
5wuk_ligand,155,6611.25
5wuk_ligand,156,6237.92
5wuk_ligand,157,6678.75
5wuk_ligand,158,6827.85
5wuk_ligand,159,5904.85
5wuk_ligand,160,6860.08
5wuk_ligand,161,6436.63
5wuk_ligand,162,7994.81
5wuk_ligand,163,16368.2
5wuk_ligand,164,13298.8
5wuk_ligand,165,12747
5wuk_ligand,166,18924.7
5wuk_ligand,167,48906.2
5wuk_ligand,168,51826.5
5wuk_ligand,169,32604.2
5wuk_ligand,170,8879.46
5wuk_ligand,171,6953.17
5wuk_ligand,172,6529.83
5wuk_ligand,173,6652.13
5wuk_ligand,174,6265.51
5wuk_ligand,175,6428.63
5wuk_ligand,176,6444.59
5wuk_ligand,177,6069.82
5wuk_ligand,178,6307.19
5wuk_ligand,179,6091.57
5wuk_ligand,180,6136.41
5wuk_ligand,181,6194.16
5wuk_ligand,182,6193.99
5wuk_ligand,183,6143.14
5wuk_ligand,184,7489.74
5wuk_ligand,185,6919.41
5wuk_ligand,186,5826.72
5wuk_ligand,187,6087.37
5wuk_ligand,188,5851.74
5wuk_ligand,189,8699.44
5wuk_ligand,190,18648
5wuk_ligand,191,16063.4
5wuk_ligand,192,12545.9
5wuk_ligand,193,10904.1
5wuk_ligand,194,6108.31
5wuk_ligand,195,6202.03
5wuk_ligand,196,6194.18
5wuk_ligand,197,6684.97
5wuk_ligand,198,6389.19
5wuk_ligand,199,6452.5
5wuk_ligand,200,6250.5
5wuk_ligand,201,6476.41
5wuk_ligand,202,6415.21
5wuk_ligand,203,5764.7
5wuk_ligand,204,6290.73
5wuk_ligand,205,6202.36
5wuk_ligand,206,7169.79
5wuk_ligand,207,5802.64
5wuk_ligand,208,7121.32
5wuk_ligand,209,11469.3
5wuk_ligand,210,10127.6
5wuk_ligand,211,8033.13
5wuk_ligand,212,8259.34
5wuk_ligand,213,6920.92
5wuk_ligand,214,10878.7
5wuk_ligand,215,12081.6
5wuk_ligand,216,8106.48
5wuk_ligand,217,7659.55
5wuk_ligand,218,8347.95
5wuk_ligand,219,6697.08
5wuk_ligand,220,6516.04
5wuk_ligand,221,6501.75
5wuk_ligand,222,6474.82
5wuk_ligand,223,7952.19
5wuk_ligand,224,23803.4
5wuk_ligand,225,35994.4
5wuk_ligand,226,37358.8
5wuk_ligand,227,27551.9
5wuk_ligand,228,13019.5
5wuk_ligand,229,6081.63
5wuk_ligand,230,6050.85
5wuk_ligand,231,6207.11
5wuk_ligand,232,5779.9
5wuk_ligand,233,6102.68
5wuk_ligand,234,5482.74
5wuk_ligand,235,5721.61
5wuk_ligand,236,5522.38
5wuk_ligand,237,5662.26
5wuk_ligand,238,5630.47
5wuk_ligand,239,6385.16
5wuk_ligand,240,6436.58
5wuk_ligand,241,6331.39
5wuk_ligand,242,5879.77
5wuk_ligand,243,6072.63
5wuk_ligand,244,6140.65
5wuk_ligand,245,6837.72
5wuk_ligand,246,5564.2
5wuk_ligand,247,5427.46
5wuk_ligand,248,5187.88
5wuk_ligand,249,5876.31
5wuk_ligand,250,6782.53
5wuk_ligand,251,6965.05
5wuk_ligand,252,7916.53
5wuk_ligand,253,5678.57
5wuk_ligand,254,5317.15
5wuk_ligand,255,7860.86
5wuk_ligand,256,9720.31
5wuk_ligand,257,7934.93
5wuk_ligand,258,10575.9
5wuk_ligand,259,12113.6
5wuk_ligand,260,9508.44
5wuk_ligand,261,17178.3
5wuk_ligand,262,12643.5
5wuk_ligand,263,5589.79
5wuk_ligand,264,6501.16
5wuk_ligand,265,7488.34
5wuk_ligand,266,8790.05
5wuk_ligand,267,6999.89
5wuk_ligand,268,4998.92
5wuk_ligand,269,7251.02
5wuk_ligand,270,6069.43
