ligand,iteration,com_distance
1hii_ligand,0,0
1hii_ligand,1,0.395062
1hii_ligand,2,0.365199
1hii_ligand,3,0.558923
1hii_ligand,4,0.496985
1hii_ligand,5,0.444145
1hii_ligand,6,0.460604
1hii_ligand,7,0.602509
1hii_ligand,8,0.283684
1hii_ligand,9,0.637601
1hii_ligand,10,0.284693
1hii_ligand,11,0.650532
1hii_ligand,12,0.424797
1hii_ligand,13,0.598025
1hii_ligand,14,0.347875
1hii_ligand,15,0.634916
1hii_ligand,16,0.35055
1hii_ligand,17,0.572803
1hii_ligand,18,0.294605
1hii_ligand,19,0.656752
1hii_ligand,20,0.554894
1hii_ligand,21,0.41325
1hii_ligand,22,0.671879
1hii_ligand,23,0.40559
1hii_ligand,24,0.724828
1hii_ligand,25,0.43924
1hii_ligand,26,0.525576
1hii_ligand,27,0.614984
1hii_ligand,28,0.322901
1hii_ligand,29,0.911741
1hii_ligand,30,1.05009
1hii_ligand,31,1.46731
1hii_ligand,32,1.6254
1hii_ligand,33,1.80605
1hii_ligand,34,1.7092
1hii_ligand,35,1.77997
1hii_ligand,36,1.42392
1hii_ligand,37,1.72116
1hii_ligand,38,1.57452
1hii_ligand,39,1.85059
1hii_ligand,40,1.41362
1hii_ligand,41,1.88601
1hii_ligand,42,1.77769
1hii_ligand,43,1.8707
1hii_ligand,44,1.65178
1hii_ligand,45,1.83107
1hii_ligand,46,1.73245
1hii_ligand,47,1.89502
1hii_ligand,48,1.71737
1hii_ligand,49,1.82575
1hii_ligand,50,1.51493
1hii_ligand,51,1.74223
1hii_ligand,52,1.62063
1hii_ligand,53,1.72306
1hii_ligand,54,1.7118
1hii_ligand,55,1.75996
1hii_ligand,56,1.47617
1hii_ligand,57,1.90336
1hii_ligand,58,1.61705
1hii_ligand,59,1.78404
1hii_ligand,60,1.66207
1hii_ligand,61,1.86765
1hii_ligand,62,1.71721
1hii_ligand,63,1.64863
1hii_ligand,64,1.81394
1hii_ligand,65,1.79896
1hii_ligand,66,1.62473
1hii_ligand,67,1.69282
1hii_ligand,68,1.63738
1hii_ligand,69,1.68537
1hii_ligand,70,1.93183
1hii_ligand,71,1.94748
1hii_ligand,72,1.67162
1hii_ligand,73,1.84239
1hii_ligand,74,1.61316
1hii_ligand,75,1.76186
1hii_ligand,76,1.61807
1hii_ligand,77,1.79722
1hii_ligand,78,1.5996
1hii_ligand,79,1.82378
1hii_ligand,80,1.59078
1hii_ligand,81,1.75058
1hii_ligand,82,1.81406
1hii_ligand,83,1.94695
1hii_ligand,84,1.60694
1hii_ligand,85,1.86203
1hii_ligand,86,1.61898
1hii_ligand,87,1.73804
1hii_ligand,88,1.72526
1hii_ligand,89,1.60814
1hii_ligand,90,1.90158
1hii_ligand,91,1.89342
1hii_ligand,92,1.50942
1hii_ligand,93,1.85146
1hii_ligand,94,1.70986
1hii_ligand,95,1.76345
1hii_ligand,96,1.93093
1hii_ligand,97,1.82865
1hii_ligand,98,1.61593
1hii_ligand,99,1.67795
1hii_ligand,100,1.91666
1hii_ligand,101,1.81805
1hii_ligand,102,1.62294
1hii_ligand,103,1.77293
1hii_ligand,104,1.6764
1hii_ligand,105,1.77713
1hii_ligand,106,1.90766
1hii_ligand,107,1.99132
1hii_ligand,108,1.72768
1hii_ligand,109,1.71934
1hii_ligand,110,1.79758
1hii_ligand,111,1.87547
1hii_ligand,112,1.84533
1hii_ligand,113,2.03917
1hii_ligand,114,1.61245
1hii_ligand,115,1.75854
1hii_ligand,116,1.60606
1hii_ligand,117,1.57414
1hii_ligand,118,1.79835
1hii_ligand,119,1.75714
1hii_ligand,120,1.6763
1hii_ligand,121,1.85134
1hii_ligand,122,1.75825
1hii_ligand,123,1.95836
1hii_ligand,124,1.87115
1hii_ligand,125,1.84078
1hii_ligand,126,1.89502
1hii_ligand,127,1.7212
1hii_ligand,128,1.79229
1hii_ligand,129,1.71442
1hii_ligand,130,1.6521
1hii_ligand,131,1.64061
1hii_ligand,132,1.67366
1hii_ligand,133,1.75629
1hii_ligand,134,1.66042
1hii_ligand,135,1.84119
1hii_ligand,136,1.80193
1hii_ligand,137,1.76897
1hii_ligand,138,1.79925
1hii_ligand,139,1.78476
1hii_ligand,140,1.82
1hii_ligand,141,1.6626
1hii_ligand,142,1.82629
1hii_ligand,143,1.60784
1hii_ligand,144,1.7841
1hii_ligand,145,1.45415
1hii_ligand,146,1.74026
1hii_ligand,147,1.509
1hii_ligand,148,1.7299
1hii_ligand,149,1.68616
1hii_ligand,150,1.8422
1hii_ligand,151,1.89537
1hii_ligand,152,1.90513
1hii_ligand,153,1.64784
1hii_ligand,154,1.72069
1hii_ligand,155,1.63529
1hii_ligand,156,1.79557
1hii_ligand,157,1.82936
1hii_ligand,158,1.77763
1hii_ligand,159,1.67042
1hii_ligand,160,1.80129
1hii_ligand,161,1.85408
1hii_ligand,162,1.93767
1hii_ligand,163,1.71254
1hii_ligand,164,1.75684
1hii_ligand,165,1.81534
1hii_ligand,166,1.87595
1hii_ligand,167,1.8685
1hii_ligand,168,1.59646
1hii_ligand,169,1.98025
1hii_ligand,170,1.50522
1hii_ligand,171,1.80636
1hii_ligand,172,1.52022
1hii_ligand,173,1.84015
1hii_ligand,174,1.48444
1hii_ligand,175,1.7233
1hii_ligand,176,1.64508
1hii_ligand,177,1.72321
1hii_ligand,178,1.8423
1hii_ligand,179,1.85415
1hii_ligand,180,1.83633
1hii_ligand,181,1.68432
1hii_ligand,182,1.73802
1hii_ligand,183,1.83005
1hii_ligand,184,1.7775
1hii_ligand,185,1.91158
1hii_ligand,186,1.85357
1hii_ligand,187,1.65388
1hii_ligand,188,1.80016
1hii_ligand,189,1.76679
1hii_ligand,190,1.76209
1hii_ligand,191,1.86854
