ligand,iteration,com_distance
3udd_ligand,0,0
3udd_ligand,1,0.379139
3udd_ligand,2,0.441231
3udd_ligand,3,0.47112
3udd_ligand,4,0.354212
3udd_ligand,5,0.368854
3udd_ligand,6,0.479847
3udd_ligand,7,0.532216
3udd_ligand,8,0.336859
3udd_ligand,9,0.640155
3udd_ligand,10,0.422048
3udd_ligand,11,0.584037
3udd_ligand,12,0.458449
3udd_ligand,13,0.608659
3udd_ligand,14,0.496973
3udd_ligand,15,0.657043
3udd_ligand,16,0.55513
3udd_ligand,17,0.690312
3udd_ligand,18,0.508504
3udd_ligand,19,0.653001
3udd_ligand,20,0.565809
3udd_ligand,21,0.730686
3udd_ligand,22,0.60912
3udd_ligand,23,0.612286
3udd_ligand,24,0.5804
3udd_ligand,25,0.718394
3udd_ligand,26,0.591551
3udd_ligand,27,0.494311
3udd_ligand,28,0.753059
3udd_ligand,29,0.603959
3udd_ligand,30,0.71121
3udd_ligand,31,0.563985
3udd_ligand,32,0.578761
3udd_ligand,33,0.644642
3udd_ligand,34,0.816343
3udd_ligand,35,0.291948
3udd_ligand,36,0.77776
3udd_ligand,37,0.69259
3udd_ligand,38,0.809483
3udd_ligand,39,0.571358
3udd_ligand,40,0.720724
3udd_ligand,41,0.537709
3udd_ligand,42,0.757611
3udd_ligand,43,0.487639
3udd_ligand,44,0.660512
3udd_ligand,45,0.636991
3udd_ligand,46,0.712884
3udd_ligand,47,0.682249
3udd_ligand,48,0.69308
3udd_ligand,49,0.528202
3udd_ligand,50,0.594913
3udd_ligand,51,0.701065
3udd_ligand,52,0.73052
3udd_ligand,53,0.38195
3udd_ligand,54,0.757705
3udd_ligand,55,0.448418
3udd_ligand,56,0.625809
3udd_ligand,57,0.622414
3udd_ligand,58,0.719758
3udd_ligand,59,0.416584
3udd_ligand,60,0.7527
3udd_ligand,61,0.501436
3udd_ligand,62,0.717523
3udd_ligand,63,0.616878
3udd_ligand,64,0.849289
3udd_ligand,65,0.288307
3udd_ligand,66,1.02851
3udd_ligand,67,0.550942
3udd_ligand,68,0.765561
3udd_ligand,69,0.426459
3udd_ligand,70,0.761447
3udd_ligand,71,0.661423
3udd_ligand,72,0.712014
3udd_ligand,73,0.516806
3udd_ligand,74,0.560989
3udd_ligand,75,0.747867
3udd_ligand,76,0.587468
3udd_ligand,77,0.64581
3udd_ligand,78,0.595421
3udd_ligand,79,0.50198
3udd_ligand,80,0.743228
3udd_ligand,81,0.703285
3udd_ligand,82,0.372823
3udd_ligand,83,0.818521
3udd_ligand,84,0.447615
3udd_ligand,85,0.613152
3udd_ligand,86,0.667801
3udd_ligand,87,0.553919
3udd_ligand,88,0.728825
3udd_ligand,89,0.643321
3udd_ligand,90,0.681513
3udd_ligand,91,0.731192
3udd_ligand,92,0.747652
3udd_ligand,93,0.626675
3udd_ligand,94,0.737874
3udd_ligand,95,0.436215
3udd_ligand,96,0.629625
3udd_ligand,97,0.728829
3udd_ligand,98,0.812953
3udd_ligand,99,0.398797
3udd_ligand,100,0.80356
3udd_ligand,101,0.470066
3udd_ligand,102,0.914944
3udd_ligand,103,0.544564
3udd_ligand,104,0.672813
3udd_ligand,105,0.532276
3udd_ligand,106,0.565268
3udd_ligand,107,0.738385
3udd_ligand,108,0.724014
3udd_ligand,109,0.465827
3udd_ligand,110,0.679497
3udd_ligand,111,0.642205
3udd_ligand,112,0.602656
3udd_ligand,113,0.700207
3udd_ligand,114,0.71592
3udd_ligand,115,0.602667
3udd_ligand,116,0.657282
3udd_ligand,117,0.504003
3udd_ligand,118,0.803134
3udd_ligand,119,0.443182
3udd_ligand,120,0.424062
3udd_ligand,121,0.83672
3udd_ligand,122,0.54489
3udd_ligand,123,0.713582
3udd_ligand,124,0.703788
3udd_ligand,125,0.460846
3udd_ligand,126,0.740466
3udd_ligand,127,0.540036
3udd_ligand,128,0.594669
3udd_ligand,129,0.631743
3udd_ligand,130,0.620898
3udd_ligand,131,0.62289
3udd_ligand,132,0.757677
3udd_ligand,133,0.519247
3udd_ligand,134,0.70173
3udd_ligand,135,0.526741
3udd_ligand,136,0.759772
3udd_ligand,137,0.574577
3udd_ligand,138,0.584316
3udd_ligand,139,0.624634
3udd_ligand,140,0.740385
3udd_ligand,141,0.508794
3udd_ligand,142,0.727872
3udd_ligand,143,0.640848
3udd_ligand,144,0.76527
3udd_ligand,145,0.535177
3udd_ligand,146,0.67373
3udd_ligand,147,0.656093
3udd_ligand,148,0.610008
3udd_ligand,149,0.59424
3udd_ligand,150,0.650668
3udd_ligand,151,0.693057
3udd_ligand,152,0.679778
3udd_ligand,153,0.709401
3udd_ligand,154,0.45075
3udd_ligand,155,0.738699
3udd_ligand,156,0.710051
3udd_ligand,157,0.67541
3udd_ligand,158,0.648457
3udd_ligand,159,0.489866
3udd_ligand,160,0.700045
3udd_ligand,161,0.743235
3udd_ligand,162,0.611618
3udd_ligand,163,0.677745
3udd_ligand,164,0.46032
3udd_ligand,165,0.7753
3udd_ligand,166,0.534637
3udd_ligand,167,0.807813
3udd_ligand,168,0.464569
3udd_ligand,169,0.751634
3udd_ligand,170,0.6058
3udd_ligand,171,0.757542
3udd_ligand,172,0.484302
3udd_ligand,173,0.667774
3udd_ligand,174,0.694376
3udd_ligand,175,0.700682
3udd_ligand,176,0.46885
3udd_ligand,177,0.652009
3udd_ligand,178,0.680069
3udd_ligand,179,0.53763
3udd_ligand,180,0.545224
3udd_ligand,181,0.629074
3udd_ligand,182,0.671971
3udd_ligand,183,0.704699
3udd_ligand,184,0.700416
3udd_ligand,185,0.56878
3udd_ligand,186,0.607624
3udd_ligand,187,0.627858
3udd_ligand,188,0.733852
3udd_ligand,189,0.458575
3udd_ligand,190,0.632032
3udd_ligand,191,0.679519
3udd_ligand,192,0.608998
3udd_ligand,193,0.580986
3udd_ligand,194,0.782088
3udd_ligand,195,0.528073
3udd_ligand,196,0.549782
3udd_ligand,197,0.656091
3udd_ligand,198,0.69622
3udd_ligand,199,0.547877
3udd_ligand,200,0.610698
3udd_ligand,201,0.646807
3udd_ligand,202,0.70983
3udd_ligand,203,0.580292
3udd_ligand,204,0.722703
3udd_ligand,205,0.469205
3udd_ligand,206,0.673984
3udd_ligand,207,0.621655
3udd_ligand,208,0.668842
3udd_ligand,209,0.666825
3udd_ligand,210,0.44791
3udd_ligand,211,0.83095
3udd_ligand,212,0.596295
3udd_ligand,213,0.664303
3udd_ligand,214,0.488559
3udd_ligand,215,0.732902
3udd_ligand,216,0.644091
3udd_ligand,217,0.687298
3udd_ligand,218,0.732317
3udd_ligand,219,0.417454
3udd_ligand,220,0.794489
3udd_ligand,221,0.419142
3udd_ligand,222,0.698973
3udd_ligand,223,0.679653
3udd_ligand,224,0.671262
3udd_ligand,225,0.553759
3udd_ligand,226,0.543014
3udd_ligand,227,0.634294
3udd_ligand,228,0.645364
3udd_ligand,229,0.582224
3udd_ligand,230,0.607774
3udd_ligand,231,0.405471
3udd_ligand,232,0.852171
3udd_ligand,233,0.457629
3udd_ligand,234,0.603445
3udd_ligand,235,0.694179
3udd_ligand,236,0.663678
3udd_ligand,237,0.512105
3udd_ligand,238,0.788996
3udd_ligand,239,0.499212
3udd_ligand,240,0.598463
3udd_ligand,241,0.471775
3udd_ligand,242,0.830446
3udd_ligand,243,0.522727
3udd_ligand,244,0.540724
3udd_ligand,245,0.754227
3udd_ligand,246,0.70589
3udd_ligand,247,0.497317
3udd_ligand,248,0.594672
3udd_ligand,249,0.762976
3udd_ligand,250,0.571436
3udd_ligand,251,0.513926
3udd_ligand,252,0.791748
3udd_ligand,253,0.551638
3udd_ligand,254,0.551629
3udd_ligand,255,0.681607
3udd_ligand,256,0.719651
3udd_ligand,257,0.572367
3udd_ligand,258,0.619974
3udd_ligand,259,0.46333
3udd_ligand,260,0.682958
3udd_ligand,261,0.712213
3udd_ligand,262,0.84762
3udd_ligand,263,0.472861
3udd_ligand,264,0.827309
3udd_ligand,265,0.607386
3udd_ligand,266,0.705508
3udd_ligand,267,0.429298
3udd_ligand,268,0.860524
3udd_ligand,269,0.429592
3udd_ligand,270,0.783894
3udd_ligand,271,0.580793
3udd_ligand,272,0.800652
3udd_ligand,273,0.449845
3udd_ligand,274,0.662751
3udd_ligand,275,0.703699
3udd_ligand,276,0.721271
3udd_ligand,277,0.494598
3udd_ligand,278,0.509948
3udd_ligand,279,0.582332
3udd_ligand,280,0.614832
3udd_ligand,281,0.436788
3udd_ligand,282,0.810573
3udd_ligand,283,0.454484
3udd_ligand,284,0.732234
3udd_ligand,285,0.645641
3udd_ligand,286,0.720011
3udd_ligand,287,0.453079
3udd_ligand,288,0.809442
3udd_ligand,289,0.576027
3udd_ligand,290,0.697501
3udd_ligand,291,0.480743
3udd_ligand,292,0.690954
3udd_ligand,293,0.654096
3udd_ligand,294,0.564416
3udd_ligand,295,0.608376
3udd_ligand,296,0.552433
3udd_ligand,297,0.645539
3udd_ligand,298,0.667101
3udd_ligand,299,0.724909
3udd_ligand,300,0.523932
3udd_ligand,301,0.630649
3udd_ligand,302,0.61779
3udd_ligand,303,0.65148
3udd_ligand,304,0.822439
3udd_ligand,305,0.404387
3udd_ligand,306,0.82712
3udd_ligand,307,0.452396
3udd_ligand,308,0.760403
3udd_ligand,309,0.6455
3udd_ligand,310,0.723379
3udd_ligand,311,0.476153
3udd_ligand,312,0.829848
3udd_ligand,313,0.467009
3udd_ligand,314,0.744916
3udd_ligand,315,0.5045
3udd_ligand,316,0.503884
3udd_ligand,317,0.777654
3udd_ligand,318,0.59622
3udd_ligand,319,0.65906
3udd_ligand,320,0.676269
3udd_ligand,321,0.571356
3udd_ligand,322,0.543093
3udd_ligand,323,0.658344
3udd_ligand,324,0.573591
3udd_ligand,325,0.655097
3udd_ligand,326,0.665306
3udd_ligand,327,0.671393
3udd_ligand,328,0.523728
3udd_ligand,329,0.518895
3udd_ligand,330,0.777573
3udd_ligand,331,0.463149
3udd_ligand,332,0.566729
3udd_ligand,333,0.875474
3udd_ligand,334,0.538339
3udd_ligand,335,0.478594
3udd_ligand,336,0.790528
3udd_ligand,337,0.444617
3udd_ligand,338,0.681907
3udd_ligand,339,0.417055
3udd_ligand,340,0.837222
3udd_ligand,341,0.472452
3udd_ligand,342,0.739016
3udd_ligand,343,0.641958
3udd_ligand,344,0.728597
3udd_ligand,345,0.459559
3udd_ligand,346,0.672829
3udd_ligand,347,0.685403
3udd_ligand,348,0.594103
3udd_ligand,349,0.630081
3udd_ligand,350,0.525112
3udd_ligand,351,0.839982
3udd_ligand,352,0.355666
3udd_ligand,353,0.898867
3udd_ligand,354,0.4426
3udd_ligand,355,0.67257
3udd_ligand,356,0.593789
3udd_ligand,357,0.441695
3udd_ligand,358,0.85998
3udd_ligand,359,0.41718
3udd_ligand,360,0.824125
3udd_ligand,361,0.455405
3udd_ligand,362,0.611529
3udd_ligand,363,0.738443
3udd_ligand,364,0.561896
3udd_ligand,365,0.710662
3udd_ligand,366,0.563713
3udd_ligand,367,0.698803
3udd_ligand,368,0.837819
3udd_ligand,369,0.547926
3udd_ligand,370,0.579743
3udd_ligand,371,0.459675
3udd_ligand,372,0.774835
3udd_ligand,373,0.657704
3udd_ligand,374,0.730352
3udd_ligand,375,0.453942
3udd_ligand,376,0.716881
3udd_ligand,377,0.376726
3udd_ligand,378,0.779535
3udd_ligand,379,0.482389
3udd_ligand,380,0.699864
3udd_ligand,381,0.611511
3udd_ligand,382,0.656857
3udd_ligand,383,0.61642
3udd_ligand,384,0.69355
3udd_ligand,385,0.439497
3udd_ligand,386,0.72514
3udd_ligand,387,0.353772
3udd_ligand,388,0.783497
3udd_ligand,389,0.487683
3udd_ligand,390,0.700966
3udd_ligand,391,0.499458
3udd_ligand,392,0.63414
3udd_ligand,393,0.651974
3udd_ligand,394,0.645624
3udd_ligand,395,0.482243
3udd_ligand,396,0.622686
3udd_ligand,397,0.655512
3udd_ligand,398,0.694923
3udd_ligand,399,0.522651
3udd_ligand,400,0.658131
3udd_ligand,401,0.617384
3udd_ligand,402,0.655371
3udd_ligand,403,0.640341
3udd_ligand,404,0.804978
3udd_ligand,405,0.44521
3udd_ligand,406,0.816929
3udd_ligand,407,0.642395
3udd_ligand,408,0.708871
3udd_ligand,409,0.447906
3udd_ligand,410,0.730229
3udd_ligand,411,0.555361
3udd_ligand,412,0.652047
3udd_ligand,413,0.698844
3udd_ligand,414,0.685759
3udd_ligand,415,0.356946
3udd_ligand,416,0.888095
3udd_ligand,417,0.437524
3udd_ligand,418,0.713305
3udd_ligand,419,0.431069
3udd_ligand,420,0.832209
3udd_ligand,421,0.446033
3udd_ligand,422,0.605273
3udd_ligand,423,0.887206
3udd_ligand,424,0.422698
3udd_ligand,425,0.850399
3udd_ligand,426,0.495297
3udd_ligand,427,0.420079
3udd_ligand,428,0.90197
3udd_ligand,429,0.499558
3udd_ligand,430,0.609665
3udd_ligand,431,0.5788
3udd_ligand,432,0.474035
3udd_ligand,433,0.589234
3udd_ligand,434,0.587665
3udd_ligand,435,0.681019
3udd_ligand,436,0.751413
3udd_ligand,437,0.440216
3udd_ligand,438,0.622993
3udd_ligand,439,0.721712
3udd_ligand,440,0.486544
3udd_ligand,441,0.693852
3udd_ligand,442,0.669923
3udd_ligand,443,0.60798
3udd_ligand,444,0.634338
3udd_ligand,445,0.482645
3udd_ligand,446,0.642326
3udd_ligand,447,0.692772
3udd_ligand,448,0.764585
3udd_ligand,449,0.422002
3udd_ligand,450,0.850781
3udd_ligand,451,0.412739
3udd_ligand,452,0.866407
3udd_ligand,453,0.406057
3udd_ligand,454,0.841546
3udd_ligand,455,0.366833
3udd_ligand,456,0.811241
3udd_ligand,457,0.300086
3udd_ligand,458,0.812238
3udd_ligand,459,0.454676
3udd_ligand,460,0.62956
3udd_ligand,461,0.6398
3udd_ligand,462,0.461622
3udd_ligand,463,0.667534
3udd_ligand,464,0.610571
3udd_ligand,465,0.728364
3udd_ligand,466,0.420952
3udd_ligand,467,0.894361
3udd_ligand,468,0.370912
3udd_ligand,469,0.718955
3udd_ligand,470,0.563437
3udd_ligand,471,0.819322
3udd_ligand,472,0.644214
3udd_ligand,473,0.661882
3udd_ligand,474,0.473723
3udd_ligand,475,0.478864
3udd_ligand,476,0.665542
3udd_ligand,477,0.635077
3udd_ligand,478,0.470361
3udd_ligand,479,0.650966
3udd_ligand,480,0.569099
3udd_ligand,481,0.709054
3udd_ligand,482,0.423843
3udd_ligand,483,0.628278
3udd_ligand,484,0.617269
3udd_ligand,485,0.621728
3udd_ligand,486,0.723728
3udd_ligand,487,0.442891
3udd_ligand,488,0.789459
3udd_ligand,489,0.430262
3udd_ligand,490,0.759076
3udd_ligand,491,0.582967
3udd_ligand,492,0.684195
3udd_ligand,493,0.814428
3udd_ligand,494,0.519146
3udd_ligand,495,0.720352
3udd_ligand,496,0.515979
