ligand,iteration,com_distance
1fkb_ligand,1,0
1fkb_ligand,2,0.00389143
1fkb_ligand,3,0.00800653
1fkb_ligand,4,0.0123541
1fkb_ligand,5,0.0167971
1fkb_ligand,6,0.0213317
1fkb_ligand,7,0.0259758
1fkb_ligand,8,0.0307685
1fkb_ligand,9,0.035681
1fkb_ligand,10,0.0405822
1fkb_ligand,11,0.0455815
1fkb_ligand,12,0.0508436
1fkb_ligand,13,0.0561964
1fkb_ligand,14,0.0616381
1fkb_ligand,15,0.0671989
1fkb_ligand,16,0.0728401
1fkb_ligand,17,0.0785702
1fkb_ligand,18,0.0842757
1fkb_ligand,19,0.0899887
1fkb_ligand,20,0.0958528
1fkb_ligand,21,0.101779
1fkb_ligand,22,0.107798
1fkb_ligand,23,0.113851
1fkb_ligand,24,0.119981
1fkb_ligand,25,0.126173
1fkb_ligand,26,0.132383
1fkb_ligand,27,0.13855
1fkb_ligand,28,0.144682
1fkb_ligand,29,0.150825
1fkb_ligand,30,0.157069
1fkb_ligand,31,0.16338
1fkb_ligand,32,0.169697
1fkb_ligand,33,0.176071
1fkb_ligand,34,0.182618
1fkb_ligand,35,0.189227
1fkb_ligand,36,0.195737
1fkb_ligand,37,0.202305
1fkb_ligand,38,0.208919
1fkb_ligand,39,0.215626
1fkb_ligand,40,0.222402
1fkb_ligand,41,0.2293
1fkb_ligand,42,0.229411
1fkb_ligand,43,0.236175
1fkb_ligand,44,0.242859
1fkb_ligand,45,0.242994
1fkb_ligand,46,0.249666
1fkb_ligand,47,0.249817
1fkb_ligand,48,0.256176
1fkb_ligand,49,0.26255
1fkb_ligand,50,0.262719
1fkb_ligand,51,0.269045
1fkb_ligand,52,0.275251
1fkb_ligand,53,0.275516
1fkb_ligand,54,0.281589
1fkb_ligand,55,0.287607
1fkb_ligand,56,0.28787
1fkb_ligand,57,0.293708
1fkb_ligand,58,0.2997
1fkb_ligand,59,0.30561
1fkb_ligand,60,0.306109
1fkb_ligand,61,0.31193
1fkb_ligand,62,0.316233
1fkb_ligand,63,0.315495
1fkb_ligand,64,0.319568
1fkb_ligand,65,0.323549
1fkb_ligand,66,0.327556
1fkb_ligand,67,0.32693
1fkb_ligand,68,0.330923
1fkb_ligand,69,0.334868
1fkb_ligand,70,0.334588
1fkb_ligand,71,0.338495
1fkb_ligand,72,0.34194
1fkb_ligand,73,0.345412
1fkb_ligand,74,0.344963
1fkb_ligand,75,0.346334
1fkb_ligand,76,0.347688
1fkb_ligand,77,0.348941
1fkb_ligand,78,0.346525
1fkb_ligand,79,0.347736
1fkb_ligand,80,0.348929
1fkb_ligand,81,0.35015
1fkb_ligand,82,0.348012
1fkb_ligand,83,0.349217
1fkb_ligand,84,0.350526
1fkb_ligand,85,0.351876
1fkb_ligand,86,0.349953
1fkb_ligand,87,0.351299
1fkb_ligand,88,0.352704
1fkb_ligand,89,0.351003
1fkb_ligand,90,0.352297
1fkb_ligand,91,0.353812
1fkb_ligand,92,0.355156
1fkb_ligand,93,0.353955
1fkb_ligand,94,0.355372
1fkb_ligand,95,0.356798
1fkb_ligand,96,0.358149
1fkb_ligand,97,0.357117
1fkb_ligand,98,0.358527
1fkb_ligand,99,0.359925
1fkb_ligand,100,0.361856
1fkb_ligand,101,0.360395
1fkb_ligand,102,0.362428
1fkb_ligand,103,0.363165
1fkb_ligand,104,0.364649
1fkb_ligand,105,0.361997
1fkb_ligand,106,0.363551
1fkb_ligand,107,0.365828
1fkb_ligand,108,0.365124
1fkb_ligand,109,0.363888
1fkb_ligand,110,0.366385
1fkb_ligand,111,0.366783
1fkb_ligand,112,0.365102
1fkb_ligand,113,0.365596
1fkb_ligand,114,0.366201
1fkb_ligand,115,0.367754
1fkb_ligand,116,0.365766
1fkb_ligand,117,0.367446
1fkb_ligand,118,0.37022
1fkb_ligand,119,0.369912
1fkb_ligand,120,0.368174
1fkb_ligand,121,0.367909
1fkb_ligand,122,0.371037
1fkb_ligand,123,0.371028
1fkb_ligand,124,0.369514
1fkb_ligand,125,0.369132
1fkb_ligand,126,0.371223
1fkb_ligand,127,0.374804
1fkb_ligand,128,0.369779
1fkb_ligand,129,0.370647
1fkb_ligand,130,0.374105
1fkb_ligand,131,0.374916
1fkb_ligand,132,0.373425
1fkb_ligand,133,0.374453
1fkb_ligand,134,0.375795
1fkb_ligand,135,0.375709
1fkb_ligand,136,0.373473
1fkb_ligand,137,0.375018
1fkb_ligand,138,0.376702
1fkb_ligand,139,0.376854
1fkb_ligand,140,0.374739
1fkb_ligand,141,0.376606
1fkb_ligand,142,0.378642
1fkb_ligand,143,0.378698
1fkb_ligand,144,0.378096
1fkb_ligand,145,0.380064
1fkb_ligand,146,0.378986
1fkb_ligand,147,0.379573
1fkb_ligand,148,0.378403
1fkb_ligand,149,0.380051
1fkb_ligand,150,0.381882
1fkb_ligand,151,0.379343
1fkb_ligand,152,0.382694
1fkb_ligand,153,0.3793
1fkb_ligand,154,0.379831
1fkb_ligand,155,0.378791
1fkb_ligand,156,0.379308
1fkb_ligand,157,0.37986
1fkb_ligand,158,0.380437
1fkb_ligand,159,0.37945
1fkb_ligand,160,0.381411
