ligand,iteration,standalone_ls_score
1fkb_ligand,1,-15.7972
1fkb_ligand,2,-15.8163
1fkb_ligand,3,-15.8368
1fkb_ligand,4,-15.8586
1fkb_ligand,5,-15.8809
1fkb_ligand,6,-15.9037
1fkb_ligand,7,-15.9272
1fkb_ligand,8,-15.9515
1fkb_ligand,9,-15.9759
1fkb_ligand,10,-16.0002
1fkb_ligand,11,-16.0255
1fkb_ligand,12,-16.0524
1fkb_ligand,13,-16.0799
1fkb_ligand,14,-16.1084
1fkb_ligand,15,-16.1384
1fkb_ligand,16,-16.1682
1fkb_ligand,17,-16.1982
1fkb_ligand,18,-16.2276
1fkb_ligand,19,-16.2568
1fkb_ligand,20,-16.2869
1fkb_ligand,21,-16.3173
1fkb_ligand,22,-16.3483
1fkb_ligand,23,-16.3796
1fkb_ligand,24,-16.4113
1fkb_ligand,25,-16.4431
1fkb_ligand,26,-16.4746
1fkb_ligand,27,-16.5061
1fkb_ligand,28,-16.5368
1fkb_ligand,29,-16.5679
1fkb_ligand,30,-16.5996
1fkb_ligand,31,-16.6314
1fkb_ligand,32,-16.6635
1fkb_ligand,33,-16.6962
1fkb_ligand,34,-16.7298
1fkb_ligand,35,-16.7628
1fkb_ligand,36,-16.7952
1fkb_ligand,37,-16.828
1fkb_ligand,38,-16.861
1fkb_ligand,39,-16.8948
1fkb_ligand,40,-16.9291
1fkb_ligand,41,-16.9523
1fkb_ligand,42,-16.9727
1fkb_ligand,43,-17.0064
1fkb_ligand,44,-17.0206
1fkb_ligand,45,-17.0453
1fkb_ligand,46,-17.0743
1fkb_ligand,47,-17.0795
1fkb_ligand,48,-17.1088
1fkb_ligand,49,-17.1325
1fkb_ligand,50,-17.1393
1fkb_ligand,51,-17.1675
1fkb_ligand,52,-17.1891
1fkb_ligand,53,-17.1942
1fkb_ligand,54,-17.2205
1fkb_ligand,55,-17.2432
1fkb_ligand,56,-17.2428
1fkb_ligand,57,-17.2675
1fkb_ligand,58,-17.2926
1fkb_ligand,59,-17.2975
1fkb_ligand,60,-17.3143
1fkb_ligand,61,-17.3349
1fkb_ligand,62,-17.3421
1fkb_ligand,63,-17.3401
1fkb_ligand,64,-17.3549
1fkb_ligand,65,-17.369
1fkb_ligand,66,-17.3656
1fkb_ligand,67,-17.3725
1fkb_ligand,68,-17.3867
1fkb_ligand,69,-17.3982
1fkb_ligand,70,-17.3902
1fkb_ligand,71,-17.4031
1fkb_ligand,72,-17.4144
1fkb_ligand,73,-17.42
1fkb_ligand,74,-17.4102
1fkb_ligand,75,-17.4174
1fkb_ligand,76,-17.4241
1fkb_ligand,77,-17.4208
1fkb_ligand,78,-17.4157
1fkb_ligand,79,-17.4224
1fkb_ligand,80,-17.4288
1fkb_ligand,81,-17.4211
1fkb_ligand,82,-17.4211
1fkb_ligand,83,-17.4274
1fkb_ligand,84,-17.4334
1fkb_ligand,85,-17.4215
1fkb_ligand,86,-17.4261
1fkb_ligand,87,-17.4317
1fkb_ligand,88,-17.4342
1fkb_ligand,89,-17.4246
1fkb_ligand,90,-17.4304
1fkb_ligand,91,-17.4358
1fkb_ligand,92,-17.4356
1fkb_ligand,93,-17.4293
1fkb_ligand,94,-17.4348
1fkb_ligand,95,-17.4402
1fkb_ligand,96,-17.4369
1fkb_ligand,97,-17.4341
1fkb_ligand,98,-17.4394
1fkb_ligand,99,-17.4446
1fkb_ligand,100,-17.4381
1fkb_ligand,101,-17.439
1fkb_ligand,102,-17.4437
1fkb_ligand,103,-17.4488
1fkb_ligand,104,-17.4402
1fkb_ligand,105,-17.4438
1fkb_ligand,106,-17.4484
1fkb_ligand,107,-17.4521
1fkb_ligand,108,-17.4425
1fkb_ligand,109,-17.448
1fkb_ligand,110,-17.4522
1fkb_ligand,111,-17.4543
1fkb_ligand,112,-17.447
1fkb_ligand,113,-17.4515
1fkb_ligand,114,-17.4561
1fkb_ligand,115,-17.4559
1fkb_ligand,116,-17.451
1fkb_ligand,117,-17.4552
1fkb_ligand,118,-17.4584
1fkb_ligand,119,-17.4574
1fkb_ligand,120,-17.4547
1fkb_ligand,121,-17.459
1fkb_ligand,122,-17.4622
1fkb_ligand,123,-17.4592
1fkb_ligand,124,-17.4587
1fkb_ligand,125,-17.4628
1fkb_ligand,126,-17.4668
1fkb_ligand,127,-17.46
1fkb_ligand,128,-17.462
1fkb_ligand,129,-17.4664
1fkb_ligand,130,-17.4695
1fkb_ligand,131,-17.4628
1fkb_ligand,132,-17.4639
1fkb_ligand,133,-17.4679
1fkb_ligand,134,-17.4717
1fkb_ligand,135,-17.4635
1fkb_ligand,136,-17.4677
1fkb_ligand,137,-17.4718
1fkb_ligand,138,-17.4746
1fkb_ligand,139,-17.4676
1fkb_ligand,140,-17.4718
1fkb_ligand,141,-17.4759
1fkb_ligand,142,-17.4771
1fkb_ligand,143,-17.4699
1fkb_ligand,144,-17.4739
1fkb_ligand,145,-17.478
1fkb_ligand,146,-17.4782
1fkb_ligand,147,-17.4738
1fkb_ligand,148,-17.4778
1fkb_ligand,149,-17.4818
1fkb_ligand,150,-17.4807
1fkb_ligand,151,-17.4771
1fkb_ligand,152,-17.4793
1fkb_ligand,153,-17.4833
1fkb_ligand,154,-17.4818
1fkb_ligand,155,-17.4792
1fkb_ligand,156,-17.483
1fkb_ligand,157,-17.4868
1fkb_ligand,158,-17.4844
1fkb_ligand,159,-17.4825
1fkb_ligand,160,-17.4849
1fkb_ligand,161,-17.4887
1fkb_ligand,162,-17.4858
1fkb_ligand,163,-17.4841
1fkb_ligand,164,-17.488
1fkb_ligand,165,-17.4917
1fkb_ligand,166,-17.4884
1fkb_ligand,167,-17.4874
1fkb_ligand,168,-17.4897
1fkb_ligand,169,-17.4934
1fkb_ligand,170,-17.4899
1fkb_ligand,171,-17.4888
1fkb_ligand,172,-17.4927
1fkb_ligand,173,-17.4963
1fkb_ligand,174,-17.4927
1fkb_ligand,175,-17.4919
1fkb_ligand,176,-17.4944
1fkb_ligand,177,-17.498
1fkb_ligand,178,-17.4939
1fkb_ligand,179,-17.4936
1fkb_ligand,180,-17.4972
1fkb_ligand,181,-17.5005
1fkb_ligand,182,-17.4956
1fkb_ligand,183,-17.4957
1fkb_ligand,184,-17.4975
1fkb_ligand,185,-17.5008
1fkb_ligand,186,-17.4966
1fkb_ligand,187,-17.4961
1fkb_ligand,188,-17.4996
1fkb_ligand,189,-17.5017
1fkb_ligand,190,-17.4977
1fkb_ligand,191,-17.4962
1fkb_ligand,192,-17.4996
1fkb_ligand,193,-17.5023
1fkb_ligand,194,-17.5043
1fkb_ligand,195,-17.4919
1fkb_ligand,196,-17.4988
1fkb_ligand,197,-17.5023
1fkb_ligand,198,-17.505
1fkb_ligand,199,-17.4978
1fkb_ligand,200,-17.4999
1fkb_ligand,201,-17.4982
1fkb_ligand,202,-17.5047
1fkb_ligand,203,-17.4953
1fkb_ligand,204,-17.5003
1fkb_ligand,205,-17.4998
1fkb_ligand,206,-17.5049
1fkb_ligand,207,-17.4962
1fkb_ligand,208,-17.4999
1fkb_ligand,209,-17.4992
1fkb_ligand,210,-17.5057
1fkb_ligand,211,-17.4988
1fkb_ligand,212,-17.4999
1fkb_ligand,213,-17.4987
1fkb_ligand,214,-17.5053
1fkb_ligand,215,-17.4996
1fkb_ligand,216,-17.5008
1fkb_ligand,217,-17.5
1fkb_ligand,218,-17.5051
1fkb_ligand,219,-17.5005
1fkb_ligand,220,-17.5002
1fkb_ligand,221,-17.5029
1fkb_ligand,222,-17.5028
1fkb_ligand,223,-17.506
1fkb_ligand,224,-17.4966
1fkb_ligand,225,-17.5023
1fkb_ligand,226,-17.5021
1fkb_ligand,227,-17.5075
1fkb_ligand,228,-17.4977
1fkb_ligand,229,-17.5034
1fkb_ligand,230,-17.5023
1fkb_ligand,231,-17.5074
1fkb_ligand,232,-17.4982
1fkb_ligand,233,-17.5031
1fkb_ligand,234,-17.5029
1fkb_ligand,235,-17.5087
1fkb_ligand,236,-17.4994
1fkb_ligand,237,-17.5026
1fkb_ligand,238,-17.5024
1fkb_ligand,239,-17.5082
1fkb_ligand,240,-17.5011
1fkb_ligand,241,-17.5038
1fkb_ligand,242,-17.5031
1fkb_ligand,243,-17.5076
1fkb_ligand,244,-17.5049
1fkb_ligand,245,-17.5014
1fkb_ligand,246,-17.5057
1fkb_ligand,247,-17.506
1fkb_ligand,248,-17.5059
1fkb_ligand,249,-17.5012
1fkb_ligand,250,-17.5053
1fkb_ligand,251,-17.5067
1fkb_ligand,252,-17.5081
1fkb_ligand,253,-17.5003
1fkb_ligand,254,-17.5046
1fkb_ligand,255,-17.5064
1fkb_ligand,256,-17.5098
1fkb_ligand,257,-17.5031
1fkb_ligand,258,-17.5028
1fkb_ligand,259,-17.5058
1fkb_ligand,260,-17.5089
1fkb_ligand,261,-17.5067
1fkb_ligand,262,-17.5035
1fkb_ligand,263,-17.5043
1fkb_ligand,264,-17.5079
1fkb_ligand,265,-17.5095
1fkb_ligand,266,-17.5028
1fkb_ligand,267,-17.5058
1fkb_ligand,268,-17.5075
1fkb_ligand,269,-17.5088
1fkb_ligand,270,-17.5064
1fkb_ligand,271,-17.5059
1fkb_ligand,272,-17.5083
1fkb_ligand,273,-17.5083
1fkb_ligand,274,-17.5091
1fkb_ligand,275,-17.5046
1fkb_ligand,276,-17.5061
1fkb_ligand,277,-17.5066
1fkb_ligand,278,-17.5097
1fkb_ligand,279,-17.5069
1fkb_ligand,280,-17.5033
1fkb_ligand,281,-17.507
1fkb_ligand,282,-17.5095
1fkb_ligand,283,-17.5108
1fkb_ligand,284,-17.5023
1fkb_ligand,285,-17.5063
1fkb_ligand,286,-17.5091
1fkb_ligand,287,-17.5106
1fkb_ligand,288,-17.5064
1fkb_ligand,289,-17.5063
1fkb_ligand,290,-17.5089
1fkb_ligand,291,-17.5085
1fkb_ligand,292,-17.5111
1fkb_ligand,293,-17.5054
1fkb_ligand,294,-17.5069
1fkb_ligand,295,-17.5068
1fkb_ligand,296,-17.5099
1fkb_ligand,297,-17.5103
1fkb_ligand,298,-17.5055
1fkb_ligand,299,-17.5061
1fkb_ligand,300,-17.5095
