ligand,iteration,com_distance
1hii_ligand,1,0
1hii_ligand,2,0.00384023
1hii_ligand,3,0.00790072
1hii_ligand,4,0.0121116
1hii_ligand,5,0.0164385
1hii_ligand,6,0.0208827
1hii_ligand,7,0.0254414
1hii_ligand,8,0.0299403
1hii_ligand,9,0.0345365
1hii_ligand,10,0.039308
1hii_ligand,11,0.0440261
1hii_ligand,12,0.0488431
1hii_ligand,13,0.0537573
1hii_ligand,14,0.0588059
1hii_ligand,15,0.0638118
1hii_ligand,16,0.0689038
1hii_ligand,17,0.0742016
1hii_ligand,18,0.0795866
1hii_ligand,19,0.084776
1hii_ligand,20,0.0897666
1hii_ligand,21,0.0943288
1hii_ligand,22,0.09903
1hii_ligand,23,0.103793
1hii_ligand,24,0.108593
1hii_ligand,25,0.113789
1hii_ligand,26,0.119052
1hii_ligand,27,0.124376
1hii_ligand,28,0.129675
1hii_ligand,29,0.134974
1hii_ligand,30,0.140435
1hii_ligand,31,0.140823
1hii_ligand,32,0.146039
1hii_ligand,33,0.151258
1hii_ligand,34,0.156497
1hii_ligand,35,0.161588
1hii_ligand,36,0.162625
1hii_ligand,37,0.167629
1hii_ligand,38,0.172643
1hii_ligand,39,0.177793
1hii_ligand,40,0.179451
1hii_ligand,41,0.183909
1hii_ligand,42,0.18839
1hii_ligand,43,0.191132
1hii_ligand,44,0.190775
1hii_ligand,45,0.193307
1hii_ligand,46,0.195548
1hii_ligand,47,0.197399
1hii_ligand,48,0.197007
1hii_ligand,49,0.198788
1hii_ligand,50,0.200957
1hii_ligand,51,0.200907
1hii_ligand,52,0.203256
1hii_ligand,53,0.206719
1hii_ligand,54,0.206085
1hii_ligand,55,0.208724
1hii_ligand,56,0.212042
1hii_ligand,57,0.211462
1hii_ligand,58,0.214128
1hii_ligand,59,0.215811
1hii_ligand,60,0.21672
1hii_ligand,61,0.218849
1hii_ligand,62,0.22101
1hii_ligand,63,0.223469
1hii_ligand,64,0.223631
1hii_ligand,65,0.226034
1hii_ligand,66,0.228541
1hii_ligand,67,0.228591
1hii_ligand,68,0.232298
1hii_ligand,69,0.232371
1hii_ligand,70,0.234561
1hii_ligand,71,0.238036
1hii_ligand,72,0.238315
1hii_ligand,73,0.240565
1hii_ligand,74,0.242295
1hii_ligand,75,0.243999
1hii_ligand,76,0.245424
1hii_ligand,77,0.24713
1hii_ligand,78,0.249354
1hii_ligand,79,0.250657
1hii_ligand,80,0.251633
1hii_ligand,81,0.25091
1hii_ligand,82,0.251669
1hii_ligand,83,0.252312
1hii_ligand,84,0.250621
1hii_ligand,85,0.254188
1hii_ligand,86,0.252786
1hii_ligand,87,0.253338
1hii_ligand,88,0.253099
1hii_ligand,89,0.254087
1hii_ligand,90,0.252445
1hii_ligand,91,0.254629
1hii_ligand,92,0.253433
1hii_ligand,93,0.252474
1hii_ligand,94,0.255328
1hii_ligand,95,0.255518
1hii_ligand,96,0.255494
1hii_ligand,97,0.256908
1hii_ligand,98,0.257011
1hii_ligand,99,0.257652
1hii_ligand,100,0.259564
1hii_ligand,101,0.259114
1hii_ligand,102,0.260477
1hii_ligand,103,0.261764
1hii_ligand,104,0.259784
1hii_ligand,105,0.260024
1hii_ligand,106,0.261273
1hii_ligand,107,0.26171
1hii_ligand,108,0.262394
1hii_ligand,109,0.261024
1hii_ligand,110,0.261757
1hii_ligand,111,0.262146
1hii_ligand,112,0.262524
1hii_ligand,113,0.26107
1hii_ligand,114,0.261759
1hii_ligand,115,0.26223
