ligand,iteration,standalone_ls_score
1hii_ligand,1,-15.0215
1hii_ligand,2,-15.022
1hii_ligand,3,-15.0225
1hii_ligand,4,-15.023
1hii_ligand,5,-15.0235
1hii_ligand,6,-15.024
1hii_ligand,7,-15.0245
1hii_ligand,8,-15.0253
1hii_ligand,9,-15.0263
1hii_ligand,10,-15.0273
1hii_ligand,11,-15.0281
1hii_ligand,12,-15.029
1hii_ligand,13,-15.0299
1hii_ligand,14,-15.0308
1hii_ligand,15,-15.0322
1hii_ligand,16,-15.0335
1hii_ligand,17,-15.0348
1hii_ligand,18,-15.0362
1hii_ligand,19,-15.0373
1hii_ligand,20,-15.0373
1hii_ligand,21,-15.0362
1hii_ligand,22,-15.0352
1hii_ligand,23,-15.0341
1hii_ligand,24,-15.0334
1hii_ligand,25,-15.0324
1hii_ligand,26,-15.0315
1hii_ligand,27,-15.0304
1hii_ligand,28,-15.0291
1hii_ligand,29,-15.028
1hii_ligand,30,-15.0232
1hii_ligand,31,-15.0228
1hii_ligand,32,-15.0214
1hii_ligand,33,-15.0199
1hii_ligand,34,-15.0183
1hii_ligand,35,-15.0109
1hii_ligand,36,-15.013
1hii_ligand,37,-15.0117
1hii_ligand,38,-15.0107
1hii_ligand,39,-15.0086
1hii_ligand,40,-15.0054
1hii_ligand,41,-15.0056
1hii_ligand,42,-15.0036
1hii_ligand,43,-15.0018
1hii_ligand,44,-14.9991
1hii_ligand,45,-14.9993
1hii_ligand,46,-15.0006
1hii_ligand,47,-14.9963
1hii_ligand,48,-15.0007
1hii_ligand,49,-15.005
1hii_ligand,50,-15.0026
1hii_ligand,51,-15.0056
1hii_ligand,52,-15.0107
1hii_ligand,53,-15.0053
1hii_ligand,54,-15.0109
1hii_ligand,55,-15.0168
1hii_ligand,56,-15.009
1hii_ligand,57,-15.0115
1hii_ligand,58,-15.014
1hii_ligand,59,-15.0121
1hii_ligand,60,-15.0117
1hii_ligand,61,-15.0125
1hii_ligand,62,-15.0134
1hii_ligand,63,-15.0079
1hii_ligand,64,-15.0136
1hii_ligand,65,-15.0144
1hii_ligand,66,-15.0105
1hii_ligand,67,-15.0158
1hii_ligand,68,-15.0114
1hii_ligand,69,-15.0126
1hii_ligand,70,-15.0147
1hii_ligand,71,-15.0089
1hii_ligand,72,-15.0137
1hii_ligand,73,-15.0144
1hii_ligand,74,-15.0111
1hii_ligand,75,-15.0131
1hii_ligand,76,-15.0114
1hii_ligand,77,-15.0133
1hii_ligand,78,-15.0101
1hii_ligand,79,-15.0117
1hii_ligand,80,-15.0132
1hii_ligand,81,-15.0156
1hii_ligand,82,-15.0159
1hii_ligand,83,-15.0153
1hii_ligand,84,-15.0214
1hii_ligand,85,-15.0145
1hii_ligand,86,-15.0222
1hii_ligand,87,-15.0197
1hii_ligand,88,-15.0243
1hii_ligand,89,-15.0227
1hii_ligand,90,-15.0294
1hii_ligand,91,-15.0243
1hii_ligand,92,-15.0318
1hii_ligand,93,-15.0347
1hii_ligand,94,-15.0307
1hii_ligand,95,-15.0289
1hii_ligand,96,-15.0349
1hii_ligand,97,-15.032
1hii_ligand,98,-15.0337
1hii_ligand,99,-15.0333
1hii_ligand,100,-15.0308
1hii_ligand,101,-15.0371
1hii_ligand,102,-15.0359
1hii_ligand,103,-15.0343
1hii_ligand,104,-15.0356
1hii_ligand,105,-15.0429
1hii_ligand,106,-15.0414
1hii_ligand,107,-15.0372
1hii_ligand,108,-15.0396
1hii_ligand,109,-15.0464
1hii_ligand,110,-15.0453
1hii_ligand,111,-15.0465
1hii_ligand,112,-15.0465
1hii_ligand,113,-15.053
1hii_ligand,114,-15.0513
1hii_ligand,115,-15.053
1hii_ligand,116,-15.0608
1hii_ligand,117,-15.0564
1hii_ligand,118,-15.0582
1hii_ligand,119,-15.0598
1hii_ligand,120,-15.0616
1hii_ligand,121,-15.0624
1hii_ligand,122,-15.0605
1hii_ligand,123,-15.0617
1hii_ligand,124,-15.0687
1hii_ligand,125,-15.0639
1hii_ligand,126,-15.0643
1hii_ligand,127,-15.0645
1hii_ligand,128,-15.0706
1hii_ligand,129,-15.0679
1hii_ligand,130,-15.0778
1hii_ligand,131,-15.0719
1hii_ligand,132,-15.0694
1hii_ligand,133,-15.0818
1hii_ligand,134,-15.0695
1hii_ligand,135,-15.0732
1hii_ligand,136,-15.0783
1hii_ligand,137,-15.0721
1hii_ligand,138,-15.0735
1hii_ligand,139,-15.0823
1hii_ligand,140,-15.0733
1hii_ligand,141,-15.0779
1hii_ligand,142,-15.0815
1hii_ligand,143,-15.0786
1hii_ligand,144,-15.0806
1hii_ligand,145,-15.0727
1hii_ligand,146,-15.0821
1hii_ligand,147,-15.0834
1hii_ligand,148,-15.077
1hii_ligand,149,-15.0816
1hii_ligand,150,-15.0791
1hii_ligand,151,-15.0814
1hii_ligand,152,-15.0747
1hii_ligand,153,-15.0793
1hii_ligand,154,-15.0794
1hii_ligand,155,-15.0786
1hii_ligand,156,-15.0783
1hii_ligand,157,-15.0774
1hii_ligand,158,-15.0786
1hii_ligand,159,-15.0757
1hii_ligand,160,-15.077
1hii_ligand,161,-15.0855
1hii_ligand,162,-15.0715
1hii_ligand,163,-15.0846
1hii_ligand,164,-15.0736
1hii_ligand,165,-15.0838
1hii_ligand,166,-15.0738
1hii_ligand,167,-15.0821
1hii_ligand,168,-15.0823
