ligand,iteration,com_distance
2ya6_ligand,1,0
2ya6_ligand,2,0.00388069
2ya6_ligand,3,0.00807585
2ya6_ligand,4,0.0125453
2ya6_ligand,5,0.0171735
2ya6_ligand,6,0.0220782
2ya6_ligand,7,0.0272355
2ya6_ligand,8,0.0326483
2ya6_ligand,9,0.0383168
2ya6_ligand,10,0.0442329
2ya6_ligand,11,0.0428681
2ya6_ligand,12,0.0418451
2ya6_ligand,13,0.0462209
2ya6_ligand,14,0.0455024
2ya6_ligand,15,0.0499941
2ya6_ligand,16,0.0495786
2ya6_ligand,17,0.0494584
2ya6_ligand,18,0.0538803
2ya6_ligand,19,0.0540252
2ya6_ligand,20,0.0544154
2ya6_ligand,21,0.058761
2ya6_ligand,22,0.0594182
2ya6_ligand,23,0.0602739
2ya6_ligand,24,0.0645753
2ya6_ligand,25,0.0656964
2ya6_ligand,26,0.0670247
2ya6_ligand,27,0.0713671
2ya6_ligand,28,0.0729701
2ya6_ligand,29,0.0747137
2ya6_ligand,30,0.0765771
2ya6_ligand,31,0.0808166
2ya6_ligand,32,0.0829523
2ya6_ligand,33,0.0851988
2ya6_ligand,34,0.0875459
2ya6_ligand,35,0.0917543
2ya6_ligand,36,0.094381
2ya6_ligand,37,0.0971376
2ya6_ligand,38,0.0999911
2ya6_ligand,39,0.102945
2ya6_ligand,40,0.105994
2ya6_ligand,41,0.109146
2ya6_ligand,42,0.112404
2ya6_ligand,43,0.115772
2ya6_ligand,44,0.119263
2ya6_ligand,45,0.122883
2ya6_ligand,46,0.126646
2ya6_ligand,47,0.126199
2ya6_ligand,48,0.125796
2ya6_ligand,49,0.125452
2ya6_ligand,50,0.129413
2ya6_ligand,51,0.129184
2ya6_ligand,52,0.128932
2ya6_ligand,53,0.128734
2ya6_ligand,54,0.132782
2ya6_ligand,55,0.132714
2ya6_ligand,56,0.132565
2ya6_ligand,57,0.132454
2ya6_ligand,58,0.13647
2ya6_ligand,59,0.136504
2ya6_ligand,60,0.13659
2ya6_ligand,61,0.136725
2ya6_ligand,62,0.140801
2ya6_ligand,63,0.14109
2ya6_ligand,64,0.141427
2ya6_ligand,65,0.141809
2ya6_ligand,66,0.145928
2ya6_ligand,67,0.146452
2ya6_ligand,68,0.147022
2ya6_ligand,69,0.147623
2ya6_ligand,70,0.151758
2ya6_ligand,71,0.152486
2ya6_ligand,72,0.153237
2ya6_ligand,73,0.154017
2ya6_ligand,74,0.158139
2ya6_ligand,75,0.159004
2ya6_ligand,76,0.159872
2ya6_ligand,77,0.160744
2ya6_ligand,78,0.161618
2ya6_ligand,79,0.165461
2ya6_ligand,80,0.166355
2ya6_ligand,81,0.167223
2ya6_ligand,82,0.165793
2ya6_ligand,83,0.166681
2ya6_ligand,84,0.167817
2ya6_ligand,85,0.168774
2ya6_ligand,86,0.167157
2ya6_ligand,87,0.165666
2ya6_ligand,88,0.166732
2ya6_ligand,89,0.167533
2ya6_ligand,90,0.166102
2ya6_ligand,91,0.167325
2ya6_ligand,92,0.165674
2ya6_ligand,93,0.166876
2ya6_ligand,94,0.16729
2ya6_ligand,95,0.165701
2ya6_ligand,96,0.167034
2ya6_ligand,97,0.165145
2ya6_ligand,98,0.163576
2ya6_ligand,99,0.166966
2ya6_ligand,100,0.165067
2ya6_ligand,101,0.163505
2ya6_ligand,102,0.165042
2ya6_ligand,103,0.163054
2ya6_ligand,104,0.163282
2ya6_ligand,105,0.164794
2ya6_ligand,106,0.162813
2ya6_ligand,107,0.161151
2ya6_ligand,108,0.162018
2ya6_ligand,109,0.163593
2ya6_ligand,110,0.161741
2ya6_ligand,111,0.160181
2ya6_ligand,112,0.158964
2ya6_ligand,113,0.162245
2ya6_ligand,114,0.160484
2ya6_ligand,115,0.158946
2ya6_ligand,116,0.157636
2ya6_ligand,117,0.158676
2ya6_ligand,118,0.159918
2ya6_ligand,119,0.158341
2ya6_ligand,120,0.158895
2ya6_ligand,121,0.160023
2ya6_ligand,122,0.158844
2ya6_ligand,123,0.15942
2ya6_ligand,124,0.158282
2ya6_ligand,125,0.157232
2ya6_ligand,126,0.160289
2ya6_ligand,127,0.159057
2ya6_ligand,128,0.159517
2ya6_ligand,129,0.1583
2ya6_ligand,130,0.159358
2ya6_ligand,131,0.159887
2ya6_ligand,132,0.158766
2ya6_ligand,133,0.157718
2ya6_ligand,134,0.158982
2ya6_ligand,135,0.158099
2ya6_ligand,136,0.158864
2ya6_ligand,137,0.159247
2ya6_ligand,138,0.160432
2ya6_ligand,139,0.159357
2ya6_ligand,140,0.158334
2ya6_ligand,141,0.158787
2ya6_ligand,142,0.160117
2ya6_ligand,143,0.159139
2ya6_ligand,144,0.15965
2ya6_ligand,145,0.158589
2ya6_ligand,146,0.160019
2ya6_ligand,147,0.159141
2ya6_ligand,148,0.159753
2ya6_ligand,149,0.15875
2ya6_ligand,150,0.16028
2ya6_ligand,151,0.161007
2ya6_ligand,152,0.160007
2ya6_ligand,153,0.159162
2ya6_ligand,154,0.163291
2ya6_ligand,155,0.162719
2ya6_ligand,156,0.162184
2ya6_ligand,157,0.161678
2ya6_ligand,158,0.163868
2ya6_ligand,159,0.163587
2ya6_ligand,160,0.161513
2ya6_ligand,161,0.161254
2ya6_ligand,162,0.163666
2ya6_ligand,163,0.163616
2ya6_ligand,164,0.161445
2ya6_ligand,165,0.161477
2ya6_ligand,166,0.161843
2ya6_ligand,167,0.162056
2ya6_ligand,168,0.162326
2ya6_ligand,169,0.160104
2ya6_ligand,170,0.163087
2ya6_ligand,171,0.160963
2ya6_ligand,172,0.161603
2ya6_ligand,173,0.159473
2ya6_ligand,174,0.162811
2ya6_ligand,175,0.16173
2ya6_ligand,176,0.162452
2ya6_ligand,177,0.162871
2ya6_ligand,178,0.163768
2ya6_ligand,179,0.161567
2ya6_ligand,180,0.162568
2ya6_ligand,181,0.163025
2ya6_ligand,182,0.160956
2ya6_ligand,183,0.162168
2ya6_ligand,184,0.160093
2ya6_ligand,185,0.164072
2ya6_ligand,186,0.16216
2ya6_ligand,187,0.16029
2ya6_ligand,188,0.161776
2ya6_ligand,189,0.163328
2ya6_ligand,190,0.16119
2ya6_ligand,191,0.164162
2ya6_ligand,192,0.165863
2ya6_ligand,193,0.16485
2ya6_ligand,194,0.16383
2ya6_ligand,195,0.162802
2ya6_ligand,196,0.164517
2ya6_ligand,197,0.163538
2ya6_ligand,198,0.162554
2ya6_ligand,199,0.161561
2ya6_ligand,200,0.163275
2ya6_ligand,201,0.162335
2ya6_ligand,202,0.162178
2ya6_ligand,203,0.161077
2ya6_ligand,204,0.162716
2ya6_ligand,205,0.163858
2ya6_ligand,206,0.162984
2ya6_ligand,207,0.164903
2ya6_ligand,208,0.164055
2ya6_ligand,209,0.163198
2ya6_ligand,210,0.162322
2ya6_ligand,211,0.164207
2ya6_ligand,212,0.16336
2ya6_ligand,213,0.162499
2ya6_ligand,214,0.161629
2ya6_ligand,215,0.163481
2ya6_ligand,216,0.163483
2ya6_ligand,217,0.16255
2ya6_ligand,218,0.164451
2ya6_ligand,219,0.163547
2ya6_ligand,220,0.162626
2ya6_ligand,221,0.163353
2ya6_ligand,222,0.165311
2ya6_ligand,223,0.164498
2ya6_ligand,224,0.163675
2ya6_ligand,225,0.162846
2ya6_ligand,226,0.164863
2ya6_ligand,227,0.164162
2ya6_ligand,228,0.163451
2ya6_ligand,229,0.16555
2ya6_ligand,230,0.16487
2ya6_ligand,231,0.164181
2ya6_ligand,232,0.163484
2ya6_ligand,233,0.165354
2ya6_ligand,234,0.164731
2ya6_ligand,235,0.1641
2ya6_ligand,236,0.163444
2ya6_ligand,237,0.165161
2ya6_ligand,238,0.164625
2ya6_ligand,239,0.164057
2ya6_ligand,240,0.165848
2ya6_ligand,241,0.1654
2ya6_ligand,242,0.164885
2ya6_ligand,243,0.163714
2ya6_ligand,244,0.167525
2ya6_ligand,245,0.166406
2ya6_ligand,246,0.165966
2ya6_ligand,247,0.165529
2ya6_ligand,248,0.166965
2ya6_ligand,249,0.166625
2ya6_ligand,250,0.166285
2ya6_ligand,251,0.1678
2ya6_ligand,252,0.167539
2ya6_ligand,253,0.16726
2ya6_ligand,254,0.165876
2ya6_ligand,255,0.168317
2ya6_ligand,256,0.166934
2ya6_ligand,257,0.166873
2ya6_ligand,258,0.16674
2ya6_ligand,259,0.167729
2ya6_ligand,260,0.167775
2ya6_ligand,261,0.167707
2ya6_ligand,262,0.16884
2ya6_ligand,263,0.168922
2ya6_ligand,264,0.167256
2ya6_ligand,265,0.16747
2ya6_ligand,266,0.168388
2ya6_ligand,267,0.170067
2ya6_ligand,268,0.167814
2ya6_ligand,269,0.16794
2ya6_ligand,270,0.168215
2ya6_ligand,271,0.168494
2ya6_ligand,272,0.166732
2ya6_ligand,273,0.167073
2ya6_ligand,274,0.169596
2ya6_ligand,275,0.167761
2ya6_ligand,276,0.167275
2ya6_ligand,277,0.169819
2ya6_ligand,278,0.169444
2ya6_ligand,279,0.16691
2ya6_ligand,280,0.168988
2ya6_ligand,281,0.168851
2ya6_ligand,282,0.168469
2ya6_ligand,283,0.165971
2ya6_ligand,284,0.1664
2ya6_ligand,285,0.166223
2ya6_ligand,286,0.170115
2ya6_ligand,287,0.168697
2ya6_ligand,288,0.170024
2ya6_ligand,289,0.16863
2ya6_ligand,290,0.169493
2ya6_ligand,291,0.168095
2ya6_ligand,292,0.169374
2ya6_ligand,293,0.168001
2ya6_ligand,294,0.167223
2ya6_ligand,295,0.16854
2ya6_ligand,296,0.169363
2ya6_ligand,297,0.167996
2ya6_ligand,298,0.166617
2ya6_ligand,299,0.16788
2ya6_ligand,300,0.167129
