ligand,iteration,standalone_ls_score
2ya6_ligand,1,-10.7923
2ya6_ligand,2,-11.0081
2ya6_ligand,3,-11.2382
2ya6_ligand,4,-11.4792
2ya6_ligand,5,-11.7297
2ya6_ligand,6,-11.9916
2ya6_ligand,7,-12.2646
2ya6_ligand,8,-12.5493
2ya6_ligand,9,-12.8468
2ya6_ligand,10,-12.9053
2ya6_ligand,11,-12.9312
2ya6_ligand,12,-12.9255
2ya6_ligand,13,-12.9453
2ya6_ligand,14,-12.9606
2ya6_ligand,15,-12.9602
2ya6_ligand,16,-12.9832
2ya6_ligand,17,-12.9851
2ya6_ligand,18,-12.9985
2ya6_ligand,19,-13.0193
2ya6_ligand,20,-13.0148
2ya6_ligand,21,-13.035
2ya6_ligand,22,-13.0542
2ya6_ligand,23,-13.0508
2ya6_ligand,24,-13.0713
2ya6_ligand,25,-13.0891
2ya6_ligand,26,-13.0941
2ya6_ligand,27,-13.1095
2ya6_ligand,28,-13.1271
2ya6_ligand,29,-13.1438
2ya6_ligand,30,-13.1469
2ya6_ligand,31,-13.167
2ya6_ligand,32,-13.1835
2ya6_ligand,33,-13.1995
2ya6_ligand,34,-13.2141
2ya6_ligand,35,-13.2267
2ya6_ligand,36,-13.2435
2ya6_ligand,37,-13.2604
2ya6_ligand,38,-13.2773
2ya6_ligand,39,-13.2943
2ya6_ligand,40,-13.3115
2ya6_ligand,41,-13.329
2ya6_ligand,42,-13.3469
2ya6_ligand,43,-13.3654
2ya6_ligand,44,-13.3846
2ya6_ligand,45,-13.4049
2ya6_ligand,46,-13.4086
2ya6_ligand,47,-13.4132
2ya6_ligand,48,-13.4179
2ya6_ligand,49,-13.418
2ya6_ligand,50,-13.4234
2ya6_ligand,51,-13.4286
2ya6_ligand,52,-13.4336
2ya6_ligand,53,-13.4324
2ya6_ligand,54,-13.4394
2ya6_ligand,55,-13.444
2ya6_ligand,56,-13.4479
2ya6_ligand,57,-13.4442
2ya6_ligand,58,-13.4512
2ya6_ligand,59,-13.4551
2ya6_ligand,60,-13.459
2ya6_ligand,61,-13.455
2ya6_ligand,62,-13.4624
2ya6_ligand,63,-13.4663
2ya6_ligand,64,-13.4701
2ya6_ligand,65,-13.4669
2ya6_ligand,66,-13.4734
2ya6_ligand,67,-13.4771
2ya6_ligand,68,-13.4809
2ya6_ligand,69,-13.4801
2ya6_ligand,70,-13.4839
2ya6_ligand,71,-13.4875
2ya6_ligand,72,-13.4909
2ya6_ligand,73,-13.4943
2ya6_ligand,74,-13.4937
2ya6_ligand,75,-13.4969
2ya6_ligand,76,-13.5001
2ya6_ligand,77,-13.5032
2ya6_ligand,78,-13.5035
2ya6_ligand,79,-13.5054
2ya6_ligand,80,-13.5083
2ya6_ligand,81,-13.5103
2ya6_ligand,82,-13.5113
2ya6_ligand,83,-13.5068
2ya6_ligand,84,-13.5105
2ya6_ligand,85,-13.5076
2ya6_ligand,86,-13.5113
2ya6_ligand,87,-13.5131
2ya6_ligand,88,-13.5071
2ya6_ligand,89,-13.5118
2ya6_ligand,90,-13.5122
2ya6_ligand,91,-13.5119
2ya6_ligand,92,-13.515
2ya6_ligand,93,-13.507
2ya6_ligand,94,-13.512
2ya6_ligand,95,-13.514
2ya6_ligand,96,-13.5116
2ya6_ligand,97,-13.515
2ya6_ligand,98,-13.5111
2ya6_ligand,99,-13.5112
2ya6_ligand,100,-13.5142
2ya6_ligand,101,-13.5154
2ya6_ligand,102,-13.5135
2ya6_ligand,103,-13.5099
2ya6_ligand,104,-13.5146
2ya6_ligand,105,-13.512
2ya6_ligand,106,-13.5143
2ya6_ligand,107,-13.5148
2ya6_ligand,108,-13.5139
2ya6_ligand,109,-13.5128
2ya6_ligand,110,-13.5146
2ya6_ligand,111,-13.5165
2ya6_ligand,112,-13.5126
2ya6_ligand,113,-13.5123
2ya6_ligand,114,-13.5136
2ya6_ligand,115,-13.5148
2ya6_ligand,116,-13.5144
2ya6_ligand,117,-13.5141
2ya6_ligand,118,-13.5121
2ya6_ligand,119,-13.512
2ya6_ligand,120,-13.5149
2ya6_ligand,121,-13.5139
2ya6_ligand,122,-13.5147
2ya6_ligand,123,-13.5177
2ya6_ligand,124,-13.5191
2ya6_ligand,125,-13.5149
2ya6_ligand,126,-13.5155
2ya6_ligand,127,-13.5161
2ya6_ligand,128,-13.5188
2ya6_ligand,129,-13.5152
2ya6_ligand,130,-13.518
2ya6_ligand,131,-13.5205
2ya6_ligand,132,-13.5217
2ya6_ligand,133,-13.5188
2ya6_ligand,134,-13.5212
2ya6_ligand,135,-13.5219
2ya6_ligand,136,-13.5207
2ya6_ligand,137,-13.5192
2ya6_ligand,138,-13.5211
2ya6_ligand,139,-13.5218
2ya6_ligand,140,-13.5222
2ya6_ligand,141,-13.5217
2ya6_ligand,142,-13.5229
2ya6_ligand,143,-13.5234
2ya6_ligand,144,-13.5257
2ya6_ligand,145,-13.5238
2ya6_ligand,146,-13.5246
2ya6_ligand,147,-13.525
2ya6_ligand,148,-13.527
2ya6_ligand,149,-13.525
2ya6_ligand,150,-13.5255
2ya6_ligand,151,-13.5272
2ya6_ligand,152,-13.5277
2ya6_ligand,153,-13.5237
2ya6_ligand,154,-13.5268
2ya6_ligand,155,-13.5277
2ya6_ligand,156,-13.5286
2ya6_ligand,157,-13.5249
2ya6_ligand,158,-13.5277
2ya6_ligand,159,-13.5281
2ya6_ligand,160,-13.5311
2ya6_ligand,161,-13.5271
2ya6_ligand,162,-13.5296
2ya6_ligand,163,-13.5294
2ya6_ligand,164,-13.5327
2ya6_ligand,165,-13.5283
2ya6_ligand,166,-13.5334
2ya6_ligand,167,-13.5333
2ya6_ligand,168,-13.5328
2ya6_ligand,169,-13.5312
2ya6_ligand,170,-13.5331
2ya6_ligand,171,-13.5359
2ya6_ligand,172,-13.5351
2ya6_ligand,173,-13.5324
2ya6_ligand,174,-13.532
2ya6_ligand,175,-13.5374
2ya6_ligand,176,-13.5348
2ya6_ligand,177,-13.5373
2ya6_ligand,178,-13.5358
2ya6_ligand,179,-13.5393
2ya6_ligand,180,-13.5355
2ya6_ligand,181,-13.5387
2ya6_ligand,182,-13.5414
2ya6_ligand,183,-13.5398
2ya6_ligand,184,-13.5399
2ya6_ligand,185,-13.5384
2ya6_ligand,186,-13.5413
2ya6_ligand,187,-13.5438
2ya6_ligand,188,-13.5368
2ya6_ligand,189,-13.5422
2ya6_ligand,190,-13.5446
2ya6_ligand,191,-13.5398
2ya6_ligand,192,-13.5396
2ya6_ligand,193,-13.541
2ya6_ligand,194,-13.5425
2ya6_ligand,195,-13.5427
2ya6_ligand,196,-13.5432
2ya6_ligand,197,-13.5445
2ya6_ligand,198,-13.5459
2ya6_ligand,199,-13.5447
2ya6_ligand,200,-13.5464
2ya6_ligand,201,-13.5476
2ya6_ligand,202,-13.5491
2ya6_ligand,203,-13.5459
2ya6_ligand,204,-13.5494
2ya6_ligand,205,-13.5478
2ya6_ligand,206,-13.5486
2ya6_ligand,207,-13.5479
2ya6_ligand,208,-13.5491
2ya6_ligand,209,-13.5502
2ya6_ligand,210,-13.5496
2ya6_ligand,211,-13.5503
2ya6_ligand,212,-13.5514
2ya6_ligand,213,-13.5525
2ya6_ligand,214,-13.5501
2ya6_ligand,215,-13.5516
2ya6_ligand,216,-13.5536
2ya6_ligand,217,-13.5547
2ya6_ligand,218,-13.5539
2ya6_ligand,219,-13.5551
2ya6_ligand,220,-13.5558
2ya6_ligand,221,-13.5529
2ya6_ligand,222,-13.5536
2ya6_ligand,223,-13.5547
2ya6_ligand,224,-13.5557
2ya6_ligand,225,-13.5531
2ya6_ligand,226,-13.5555
2ya6_ligand,227,-13.5565
2ya6_ligand,228,-13.5574
2ya6_ligand,229,-13.5565
2ya6_ligand,230,-13.5575
2ya6_ligand,231,-13.5586
2ya6_ligand,232,-13.5575
2ya6_ligand,233,-13.5584
2ya6_ligand,234,-13.5594
2ya6_ligand,235,-13.5606
2ya6_ligand,236,-13.5575
2ya6_ligand,237,-13.5605
2ya6_ligand,238,-13.5617
2ya6_ligand,239,-13.5622
2ya6_ligand,240,-13.5616
2ya6_ligand,241,-13.5628
2ya6_ligand,242,-13.564
2ya6_ligand,243,-13.5625
2ya6_ligand,244,-13.5617
2ya6_ligand,245,-13.5623
2ya6_ligand,246,-13.5636
2ya6_ligand,247,-13.5601
2ya6_ligand,248,-13.5632
2ya6_ligand,249,-13.5646
2ya6_ligand,250,-13.565
2ya6_ligand,251,-13.5642
2ya6_ligand,252,-13.5656
2ya6_ligand,253,-13.5669
2ya6_ligand,254,-13.5651
2ya6_ligand,255,-13.5669
2ya6_ligand,256,-13.5671
2ya6_ligand,257,-13.5686
2ya6_ligand,258,-13.5655
2ya6_ligand,259,-13.5683
2ya6_ligand,260,-13.5699
2ya6_ligand,261,-13.5708
2ya6_ligand,262,-13.57
2ya6_ligand,263,-13.5715
2ya6_ligand,264,-13.5721
2ya6_ligand,265,-13.572
2ya6_ligand,266,-13.5715
2ya6_ligand,267,-13.5709
2ya6_ligand,268,-13.5722
2ya6_ligand,269,-13.5709
2ya6_ligand,270,-13.5723
2ya6_ligand,271,-13.5743
2ya6_ligand,272,-13.5738
2ya6_ligand,273,-13.5712
2ya6_ligand,274,-13.5749
2ya6_ligand,275,-13.5748
2ya6_ligand,276,-13.574
2ya6_ligand,277,-13.5721
2ya6_ligand,278,-13.5747
2ya6_ligand,279,-13.5753
2ya6_ligand,280,-13.5703
2ya6_ligand,281,-13.5719
2ya6_ligand,282,-13.5745
2ya6_ligand,283,-13.5748
2ya6_ligand,284,-13.5722
2ya6_ligand,285,-13.564
2ya6_ligand,286,-13.5735
2ya6_ligand,287,-13.5735
2ya6_ligand,288,-13.5753
2ya6_ligand,289,-13.5764
2ya6_ligand,290,-13.5736
2ya6_ligand,291,-13.5714
2ya6_ligand,292,-13.5751
2ya6_ligand,293,-13.5767
2ya6_ligand,294,-13.576
2ya6_ligand,295,-13.5759
2ya6_ligand,296,-13.5737
2ya6_ligand,297,-13.5752
2ya6_ligand,298,-13.5729
2ya6_ligand,299,-13.5764
2ya6_ligand,300,-13.5766
