ligand,iteration,com_distance
3udd_ligand,1,0
3udd_ligand,2,0.00383087
3udd_ligand,3,0.00771909
3udd_ligand,4,0.011766
3udd_ligand,5,0.0159436
3udd_ligand,6,0.0194399
3udd_ligand,7,0.0230946
3udd_ligand,8,0.0268723
3udd_ligand,9,0.0307557
3udd_ligand,10,0.0347331
3udd_ligand,11,0.03873
3udd_ligand,12,0.0428055
3udd_ligand,13,0.0470666
3udd_ligand,14,0.0514072
3udd_ligand,15,0.0558268
3udd_ligand,16,0.0603266
3udd_ligand,17,0.0649041
3udd_ligand,18,0.0695112
3udd_ligand,19,0.0735335
3udd_ligand,20,0.0776237
3udd_ligand,21,0.0817809
3udd_ligand,22,0.0859981
3udd_ligand,23,0.0902388
3udd_ligand,24,0.0948006
3udd_ligand,25,0.0994445
3udd_ligand,26,0.103857
3udd_ligand,27,0.108339
3udd_ligand,28,0.112881
3udd_ligand,29,0.116658
3udd_ligand,30,0.120837
3udd_ligand,31,0.124924
3udd_ligand,32,0.128747
3udd_ligand,33,0.132962
3udd_ligand,34,0.136929
3udd_ligand,35,0.140373
3udd_ligand,36,0.143527
3udd_ligand,37,0.146719
3udd_ligand,38,0.149953
3udd_ligand,39,0.153607
3udd_ligand,40,0.156914
3udd_ligand,41,0.160672
3udd_ligand,42,0.164051
3udd_ligand,43,0.167659
3udd_ligand,44,0.170848
3udd_ligand,45,0.174607
3udd_ligand,46,0.177903
3udd_ligand,47,0.181394
3udd_ligand,48,0.184381
3udd_ligand,49,0.187947
3udd_ligand,50,0.191069
3udd_ligand,51,0.194796
3udd_ligand,52,0.197585
3udd_ligand,53,0.201017
3udd_ligand,54,0.204519
3udd_ligand,55,0.20732
3udd_ligand,56,0.210848
3udd_ligand,57,0.213634
3udd_ligand,58,0.217188
3udd_ligand,59,0.220757
3udd_ligand,60,0.22392
3udd_ligand,61,0.227749
3udd_ligand,62,0.230876
3udd_ligand,63,0.233999
3udd_ligand,64,0.237827
3udd_ligand,65,0.240548
3udd_ligand,66,0.244017
3udd_ligand,67,0.246705
3udd_ligand,68,0.249395
3udd_ligand,69,0.252856
3udd_ligand,70,0.255518
3udd_ligand,71,0.258982
3udd_ligand,72,0.261609
3udd_ligand,73,0.265069
3udd_ligand,74,0.268527
3udd_ligand,75,0.271066
3udd_ligand,76,0.2745
3udd_ligand,77,0.276974
3udd_ligand,78,0.280364
3udd_ligand,79,0.282754
3udd_ligand,80,0.286068
3udd_ligand,81,0.288346
3udd_ligand,82,0.291541
3udd_ligand,83,0.29463
3udd_ligand,84,0.296615
3udd_ligand,85,0.299549
