ligand,iteration,standalone_ls_score
3udd_ligand,1,-18.9354
3udd_ligand,2,-18.9465
3udd_ligand,3,-18.9578
3udd_ligand,4,-18.9695
3udd_ligand,5,-18.9811
3udd_ligand,6,-18.9926
3udd_ligand,7,-19.0043
3udd_ligand,8,-19.0162
3udd_ligand,9,-19.0283
3udd_ligand,10,-19.0406
3udd_ligand,11,-19.0526
3udd_ligand,12,-19.065
3udd_ligand,13,-19.0781
3udd_ligand,14,-19.0914
3udd_ligand,15,-19.1049
3udd_ligand,16,-19.1187
3udd_ligand,17,-19.1326
3udd_ligand,18,-19.145
3udd_ligand,19,-19.1558
3udd_ligand,20,-19.1667
3udd_ligand,21,-19.1777
3udd_ligand,22,-19.1887
3udd_ligand,23,-19.2
3udd_ligand,24,-19.2124
3udd_ligand,25,-19.2245
3udd_ligand,26,-19.2359
3udd_ligand,27,-19.2473
3udd_ligand,28,-19.2585
3udd_ligand,29,-19.2697
3udd_ligand,30,-19.2809
3udd_ligand,31,-19.2917
3udd_ligand,32,-19.3025
3udd_ligand,33,-19.3134
3udd_ligand,34,-19.3233
3udd_ligand,35,-19.3296
3udd_ligand,36,-19.336
3udd_ligand,37,-19.3424
3udd_ligand,38,-19.3489
3udd_ligand,39,-19.3553
3udd_ligand,40,-19.3618
3udd_ligand,41,-19.3683
3udd_ligand,42,-19.3747
3udd_ligand,43,-19.3803
3udd_ligand,44,-19.386
3udd_ligand,45,-19.3919
3udd_ligand,46,-19.3977
3udd_ligand,47,-19.4027
3udd_ligand,48,-19.4076
3udd_ligand,49,-19.4127
3udd_ligand,50,-19.418
3udd_ligand,51,-19.4231
3udd_ligand,52,-19.4278
3udd_ligand,53,-19.4324
3udd_ligand,54,-19.437
3udd_ligand,55,-19.4417
3udd_ligand,56,-19.4463
3udd_ligand,57,-19.451
3udd_ligand,58,-19.4556
3udd_ligand,59,-19.4602
3udd_ligand,60,-19.4649
3udd_ligand,61,-19.4695
3udd_ligand,62,-19.4742
3udd_ligand,63,-19.4789
3udd_ligand,64,-19.4832
3udd_ligand,65,-19.4876
3udd_ligand,66,-19.4917
3udd_ligand,67,-19.496
3udd_ligand,68,-19.5002
3udd_ligand,69,-19.5045
3udd_ligand,70,-19.5088
3udd_ligand,71,-19.5131
3udd_ligand,72,-19.5174
3udd_ligand,73,-19.5217
3udd_ligand,74,-19.5259
3udd_ligand,75,-19.5304
3udd_ligand,76,-19.5347
3udd_ligand,77,-19.5392
3udd_ligand,78,-19.5437
3udd_ligand,79,-19.5482
3udd_ligand,80,-19.5528
3udd_ligand,81,-19.5574
3udd_ligand,82,-19.5621
3udd_ligand,83,-19.5667
3udd_ligand,84,-19.5716
3udd_ligand,85,-19.5759
3udd_ligand,86,-19.5794
3udd_ligand,87,-19.5828
3udd_ligand,88,-19.5863
3udd_ligand,89,-19.59
3udd_ligand,90,-19.5938
3udd_ligand,91,-19.5977
3udd_ligand,92,-19.6018
3udd_ligand,93,-19.606
3udd_ligand,94,-19.6106
3udd_ligand,95,-19.6147
3udd_ligand,96,-19.6192
3udd_ligand,97,-19.6232
3udd_ligand,98,-19.6272
3udd_ligand,99,-19.6309
3udd_ligand,100,-19.635
3udd_ligand,101,-19.6397
3udd_ligand,102,-19.6432
3udd_ligand,103,-19.6461
3udd_ligand,104,-19.6493
3udd_ligand,105,-19.6519
3udd_ligand,106,-19.6549
3udd_ligand,107,-19.6582
3udd_ligand,108,-19.6616
3udd_ligand,109,-19.6643
3udd_ligand,110,-19.6683
3udd_ligand,111,-19.6722
3udd_ligand,112,-19.6755
3udd_ligand,113,-19.68
3udd_ligand,114,-19.6838
3udd_ligand,115,-19.6882
3udd_ligand,116,-19.6914
3udd_ligand,117,-19.6961
3udd_ligand,118,-19.7
3udd_ligand,119,-19.7031
3udd_ligand,120,-19.7071
3udd_ligand,121,-19.7111
3udd_ligand,122,-19.7148
3udd_ligand,123,-19.7184
3udd_ligand,124,-19.7226
3udd_ligand,125,-19.7269
3udd_ligand,126,-19.7314
3udd_ligand,127,-19.736
3udd_ligand,128,-19.7383
3udd_ligand,129,-19.7444
3udd_ligand,130,-19.7493
3udd_ligand,131,-19.7532
3udd_ligand,132,-19.7573
3udd_ligand,133,-19.7631
3udd_ligand,134,-19.766
3udd_ligand,135,-19.77
3udd_ligand,136,-19.7714
3udd_ligand,137,-19.7733
3udd_ligand,138,-19.775
3udd_ligand,139,-19.7784
3udd_ligand,140,-19.7781
3udd_ligand,141,-19.7817
3udd_ligand,142,-19.7831
3udd_ligand,143,-19.7855
3udd_ligand,144,-19.7862
3udd_ligand,145,-19.7897
3udd_ligand,146,-19.79
3udd_ligand,147,-19.7927
3udd_ligand,148,-19.7938
3udd_ligand,149,-19.7969
3udd_ligand,150,-19.7963
3udd_ligand,151,-19.7999
3udd_ligand,152,-19.7993
3udd_ligand,153,-19.8024
3udd_ligand,154,-19.8028
3udd_ligand,155,-19.8051
3udd_ligand,156,-19.8059
3udd_ligand,157,-19.8084
3udd_ligand,158,-19.8069
3udd_ligand,159,-19.8119
3udd_ligand,160,-19.8111
3udd_ligand,161,-19.8143
3udd_ligand,162,-19.8148
3udd_ligand,163,-19.8172
3udd_ligand,164,-19.8172
3udd_ligand,165,-19.821
3udd_ligand,166,-19.8208
3udd_ligand,167,-19.8221
3udd_ligand,168,-19.8244
3udd_ligand,169,-19.8244
3udd_ligand,170,-19.8261
3udd_ligand,171,-19.8267
3udd_ligand,172,-19.8289
3udd_ligand,173,-19.8262
3udd_ligand,174,-19.831
3udd_ligand,175,-19.8303
3udd_ligand,176,-19.8315
3udd_ligand,177,-19.8328
3udd_ligand,178,-19.8342
3udd_ligand,179,-19.8342
3udd_ligand,180,-19.836
3udd_ligand,181,-19.8387
3udd_ligand,182,-19.8345
3udd_ligand,183,-19.84
3udd_ligand,184,-19.8386
3udd_ligand,185,-19.841
3udd_ligand,186,-19.8424
3udd_ligand,187,-19.8428
3udd_ligand,188,-19.8441
3udd_ligand,189,-19.8454
3udd_ligand,190,-19.8459
3udd_ligand,191,-19.8456
3udd_ligand,192,-19.8488
3udd_ligand,193,-19.8478
3udd_ligand,194,-19.8508
3udd_ligand,195,-19.8512
3udd_ligand,196,-19.851
3udd_ligand,197,-19.8539
3udd_ligand,198,-19.8512
3udd_ligand,199,-19.8549
3udd_ligand,200,-19.8549
3udd_ligand,201,-19.8554
3udd_ligand,202,-19.8586
3udd_ligand,203,-19.8548
3udd_ligand,204,-19.8598
3udd_ligand,205,-19.8574
3udd_ligand,206,-19.8606
3udd_ligand,207,-19.8601
3udd_ligand,208,-19.8614
3udd_ligand,209,-19.8628
3udd_ligand,210,-19.8614
3udd_ligand,211,-19.8639
3udd_ligand,212,-19.8635
3udd_ligand,213,-19.8646
3udd_ligand,214,-19.8664
3udd_ligand,215,-19.8658
3udd_ligand,216,-19.8679
3udd_ligand,217,-19.8652
3udd_ligand,218,-19.8694
3udd_ligand,219,-19.8676
3udd_ligand,220,-19.8703
3udd_ligand,221,-19.8712
3udd_ligand,222,-19.8695
3udd_ligand,223,-19.8719
3udd_ligand,224,-19.8725
3udd_ligand,225,-19.8725
3udd_ligand,226,-19.8757
3udd_ligand,227,-19.8725
3udd_ligand,228,-19.8761
3udd_ligand,229,-19.8748
3udd_ligand,230,-19.8773
3udd_ligand,231,-19.8759
3udd_ligand,232,-19.878
3udd_ligand,233,-19.8771
3udd_ligand,234,-19.8788
3udd_ligand,235,-19.8782
3udd_ligand,236,-19.8793
3udd_ligand,237,-19.8802
3udd_ligand,238,-19.8806
3udd_ligand,239,-19.8813
3udd_ligand,240,-19.8813
3udd_ligand,241,-19.8826
3udd_ligand,242,-19.8818
3udd_ligand,243,-19.884
3udd_ligand,244,-19.8822
3udd_ligand,245,-19.885
3udd_ligand,246,-19.8838
3udd_ligand,247,-19.8862
3udd_ligand,248,-19.8843
3udd_ligand,249,-19.8875
3udd_ligand,250,-19.8849
3udd_ligand,251,-19.8887
3udd_ligand,252,-19.8883
3udd_ligand,253,-19.8875
3udd_ligand,254,-19.8893
3udd_ligand,255,-19.8882
3udd_ligand,256,-19.8908
3udd_ligand,257,-19.8883
3udd_ligand,258,-19.8918
3udd_ligand,259,-19.8891
3udd_ligand,260,-19.8929
3udd_ligand,261,-19.8896
3udd_ligand,262,-19.8941
