ligand,iteration,com_distance
4few_ligand,1,0
4few_ligand,2,0.00387295
4few_ligand,3,0.00794413
4few_ligand,4,0.0121673
4few_ligand,5,0.0165027
4few_ligand,6,0.0209406
4few_ligand,7,0.0250675
4few_ligand,8,0.0293018
4few_ligand,9,0.0336211
4few_ligand,10,0.0377311
4few_ligand,11,0.0419137
4few_ligand,12,0.0461723
4few_ligand,13,0.0504599
4few_ligand,14,0.0548135
4few_ligand,15,0.0592301
4few_ligand,16,0.0637075
4few_ligand,17,0.0682469
4few_ligand,18,0.072845
4few_ligand,19,0.077346
4few_ligand,20,0.081906
4few_ligand,21,0.0865253
4few_ligand,22,0.0912042
4few_ligand,23,0.0958847
4few_ligand,24,0.100487
4few_ligand,25,0.105141
4few_ligand,26,0.109855
4few_ligand,27,0.114543
4few_ligand,28,0.119224
4few_ligand,29,0.121691
4few_ligand,30,0.12423
4few_ligand,31,0.126906
4few_ligand,32,0.129672
4few_ligand,33,0.134419
4few_ligand,34,0.136955
4few_ligand,35,0.139607
4few_ligand,36,0.142345
4few_ligand,37,0.147213
4few_ligand,38,0.149902
4few_ligand,39,0.152728
4few_ligand,40,0.156626
4few_ligand,41,0.158239
4few_ligand,42,0.161191
4few_ligand,43,0.165183
4few_ligand,44,0.168045
4few_ligand,45,0.16991
4few_ligand,46,0.174018
4few_ligand,47,0.175845
4few_ligand,48,0.178946
4few_ligand,49,0.183152
4few_ligand,50,0.18516
4few_ligand,51,0.190469
4few_ligand,52,0.192393
4few_ligand,53,0.194638
4few_ligand,54,0.200027
4few_ligand,55,0.202165
4few_ligand,56,0.206654
4few_ligand,57,0.208745
4few_ligand,58,0.213331
4few_ligand,59,0.215368
4few_ligand,60,0.218703
4few_ligand,61,0.223381
4few_ligand,62,0.22577
4few_ligand,63,0.231355
4few_ligand,64,0.233531
4few_ligand,65,0.238364
4few_ligand,66,0.240692
4few_ligand,67,0.245611
4few_ligand,68,0.247931
4few_ligand,69,0.253642
4few_ligand,70,0.255814
4few_ligand,71,0.261483
4few_ligand,72,0.263614
4few_ligand,73,0.268425
4few_ligand,74,0.270619
4few_ligand,75,0.274044
4few_ligand,76,0.278787
4few_ligand,77,0.282141
4few_ligand,78,0.286936
4few_ligand,79,0.289464
4few_ligand,80,0.293869
4few_ligand,81,0.295995
4few_ligand,82,0.301169
4few_ligand,83,0.303216
4few_ligand,84,0.307595
4few_ligand,85,0.310585
4few_ligand,86,0.315041
4few_ligand,87,0.317174
4few_ligand,88,0.322513
4few_ligand,89,0.324711
4few_ligand,90,0.32932
4few_ligand,91,0.331597
4few_ligand,92,0.337047
4few_ligand,93,0.339306
4few_ligand,94,0.344728
4few_ligand,95,0.347057
4few_ligand,96,0.351782
4few_ligand,97,0.354188
4few_ligand,98,0.359003
4few_ligand,99,0.361501
4few_ligand,100,0.367019
4few_ligand,101,0.369615
4few_ligand,102,0.37459
4few_ligand,103,0.377282
4few_ligand,104,0.382461
4few_ligand,105,0.385448
4few_ligand,106,0.391278
4few_ligand,107,0.394364
4few_ligand,108,0.399696
4few_ligand,109,0.402839
4few_ligand,110,0.408027
4few_ligand,111,0.411058
4few_ligand,112,0.41656
4few_ligand,113,0.419945
4few_ligand,114,0.425542
4few_ligand,115,0.42908
4few_ligand,116,0.434796
4few_ligand,117,0.440565
4few_ligand,118,0.443591
4few_ligand,119,0.449369
4few_ligand,120,0.452475
4few_ligand,121,0.458345
4few_ligand,122,0.461655
4few_ligand,123,0.467619
4few_ligand,124,0.47116
4few_ligand,125,0.477219
4few_ligand,126,0.481012
4few_ligand,127,0.487168
4few_ligand,128,0.490827
4few_ligand,129,0.4967
4few_ligand,130,0.50261
4few_ligand,131,0.505607
4few_ligand,132,0.511593
4few_ligand,133,0.514993
4few_ligand,134,0.521051
4few_ligand,135,0.524866
4few_ligand,136,0.531019
4few_ligand,137,0.537129
4few_ligand,138,0.540176
4few_ligand,139,0.546277
4few_ligand,140,0.549897
4few_ligand,141,0.556075
4few_ligand,142,0.560293
4few_ligand,143,0.566637
4few_ligand,144,0.56457
4few_ligand,145,0.566792
4few_ligand,146,0.564687
4few_ligand,147,0.567625
4few_ligand,148,0.565513
4few_ligand,149,0.563418
4few_ligand,150,0.56657
4few_ligand,151,0.5645
4few_ligand,152,0.569558
4few_ligand,153,0.564664
4few_ligand,154,0.562529
4few_ligand,155,0.565171
4few_ligand,156,0.563012
4few_ligand,157,0.568167
4few_ligand,158,0.563343
4few_ligand,159,0.569199
4few_ligand,160,0.564909
4few_ligand,161,0.562703
4few_ligand,162,0.568167
4few_ligand,163,0.563565
4few_ligand,164,0.561595
4few_ligand,165,0.565002
4few_ligand,166,0.563075
4few_ligand,167,0.568623
4few_ligand,168,0.564152
4few_ligand,169,0.562227
4few_ligand,170,0.567736
4few_ligand,171,0.563014
4few_ligand,172,0.568538
4few_ligand,173,0.564383
4few_ligand,174,0.562407
4few_ligand,175,0.567869
4few_ligand,176,0.563339
4few_ligand,177,0.562021
4few_ligand,178,0.56536
4few_ligand,179,0.563397
4few_ligand,180,0.568812
4few_ligand,181,0.564498
4few_ligand,182,0.563247
4few_ligand,183,0.568563
4few_ligand,184,0.564037
4few_ligand,185,0.562801
4few_ligand,186,0.565815
4few_ligand,187,0.564631
4few_ligand,188,0.562645
4few_ligand,189,0.565287
4few_ligand,190,0.564128
4few_ligand,191,0.560998
4few_ligand,192,0.566202
4few_ligand,193,0.56427
4few_ligand,194,0.560709
4few_ligand,195,0.566669
4few_ligand,196,0.564749
4few_ligand,197,0.560762
4few_ligand,198,0.566623
4few_ligand,199,0.563513
4few_ligand,200,0.561421
4few_ligand,201,0.567178
4few_ligand,202,0.562931
4few_ligand,203,0.561753
4few_ligand,204,0.567029
4few_ligand,205,0.563031
4few_ligand,206,0.561864
4few_ligand,207,0.564771
4few_ligand,208,0.563425
4few_ligand,209,0.562037
4few_ligand,210,0.558094
4few_ligand,211,0.563156
4few_ligand,212,0.559753
4few_ligand,213,0.558228
4few_ligand,214,0.563154
4few_ligand,215,0.560978
4few_ligand,216,0.559565
4few_ligand,217,0.562557
4few_ligand,218,0.56118
4few_ligand,219,0.559794
4few_ligand,220,0.563717
4few_ligand,221,0.562424
4few_ligand,222,0.56116
4few_ligand,223,0.557554
4few_ligand,224,0.563328
4few_ligand,225,0.56009
4few_ligand,226,0.559833
4few_ligand,227,0.564458
4few_ligand,228,0.561097
4few_ligand,229,0.56092
4few_ligand,230,0.563491
4few_ligand,231,0.563371
4few_ligand,232,0.562218
4few_ligand,233,0.558904
4few_ligand,234,0.564428
4few_ligand,235,0.563344
4few_ligand,236,0.559945
4few_ligand,237,0.565409
4few_ligand,238,0.562313
4few_ligand,239,0.562288
4few_ligand,240,0.561133
4few_ligand,241,0.563029
4few_ligand,242,0.563096
4few_ligand,243,0.561961
4few_ligand,244,0.55978
4few_ligand,245,0.563729
4few_ligand,246,0.561939
4few_ligand,247,0.5607
4few_ligand,248,0.565903
4few_ligand,249,0.562328
4few_ligand,250,0.562453
4few_ligand,251,0.560634
4few_ligand,252,0.563888
4few_ligand,253,0.564124
4few_ligand,254,0.560579
4few_ligand,255,0.56069
4few_ligand,256,0.565124
4few_ligand,257,0.561557
4few_ligand,258,0.561709
4few_ligand,259,0.566469
4few_ligand,260,0.562861
4few_ligand,261,0.563042
4few_ligand,262,0.560766
4few_ligand,263,0.565013
4few_ligand,264,0.56474
4few_ligand,265,0.56236
4few_ligand,266,0.56197
4few_ligand,267,0.566098
4few_ligand,268,0.562808
4few_ligand,269,0.562756
4few_ligand,270,0.560549
4few_ligand,271,0.564576
4few_ligand,272,0.564254
4few_ligand,273,0.56199
4few_ligand,274,0.561554
4few_ligand,275,0.565488
4few_ligand,276,0.563126
4few_ligand,277,0.562746
4few_ligand,278,0.562379
4few_ligand,279,0.563947
4few_ligand,280,0.563622
4few_ligand,281,0.561438
4few_ligand,282,0.560991
4few_ligand,283,0.5648
4few_ligand,284,0.56245
4few_ligand,285,0.562053
4few_ligand,286,0.561618
4few_ligand,287,0.563064
4few_ligand,288,0.56268
4few_ligand,289,0.562236
4few_ligand,290,0.563545
4few_ligand,291,0.563752
4few_ligand,292,0.561447
4few_ligand,293,0.561576
4few_ligand,294,0.564543
4few_ligand,295,0.562802
4few_ligand,296,0.562719
4few_ligand,297,0.561543
4few_ligand,298,0.563886
4few_ligand,299,0.562711
4few_ligand,300,0.563191
