ligand,iteration,standalone_ls_score
4few_ligand,1,244.443
4few_ligand,2,244.457
4few_ligand,3,244.435
4few_ligand,4,244.436
4few_ligand,5,244.438
4few_ligand,6,244.416
4few_ligand,7,244.418
4few_ligand,8,244.41
4few_ligand,9,244.417
4few_ligand,10,244.397
4few_ligand,11,244.39
4few_ligand,12,244.393
4few_ligand,13,244.383
4few_ligand,14,244.363
4few_ligand,15,244.359
4few_ligand,16,244.354
4few_ligand,17,244.362
4few_ligand,18,244.34
4few_ligand,19,244.329
4few_ligand,20,244.319
4few_ligand,21,244.327
4few_ligand,22,244.313
4few_ligand,23,244.298
4few_ligand,24,244.298
4few_ligand,25,244.265
4few_ligand,26,244.266
4few_ligand,27,244.253
4few_ligand,28,244.25
4few_ligand,29,244.248
4few_ligand,30,244.231
4few_ligand,31,244.201
4few_ligand,32,244.176
4few_ligand,33,244.182
4few_ligand,34,244.153
4few_ligand,35,244.117
4few_ligand,36,244.08
4few_ligand,37,244.07
4few_ligand,38,244.019
4few_ligand,39,243.994
4few_ligand,40,243.965
4few_ligand,41,243.912
4few_ligand,42,243.851
4few_ligand,43,243.831
4few_ligand,44,243.764
4few_ligand,45,243.704
4few_ligand,46,243.665
4few_ligand,47,243.557
4few_ligand,48,243.5
4few_ligand,49,243.42
4few_ligand,50,243.321
4few_ligand,51,243.272
4few_ligand,52,243.146
4few_ligand,53,243.043
4few_ligand,54,242.943
4few_ligand,55,242.809
4few_ligand,56,242.706
4few_ligand,57,242.528
4few_ligand,58,242.438
4few_ligand,59,242.238
4few_ligand,60,242.076
4few_ligand,61,241.895
4few_ligand,62,241.704
4few_ligand,63,241.524
4few_ligand,64,241.282
4few_ligand,65,241.077
4few_ligand,66,240.805
4few_ligand,67,240.593
4few_ligand,68,240.264
4few_ligand,69,240.027
4few_ligand,70,239.655
4few_ligand,71,239.388
4few_ligand,72,238.994
4few_ligand,73,238.682
4few_ligand,74,238.247
4few_ligand,75,237.84
4few_ligand,76,237.404
4few_ligand,77,236.958
4few_ligand,78,236.493
4few_ligand,79,235.97
4few_ligand,80,235.452
4few_ligand,81,234.878
4few_ligand,82,234.316
4few_ligand,83,233.685
4few_ligand,84,233.053
4few_ligand,85,232.369
4few_ligand,86,231.676
4few_ligand,87,230.904
4few_ligand,88,230.17
4few_ligand,89,229.321
4few_ligand,90,228.486
4few_ligand,91,227.576
4few_ligand,92,226.698
4few_ligand,93,225.703
4few_ligand,94,224.726
4few_ligand,95,223.66
4few_ligand,96,222.612
4few_ligand,97,221.454
4few_ligand,98,220.3
4few_ligand,99,219.069
4few_ligand,100,217.861
4few_ligand,101,216.543
4few_ligand,102,215.23
4few_ligand,103,213.804
4few_ligand,104,212.401
4few_ligand,105,210.914
4few_ligand,106,209.427
4few_ligand,107,207.845
4few_ligand,108,206.272
4few_ligand,109,204.599
4few_ligand,110,202.937
4few_ligand,111,201.197
4few_ligand,112,199.455
4few_ligand,113,197.637
4few_ligand,114,195.794
4few_ligand,115,193.908
4few_ligand,116,192.005
4few_ligand,117,190.132
4few_ligand,118,188.064
4few_ligand,119,186.118
4few_ligand,120,184.005
4few_ligand,121,181.991
4few_ligand,122,179.836
4few_ligand,123,177.752
4few_ligand,124,175.56
4few_ligand,125,173.431
4few_ligand,126,171.218
4few_ligand,127,169.023
4few_ligand,128,166.806
4few_ligand,129,164.577
4few_ligand,130,162.418
4few_ligand,131,160.087
4few_ligand,132,157.899
4few_ligand,133,155.577
4few_ligand,134,153.35
4few_ligand,135,151.065
4few_ligand,136,148.813
4few_ligand,137,146.655
4few_ligand,138,144.31
4few_ligand,139,142.126
4few_ligand,140,139.841
4few_ligand,141,137.639
4few_ligand,142,135.433
4few_ligand,143,133.25
4few_ligand,144,131.107
4few_ligand,145,128.902
4few_ligand,146,126.741
4few_ligand,147,124.633
4few_ligand,148,122.502
4few_ligand,149,120.454
4few_ligand,150,118.366
4few_ligand,151,116.311
4few_ligand,152,114.399
4few_ligand,153,112.303
4few_ligand,154,110.362
4few_ligand,155,108.398
4few_ligand,156,106.482
4few_ligand,157,104.691
4few_ligand,158,102.737
4few_ligand,159,100.963
4few_ligand,160,99.1215
4few_ligand,161,97.3429
4few_ligand,162,95.6787
4few_ligand,163,93.8829
4few_ligand,164,92.2049
4few_ligand,165,90.5615
4few_ligand,166,88.9252
4few_ligand,167,87.4004
4few_ligand,168,85.7624
4few_ligand,169,84.2159
4few_ligand,170,82.804
4few_ligand,171,81.2236
4few_ligand,172,79.8181
4few_ligand,173,78.3426
4few_ligand,174,76.9291
4few_ligand,175,75.6379
4few_ligand,176,74.2083
4few_ligand,177,72.8945
4few_ligand,178,71.6134
4few_ligand,179,70.3238
4few_ligand,180,69.1465
4few_ligand,181,67.8665
4few_ligand,182,66.6582
4few_ligand,183,65.5868
4few_ligand,184,64.3447
4few_ligand,185,63.2314
4few_ligand,186,62.1288
4few_ligand,187,61.037
4few_ligand,188,60.0155
4few_ligand,189,58.9457
4few_ligand,190,57.9212
4few_ligand,191,56.9086
4few_ligand,192,55.9576
4few_ligand,193,55.019
4few_ligand,194,54.0339
4few_ligand,195,53.1469
4few_ligand,196,52.2914
4few_ligand,197,51.3327
4few_ligand,198,50.5165
4few_ligand,199,49.6373
4few_ligand,200,48.7936
4few_ligand,201,48.0554
4few_ligand,202,47.1924
4few_ligand,203,46.3997
4few_ligand,204,45.7394
4few_ligand,205,44.8946
4few_ligand,206,44.1718
4few_ligand,207,43.4515
4few_ligand,208,42.7334
4few_ligand,209,42.0806
4few_ligand,210,41.3319
4few_ligand,211,40.6984
4few_ligand,212,40.0139
4few_ligand,213,39.3694
4few_ligand,214,38.8052
4few_ligand,215,38.1361
4few_ligand,216,37.525
4few_ligand,217,36.9504
4few_ligand,218,36.3547
4few_ligand,219,35.8053
4few_ligand,220,35.2437
4few_ligand,221,34.6826
4few_ligand,222,34.1938
4few_ligand,223,33.5898
4few_ligand,224,33.1203
4few_ligand,225,32.5697
4few_ligand,226,32.0683
4few_ligand,227,31.6523
4few_ligand,228,31.0999
4few_ligand,229,30.6287
4few_ligand,230,30.1777
4few_ligand,231,29.7172
4few_ligand,232,29.2918
4few_ligand,233,28.8004
4few_ligand,234,28.3982
4few_ligand,235,28.0243
4few_ligand,236,27.5262
4few_ligand,237,27.1673
4few_ligand,238,26.7279
4few_ligand,239,26.3269
4few_ligand,240,25.9722
4few_ligand,241,25.5639
4few_ligand,242,25.1795
4few_ligand,243,24.8688
4few_ligand,244,24.4307
4few_ligand,245,24.1165
4few_ligand,246,23.7315
4few_ligand,247,23.3754
4few_ligand,248,23.1116
4few_ligand,249,22.7106
4few_ligand,250,22.3779
4few_ligand,251,22.0483
4few_ligand,252,21.7474
4few_ligand,253,21.4492
4few_ligand,254,21.1032
4few_ligand,255,20.7989
4few_ligand,256,20.5644
4few_ligand,257,20.2121
4few_ligand,258,19.9167
4few_ligand,259,19.7238
4few_ligand,260,19.3626
4few_ligand,261,19.0944
4few_ligand,262,18.7989
4few_ligand,263,18.5571
4few_ligand,264,18.3202
4few_ligand,265,18.0154
4few_ligand,266,17.7543
4few_ligand,267,17.5759
4few_ligand,268,17.2626
4few_ligand,269,17.0144
4few_ligand,270,16.7625
4few_ligand,271,16.5478
4few_ligand,272,16.3247
4few_ligand,273,16.0667
4few_ligand,274,15.8352
4few_ligand,275,15.666
4few_ligand,276,15.4002
4few_ligand,277,15.1748
4few_ligand,278,15.0096
4few_ligand,279,14.7603
4few_ligand,280,14.5503
4few_ligand,281,14.3301
4few_ligand,282,14.1245
4few_ligand,283,13.9625
4few_ligand,284,13.7355
4few_ligand,285,13.5323
4few_ligand,286,13.3758
4few_ligand,287,13.1631
4few_ligand,288,12.9695
4few_ligand,289,12.8291
4few_ligand,290,12.614
4few_ligand,291,12.4369
4few_ligand,292,12.2423
4few_ligand,293,12.0634
4few_ligand,294,11.9319
4few_ligand,295,11.7316
4few_ligand,296,11.5591
4few_ligand,297,11.4215
4few_ligand,298,11.2398
4few_ligand,299,11.0682
4few_ligand,300,10.9611
