ligand,iteration,com_distance
5cst_ligand,1,0
5cst_ligand,2,0.00389815
5cst_ligand,3,0.00809093
5cst_ligand,4,0.0115991
5cst_ligand,5,0.0154984
5cst_ligand,6,0.0197216
5cst_ligand,7,0.02425
5cst_ligand,8,0.0290888
5cst_ligand,9,0.0342406
5cst_ligand,10,0.0397132
5cst_ligand,11,0.0455346
5cst_ligand,12,0.0489873
5cst_ligand,13,0.0525689
5cst_ligand,14,0.0561994
5cst_ligand,15,0.0591912
5cst_ligand,16,0.0602973
5cst_ligand,17,0.0638348
5cst_ligand,18,0.0649325
5cst_ligand,19,0.0661944
5cst_ligand,20,0.0696433
5cst_ligand,21,0.0709694
5cst_ligand,22,0.0743554
5cst_ligand,23,0.0757974
5cst_ligand,24,0.0803119
5cst_ligand,25,0.0836137
5cst_ligand,26,0.0852665
5cst_ligand,27,0.0885062
5cst_ligand,28,0.0916278
5cst_ligand,29,0.0935522
5cst_ligand,30,0.0966981
5cst_ligand,31,0.099806
5cst_ligand,32,0.102887
5cst_ligand,33,0.105965
5cst_ligand,34,0.109056
5cst_ligand,35,0.111818
5cst_ligand,36,0.114005
5cst_ligand,37,0.1163
5cst_ligand,38,0.118727
5cst_ligand,39,0.121313
5cst_ligand,40,0.124083
5cst_ligand,41,0.12705
5cst_ligand,42,0.130248
5cst_ligand,43,0.133746
5cst_ligand,44,0.137231
5cst_ligand,45,0.140711
5cst_ligand,46,0.144197
5cst_ligand,47,0.147682
5cst_ligand,48,0.151212
5cst_ligand,49,0.155275
5cst_ligand,50,0.159087
5cst_ligand,51,0.163018
5cst_ligand,52,0.167094
5cst_ligand,53,0.171341
5cst_ligand,54,0.17578
5cst_ligand,55,0.180436
5cst_ligand,56,0.18533
5cst_ligand,57,0.190491
5cst_ligand,58,0.195932
5cst_ligand,59,0.201678
5cst_ligand,60,0.20775
5cst_ligand,61,0.212415
5cst_ligand,62,0.209145
5cst_ligand,63,0.21458
5cst_ligand,64,0.211889
5cst_ligand,65,0.218044
5cst_ligand,66,0.215933
5cst_ligand,67,0.214099
5cst_ligand,68,0.222118
5cst_ligand,69,0.220305
