ligand,iteration,standalone_ls_score
5cst_ligand,1,-3.82605
5cst_ligand,2,-3.93697
5cst_ligand,3,-4.05155
5cst_ligand,4,-4.16902
5cst_ligand,5,-4.29615
5cst_ligand,6,-4.43408
5cst_ligand,7,-4.5843
5cst_ligand,8,-4.74857
5cst_ligand,9,-4.92902
5cst_ligand,10,-5.12778
5cst_ligand,11,-5.28695
5cst_ligand,12,-5.36583
5cst_ligand,13,-5.43873
5cst_ligand,14,-5.4549
5cst_ligand,15,-5.50334
5cst_ligand,16,-5.54411
5cst_ligand,17,-5.5813
5cst_ligand,18,-5.62769
5cst_ligand,19,-5.66406
5cst_ligand,20,-5.7078
5cst_ligand,21,-5.74906
5cst_ligand,22,-5.79083
5cst_ligand,23,-5.82125
5cst_ligand,24,-5.86506
5cst_ligand,25,-5.8983
5cst_ligand,26,-5.9446
5cst_ligand,27,-5.98914
5cst_ligand,28,-6.02916
5cst_ligand,29,-6.07018
5cst_ligand,30,-6.11432
5cst_ligand,31,-6.15852
5cst_ligand,32,-6.20335
5cst_ligand,33,-6.24953
5cst_ligand,34,-6.29031
5cst_ligand,35,-6.31353
5cst_ligand,36,-6.34295
5cst_ligand,37,-6.37495
5cst_ligand,38,-6.41
5cst_ligand,39,-6.44856
5cst_ligand,40,-6.49123
5cst_ligand,41,-6.53828
5cst_ligand,42,-6.57665
5cst_ligand,43,-6.61394
5cst_ligand,44,-6.65
5cst_ligand,45,-6.68549
5cst_ligand,46,-6.72084
5cst_ligand,47,-6.75633
5cst_ligand,48,-6.78312
5cst_ligand,49,-6.82822
5cst_ligand,50,-6.86987
5cst_ligand,51,-6.91454
5cst_ligand,52,-6.96298
5cst_ligand,53,-7.01572
5cst_ligand,54,-7.0736
5cst_ligand,55,-7.13714
5cst_ligand,56,-7.20725
5cst_ligand,57,-7.28468
5cst_ligand,58,-7.37034
5cst_ligand,59,-7.46502
5cst_ligand,60,-7.55603
5cst_ligand,61,-7.57586
5cst_ligand,62,-7.63451
