ligand,iteration,com_distance
5uez_ligand,1,0
5uez_ligand,2,0.00385906
5uez_ligand,3,0.00750932
5uez_ligand,4,0.0115397
5uez_ligand,5,0.0159444
5uez_ligand,6,0.0207441
5uez_ligand,7,0.0212861
5uez_ligand,8,0.026537
5uez_ligand,9,0.0281577
5uez_ligand,10,0.0335846
5uez_ligand,11,0.0356079
5uez_ligand,12,0.0381895
5uez_ligand,13,0.0410936
5uez_ligand,14,0.0461973
5uez_ligand,15,0.0493036
5uez_ligand,16,0.052676
5uez_ligand,17,0.0560012
5uez_ligand,18,0.0596
5uez_ligand,19,0.0617447
5uez_ligand,20,0.0656911
5uez_ligand,21,0.0699345
5uez_ligand,22,0.0727997
5uez_ligand,23,0.0773136
5uez_ligand,24,0.0806374
5uez_ligand,25,0.084284
5uez_ligand,26,0.0893093
5uez_ligand,27,0.093642
5uez_ligand,28,0.0978691
5uez_ligand,29,0.102438
5uez_ligand,30,0.101576
5uez_ligand,31,0.105746
5uez_ligand,32,0.110281
5uez_ligand,33,0.109677
5uez_ligand,34,0.113946
5uez_ligand,35,0.113459
5uez_ligand,36,0.117415
5uez_ligand,37,0.121838
5uez_ligand,38,0.121446
5uez_ligand,39,0.12557
5uez_ligand,40,0.124845
5uez_ligand,41,0.128436
5uez_ligand,42,0.127642
5uez_ligand,43,0.131427
5uez_ligand,44,0.131014
5uez_ligand,45,0.134825
5uez_ligand,46,0.138938
5uez_ligand,47,0.139901
5uez_ligand,48,0.143959
5uez_ligand,49,0.145068
5uez_ligand,50,0.149116
5uez_ligand,51,0.150283
5uez_ligand,52,0.154416
5uez_ligand,53,0.155618
5uez_ligand,54,0.160461
5uez_ligand,55,0.16175
5uez_ligand,56,0.166548
5uez_ligand,57,0.167915
5uez_ligand,58,0.172736
5uez_ligand,59,0.174224
5uez_ligand,60,0.179535
5uez_ligand,61,0.181126
5uez_ligand,62,0.186452
5uez_ligand,63,0.188585
5uez_ligand,64,0.193631
5uez_ligand,65,0.195824
5uez_ligand,66,0.201252
5uez_ligand,67,0.203529
5uez_ligand,68,0.209053
5uez_ligand,69,0.21144
5uez_ligand,70,0.213969
5uez_ligand,71,0.219522
5uez_ligand,72,0.222293
5uez_ligand,73,0.227996
5uez_ligand,74,0.230901
5uez_ligand,75,0.236796
5uez_ligand,76,0.239881
5uez_ligand,77,0.243144
5uez_ligand,78,0.249094
5uez_ligand,79,0.252492
5uez_ligand,80,0.256054
5uez_ligand,81,0.262118
5uez_ligand,82,0.265903
5uez_ligand,83,0.269858
5uez_ligand,84,0.276139
5uez_ligand,85,0.280388
5uez_ligand,86,0.284631
5uez_ligand,87,0.291036
5uez_ligand,88,0.295589
5uez_ligand,89,0.300023
5uez_ligand,90,0.306003
5uez_ligand,91,0.310361
5uez_ligand,92,0.314868
5uez_ligand,93,0.321216
5uez_ligand,94,0.326148
5uez_ligand,95,0.316709
5uez_ligand,96,0.318505
5uez_ligand,97,0.318957
5uez_ligand,98,0.320247
5uez_ligand,99,0.321597
5uez_ligand,100,0.323009
5uez_ligand,101,0.323827
5uez_ligand,102,0.325188
5uez_ligand,103,0.318803
5uez_ligand,104,0.319147
5uez_ligand,105,0.319886
5uez_ligand,106,0.320668
5uez_ligand,107,0.32149
5uez_ligand,108,0.322069
5uez_ligand,109,0.322882
5uez_ligand,110,0.323739
5uez_ligand,111,0.323304
5uez_ligand,112,0.32025
5uez_ligand,113,0.320746
5uez_ligand,114,0.321276
5uez_ligand,115,0.320594
5uez_ligand,116,0.322217
5uez_ligand,117,0.322782
5uez_ligand,118,0.322285
5uez_ligand,119,0.322874
5uez_ligand,120,0.320678
5uez_ligand,121,0.320032
5uez_ligand,122,0.320403
5uez_ligand,123,0.320805
5uez_ligand,124,0.322201
5uez_ligand,125,0.321752
5uez_ligand,126,0.322215
5uez_ligand,127,0.318542
5uez_ligand,128,0.319837
5uez_ligand,129,0.320185
5uez_ligand,130,0.320563
5uez_ligand,131,0.32017
5uez_ligand,132,0.320769
5uez_ligand,133,0.321402
5uez_ligand,134,0.32135
5uez_ligand,135,0.318959
5uez_ligand,136,0.319454
5uez_ligand,137,0.319282
5uez_ligand,138,0.319796
5uez_ligand,139,0.320337
5uez_ligand,140,0.320279
5uez_ligand,141,0.320861
5uez_ligand,142,0.318556
5uez_ligand,143,0.318429
5uez_ligand,144,0.318903
5uez_ligand,145,0.319404
5uez_ligand,146,0.319385
5uez_ligand,147,0.319929
5uez_ligand,148,0.320512
5uez_ligand,149,0.320637
5uez_ligand,150,0.318388
5uez_ligand,151,0.318873
5uez_ligand,152,0.318901
5uez_ligand,153,0.319438
5uez_ligand,154,0.320016
5uez_ligand,155,0.320197
5uez_ligand,156,0.320865
5uez_ligand,157,0.318727
5uez_ligand,158,0.318871
5uez_ligand,159,0.319478
5uez_ligand,160,0.320132
5uez_ligand,161,0.319721
5uez_ligand,162,0.32033
5uez_ligand,163,0.320984
5uez_ligand,164,0.318476
5uez_ligand,165,0.319025
5uez_ligand,166,0.319606
5uez_ligand,167,0.319202
5uez_ligand,168,0.3198
5uez_ligand,169,0.320439
5uez_ligand,170,0.32082
5uez_ligand,171,0.321552
5uez_ligand,172,0.318429
5uez_ligand,173,0.318995
5uez_ligand,174,0.319594
5uez_ligand,175,0.319959
5uez_ligand,176,0.32064
5uez_ligand,177,0.320563
5uez_ligand,178,0.321049
5uez_ligand,179,0.318982
5uez_ligand,180,0.318802
5uez_ligand,181,0.319201
5uez_ligand,182,0.319868
5uez_ligand,183,0.320583
5uez_ligand,184,0.320259
5uez_ligand,185,0.321027
5uez_ligand,186,0.319025
5uez_ligand,187,0.318609
5uez_ligand,188,0.319294
5uez_ligand,189,0.320026
5uez_ligand,190,0.320636
5uez_ligand,191,0.320461
5uez_ligand,192,0.321308
5uez_ligand,193,0.322068
5uez_ligand,194,0.319094
5uez_ligand,195,0.319859
5uez_ligand,196,0.320534
5uez_ligand,197,0.320317
5uez_ligand,198,0.321061
5uez_ligand,199,0.320893
5uez_ligand,200,0.321884
5uez_ligand,201,0.319929
5uez_ligand,202,0.319637
5uez_ligand,203,0.32044
5uez_ligand,204,0.320207
5uez_ligand,205,0.321083
5uez_ligand,206,0.322156
5uez_ligand,207,0.321857
5uez_ligand,208,0.320197
5uez_ligand,209,0.31976
5uez_ligand,210,0.320797
5uez_ligand,211,0.320422
5uez_ligand,212,0.32144
5uez_ligand,213,0.322616
5uez_ligand,214,0.322318
5uez_ligand,215,0.323589
5uez_ligand,216,0.32048
5uez_ligand,217,0.321625
5uez_ligand,218,0.321219
5uez_ligand,219,0.322383
5uez_ligand,220,0.322101
5uez_ligand,221,0.323358
5uez_ligand,222,0.323136
5uez_ligand,223,0.32167
5uez_ligand,224,0.321301
