ligand,iteration,standalone_ls_score
5uez_ligand,1,-9.45327
5uez_ligand,2,-9.45617
5uez_ligand,3,-9.45842
5uez_ligand,4,-9.46091
5uez_ligand,5,-9.46366
5uez_ligand,6,-9.46657
5uez_ligand,7,-9.46858
5uez_ligand,8,-9.47183
5uez_ligand,9,-9.47394
5uez_ligand,10,-9.47713
5uez_ligand,11,-9.47909
5uez_ligand,12,-9.48132
5uez_ligand,13,-9.48358
5uez_ligand,14,-9.48677
5uez_ligand,15,-9.4891
5uez_ligand,16,-9.49141
5uez_ligand,17,-9.49374
5uez_ligand,18,-9.49621
5uez_ligand,19,-9.49808
5uez_ligand,20,-9.50084
5uez_ligand,21,-9.50374
5uez_ligand,22,-9.50606
5uez_ligand,23,-9.50917
5uez_ligand,24,-9.51183
5uez_ligand,25,-9.51461
5uez_ligand,26,-9.51824
5uez_ligand,27,-9.52161
5uez_ligand,28,-9.52486
5uez_ligand,29,-9.52823
5uez_ligand,30,-9.52562
5uez_ligand,31,-9.52895
5uez_ligand,32,-9.53156
5uez_ligand,33,-9.52966
5uez_ligand,34,-9.53308
5uez_ligand,35,-9.53021
5uez_ligand,36,-9.53386
5uez_ligand,37,-9.5361
5uez_ligand,38,-9.53459
5uez_ligand,39,-9.53732
5uez_ligand,40,-9.53491
5uez_ligand,41,-9.53802
5uez_ligand,42,-9.535
5uez_ligand,43,-9.53876
5uez_ligand,44,-9.53527
5uez_ligand,45,-9.53902
5uez_ligand,46,-9.54104
5uez_ligand,47,-9.53994
5uez_ligand,48,-9.54271
5uez_ligand,49,-9.54098
5uez_ligand,50,-9.54422
5uez_ligand,51,-9.54213
5uez_ligand,52,-9.5456
5uez_ligand,53,-9.54312
5uez_ligand,54,-9.54769
5uez_ligand,55,-9.5448
5uez_ligand,56,-9.54957
5uez_ligand,57,-9.5465
5uez_ligand,58,-9.55132
5uez_ligand,59,-9.54816
5uez_ligand,60,-9.55365
5uez_ligand,61,-9.55052
5uez_ligand,62,-9.55592
5uez_ligand,63,-9.55364
5uez_ligand,64,-9.55825
5uez_ligand,65,-9.55657
5uez_ligand,66,-9.56111
5uez_ligand,67,-9.56007
5uez_ligand,68,-9.56393
5uez_ligand,69,-9.56367
5uez_ligand,70,-9.56064
5uez_ligand,71,-9.56646
5uez_ligand,72,-9.56485
5uez_ligand,73,-9.56967
5uez_ligand,74,-9.56935
5uez_ligand,75,-9.57293
5uez_ligand,76,-9.57279
5uez_ligand,77,-9.57136
5uez_ligand,78,-9.57623
5uez_ligand,79,-9.57638
5uez_ligand,80,-9.57458
5uez_ligand,81,-9.58017
5uez_ligand,82,-9.58025
5uez_ligand,83,-9.57826
5uez_ligand,84,-9.58415
5uez_ligand,85,-9.58423
5uez_ligand,86,-9.58263
5uez_ligand,87,-9.58865
5uez_ligand,88,-9.58906
5uez_ligand,89,-9.58767
5uez_ligand,90,-9.59275
5uez_ligand,91,-9.59271
5uez_ligand,92,-9.59225
5uez_ligand,93,-9.59657
5uez_ligand,94,-9.5922
5uez_ligand,95,-9.59253
5uez_ligand,96,-9.5901
5uez_ligand,97,-9.59577
5uez_ligand,98,-9.59532
5uez_ligand,99,-9.59488
5uez_ligand,100,-9.5924
5uez_ligand,101,-9.59822
5uez_ligand,102,-9.59721
5uez_ligand,103,-9.59467
5uez_ligand,104,-9.59862
5uez_ligand,105,-9.5982
5uez_ligand,106,-9.59779
5uez_ligand,107,-9.59651
5uez_ligand,108,-9.60071
5uez_ligand,109,-9.60041
5uez_ligand,110,-9.6001
5uez_ligand,111,-9.59712
5uez_ligand,112,-9.60139
5uez_ligand,113,-9.60106
5uez_ligand,114,-9.60017
5uez_ligand,115,-9.60023
5uez_ligand,116,-9.60342
5uez_ligand,117,-9.60288
5uez_ligand,118,-9.60337
5uez_ligand,119,-9.60024
5uez_ligand,120,-9.60417
5uez_ligand,121,-9.60452
5uez_ligand,122,-9.60432
5uez_ligand,123,-9.60356
5uez_ligand,124,-9.60574
5uez_ligand,125,-9.60668
5uez_ligand,126,-9.6061
5uez_ligand,127,-9.60506
5uez_ligand,128,-9.60804
5uez_ligand,129,-9.60797
5uez_ligand,130,-9.60734
5uez_ligand,131,-9.608
5uez_ligand,132,-9.60845
5uez_ligand,133,-9.60838
5uez_ligand,134,-9.60839
5uez_ligand,135,-9.60913
5uez_ligand,136,-9.60908
5uez_ligand,137,-9.61031
5uez_ligand,138,-9.61078
5uez_ligand,139,-9.61083
5uez_ligand,140,-9.61204
5uez_ligand,141,-9.61225
5uez_ligand,142,-9.6117
5uez_ligand,143,-9.61286
5uez_ligand,144,-9.61338
5uez_ligand,145,-9.61356
5uez_ligand,146,-9.61472
5uez_ligand,147,-9.61533
5uez_ligand,148,-9.61561
5uez_ligand,149,-9.61535
5uez_ligand,150,-9.61658
5uez_ligand,151,-9.61685
5uez_ligand,152,-9.61815
5uez_ligand,153,-9.61892
5uez_ligand,154,-9.61936
5uez_ligand,155,-9.62087
5uez_ligand,156,-9.62108
5uez_ligand,157,-9.62147
5uez_ligand,158,-9.62307
5uez_ligand,159,-9.62413
5uez_ligand,160,-9.62483
5uez_ligand,161,-9.62455
5uez_ligand,162,-9.62549
5uez_ligand,163,-9.62593
5uez_ligand,164,-9.62666
5uez_ligand,165,-9.62762
5uez_ligand,166,-9.62813
5uez_ligand,167,-9.62791
5uez_ligand,168,-9.62892
5uez_ligand,169,-9.62948
5uez_ligand,170,-9.63128
5uez_ligand,171,-9.63076
5uez_ligand,172,-9.63069
5uez_ligand,173,-9.63176
5uez_ligand,174,-9.6328
5uez_ligand,175,-9.63423
5uez_ligand,176,-9.63538
5uez_ligand,177,-9.63443
5uez_ligand,178,-9.63516
5uez_ligand,179,-9.63627
5uez_ligand,180,-9.63514
5uez_ligand,181,-9.63673
5uez_ligand,182,-9.63804
5uez_ligand,183,-9.63918
5uez_ligand,184,-9.63863
5uez_ligand,185,-9.64001
5uez_ligand,186,-9.64028
5uez_ligand,187,-9.63967
5uez_ligand,188,-9.64109
5uez_ligand,189,-9.64234
5uez_ligand,190,-9.64418
5uez_ligand,191,-9.6433
5uez_ligand,192,-9.64465
5uez_ligand,193,-9.64518
5uez_ligand,194,-9.64474
5uez_ligand,195,-9.64603
5uez_ligand,196,-9.64806
5uez_ligand,197,-9.64697
5uez_ligand,198,-9.64896
5uez_ligand,199,-9.64798
5uez_ligand,200,-9.6484
5uez_ligand,201,-9.65057
5uez_ligand,202,-9.64918
5uez_ligand,203,-9.65147
5uez_ligand,204,-9.64987
5uez_ligand,205,-9.65238
5uez_ligand,206,-9.65365
5uez_ligand,207,-9.6533
5uez_ligand,208,-9.65362
5uez_ligand,209,-9.65326
5uez_ligand,210,-9.65461
5uez_ligand,211,-9.6541
5uez_ligand,212,-9.65639
5uez_ligand,213,-9.65814
5uez_ligand,214,-9.65765
5uez_ligand,215,-9.65779
5uez_ligand,216,-9.6579
5uez_ligand,217,-9.65914
5uez_ligand,218,-9.65898
5uez_ligand,219,-9.66127
5uez_ligand,220,-9.6602
5uez_ligand,221,-9.66281
5uez_ligand,222,-9.66091
5uez_ligand,223,-9.66333
5uez_ligand,224,-9.66181
5uez_ligand,225,-9.66484
5uez_ligand,226,-9.6632
5uez_ligand,227,-9.66301
5uez_ligand,228,-9.66576
5uez_ligand,229,-9.66474
5uez_ligand,230,-9.66576
5uez_ligand,231,-9.66547
5uez_ligand,232,-9.66848
5uez_ligand,233,-9.66724
5uez_ligand,234,-9.66704
5uez_ligand,235,-9.66902
5uez_ligand,236,-9.66924
5uez_ligand,237,-9.66981
5uez_ligand,238,-9.67025
5uez_ligand,239,-9.66958
5uez_ligand,240,-9.67207
5uez_ligand,241,-9.67196
5uez_ligand,242,-9.674
5uez_ligand,243,-9.6743
5uez_ligand,244,-9.67301
5uez_ligand,245,-9.67558
5uez_ligand,246,-9.67394
5uez_ligand,247,-9.67469
5uez_ligand,248,-9.67735
5uez_ligand,249,-9.67696
5uez_ligand,250,-9.67706
5uez_ligand,251,-9.67629
5uez_ligand,252,-9.67835
5uez_ligand,253,-9.67758
5uez_ligand,254,-9.67832
5uez_ligand,255,-9.67973
5uez_ligand,256,-9.68075
5uez_ligand,257,-9.68074
5uez_ligand,258,-9.68044
5uez_ligand,259,-9.683
5uez_ligand,260,-9.6816
5uez_ligand,261,-9.68255
5uez_ligand,262,-9.68136
5uez_ligand,263,-9.68471
5uez_ligand,264,-9.68512
5uez_ligand,265,-9.68483
