ligand,iteration,com_distance
5wuk_ligand,1,0
5wuk_ligand,2,0.0038642
5wuk_ligand,3,0.0079554
5wuk_ligand,4,0.0122176
5wuk_ligand,5,0.0164028
5wuk_ligand,6,0.0207186
5wuk_ligand,7,0.0251641
5wuk_ligand,8,0.0260525
5wuk_ligand,9,0.0297069
5wuk_ligand,10,0.0331143
5wuk_ligand,11,0.0365751
5wuk_ligand,12,0.0400858
5wuk_ligand,13,0.0435547
5wuk_ligand,14,0.0457523
5wuk_ligand,15,0.0491776
5wuk_ligand,16,0.0506603
5wuk_ligand,17,0.0522854
5wuk_ligand,18,0.0558403
5wuk_ligand,19,0.0576026
5wuk_ligand,20,0.0585865
5wuk_ligand,21,0.0621835
5wuk_ligand,22,0.0640682
5wuk_ligand,23,0.0660836
5wuk_ligand,24,0.0693523
5wuk_ligand,25,0.0709949
5wuk_ligand,26,0.0736633
5wuk_ligand,27,0.0752827
5wuk_ligand,28,0.0770225
5wuk_ligand,29,0.0804048
5wuk_ligand,30,0.0822306
5wuk_ligand,31,0.0851242
5wuk_ligand,32,0.0854222
5wuk_ligand,33,0.0873837
5wuk_ligand,34,0.087717
5wuk_ligand,35,0.0881548
5wuk_ligand,36,0.0897083
5wuk_ligand,37,0.0901179
5wuk_ligand,38,0.092213
5wuk_ligand,39,0.091899
5wuk_ligand,40,0.0927907
5wuk_ligand,41,0.0924135
5wuk_ligand,42,0.0938307
5wuk_ligand,43,0.0934875
5wuk_ligand,44,0.0932838
5wuk_ligand,45,0.0937714
5wuk_ligand,46,0.0928648
5wuk_ligand,47,0.0937969
5wuk_ligand,48,0.0928639
5wuk_ligand,49,0.0941403
5wuk_ligand,50,0.0930614
5wuk_ligand,51,0.0939741
5wuk_ligand,52,0.0945235
5wuk_ligand,53,0.0949221
5wuk_ligand,54,0.09363
5wuk_ligand,55,0.0963784
5wuk_ligand,56,0.0950573
5wuk_ligand,57,0.0959362
5wuk_ligand,58,0.0962713
5wuk_ligand,59,0.0950196
5wuk_ligand,60,0.0959281
5wuk_ligand,61,0.0946321
5wuk_ligand,62,0.0973012
5wuk_ligand,63,0.0958885
5wuk_ligand,64,0.0967603
5wuk_ligand,65,0.0978516
5wuk_ligand,66,0.0981962
5wuk_ligand,67,0.0965971
5wuk_ligand,68,0.0977655
5wuk_ligand,69,0.0988507
5wuk_ligand,70,0.097494
5wuk_ligand,71,0.098446
5wuk_ligand,72,0.0967978
5wuk_ligand,73,0.100677
5wuk_ligand,74,0.0990037
5wuk_ligand,75,0.0997478
5wuk_ligand,76,0.0977731
5wuk_ligand,77,0.0991727
5wuk_ligand,78,0.100334
5wuk_ligand,79,0.0981131
5wuk_ligand,80,0.102124
5wuk_ligand,81,0.100199
5wuk_ligand,82,0.0990606
5wuk_ligand,83,0.10262
5wuk_ligand,84,0.100689
5wuk_ligand,85,0.0995283
5wuk_ligand,86,0.100553
5wuk_ligand,87,0.102013
5wuk_ligand,88,0.102707
5wuk_ligand,89,0.100631
5wuk_ligand,90,0.102695
5wuk_ligand,91,0.103636
5wuk_ligand,92,0.10133
5wuk_ligand,93,0.100024
5wuk_ligand,94,0.104163
5wuk_ligand,95,0.102282
5wuk_ligand,96,0.10276
5wuk_ligand,97,0.104136
5wuk_ligand,98,0.102798
5wuk_ligand,99,0.103634
5wuk_ligand,100,0.101562
5wuk_ligand,101,0.10362
5wuk_ligand,102,0.102318
5wuk_ligand,103,0.103109
5wuk_ligand,104,0.104691
5wuk_ligand,105,0.103271
5wuk_ligand,106,0.103928
5wuk_ligand,107,0.106043
5wuk_ligand,108,0.103976
5wuk_ligand,109,0.104426
5wuk_ligand,110,0.102716
5wuk_ligand,111,0.104985
5wuk_ligand,112,0.105549
5wuk_ligand,113,0.103597
5wuk_ligand,114,0.105816
5wuk_ligand,115,0.103678
5wuk_ligand,116,0.108004
5wuk_ligand,117,0.105421
5wuk_ligand,118,0.103192
5wuk_ligand,119,0.107545
5wuk_ligand,120,0.105232
5wuk_ligand,121,0.107391
5wuk_ligand,122,0.106967
5wuk_ligand,123,0.104533
5wuk_ligand,124,0.107153
5wuk_ligand,125,0.106326
5wuk_ligand,126,0.108167
5wuk_ligand,127,0.10574
5wuk_ligand,128,0.109719
5wuk_ligand,129,0.106642
5wuk_ligand,130,0.10875
5wuk_ligand,131,0.106317
5wuk_ligand,132,0.11048
5wuk_ligand,133,0.107422
5wuk_ligand,134,0.104851
5wuk_ligand,135,0.10906
5wuk_ligand,136,0.106333
5wuk_ligand,137,0.10839
5wuk_ligand,138,0.107492
5wuk_ligand,139,0.109825
5wuk_ligand,140,0.107149
5wuk_ligand,141,0.111031
5wuk_ligand,142,0.108016
5wuk_ligand,143,0.110648
5wuk_ligand,144,0.109653
5wuk_ligand,145,0.106698
5wuk_ligand,146,0.109275
5wuk_ligand,147,0.108199
5wuk_ligand,148,0.110793
5wuk_ligand,149,0.107921
5wuk_ligand,150,0.112338
5wuk_ligand,151,0.109187
5wuk_ligand,152,0.112073
5wuk_ligand,153,0.110948
5wuk_ligand,154,0.107677
5wuk_ligand,155,0.112216
5wuk_ligand,156,0.108823
5wuk_ligand,157,0.111696
5wuk_ligand,158,0.110218
5wuk_ligand,159,0.112817
5wuk_ligand,160,0.109512
5wuk_ligand,161,0.114331
5wuk_ligand,162,0.110686
5wuk_ligand,163,0.113647
5wuk_ligand,164,0.112129
5wuk_ligand,165,0.115065
5wuk_ligand,166,0.11159
5wuk_ligand,167,0.110011
5wuk_ligand,168,0.112989
5wuk_ligand,169,0.109599
5wuk_ligand,170,0.114517
5wuk_ligand,171,0.110853
5wuk_ligand,172,0.115842
5wuk_ligand,173,0.111651
5wuk_ligand,174,0.116609
5wuk_ligand,175,0.112251
5wuk_ligand,176,0.115642
5wuk_ligand,177,0.113527
5wuk_ligand,178,0.116622
5wuk_ligand,179,0.114773
5wuk_ligand,180,0.110382
5wuk_ligand,181,0.115222
5wuk_ligand,182,0.110649
5wuk_ligand,183,0.114158
5wuk_ligand,184,0.112504
5wuk_ligand,185,0.115517
5wuk_ligand,186,0.113559
5wuk_ligand,187,0.116254
5wuk_ligand,188,0.112564
5wuk_ligand,189,0.117916
5wuk_ligand,190,0.11392
5wuk_ligand,191,0.119402
5wuk_ligand,192,0.114857
5wuk_ligand,193,0.120269
5wuk_ligand,194,0.115581
5wuk_ligand,195,0.121159
5wuk_ligand,196,0.11653
5wuk_ligand,197,0.114744
5wuk_ligand,198,0.117538
5wuk_ligand,199,0.115588
5wuk_ligand,200,0.118013
5wuk_ligand,201,0.114042
5wuk_ligand,202,0.119951
5wuk_ligand,203,0.115862
5wuk_ligand,204,0.121353
5wuk_ligand,205,0.116495
5wuk_ligand,206,0.122347
5wuk_ligand,207,0.117573
5wuk_ligand,208,0.115544
5wuk_ligand,209,0.118535
5wuk_ligand,210,0.116558
5wuk_ligand,211,0.119731
5wuk_ligand,212,0.117872
5wuk_ligand,213,0.12093
5wuk_ligand,214,0.117895
5wuk_ligand,215,0.120617
5wuk_ligand,216,0.117412
5wuk_ligand,217,0.120571
5wuk_ligand,218,0.117522
5wuk_ligand,219,0.120489
5wuk_ligand,220,0.117262
5wuk_ligand,221,0.120521
5wuk_ligand,222,0.117463
5wuk_ligand,223,0.120685
5wuk_ligand,224,0.117442
5wuk_ligand,225,0.120799
5wuk_ligand,226,0.117733
5wuk_ligand,227,0.12121
5wuk_ligand,228,0.117955
5wuk_ligand,229,0.121415
5wuk_ligand,230,0.1178
5wuk_ligand,231,0.121169
5wuk_ligand,232,0.117933
5wuk_ligand,233,0.121534
5wuk_ligand,234,0.118179
5wuk_ligand,235,0.121686
5wuk_ligand,236,0.11847
5wuk_ligand,237,0.122226
5wuk_ligand,238,0.119178
5wuk_ligand,239,0.122843
5wuk_ligand,240,0.11972
5wuk_ligand,241,0.123083
5wuk_ligand,242,0.119779
5wuk_ligand,243,0.123622
5wuk_ligand,244,0.12054
5wuk_ligand,245,0.123261
5wuk_ligand,246,0.12
5wuk_ligand,247,0.12289
5wuk_ligand,248,0.119885
5wuk_ligand,249,0.123015
5wuk_ligand,250,0.119812
5wuk_ligand,251,0.122904
5wuk_ligand,252,0.11931
5wuk_ligand,253,0.122267
5wuk_ligand,254,0.119155
5wuk_ligand,255,0.12249
5wuk_ligand,256,0.119272
5wuk_ligand,257,0.122474
5wuk_ligand,258,0.119424
5wuk_ligand,259,0.123555
5wuk_ligand,260,0.120473
5wuk_ligand,261,0.123631
5wuk_ligand,262,0.120439
5wuk_ligand,263,0.123386
5wuk_ligand,264,0.12001
5wuk_ligand,265,0.123434
5wuk_ligand,266,0.120326
5wuk_ligand,267,0.123768
5wuk_ligand,268,0.120474
5wuk_ligand,269,0.124169
5wuk_ligand,270,0.121153
5wuk_ligand,271,0.125081
5wuk_ligand,272,0.121889
5wuk_ligand,273,0.125866
5wuk_ligand,274,0.122329
5wuk_ligand,275,0.126674
5wuk_ligand,276,0.123373
5wuk_ligand,277,0.127314
5wuk_ligand,278,0.12408
5wuk_ligand,279,0.127935
5wuk_ligand,280,0.124796
5wuk_ligand,281,0.129115
5wuk_ligand,282,0.126594
5wuk_ligand,283,0.120602
5wuk_ligand,284,0.128137
5wuk_ligand,285,0.121265
5wuk_ligand,286,0.128701
5wuk_ligand,287,0.122109
5wuk_ligand,288,0.129935
5wuk_ligand,289,0.123755
5wuk_ligand,290,0.131442
5wuk_ligand,291,0.125147
5wuk_ligand,292,0.132715
5wuk_ligand,293,0.126816
5wuk_ligand,294,0.123894
5wuk_ligand,295,0.128332
5wuk_ligand,296,0.125787
5wuk_ligand,297,0.130137
5wuk_ligand,298,0.127432
5wuk_ligand,299,0.132097
5wuk_ligand,300,0.121986
