ligand,iteration,com_distance
1hii_ligand,0,0
1hii_ligand,1,0.375295
1hii_ligand,2,0.540325
1hii_ligand,3,0.392295
1hii_ligand,4,0.537224
1hii_ligand,5,0.434324
1hii_ligand,6,0.355173
1hii_ligand,7,0.28495
1hii_ligand,8,0.320716
1hii_ligand,9,0.298261
1hii_ligand,10,0.669527
1hii_ligand,11,0.578451
1hii_ligand,12,0.417327
1hii_ligand,13,0.357816
1hii_ligand,14,0.350609
1hii_ligand,15,0.347245
1hii_ligand,16,0.325014
1hii_ligand,17,0.321447
1hii_ligand,18,0.31969
1hii_ligand,19,0.293982
1hii_ligand,20,0.292028
1hii_ligand,21,0.290606
1hii_ligand,22,0.287746
1hii_ligand,23,0.27575
1hii_ligand,24,0.289808
1hii_ligand,25,0.27992
1hii_ligand,26,0.285687
1hii_ligand,27,0.290596
1hii_ligand,28,0.280265
1hii_ligand,29,0.268965
1hii_ligand,30,0.270855
1hii_ligand,31,0.271283
1hii_ligand,32,0.294699
1hii_ligand,33,0.286062
1hii_ligand,34,0.298474
1hii_ligand,35,0.269959
1hii_ligand,36,0.481082
1hii_ligand,37,0.387347
1hii_ligand,38,0.477082
1hii_ligand,39,0.334556
1hii_ligand,40,0.273654
1hii_ligand,41,0.266117
1hii_ligand,42,0.266047
1hii_ligand,43,0.249924
1hii_ligand,44,0.245401
1hii_ligand,45,0.284257
1hii_ligand,46,0.266619
1hii_ligand,47,0.277729
1hii_ligand,48,0.262746
1hii_ligand,49,0.281874
1hii_ligand,50,0.183324
1hii_ligand,51,0.312906
1hii_ligand,52,0.443345
1hii_ligand,53,0.278771
1hii_ligand,54,0.443748
1hii_ligand,55,0.230805
1hii_ligand,56,0.669832
1hii_ligand,57,0.23569
1hii_ligand,58,0.253826
1hii_ligand,59,0.268491
1hii_ligand,60,0.281693
1hii_ligand,61,0.280967
1hii_ligand,62,0.285735
1hii_ligand,63,0.28891
1hii_ligand,64,0.293373
1hii_ligand,65,0.295188
1hii_ligand,66,0.299568
1hii_ligand,67,0.302476
1hii_ligand,68,0.311032
1hii_ligand,69,0.312608
1hii_ligand,70,0.319354
1hii_ligand,71,0.333326
1hii_ligand,72,0.305331
1hii_ligand,73,0.318305
1hii_ligand,74,0.291083
1hii_ligand,75,0.310804
1hii_ligand,76,0.324127
