ligand,iteration,standalone_ls_score
3udd_ligand,0,-18.9354
3udd_ligand,1,-19.3872
3udd_ligand,2,-19.3364
3udd_ligand,3,-19.2837
3udd_ligand,4,-19.3995
3udd_ligand,5,-19.401
3udd_ligand,6,-19.3598
3udd_ligand,7,-19.5188
3udd_ligand,8,-19.3464
3udd_ligand,9,-19.3935
3udd_ligand,10,-18.9582
3udd_ligand,11,-19.2726
3udd_ligand,12,-19.5852
3udd_ligand,13,-17.766
3udd_ligand,14,-8.41524
3udd_ligand,15,-18.4415
3udd_ligand,16,-19.1334
3udd_ligand,17,-19.3387
3udd_ligand,18,-19.4444
3udd_ligand,19,-19.5274
3udd_ligand,20,-19.6016
3udd_ligand,21,-19.6673
3udd_ligand,22,-19.7156
3udd_ligand,23,-19.7515
3udd_ligand,24,-19.7803
3udd_ligand,25,-19.8212
3udd_ligand,26,-19.8401
3udd_ligand,27,-19.862
3udd_ligand,28,-19.8353
3udd_ligand,29,-19.8769
3udd_ligand,30,-19.8581
3udd_ligand,31,-19.8753
3udd_ligand,32,-19.8772
3udd_ligand,33,-19.8743
3udd_ligand,34,-19.8915
3udd_ligand,35,-19.8818
3udd_ligand,36,-19.8984
3udd_ligand,37,-19.9112
3udd_ligand,38,-19.8955
3udd_ligand,39,-19.9246
3udd_ligand,40,-19.8628
3udd_ligand,41,-19.9498
3udd_ligand,42,-19.7248
3udd_ligand,43,-19.6797
3udd_ligand,44,-19.6991
3udd_ligand,45,-19.6478
3udd_ligand,46,-19.8511
3udd_ligand,47,-19.9059
3udd_ligand,48,-19.4376
3udd_ligand,49,-19.4381
3udd_ligand,50,-19.663
3udd_ligand,51,-19.8717
3udd_ligand,52,-19.8169
3udd_ligand,53,-19.5635
3udd_ligand,54,-19.6457
3udd_ligand,55,-19.6201
3udd_ligand,56,-19.5752
3udd_ligand,57,-19.3523
3udd_ligand,58,-19.6971
3udd_ligand,59,-19.8906
3udd_ligand,60,-19.7168
3udd_ligand,61,-19.0655
3udd_ligand,62,-19.5453
3udd_ligand,63,-19.4502
3udd_ligand,64,-19.7592
3udd_ligand,65,-19.677
3udd_ligand,66,-19.6478
3udd_ligand,67,-19.1768
3udd_ligand,68,-19.5143
3udd_ligand,69,-19.5905
3udd_ligand,70,-19.6555
3udd_ligand,71,-19.0795
3udd_ligand,72,-19.5302
3udd_ligand,73,-19.1099
3udd_ligand,74,-19.8903
3udd_ligand,75,-19.6993
3udd_ligand,76,-19.634
3udd_ligand,77,-18.905
3udd_ligand,78,-19.7731
3udd_ligand,79,-19.6936
3udd_ligand,80,-19.7084
3udd_ligand,81,-19.8542
3udd_ligand,82,-19.7426
3udd_ligand,83,-19.7599
3udd_ligand,84,-19.6371
3udd_ligand,85,-19.0261
3udd_ligand,86,-19.6203
3udd_ligand,87,-19.5825
3udd_ligand,88,-18.92
3udd_ligand,89,-18.4001
3udd_ligand,90,-18.8568
3udd_ligand,91,-19.4136
3udd_ligand,92,-19.4324
3udd_ligand,93,-19.5805
3udd_ligand,94,-19.6117
3udd_ligand,95,-19.6549
3udd_ligand,96,-19.6831
3udd_ligand,97,-19.5845
3udd_ligand,98,-19.7213
3udd_ligand,99,-19.7696
3udd_ligand,100,-19.7993
3udd_ligand,101,-19.7525
3udd_ligand,102,-19.6455
3udd_ligand,103,-19.7784
3udd_ligand,104,-19.6154
3udd_ligand,105,-19.8436
3udd_ligand,106,-19.7166
3udd_ligand,107,-19.657
3udd_ligand,108,-19.3244
3udd_ligand,109,-19.645
3udd_ligand,110,-19.9365
3udd_ligand,111,-19.7276
3udd_ligand,112,-19.6515
3udd_ligand,113,-19.4753
3udd_ligand,114,-19.984
3udd_ligand,115,-20.0216
3udd_ligand,116,-19.8447
3udd_ligand,117,-19.4534
3udd_ligand,118,-19.2751
3udd_ligand,119,-19.9941
3udd_ligand,120,-19.9716
3udd_ligand,121,-19.339
3udd_ligand,122,-19.7455
3udd_ligand,123,-19.6586
3udd_ligand,124,-19.8936
3udd_ligand,125,-20.0189
3udd_ligand,126,-19.8211
3udd_ligand,127,-19.0722
3udd_ligand,128,-19.704
3udd_ligand,129,-19.8796
3udd_ligand,130,-19.9419
3udd_ligand,131,-19.9018
3udd_ligand,132,-19.7393
