ligand,iteration,com_distance
4few_ligand,0,0
4few_ligand,1,0.386378
4few_ligand,2,0.163222
4few_ligand,3,0.386302
4few_ligand,4,0.551984
4few_ligand,5,0.378461
4few_ligand,6,0.652886
4few_ligand,7,0.503376
4few_ligand,8,0.696185
4few_ligand,9,0.646236
4few_ligand,10,0.52322
4few_ligand,11,0.662307
4few_ligand,12,0.533862
4few_ligand,13,0.6123
4few_ligand,14,0.439341
4few_ligand,15,0.632761
4few_ligand,16,0.552954
4few_ligand,17,0.734918
4few_ligand,18,0.393629
4few_ligand,19,0.505318
4few_ligand,20,0.638697
4few_ligand,21,0.496319
4few_ligand,22,0.478587
4few_ligand,23,0.705435
4few_ligand,24,0.457352
4few_ligand,25,0.40938
4few_ligand,26,0.652424
4few_ligand,27,0.530934
4few_ligand,28,0.379292
4few_ligand,29,0.446004
4few_ligand,30,0.691562
4few_ligand,31,0.216817
4few_ligand,32,0.48372
4few_ligand,33,0.705661
4few_ligand,34,0.331664
4few_ligand,35,0.490404
4few_ligand,36,0.712971
4few_ligand,37,0.464809
4few_ligand,38,0.402269
4few_ligand,39,0.586648
4few_ligand,40,0.530007
4few_ligand,41,0.564561
4few_ligand,42,0.32373
4few_ligand,43,0.548715
4few_ligand,44,0.527313
4few_ligand,45,0.251757
4few_ligand,46,0.466696
4few_ligand,47,0.580471
4few_ligand,48,0.492653
4few_ligand,49,0.498976
4few_ligand,50,0.693457
4few_ligand,51,0.37109
4few_ligand,52,0.333367
4few_ligand,53,0.483116
4few_ligand,54,0.61132
4few_ligand,55,0.456969
4few_ligand,56,0.578338
4few_ligand,57,0.446849
4few_ligand,58,0.496234
4few_ligand,59,0.649856
4few_ligand,60,0.444831
4few_ligand,61,0.543698
4few_ligand,62,0.357667
4few_ligand,63,0.515033
4few_ligand,64,0.647929
4few_ligand,65,0.432689
4few_ligand,66,0.588775
4few_ligand,67,0.473492
4few_ligand,68,0.645232
4few_ligand,69,0.442092
4few_ligand,70,0.591706
4few_ligand,71,0.428912
4few_ligand,72,0.532874
4few_ligand,73,0.713829
4few_ligand,74,0.32316
4few_ligand,75,0.509262
4few_ligand,76,0.665974
4few_ligand,77,0.434351
4few_ligand,78,0.599574
4few_ligand,79,0.486337
4few_ligand,80,0.677643
4few_ligand,81,0.394372
4few_ligand,82,0.542014
4few_ligand,83,0.432314
4few_ligand,84,0.619177
4few_ligand,85,0.526605
4few_ligand,86,0.632573
4few_ligand,87,0.291689
4few_ligand,88,0.424771
4few_ligand,89,0.509791
4few_ligand,90,0.487288
4few_ligand,91,0.590253
4few_ligand,92,0.395481
4few_ligand,93,0.49712
4few_ligand,94,0.624953
4few_ligand,95,0.415882
4few_ligand,96,0.549997
4few_ligand,97,0.582003
4few_ligand,98,0.432418
4few_ligand,99,0.581849
4few_ligand,100,0.65446
4few_ligand,101,0.331531
4few_ligand,102,0.455478
4few_ligand,103,0.567561
4few_ligand,104,0.701712
4few_ligand,105,0.428777
4few_ligand,106,0.526144
4few_ligand,107,0.66237
4few_ligand,108,0.388501
4few_ligand,109,0.49001
4few_ligand,110,0.648796
4few_ligand,111,0.504485
4few_ligand,112,0.477144
4few_ligand,113,0.623388
4few_ligand,114,0.423762
4few_ligand,115,0.567158
4few_ligand,116,0.628398
4few_ligand,117,0.290147
4few_ligand,118,0.406086
4few_ligand,119,0.515945
4few_ligand,120,0.643143
4few_ligand,121,0.489057
4few_ligand,122,0.454059
4few_ligand,123,0.585756
4few_ligand,124,0.366973
4few_ligand,125,0.495259
4few_ligand,126,0.58523
4few_ligand,127,0.607846
4few_ligand,128,0.309833
4few_ligand,129,0.426037
4few_ligand,130,0.562623
4few_ligand,131,0.683397
4few_ligand,132,0.518303
4few_ligand,133,0.377487
4few_ligand,134,0.452365
4few_ligand,135,0.521918
4few_ligand,136,0.601156
4few_ligand,137,0.464679
4few_ligand,138,0.535347
4few_ligand,139,0.523251
4few_ligand,140,0.598453
4few_ligand,141,0.425159
4few_ligand,142,0.508594
4few_ligand,143,0.603455
4few_ligand,144,0.606469
4few_ligand,145,0.400162
4few_ligand,146,0.487087
4few_ligand,147,0.577352
4few_ligand,148,0.671843
4few_ligand,149,0.409045
4few_ligand,150,0.48853
4few_ligand,151,0.600029
4few_ligand,152,0.454992
4few_ligand,153,0.465596
4few_ligand,154,0.54694
4few_ligand,155,0.65775
4few_ligand,156,0.516369
4few_ligand,157,0.472245
4few_ligand,158,0.586613
4few_ligand,159,0.378506
4few_ligand,160,0.482946
4few_ligand,161,0.56064
4few_ligand,162,0.676364
4few_ligand,163,0.395113
4few_ligand,164,0.477109
4few_ligand,165,0.585031
4few_ligand,166,0.418438
4few_ligand,167,0.533891
