ligand,iteration,com_distance
1fkb_ligand,1,0
1fkb_ligand,2,0.0077812
1fkb_ligand,3,0.0157611
1fkb_ligand,4,0.0238216
1fkb_ligand,5,0.0320696
1fkb_ligand,6,0.0402935
1fkb_ligand,7,0.0486172
1fkb_ligand,8,0.0573462
1fkb_ligand,9,0.0662324
1fkb_ligand,10,0.0752072
1fkb_ligand,11,0.0842927
1fkb_ligand,12,0.0931583
1fkb_ligand,13,0.102208
1fkb_ligand,14,0.111304
1fkb_ligand,15,0.120474
1fkb_ligand,16,0.129704
1fkb_ligand,17,0.138724
1fkb_ligand,18,0.147638
1fkb_ligand,19,0.156536
1fkb_ligand,20,0.16553
1fkb_ligand,21,0.174468
1fkb_ligand,22,0.183651
1fkb_ligand,23,0.192884
1fkb_ligand,24,0.201911
1fkb_ligand,25,0.210973
1fkb_ligand,26,0.220115
1fkb_ligand,27,0.229249
1fkb_ligand,28,0.228244
1fkb_ligand,29,0.237375
1fkb_ligand,30,0.246364
1fkb_ligand,31,0.244965
1fkb_ligand,32,0.253775
1fkb_ligand,33,0.262087
1fkb_ligand,34,0.260184
1fkb_ligand,35,0.268582
1fkb_ligand,36,0.276762
1fkb_ligand,37,0.27472
1fkb_ligand,38,0.282556
1fkb_ligand,39,0.290212
1fkb_ligand,40,0.287858
1fkb_ligand,41,0.295446
1fkb_ligand,42,0.303141
1fkb_ligand,43,0.31065
1fkb_ligand,44,0.308166
1fkb_ligand,45,0.314033
1fkb_ligand,46,0.31964
1fkb_ligand,47,0.3251
1fkb_ligand,48,0.320455
1fkb_ligand,49,0.325916
1fkb_ligand,50,0.331264
1fkb_ligand,51,0.336611
1fkb_ligand,52,0.331989
1fkb_ligand,53,0.336815
1fkb_ligand,54,0.339561
1fkb_ligand,55,0.342256
1fkb_ligand,56,0.335113
1fkb_ligand,57,0.337733
1fkb_ligand,58,0.340433
1fkb_ligand,59,0.343074
1fkb_ligand,60,0.338175
1fkb_ligand,61,0.34075
1fkb_ligand,62,0.343398
1fkb_ligand,63,0.345989
1fkb_ligand,64,0.339128
1fkb_ligand,65,0.341722
1fkb_ligand,66,0.344324
1fkb_ligand,67,0.346873
1fkb_ligand,68,0.340218
1fkb_ligand,69,0.342773
1fkb_ligand,70,0.345264
1fkb_ligand,71,0.347701
1fkb_ligand,72,0.341099
1fkb_ligand,73,0.343548
1fkb_ligand,74,0.346019
1fkb_ligand,75,0.348567
1fkb_ligand,76,0.35106
1fkb_ligand,77,0.344056
1fkb_ligand,78,0.346497
1fkb_ligand,79,0.349005
1fkb_ligand,80,0.351464
1fkb_ligand,81,0.344752
1fkb_ligand,82,0.347164
1fkb_ligand,83,0.34964
1fkb_ligand,84,0.35207
1fkb_ligand,85,0.347279
1fkb_ligand,86,0.34968
1fkb_ligand,87,0.352065
1fkb_ligand,88,0.354517
1fkb_ligand,89,0.348079
1fkb_ligand,90,0.350455
1fkb_ligand,91,0.352819
1fkb_ligand,92,0.355248
1fkb_ligand,93,0.349029
1fkb_ligand,94,0.35138
1fkb_ligand,95,0.353723
1fkb_ligand,96,0.356174
1fkb_ligand,97,0.358548
1fkb_ligand,98,0.35435
1fkb_ligand,99,0.35674
1fkb_ligand,100,0.359116
1fkb_ligand,101,0.361574
1fkb_ligand,102,0.355238
1fkb_ligand,103,0.357607
1fkb_ligand,104,0.359977
1fkb_ligand,105,0.362418
1fkb_ligand,106,0.356295
1fkb_ligand,107,0.35842
1fkb_ligand,108,0.360541
1fkb_ligand,109,0.362742
1fkb_ligand,110,0.358578
1fkb_ligand,111,0.360441
1fkb_ligand,112,0.362367
1fkb_ligand,113,0.364325
1fkb_ligand,114,0.366358
1fkb_ligand,115,0.359792
1fkb_ligand,116,0.361738
1fkb_ligand,117,0.363687
1fkb_ligand,118,0.365712
1fkb_ligand,119,0.359478
1fkb_ligand,120,0.361344
1fkb_ligand,121,0.363274
1fkb_ligand,122,0.365346
1fkb_ligand,123,0.359481
1fkb_ligand,124,0.361328
1fkb_ligand,125,0.363414
1fkb_ligand,126,0.368124
1fkb_ligand,127,0.372335
1fkb_ligand,128,0.366007
1fkb_ligand,129,0.367817
1fkb_ligand,130,0.369698
1fkb_ligand,131,0.371678
1fkb_ligand,132,0.365746
1fkb_ligand,133,0.367547
1fkb_ligand,134,0.369526
1fkb_ligand,135,0.371498
1fkb_ligand,136,0.373547
1fkb_ligand,137,0.367317
1fkb_ligand,138,0.369214
1fkb_ligand,139,0.371176
1fkb_ligand,140,0.373289
1fkb_ligand,141,0.369823
1fkb_ligand,142,0.371631
1fkb_ligand,143,0.373534
1fkb_ligand,144,0.375495
1fkb_ligand,145,0.369963
1fkb_ligand,146,0.371758
1fkb_ligand,147,0.373648
1fkb_ligand,148,0.375605
1fkb_ligand,149,0.377651
1fkb_ligand,150,0.37192
1fkb_ligand,151,0.373803
1fkb_ligand,152,0.375788
1fkb_ligand,153,0.377707
1fkb_ligand,154,0.372252
1fkb_ligand,155,0.373986
1fkb_ligand,156,0.375825
1fkb_ligand,157,0.380101
1fkb_ligand,158,0.382023
1fkb_ligand,159,0.376301
1fkb_ligand,160,0.378038
1fkb_ligand,161,0.379886
1fkb_ligand,162,0.381552
1fkb_ligand,163,0.376064
1fkb_ligand,164,0.377812
1fkb_ligand,165,0.375919
1fkb_ligand,166,0.380422
1fkb_ligand,167,0.3809
1fkb_ligand,168,0.378196
1fkb_ligand,169,0.379552
1fkb_ligand,170,0.377234
1fkb_ligand,171,0.381845
1fkb_ligand,172,0.379627
1fkb_ligand,173,0.376903
1fkb_ligand,174,0.378326
1fkb_ligand,175,0.382483
1fkb_ligand,176,0.380114
1fkb_ligand,177,0.377683
1fkb_ligand,178,0.379035
1fkb_ligand,179,0.37664
1fkb_ligand,180,0.381317
1fkb_ligand,181,0.382896
1fkb_ligand,182,0.37616
1fkb_ligand,183,0.380724
1fkb_ligand,184,0.382209
1fkb_ligand,185,0.37978
1fkb_ligand,186,0.384461
1fkb_ligand,187,0.378684
1fkb_ligand,188,0.37624
1fkb_ligand,189,0.381058
1fkb_ligand,190,0.378744
1fkb_ligand,191,0.379355
1fkb_ligand,192,0.380696
1fkb_ligand,193,0.38219
1fkb_ligand,194,0.379723
1fkb_ligand,195,0.38131
1fkb_ligand,196,0.37892
1fkb_ligand,197,0.376436
1fkb_ligand,198,0.378061
1fkb_ligand,199,0.382449
1fkb_ligand,200,0.377182
1fkb_ligand,201,0.378547
1fkb_ligand,202,0.380059
1fkb_ligand,203,0.381567
1fkb_ligand,204,0.383152
1fkb_ligand,205,0.377782
1fkb_ligand,206,0.37925
1fkb_ligand,207,0.379753
1fkb_ligand,208,0.384423
1fkb_ligand,209,0.386008
1fkb_ligand,210,0.376228
1fkb_ligand,211,0.380989
1fkb_ligand,212,0.378574
1fkb_ligand,213,0.383345
1fkb_ligand,214,0.378281
1fkb_ligand,215,0.375715
1fkb_ligand,216,0.383404
1fkb_ligand,217,0.380836
1fkb_ligand,218,0.38558
1fkb_ligand,219,0.380381
1fkb_ligand,220,0.377825
1fkb_ligand,221,0.382669
1fkb_ligand,222,0.380182
1fkb_ligand,223,0.385021
1fkb_ligand,224,0.375431
1fkb_ligand,225,0.377009
1fkb_ligand,226,0.381535
1fkb_ligand,227,0.383118
1fkb_ligand,228,0.378055
1fkb_ligand,229,0.379539
1fkb_ligand,230,0.38111
1fkb_ligand,231,0.382766
1fkb_ligand,232,0.384407
1fkb_ligand,233,0.379241
1fkb_ligand,234,0.376741
1fkb_ligand,235,0.384526
1fkb_ligand,236,0.381153
1fkb_ligand,237,0.385751
1fkb_ligand,238,0.37641
1fkb_ligand,239,0.38129
1fkb_ligand,240,0.382931
1fkb_ligand,241,0.380449
1fkb_ligand,242,0.388015
1fkb_ligand,243,0.377668
1fkb_ligand,244,0.379235
1fkb_ligand,245,0.380882
1fkb_ligand,246,0.382519
1fkb_ligand,247,0.383981
1fkb_ligand,248,0.378788
1fkb_ligand,249,0.38039
1fkb_ligand,250,0.385005
1fkb_ligand,251,0.385588
1fkb_ligand,252,0.382037
1fkb_ligand,253,0.380157
1fkb_ligand,254,0.381755
1fkb_ligand,255,0.382293
1fkb_ligand,256,0.386084
1fkb_ligand,257,0.382488
1fkb_ligand,258,0.380702
1fkb_ligand,259,0.378139
1fkb_ligand,260,0.379836
1fkb_ligand,261,0.384284
1fkb_ligand,262,0.38488
1fkb_ligand,263,0.379068
1fkb_ligand,264,0.380667
1fkb_ligand,265,0.382347
1fkb_ligand,266,0.386805
1fkb_ligand,267,0.387386
1fkb_ligand,268,0.377356
1fkb_ligand,269,0.381479
1fkb_ligand,270,0.382046
1fkb_ligand,271,0.385838
1fkb_ligand,272,0.386369
1fkb_ligand,273,0.37733
1fkb_ligand,274,0.378932
1fkb_ligand,275,0.380609
1fkb_ligand,276,0.385109
1fkb_ligand,277,0.38568
1fkb_ligand,278,0.3802
1fkb_ligand,279,0.380966
1fkb_ligand,280,0.38571
1fkb_ligand,281,0.381971
1fkb_ligand,282,0.385805
1fkb_ligand,283,0.376125
1fkb_ligand,284,0.384191
1fkb_ligand,285,0.384965
1fkb_ligand,286,0.380977
1fkb_ligand,287,0.384803
1fkb_ligand,288,0.379019
1fkb_ligand,289,0.379727
1fkb_ligand,290,0.38053
1fkb_ligand,291,0.381215
1fkb_ligand,292,0.385741
1fkb_ligand,293,0.380493
1fkb_ligand,294,0.38122
1fkb_ligand,295,0.381863
1fkb_ligand,296,0.386507
1fkb_ligand,297,0.382657
1fkb_ligand,298,0.380833
1fkb_ligand,299,0.381249
1fkb_ligand,300,0.381389
