ligand,iteration,standalone_ls_score
1fkb_ligand,1,-15.7972
1fkb_ligand,2,-15.8356
1fkb_ligand,3,-15.8757
1fkb_ligand,4,-15.9163
1fkb_ligand,5,-15.958
1fkb_ligand,6,-15.9987
1fkb_ligand,7,-16.0411
1fkb_ligand,8,-16.086
1fkb_ligand,9,-16.1334
1fkb_ligand,10,-16.1807
1fkb_ligand,11,-16.2277
1fkb_ligand,12,-16.273
1fkb_ligand,13,-16.3193
1fkb_ligand,14,-16.366
1fkb_ligand,15,-16.4133
1fkb_ligand,16,-16.4602
1fkb_ligand,17,-16.5059
1fkb_ligand,18,-16.5504
1fkb_ligand,19,-16.5953
1fkb_ligand,20,-16.6404
1fkb_ligand,21,-16.686
1fkb_ligand,22,-16.7327
1fkb_ligand,23,-16.7784
1fkb_ligand,24,-16.8231
1fkb_ligand,25,-16.868
1fkb_ligand,26,-16.9136
1fkb_ligand,27,-16.9362
1fkb_ligand,28,-16.9665
1fkb_ligand,29,-17.0115
1fkb_ligand,30,-17.0272
1fkb_ligand,31,-17.0551
1fkb_ligand,32,-17.0955
1fkb_ligand,33,-17.1045
1fkb_ligand,34,-17.1266
1fkb_ligand,35,-17.1651
1fkb_ligand,36,-17.1803
1fkb_ligand,37,-17.1895
1fkb_ligand,38,-17.224
1fkb_ligand,39,-17.2523
1fkb_ligand,40,-17.2385
1fkb_ligand,41,-17.2718
1fkb_ligand,42,-17.3049
1fkb_ligand,43,-17.3172
1fkb_ligand,44,-17.3157
1fkb_ligand,45,-17.3406
1fkb_ligand,46,-17.3633
1fkb_ligand,47,-17.3556
1fkb_ligand,48,-17.3516
1fkb_ligand,49,-17.3747
1fkb_ligand,50,-17.3964
1fkb_ligand,51,-17.3903
1fkb_ligand,52,-17.3814
1fkb_ligand,53,-17.3995
1fkb_ligand,54,-17.4153
1fkb_ligand,55,-17.4055
1fkb_ligand,56,-17.3857
1fkb_ligand,57,-17.402
1fkb_ligand,58,-17.4177
1fkb_ligand,59,-17.4117
1fkb_ligand,60,-17.3869
