ligand,iteration,standalone_ls_score
1hii_ligand,1,-15.0215
1hii_ligand,2,-15.0225
1hii_ligand,3,-15.0234
1hii_ligand,4,-15.0244
1hii_ligand,5,-15.0258
1hii_ligand,6,-15.0274
1hii_ligand,7,-15.0288
1hii_ligand,8,-15.0303
1hii_ligand,9,-15.0316
1hii_ligand,10,-15.034
1hii_ligand,11,-15.036
1hii_ligand,12,-15.0365
1hii_ligand,13,-15.0355
1hii_ligand,14,-15.0341
1hii_ligand,15,-15.0331
1hii_ligand,16,-15.0317
1hii_ligand,17,-15.0301
1hii_ligand,18,-15.0284
1hii_ligand,19,-15.0269
1hii_ligand,20,-15.0124
1hii_ligand,21,-15.0194
1hii_ligand,22,-15.0178
1hii_ligand,23,-15.0165
1hii_ligand,24,-15.0154
1hii_ligand,25,-15.0144
1hii_ligand,26,-14.9975
1hii_ligand,27,-15.008
1hii_ligand,28,-15.0087
1hii_ligand,29,-15.0088
1hii_ligand,30,-15.0089
1hii_ligand,31,-14.9962
1hii_ligand,32,-15.0069
1hii_ligand,33,-15.0119
1hii_ligand,34,-15.0135
1hii_ligand,35,-15.0132
1hii_ligand,36,-15.0073
1hii_ligand,37,-15.0149
1hii_ligand,38,-15.0162
1hii_ligand,39,-15.0156
1hii_ligand,40,-15.0172
1hii_ligand,41,-15.0107
1hii_ligand,42,-15.0187
1hii_ligand,43,-15.0185
1hii_ligand,44,-15.0206
1hii_ligand,45,-15.0225
1hii_ligand,46,-15.0126
1hii_ligand,47,-15.0223
1hii_ligand,48,-15.0224
1hii_ligand,49,-15.0246
1hii_ligand,50,-15.0241
1hii_ligand,51,-15.025
1hii_ligand,52,-15.0259
1hii_ligand,53,-15.0203
1hii_ligand,54,-15.0265
1hii_ligand,55,-15.0272
1hii_ligand,56,-15.0278
1hii_ligand,57,-15.0201
1hii_ligand,58,-15.0273
1hii_ligand,59,-15.0289
1hii_ligand,60,-15.0277
1hii_ligand,61,-15.0303
1hii_ligand,62,-15.0238
1hii_ligand,63,-15.0306
1hii_ligand,64,-15.0324
1hii_ligand,65,-15.0288
1hii_ligand,66,-15.0332
1hii_ligand,67,-15.0347
1hii_ligand,68,-15.0335
1hii_ligand,69,-15.0372
1hii_ligand,70,-15.0409
1hii_ligand,71,-15.0383
1hii_ligand,72,-15.0449
1hii_ligand,73,-15.0475
1hii_ligand,74,-15.0473
1hii_ligand,75,-15.051
1hii_ligand,76,-15.0561
1hii_ligand,77,-15.0552
1hii_ligand,78,-15.0517
1hii_ligand,79,-15.0545
1hii_ligand,80,-15.0559
1hii_ligand,81,-15.0502
1hii_ligand,82,-15.0548
1hii_ligand,83,-15.055
1hii_ligand,84,-15.0489
1hii_ligand,85,-15.0471
1hii_ligand,86,-15.0482
1hii_ligand,87,-15.0525
1hii_ligand,88,-15.04
1hii_ligand,89,-15.0509
1hii_ligand,90,-15.0471
1hii_ligand,91,-15.0435
1hii_ligand,92,-15.0452
1hii_ligand,93,-15.0485
1hii_ligand,94,-15.0456
1hii_ligand,95,-15.046
1hii_ligand,96,-15.0502
1hii_ligand,97,-15.0367
1hii_ligand,98,-15.0462
1hii_ligand,99,-15.0405
1hii_ligand,100,-15.043
1hii_ligand,101,-15.0437
1hii_ligand,102,-15.0383
1hii_ligand,103,-15.0431
1hii_ligand,104,-15.0423
1hii_ligand,105,-15.0381
1hii_ligand,106,-15.034
1hii_ligand,107,-15.0325
1hii_ligand,108,-15.0378
1hii_ligand,109,-15.0341
1hii_ligand,110,-15.0311
1hii_ligand,111,-15.0402
1hii_ligand,112,-15.0316
1hii_ligand,113,-15.0372
1hii_ligand,114,-15.0325
1hii_ligand,115,-15.04
1hii_ligand,116,-15.0317
1hii_ligand,117,-15.0387
1hii_ligand,118,-15.0331
1hii_ligand,119,-15.0362
1hii_ligand,120,-15.0303
1hii_ligand,121,-15.0411
1hii_ligand,122,-15.0323
1hii_ligand,123,-15.0332
1hii_ligand,124,-15.0395
1hii_ligand,125,-15.0304
1hii_ligand,126,-15.0375
1hii_ligand,127,-15.0374
1hii_ligand,128,-15.036
1hii_ligand,129,-15.0272
1hii_ligand,130,-15.0405
1hii_ligand,131,-15.0375
1hii_ligand,132,-15.0347
1hii_ligand,133,-15.0359
1hii_ligand,134,-15.0436
1hii_ligand,135,-15.0375
1hii_ligand,136,-15.0328
1hii_ligand,137,-15.0361
1hii_ligand,138,-15.0438
1hii_ligand,139,-15.0394
1hii_ligand,140,-15.0417
1hii_ligand,141,-15.0354
1hii_ligand,142,-15.0434
1hii_ligand,143,-15.0443
1hii_ligand,144,-15.0422
1hii_ligand,145,-15.0403
1hii_ligand,146,-15.0454
1hii_ligand,147,-15.0438
1hii_ligand,148,-15.0446
1hii_ligand,149,-15.0417
1hii_ligand,150,-15.0447
1hii_ligand,151,-15.0531
1hii_ligand,152,-15.0469
1hii_ligand,153,-15.0459
1hii_ligand,154,-15.049
1hii_ligand,155,-15.0489
1hii_ligand,156,-15.0488
1hii_ligand,157,-15.0426
1hii_ligand,158,-15.0587
1hii_ligand,159,-15.0567
1hii_ligand,160,-15.0567
1hii_ligand,161,-15.052
1hii_ligand,162,-15.0524
1hii_ligand,163,-15.0536
1hii_ligand,164,-15.0519
1hii_ligand,165,-15.0528
1hii_ligand,166,-15.0533
1hii_ligand,167,-15.0641
1hii_ligand,168,-15.0641
1hii_ligand,169,-15.0575
1hii_ligand,170,-15.0608
1hii_ligand,171,-15.0607
1hii_ligand,172,-15.0569
1hii_ligand,173,-15.06
1hii_ligand,174,-15.0598
1hii_ligand,175,-15.0706
1hii_ligand,176,-15.0611
1hii_ligand,177,-15.0681
1hii_ligand,178,-15.068
1hii_ligand,179,-15.0619
1hii_ligand,180,-15.0653
1hii_ligand,181,-15.0648
1hii_ligand,182,-15.0719
1hii_ligand,183,-15.0689
1hii_ligand,184,-15.0658
1hii_ligand,185,-15.0663
1hii_ligand,186,-15.0604
1hii_ligand,187,-15.0648
1hii_ligand,188,-15.0756
1hii_ligand,189,-15.0742
1hii_ligand,190,-15.0739
1hii_ligand,191,-15.0718
1hii_ligand,192,-15.0717
1hii_ligand,193,-15.0738
1hii_ligand,194,-15.0649
1hii_ligand,195,-15.0879
1hii_ligand,196,-15.0812
1hii_ligand,197,-15.0794
1hii_ligand,198,-15.0756
1hii_ligand,199,-15.0775
1hii_ligand,200,-15.0794
1hii_ligand,201,-15.0745
1hii_ligand,202,-15.0771
1hii_ligand,203,-15.0766
1hii_ligand,204,-15.0912
1hii_ligand,205,-15.0894
1hii_ligand,206,-15.085
1hii_ligand,207,-15.0829
1hii_ligand,208,-15.0806
1hii_ligand,209,-15.0797
1hii_ligand,210,-15.0929
1hii_ligand,211,-15.0947
1hii_ligand,212,-15.0861
1hii_ligand,213,-15.0887
1hii_ligand,214,-15.087
1hii_ligand,215,-15.0857
1hii_ligand,216,-15.0899
1hii_ligand,217,-15.082
1hii_ligand,218,-15.083
1hii_ligand,219,-15.102
1hii_ligand,220,-15.0938
1hii_ligand,221,-15.0968
1hii_ligand,222,-15.0959
1hii_ligand,223,-15.0913
1hii_ligand,224,-15.0932
1hii_ligand,225,-15.0899
1hii_ligand,226,-15.1026
1hii_ligand,227,-15.0994
1hii_ligand,228,-15.1019
1hii_ligand,229,-15.0937
1hii_ligand,230,-15.0944
1hii_ligand,231,-15.0979
1hii_ligand,232,-15.1071
1hii_ligand,233,-15.1073
1hii_ligand,234,-15.1024
1hii_ligand,235,-15.103
1hii_ligand,236,-15.099
1hii_ligand,237,-15.1032
1hii_ligand,238,-15.0991
1hii_ligand,239,-15.1014
1hii_ligand,240,-15.1072
1hii_ligand,241,-15.1105
1hii_ligand,242,-15.1108
1hii_ligand,243,-15.1061
1hii_ligand,244,-15.1071
1hii_ligand,245,-15.1003
1hii_ligand,246,-15.1154
1hii_ligand,247,-15.112
1hii_ligand,248,-15.1144
1hii_ligand,249,-15.1081
1hii_ligand,250,-15.1092
1hii_ligand,251,-15.1057
1hii_ligand,252,-15.1098
1hii_ligand,253,-15.1006
1hii_ligand,254,-15.118
1hii_ligand,255,-15.1206
1hii_ligand,256,-15.1135
1hii_ligand,257,-15.1193
1hii_ligand,258,-15.1136
1hii_ligand,259,-15.117
1hii_ligand,260,-15.1087
1hii_ligand,261,-15.1263
1hii_ligand,262,-15.1213
1hii_ligand,263,-15.1235
1hii_ligand,264,-15.1165
1hii_ligand,265,-15.1203
1hii_ligand,266,-15.1124
1hii_ligand,267,-15.1296
1hii_ligand,268,-15.126
1hii_ligand,269,-15.1286
1hii_ligand,270,-15.1299
1hii_ligand,271,-15.1256
1hii_ligand,272,-15.1182
1hii_ligand,273,-15.1233
1hii_ligand,274,-15.1237
1hii_ligand,275,-15.1181
1hii_ligand,276,-15.1209
1hii_ligand,277,-15.1364
1hii_ligand,278,-15.1311
1hii_ligand,279,-15.1303
1hii_ligand,280,-15.1316
1hii_ligand,281,-15.1293
1hii_ligand,282,-15.1324
1hii_ligand,283,-15.1269
1hii_ligand,284,-15.13
1hii_ligand,285,-15.1409
1hii_ligand,286,-15.1394
1hii_ligand,287,-15.132
1hii_ligand,288,-15.1367
1hii_ligand,289,-15.1382
1hii_ligand,290,-15.1363
1hii_ligand,291,-15.1356
1hii_ligand,292,-15.1286
1hii_ligand,293,-15.1342
1hii_ligand,294,-15.1367
1hii_ligand,295,-15.1338
1hii_ligand,296,-15.1453
1hii_ligand,297,-15.1435
1hii_ligand,298,-15.1448
1hii_ligand,299,-15.1441
1hii_ligand,300,-15.1391
