ligand,iteration,com_distance
2ya6_ligand,1,0
2ya6_ligand,2,0.0077658
2ya6_ligand,3,0.0159825
2ya6_ligand,4,0.0245151
2ya6_ligand,5,0.033575
2ya6_ligand,6,0.0431602
2ya6_ligand,7,0.041151
2ya6_ligand,8,0.0484509
2ya6_ligand,9,0.0471812
2ya6_ligand,10,0.046637
2ya6_ligand,11,0.0536319
2ya6_ligand,12,0.0535403
2ya6_ligand,13,0.0607249
2ya6_ligand,14,0.0610932
2ya6_ligand,15,0.061879
2ya6_ligand,16,0.0630011
2ya6_ligand,17,0.069595
2ya6_ligand,18,0.071124
2ya6_ligand,19,0.0728879
2ya6_ligand,20,0.0795683
2ya6_ligand,21,0.0816922
2ya6_ligand,22,0.0840038
2ya6_ligand,23,0.0864616
2ya6_ligand,24,0.0890399
2ya6_ligand,25,0.0917195
2ya6_ligand,26,0.0979467
2ya6_ligand,27,0.101002
2ya6_ligand,28,0.104268
2ya6_ligand,29,0.107657
2ya6_ligand,30,0.111161
2ya6_ligand,31,0.114791
2ya6_ligand,32,0.118548
2ya6_ligand,33,0.122448
2ya6_ligand,34,0.126421
2ya6_ligand,35,0.125759
2ya6_ligand,36,0.125119
2ya6_ligand,37,0.124492
2ya6_ligand,38,0.12867
2ya6_ligand,39,0.128046
2ya6_ligand,40,0.127443
2ya6_ligand,41,0.126859
2ya6_ligand,42,0.131242
2ya6_ligand,43,0.130659
2ya6_ligand,44,0.13009
2ya6_ligand,45,0.129544
2ya6_ligand,46,0.129018
2ya6_ligand,47,0.133593
2ya6_ligand,48,0.133068
2ya6_ligand,49,0.13256
2ya6_ligand,50,0.132073
2ya6_ligand,51,0.131604
2ya6_ligand,52,0.136352
2ya6_ligand,53,0.135882
2ya6_ligand,54,0.135432
2ya6_ligand,55,0.135003
2ya6_ligand,56,0.13994
2ya6_ligand,57,0.139508
2ya6_ligand,58,0.139095
2ya6_ligand,59,0.138708
2ya6_ligand,60,0.138338
2ya6_ligand,61,0.143429
2ya6_ligand,62,0.143057
2ya6_ligand,63,0.142712
2ya6_ligand,64,0.142382
2ya6_ligand,65,0.142073
2ya6_ligand,66,0.147311
2ya6_ligand,67,0.14688
2ya6_ligand,68,0.146467
2ya6_ligand,69,0.146071
2ya6_ligand,70,0.145695
2ya6_ligand,71,0.145338
2ya6_ligand,72,0.150505
2ya6_ligand,73,0.150137
2ya6_ligand,74,0.149792
2ya6_ligand,75,0.149123
2ya6_ligand,76,0.148465
2ya6_ligand,77,0.153385
2ya6_ligand,78,0.152723
2ya6_ligand,79,0.152063
2ya6_ligand,80,0.151416
2ya6_ligand,81,0.15078
2ya6_ligand,82,0.150154
2ya6_ligand,83,0.155037
2ya6_ligand,84,0.154401
2ya6_ligand,85,0.153774
2ya6_ligand,86,0.153157
2ya6_ligand,87,0.152548
2ya6_ligand,88,0.151958
2ya6_ligand,89,0.156797
2ya6_ligand,90,0.156198
2ya6_ligand,91,0.155611
2ya6_ligand,92,0.155025
2ya6_ligand,93,0.154445
2ya6_ligand,94,0.159355
2ya6_ligand,95,0.158761
2ya6_ligand,96,0.158171
2ya6_ligand,97,0.157592
2ya6_ligand,98,0.157024
2ya6_ligand,99,0.156465
2ya6_ligand,100,0.161021
2ya6_ligand,101,0.160441
2ya6_ligand,102,0.159535
2ya6_ligand,103,0.158974
2ya6_ligand,104,0.15807
2ya6_ligand,105,0.157523
2ya6_ligand,106,0.162359
2ya6_ligand,107,0.161389
2ya6_ligand,108,0.160785
2ya6_ligand,109,0.159809
2ya6_ligand,110,0.15922
2ya6_ligand,111,0.158638
2ya6_ligand,112,0.157651
2ya6_ligand,113,0.162249
2ya6_ligand,114,0.161647
2ya6_ligand,115,0.161054
2ya6_ligand,116,0.160031
2ya6_ligand,117,0.159449
2ya6_ligand,118,0.158868
2ya6_ligand,119,0.163398
2ya6_ligand,120,0.162788
2ya6_ligand,121,0.162186
2ya6_ligand,122,0.161098
2ya6_ligand,123,0.160499
2ya6_ligand,124,0.159901
2ya6_ligand,125,0.164351
2ya6_ligand,126,0.163718
2ya6_ligand,127,0.163083
2ya6_ligand,128,0.162447
2ya6_ligand,129,0.161808
2ya6_ligand,130,0.161167
2ya6_ligand,131,0.165531
2ya6_ligand,132,0.164849
2ya6_ligand,133,0.164155
2ya6_ligand,134,0.163456
2ya6_ligand,135,0.163585
2ya6_ligand,136,0.162871
2ya6_ligand,137,0.162149
2ya6_ligand,138,0.167052
2ya6_ligand,139,0.16627
2ya6_ligand,140,0.166385
2ya6_ligand,141,0.165579
2ya6_ligand,142,0.16571
2ya6_ligand,143,0.164865
2ya6_ligand,144,0.169727
2ya6_ligand,145,0.169798
2ya6_ligand,146,0.168195
2ya6_ligand,147,0.16827
2ya6_ligand,148,0.168341
2ya6_ligand,149,0.168409
2ya6_ligand,150,0.172381
2ya6_ligand,151,0.172365
2ya6_ligand,152,0.172343
2ya6_ligand,153,0.171443
2ya6_ligand,154,0.171407
2ya6_ligand,155,0.171356
2ya6_ligand,156,0.171298
2ya6_ligand,157,0.175732
2ya6_ligand,158,0.175566
2ya6_ligand,159,0.175383
2ya6_ligand,160,0.174032
2ya6_ligand,161,0.173887
2ya6_ligand,162,0.172528
2ya6_ligand,163,0.171252
2ya6_ligand,164,0.175524
2ya6_ligand,165,0.174185
2ya6_ligand,166,0.174101
2ya6_ligand,167,0.172745
2ya6_ligand,168,0.172695
2ya6_ligand,169,0.171325
2ya6_ligand,170,0.175736
2ya6_ligand,171,0.174288
2ya6_ligand,172,0.174219
2ya6_ligand,173,0.172743
2ya6_ligand,174,0.171373
2ya6_ligand,175,0.171408
2ya6_ligand,176,0.170003
2ya6_ligand,177,0.174297
2ya6_ligand,178,0.172796
2ya6_ligand,179,0.172198
2ya6_ligand,180,0.17226
2ya6_ligand,181,0.170813
2ya6_ligand,182,0.170904
2ya6_ligand,183,0.170278
2ya6_ligand,184,0.174387
2ya6_ligand,185,0.173659
2ya6_ligand,186,0.172144
2ya6_ligand,187,0.172244
2ya6_ligand,188,0.171633
2ya6_ligand,189,0.171744
2ya6_ligand,190,0.174304
2ya6_ligand,191,0.173736
2ya6_ligand,192,0.173824
2ya6_ligand,193,0.173213
2ya6_ligand,194,0.173303
2ya6_ligand,195,0.171194
2ya6_ligand,196,0.172445
