ligand,iteration,standalone_ls_score
2ya6_ligand,1,-10.7923
2ya6_ligand,2,-11.226
2ya6_ligand,3,-11.6728
2ya6_ligand,4,-12.1361
2ya6_ligand,5,-12.6206
2ya6_ligand,6,-12.913
2ya6_ligand,7,-12.9193
2ya6_ligand,8,-12.9361
2ya6_ligand,9,-12.9743
2ya6_ligand,10,-12.9525
2ya6_ligand,11,-12.994
2ya6_ligand,12,-13.0172
2ya6_ligand,13,-13.0149
2ya6_ligand,14,-13.0449
2ya6_ligand,15,-13.0717
2ya6_ligand,16,-13.059
2ya6_ligand,17,-13.0914
2ya6_ligand,18,-13.116
2ya6_ligand,19,-13.1325
2ya6_ligand,20,-13.1407
2ya6_ligand,21,-13.1636
2ya6_ligand,22,-13.1848
2ya6_ligand,23,-13.2043
2ya6_ligand,24,-13.2226
2ya6_ligand,25,-13.2348
2ya6_ligand,26,-13.254
2ya6_ligand,27,-13.2747
2ya6_ligand,28,-13.2949
2ya6_ligand,29,-13.3149
2ya6_ligand,30,-13.3351
2ya6_ligand,31,-13.3557
2ya6_ligand,32,-13.377
2ya6_ligand,33,-13.3991
2ya6_ligand,34,-13.4033
2ya6_ligand,35,-13.4065
2ya6_ligand,36,-13.4096
2ya6_ligand,37,-13.4084
2ya6_ligand,38,-13.4109
2ya6_ligand,39,-13.4141
2ya6_ligand,40,-13.4172
2ya6_ligand,41,-13.4189
2ya6_ligand,42,-13.4184
2ya6_ligand,43,-13.4215
2ya6_ligand,44,-13.4247
2ya6_ligand,45,-13.4278
2ya6_ligand,46,-13.4249
2ya6_ligand,47,-13.4286
2ya6_ligand,48,-13.4318
2ya6_ligand,49,-13.435
2ya6_ligand,50,-13.4382
2ya6_ligand,51,-13.4318
2ya6_ligand,52,-13.4386
2ya6_ligand,53,-13.4418
2ya6_ligand,54,-13.445
2ya6_ligand,55,-13.4467
2ya6_ligand,56,-13.4453
2ya6_ligand,57,-13.4486
2ya6_ligand,58,-13.4517
2ya6_ligand,59,-13.455
2ya6_ligand,60,-13.4564
2ya6_ligand,61,-13.455
2ya6_ligand,62,-13.4582
2ya6_ligand,63,-13.4615
2ya6_ligand,64,-13.4647
2ya6_ligand,65,-13.4676
2ya6_ligand,66,-13.4644
2ya6_ligand,67,-13.4672
2ya6_ligand,68,-13.47
2ya6_ligand,69,-13.4728
2ya6_ligand,70,-13.4757
2ya6_ligand,71,-13.4699
2ya6_ligand,72,-13.4743
2ya6_ligand,73,-13.4771
2ya6_ligand,74,-13.4799
2ya6_ligand,75,-13.4821
2ya6_ligand,76,-13.4813
2ya6_ligand,77,-13.4792
2ya6_ligand,78,-13.4814
2ya6_ligand,79,-13.4835
2ya6_ligand,80,-13.4857
2ya6_ligand,81,-13.4878
2ya6_ligand,82,-13.4824
2ya6_ligand,83,-13.4849
2ya6_ligand,84,-13.4871
2ya6_ligand,85,-13.4892
2ya6_ligand,86,-13.4914
2ya6_ligand,87,-13.4935
2ya6_ligand,88,-13.4847
2ya6_ligand,89,-13.4906
2ya6_ligand,90,-13.4928
2ya6_ligand,91,-13.495
2ya6_ligand,92,-13.4973
2ya6_ligand,93,-13.4986
2ya6_ligand,94,-13.4943
2ya6_ligand,95,-13.4964
2ya6_ligand,96,-13.4986
2ya6_ligand,97,-13.5007
2ya6_ligand,98,-13.5028
2ya6_ligand,99,-13.5035
2ya6_ligand,100,-13.4997
2ya6_ligand,101,-13.5017
2ya6_ligand,102,-13.5036
2ya6_ligand,103,-13.5058
2ya6_ligand,104,-13.5076
2ya6_ligand,105,-13.509
2ya6_ligand,106,-13.5047
2ya6_ligand,107,-13.5063
2ya6_ligand,108,-13.5081
2ya6_ligand,109,-13.5097
2ya6_ligand,110,-13.5115
2ya6_ligand,111,-13.5133
2ya6_ligand,112,-13.5035
2ya6_ligand,113,-13.5097
2ya6_ligand,114,-13.5115
2ya6_ligand,115,-13.5132
2ya6_ligand,116,-13.5148
2ya6_ligand,117,-13.5166
2ya6_ligand,118,-13.509
2ya6_ligand,119,-13.5133
2ya6_ligand,120,-13.5151
2ya6_ligand,121,-13.5168
2ya6_ligand,122,-13.5184
2ya6_ligand,123,-13.5201
2ya6_ligand,124,-13.5153
2ya6_ligand,125,-13.5171
2ya6_ligand,126,-13.5188
2ya6_ligand,127,-13.5205
2ya6_ligand,128,-13.5223
2ya6_ligand,129,-13.524
2ya6_ligand,130,-13.5225
2ya6_ligand,131,-13.5212
2ya6_ligand,132,-13.5229
2ya6_ligand,133,-13.5247
2ya6_ligand,134,-13.5264
2ya6_ligand,135,-13.5285
2ya6_ligand,136,-13.5302
2ya6_ligand,137,-13.5213
2ya6_ligand,138,-13.5278
2ya6_ligand,139,-13.5294
2ya6_ligand,140,-13.5316
2ya6_ligand,141,-13.5331
2ya6_ligand,142,-13.5354
2ya6_ligand,143,-13.5303
2ya6_ligand,144,-13.533
2ya6_ligand,145,-13.5349
2ya6_ligand,146,-13.536
2ya6_ligand,147,-13.5382
2ya6_ligand,148,-13.5403
2ya6_ligand,149,-13.541
2ya6_ligand,150,-13.5381
2ya6_ligand,151,-13.5402
2ya6_ligand,152,-13.5421
2ya6_ligand,153,-13.5437
2ya6_ligand,154,-13.5458
2ya6_ligand,155,-13.5478
2ya6_ligand,156,-13.5447
2ya6_ligand,157,-13.5461
2ya6_ligand,158,-13.548
2ya6_ligand,159,-13.5474
2ya6_ligand,160,-13.5504
2ya6_ligand,161,-13.5493
2ya6_ligand,162,-13.5528
2ya6_ligand,163,-13.5455
2ya6_ligand,164,-13.5492
2ya6_ligand,165,-13.5501
2ya6_ligand,166,-13.5509
2ya6_ligand,167,-13.5525
2ya6_ligand,168,-13.5525
2ya6_ligand,169,-13.5543
2ya6_ligand,170,-13.549
2ya6_ligand,171,-13.5521
2ya6_ligand,172,-13.5504
2ya6_ligand,173,-13.5537
2ya6_ligand,174,-13.5546
2ya6_ligand,175,-13.555
2ya6_ligand,176,-13.5539
2ya6_ligand,177,-13.5513
2ya6_ligand,178,-13.5545
2ya6_ligand,179,-13.5551
2ya6_ligand,180,-13.5559
2ya6_ligand,181,-13.5575
2ya6_ligand,182,-13.5568
2ya6_ligand,183,-13.554
2ya6_ligand,184,-13.5535
2ya6_ligand,185,-13.5571
2ya6_ligand,186,-13.5584
2ya6_ligand,187,-13.5579
2ya6_ligand,188,-13.5613
2ya6_ligand,189,-13.5582
2ya6_ligand,190,-13.5578
