ligand,iteration,com_distance
3udd_ligand,1,0
3udd_ligand,2,0.00766258
3udd_ligand,3,0.0151284
3udd_ligand,4,0.0213765
3udd_ligand,5,0.0278673
3udd_ligand,6,0.0344891
3udd_ligand,7,0.0410888
3udd_ligand,8,0.0479384
3udd_ligand,9,0.0548566
3udd_ligand,10,0.0618364
3udd_ligand,11,0.0688747
3udd_ligand,12,0.0747911
3udd_ligand,13,0.0807397
3udd_ligand,14,0.0867018
3udd_ligand,15,0.0926234
3udd_ligand,16,0.0988153
3udd_ligand,17,0.104975
3udd_ligand,18,0.111159
3udd_ligand,19,0.11738
3udd_ligand,20,0.123393
3udd_ligand,21,0.129209
3udd_ligand,22,0.134634
3udd_ligand,23,0.138793
3udd_ligand,24,0.142947
3udd_ligand,25,0.147123
3udd_ligand,26,0.151298
3udd_ligand,27,0.15547
3udd_ligand,28,0.159639
3udd_ligand,29,0.163805
3udd_ligand,30,0.167637
3udd_ligand,31,0.171462
3udd_ligand,32,0.175355
3udd_ligand,33,0.179236
3udd_ligand,34,0.183102
3udd_ligand,35,0.186538
3udd_ligand,36,0.189959
3udd_ligand,37,0.193476
3udd_ligand,38,0.19712
3udd_ligand,39,0.200562
3udd_ligand,40,0.203678
3udd_ligand,41,0.206769
3udd_ligand,42,0.20983
3udd_ligand,43,0.212864
3udd_ligand,44,0.215873
3udd_ligand,45,0.218854
3udd_ligand,46,0.221808
3udd_ligand,47,0.224739
3udd_ligand,48,0.227814
3udd_ligand,49,0.230867
3udd_ligand,50,0.2339
3udd_ligand,51,0.236912
3udd_ligand,52,0.239903
3udd_ligand,53,0.242873
3udd_ligand,54,0.245826
3udd_ligand,55,0.248758
3udd_ligand,56,0.251675
3udd_ligand,57,0.254573
3udd_ligand,58,0.257458
3udd_ligand,59,0.260325
3udd_ligand,60,0.263181
3udd_ligand,61,0.266024
3udd_ligand,62,0.268853
3udd_ligand,63,0.27167
3udd_ligand,64,0.274476
3udd_ligand,65,0.277274
3udd_ligand,66,0.28006
3udd_ligand,67,0.282842
3udd_ligand,68,0.285614
3udd_ligand,69,0.288383
3udd_ligand,70,0.290851
3udd_ligand,71,0.291782
3udd_ligand,72,0.294504
3udd_ligand,73,0.296934
3udd_ligand,74,0.297909
3udd_ligand,75,0.301011
3udd_ligand,76,0.302691
3udd_ligand,77,0.303589
3udd_ligand,78,0.306266
3udd_ligand,79,0.3072
3udd_ligand,80,0.309927
3udd_ligand,81,0.310898
3udd_ligand,82,0.31347
3udd_ligand,83,0.314498
3udd_ligand,84,0.315883
3udd_ligand,85,0.318567
3udd_ligand,86,0.319512
3udd_ligand,87,0.320828
3udd_ligand,88,0.323627
3udd_ligand,89,0.324712
3udd_ligand,90,0.32609
3udd_ligand,91,0.327288
3udd_ligand,92,0.32976
3udd_ligand,93,0.331046
3udd_ligand,94,0.332393
3udd_ligand,95,0.333809
3udd_ligand,96,0.335255
3udd_ligand,97,0.336722
3udd_ligand,98,0.338206
3udd_ligand,99,0.339715
3udd_ligand,100,0.341246
3udd_ligand,101,0.342501
3udd_ligand,102,0.344989
3udd_ligand,103,0.346279
3udd_ligand,104,0.347604
3udd_ligand,105,0.348967
3udd_ligand,106,0.350372
3udd_ligand,107,0.352989
3udd_ligand,108,0.354357
3udd_ligand,109,0.355751
3udd_ligand,110,0.357322
3udd_ligand,111,0.358932
3udd_ligand,112,0.360586
3udd_ligand,113,0.362146
3udd_ligand,114,0.363752
3udd_ligand,115,0.365413
3udd_ligand,116,0.369047
3udd_ligand,117,0.371752
3udd_ligand,118,0.375452
3udd_ligand,119,0.376835
3udd_ligand,120,0.380527
3udd_ligand,121,0.38185
3udd_ligand,122,0.383244
3udd_ligand,123,0.386982
3udd_ligand,124,0.388758
3udd_ligand,125,0.392544
3udd_ligand,126,0.394325
3udd_ligand,127,0.397214
3udd_ligand,128,0.398949
3udd_ligand,129,0.403199
3udd_ligand,130,0.403864
3udd_ligand,131,0.408123
3udd_ligand,132,0.408816
3udd_ligand,133,0.413921
3udd_ligand,134,0.414554
3udd_ligand,135,0.417897
3udd_ligand,136,0.420381
3udd_ligand,137,0.423693
3udd_ligand,138,0.42528
3udd_ligand,139,0.429778
3udd_ligand,140,0.430376
3udd_ligand,141,0.434754
3udd_ligand,142,0.436518
3udd_ligand,143,0.437317
3udd_ligand,144,0.436281
3udd_ligand,145,0.43797
3udd_ligand,146,0.436031
3udd_ligand,147,0.437736
3udd_ligand,148,0.438655
3udd_ligand,149,0.439467
3udd_ligand,150,0.438379
3udd_ligand,151,0.439256
3udd_ligand,152,0.438075
3udd_ligand,153,0.439804
3udd_ligand,154,0.440662
3udd_ligand,155,0.441459
3udd_ligand,156,0.440243
3udd_ligand,157,0.441075
3udd_ligand,158,0.439872
3udd_ligand,159,0.441538
3udd_ligand,160,0.441686
3udd_ligand,161,0.442385
3udd_ligand,162,0.444037
3udd_ligand,163,0.441211
3udd_ligand,164,0.44289
3udd_ligand,165,0.445911
3udd_ligand,166,0.442748
3udd_ligand,167,0.443422
3udd_ligand,168,0.44751
3udd_ligand,169,0.444199
3udd_ligand,170,0.444847
3udd_ligand,171,0.44808
