ligand,iteration,standalone_ls_score
4few_ligand,1,244.443
4few_ligand,2,244.447
4few_ligand,3,244.429
4few_ligand,4,244.417
4few_ligand,5,244.41
4few_ligand,6,244.387
4few_ligand,7,244.387
4few_ligand,8,244.377
4few_ligand,9,244.369
4few_ligand,10,244.359
4few_ligand,11,244.339
4few_ligand,12,244.319
4few_ligand,13,244.308
4few_ligand,14,244.29
4few_ligand,15,244.266
4few_ligand,16,244.267
4few_ligand,17,244.238
4few_ligand,18,244.243
4few_ligand,19,244.201
4few_ligand,20,244.167
4few_ligand,21,244.118
4few_ligand,22,244.061
4few_ligand,23,244.05
4few_ligand,24,243.973
4few_ligand,25,243.891
4few_ligand,26,243.794
4few_ligand,27,243.733
4few_ligand,28,243.607
4few_ligand,29,243.445
4few_ligand,30,243.32
4few_ligand,31,243.183
4few_ligand,32,242.965
4few_ligand,33,242.738
4few_ligand,34,242.515
4few_ligand,35,242.226
4few_ligand,36,241.934
4few_ligand,37,241.551
4few_ligand,38,241.141
4few_ligand,39,240.689
4few_ligand,40,240.168
4few_ligand,41,239.634
4few_ligand,42,238.953
4few_ligand,43,238.279
4few_ligand,44,237.418
4few_ligand,45,236.59
4few_ligand,46,235.536
4few_ligand,47,234.429
4few_ligand,48,233.238
4few_ligand,49,231.872
4few_ligand,50,230.417
4few_ligand,51,228.776
4few_ligand,52,227.023
4few_ligand,53,225.08
4few_ligand,54,222.978
4few_ligand,55,220.69
4few_ligand,56,218.218
4few_ligand,57,215.655
4few_ligand,58,212.747
4few_ligand,59,209.758
4few_ligand,60,206.482
4few_ligand,61,203.11
4few_ligand,62,199.454
4few_ligand,63,195.703
4few_ligand,64,191.725
4few_ligand,65,187.618
4few_ligand,66,183.34
4few_ligand,67,178.943
4few_ligand,68,174.443
4few_ligand,69,169.829
4few_ligand,70,165.194
4few_ligand,71,160.406
4few_ligand,72,155.677
4few_ligand,73,150.847
4few_ligand,74,146.088
4few_ligand,75,141.319
4few_ligand,76,136.617
4few_ligand,77,132.026
4few_ligand,78,127.399
4few_ligand,79,122.944
4few_ligand,80,118.527
4few_ligand,81,114.267
4few_ligand,82,110.176
4few_ligand,83,106.079
4few_ligand,84,102.213
4few_ligand,85,98.4143
4few_ligand,86,94.7791
4few_ligand,87,91.3379
4few_ligand,88,87.9038
4few_ligand,89,84.6892
4few_ligand,90,81.5695
4few_ligand,91,78.593
4few_ligand,92,75.7878
