ligand,iteration,com_distance
5cst_ligand,1,0
5cst_ligand,2,0.00779631
5cst_ligand,3,0.0144373
5cst_ligand,4,0.0219411
5cst_ligand,5,0.0301708
5cst_ligand,6,0.0391462
5cst_ligand,7,0.0489418
5cst_ligand,8,0.0548886
5cst_ligand,9,0.0565831
5cst_ligand,10,0.0624641
5cst_ligand,11,0.0640594
5cst_ligand,12,0.0694422
5cst_ligand,13,0.0747916
5cst_ligand,14,0.0769248
5cst_ligand,15,0.0819871
5cst_ligand,16,0.0843838
5cst_ligand,17,0.0892471
5cst_ligand,18,0.0938274
5cst_ligand,19,0.0982172
5cst_ligand,20,0.102459
5cst_ligand,21,0.106605
5cst_ligand,22,0.110732
5cst_ligand,23,0.113303
5cst_ligand,24,0.115922
5cst_ligand,25,0.118742
5cst_ligand,26,0.121825
5cst_ligand,27,0.125232
5cst_ligand,28,0.130509
5cst_ligand,29,0.135019
5cst_ligand,30,0.139283
5cst_ligand,31,0.143987
5cst_ligand,32,0.148677
5cst_ligand,33,0.15336
5cst_ligand,34,0.158172
5cst_ligand,35,0.163101
5cst_ligand,36,0.168199
5cst_ligand,37,0.173519
5cst_ligand,38,0.179117
5cst_ligand,39,0.18505
5cst_ligand,40,0.191376
5cst_ligand,41,0.198154
5cst_ligand,42,0.20544
5cst_ligand,43,0.210835
5cst_ligand,44,0.2169
5cst_ligand,45,0.213629
5cst_ligand,46,0.220929
5cst_ligand,47,0.218722
5cst_ligand,48,0.216975
5cst_ligand,49,0.225854
5cst_ligand,50,0.223676
5cst_ligand,51,0.231935
5cst_ligand,52,0.230001
5cst_ligand,53,0.228384
5cst_ligand,54,0.226891
5cst_ligand,55,0.23083
5cst_ligand,56,0.229088
5cst_ligand,57,0.227477
5cst_ligand,58,0.236567
5cst_ligand,59,0.230358
5cst_ligand,60,0.228731
5cst_ligand,61,0.227225
5cst_ligand,62,0.231176
5cst_ligand,63,0.229429
5cst_ligand,64,0.227818
5cst_ligand,65,0.226662
5cst_ligand,66,0.230567
5cst_ligand,67,0.228896
5cst_ligand,68,0.227347
5cst_ligand,69,0.236113
5cst_ligand,70,0.229908
5cst_ligand,71,0.228277
5cst_ligand,72,0.227124
5cst_ligand,73,0.235931
5cst_ligand,74,0.229948
5cst_ligand,75,0.22842
5cst_ligand,76,0.227014
5cst_ligand,77,0.230913
5cst_ligand,78,0.229268
5cst_ligand,79,0.22813
5cst_ligand,80,0.23695
5cst_ligand,81,0.230851
5cst_ligand,82,0.22934
5cst_ligand,83,0.227956
5cst_ligand,84,0.23679
5cst_ligand,85,0.230871
5cst_ligand,86,0.229803
5cst_ligand,87,0.228555
5cst_ligand,88,0.232537
5cst_ligand,89,0.231066
5cst_ligand,90,0.22973
5cst_ligand,91,0.228517
5cst_ligand,92,0.23247
5cst_ligand,93,0.23144
5cst_ligand,94,0.230226
5cst_ligand,95,0.224037
5cst_ligand,96,0.232437
5cst_ligand,97,0.231116
5cst_ligand,98,0.229928
5cst_ligand,99,0.233982
5cst_ligand,100,0.232831
5cst_ligand,101,0.231666
5cst_ligand,102,0.225577
5cst_ligand,103,0.23405
5cst_ligand,104,0.232631
5cst_ligand,105,0.231528
5cst_ligand,106,0.225435
5cst_ligand,107,0.23436
5cst_ligand,108,0.233266
5cst_ligand,109,0.232305
5cst_ligand,110,0.226297
5cst_ligand,111,0.234911
5cst_ligand,112,0.233879
5cst_ligand,113,0.227933
5cst_ligand,114,0.226982
5cst_ligand,115,0.235695
5cst_ligand,116,0.234826
5cst_ligand,117,0.22898
5cst_ligand,118,0.227747
5cst_ligand,119,0.236526
5cst_ligand,120,0.231197
5cst_ligand,121,0.230008
5cst_ligand,122,0.228949
5cst_ligand,123,0.232896
5cst_ligand,124,0.231642
5cst_ligand,125,0.230533
5cst_ligand,126,0.229557
5cst_ligand,127,0.233972
5cst_ligand,128,0.232907
5cst_ligand,129,0.231982
5cst_ligand,130,0.226059
5cst_ligand,131,0.234588
5cst_ligand,132,0.23361
5cst_ligand,133,0.232783
5cst_ligand,134,0.227397
5cst_ligand,135,0.236076
5cst_ligand,136,0.235302
5cst_ligand,137,0.229593
5cst_ligand,138,0.228476
5cst_ligand,139,0.237259
5cst_ligand,140,0.236441
5cst_ligand,141,0.23129
5cst_ligand,142,0.230404
5cst_ligand,143,0.239365
5cst_ligand,144,0.233741
5cst_ligand,145,0.232858
5cst_ligand,146,0.232129
5cst_ligand,147,0.236216
5cst_ligand,148,0.235274
5cst_ligand,149,0.23465
5cst_ligand,150,0.228997
5cst_ligand,151,0.237733
5cst_ligand,152,0.236554
5cst_ligand,153,0.230996
5cst_ligand,154,0.230045
5cst_ligand,155,0.23941
5cst_ligand,156,0.233475
5cst_ligand,157,0.232633
5cst_ligand,158,0.231946
5cst_ligand,159,0.241015
5cst_ligand,160,0.235195
5cst_ligand,161,0.234165
5cst_ligand,162,0.234193
5cst_ligand,163,0.238367
5cst_ligand,164,0.237297
5cst_ligand,165,0.236556
5cst_ligand,166,0.230728
5cst_ligand,167,0.239613
5cst_ligand,168,0.238734
5cst_ligand,169,0.233022
5cst_ligand,170,0.232533
5cst_ligand,171,0.241638
5cst_ligand,172,0.23595
5cst_ligand,173,0.234912
5cst_ligand,174,0.234194
5cst_ligand,175,0.238046
5cst_ligand,176,0.237034
5cst_ligand,177,0.236899
5cst_ligand,178,0.231182
5cst_ligand,179,0.239821
5cst_ligand,180,0.239106
5cst_ligand,181,0.233509
5cst_ligand,182,0.232658
5cst_ligand,183,0.241475
5cst_ligand,184,0.235832
5cst_ligand,185,0.23559
5cst_ligand,186,0.235066
5cst_ligand,187,0.238957
5cst_ligand,188,0.238156
5cst_ligand,189,0.237694
5cst_ligand,190,0.232077
5cst_ligand,191,0.240795
5cst_ligand,192,0.240239
5cst_ligand,193,0.235147
5cst_ligand,194,0.234574
5cst_ligand,195,0.238458
5cst_ligand,196,0.237608
5cst_ligand,197,0.236945
5cst_ligand,198,0.231331
5cst_ligand,199,0.239973
5cst_ligand,200,0.239382
5cst_ligand,201,0.234301
5cst_ligand,202,0.233698
5cst_ligand,203,0.24263
5cst_ligand,204,0.237209
5cst_ligand,205,0.236545
5cst_ligand,206,0.236224
5cst_ligand,207,0.240183
5cst_ligand,208,0.239618
5cst_ligand,209,0.239819
5cst_ligand,210,0.234115
5cst_ligand,211,0.243028
5cst_ligand,212,0.24283
5cst_ligand,213,0.237137
5cst_ligand,214,0.236805
5cst_ligand,215,0.245977
5cst_ligand,216,0.240458
5cst_ligand,217,0.24066
5cst_ligand,218,0.235272
5cst_ligand,219,0.244224
5cst_ligand,220,0.244101
5cst_ligand,221,0.238918
5cst_ligand,222,0.238577
5cst_ligand,223,0.238592
5cst_ligand,224,0.242312
5cst_ligand,225,0.242077
5cst_ligand,226,0.242065
5cst_ligand,227,0.237017
5cst_ligand,228,0.246184
5cst_ligand,229,0.241192
5cst_ligand,230,0.240996
5cst_ligand,231,0.241022
5cst_ligand,232,0.244922
5cst_ligand,233,0.244882
5cst_ligand,234,0.245085
5cst_ligand,235,0.239708
5cst_ligand,236,0.240272
5cst_ligand,237,0.244487
5cst_ligand,238,0.244533
5cst_ligand,239,0.244824
5cst_ligand,240,0.239509
5cst_ligand,241,0.239558
5cst_ligand,242,0.243728
5cst_ligand,243,0.243761
5cst_ligand,244,0.244043
5cst_ligand,245,0.238722
5cst_ligand,246,0.248455
5cst_ligand,247,0.249044
5cst_ligand,248,0.244064
5cst_ligand,249,0.244459
5cst_ligand,250,0.239239
5cst_ligand,251,0.248416
5cst_ligand,252,0.249029
5cst_ligand,253,0.244088
5cst_ligand,254,0.244522
5cst_ligand,255,0.248919
5cst_ligand,256,0.249408
