ligand,iteration,standalone_ls_score
5cst_ligand,1,-3.82605
5cst_ligand,2,-4.04431
5cst_ligand,3,-4.26402
5cst_ligand,4,-4.50888
5cst_ligand,5,-4.78724
5cst_ligand,6,-5.10724
5cst_ligand,7,-5.31912
5cst_ligand,8,-5.44325
5cst_ligand,9,-5.49729
5cst_ligand,10,-5.5669
5cst_ligand,11,-5.63759
5cst_ligand,12,-5.65068
5cst_ligand,13,-5.72832
5cst_ligand,14,-5.7844
5cst_ligand,15,-5.85842
5cst_ligand,16,-5.90939
5cst_ligand,17,-5.97877
5cst_ligand,18,-6.04226
5cst_ligand,19,-6.10263
5cst_ligand,20,-6.16172
5cst_ligand,21,-6.22131
5cst_ligand,22,-6.27865
5cst_ligand,23,-6.31417
5cst_ligand,24,-6.35272
5cst_ligand,25,-6.39587
5cst_ligand,26,-6.44473
5cst_ligand,27,-6.47822
5cst_ligand,28,-6.5407
5cst_ligand,29,-6.5843
5cst_ligand,30,-6.63157
5cst_ligand,31,-6.68117
5cst_ligand,32,-6.72965
5cst_ligand,33,-6.77864
5cst_ligand,34,-6.83028
5cst_ligand,35,-6.88502
5cst_ligand,36,-6.94441
5cst_ligand,37,-7.00972
5cst_ligand,38,-7.0828
5cst_ligand,39,-7.16491
5cst_ligand,40,-7.25819
5cst_ligand,41,-7.36435
5cst_ligand,42,-7.48354
5cst_ligand,43,-7.56843
5cst_ligand,44,-7.59646
5cst_ligand,45,-7.67702
5cst_ligand,46,-7.70295
5cst_ligand,47,-7.79561
5cst_ligand,48,-7.80443
5cst_ligand,49,-7.85498
5cst_ligand,50,-7.88837
5cst_ligand,51,-7.85481
5cst_ligand,52,-7.89218
5cst_ligand,53,-7.92547
5cst_ligand,54,-7.88675
5cst_ligand,55,-7.87696
5cst_ligand,56,-7.91281
5cst_ligand,57,-7.93074
5cst_ligand,58,-7.87775
5cst_ligand,59,-7.89384
5cst_ligand,60,-7.92756
5cst_ligand,61,-7.92121
5cst_ligand,62,-7.87928
5cst_ligand,63,-7.91559
5cst_ligand,64,-7.94837
5cst_ligand,65,-7.89078
5cst_ligand,66,-7.89259
5cst_ligand,67,-7.9272
5cst_ligand,68,-7.93997
5cst_ligand,69,-7.90629
5cst_ligand,70,-7.91527
5cst_ligand,71,-7.94854
5cst_ligand,72,-7.92833
5cst_ligand,73,-7.90113
5cst_ligand,74,-7.92636
5cst_ligand,75,-7.95941
5cst_ligand,76,-7.92409
5cst_ligand,77,-7.91128
5cst_ligand,78,-7.94367
5cst_ligand,79,-7.95922
5cst_ligand,80,-7.91673
5cst_ligand,81,-7.92647
5cst_ligand,82,-7.96035
5cst_ligand,83,-7.96304
5cst_ligand,84,-7.91806
5cst_ligand,85,-7.94269
5cst_ligand,86,-7.97111
5cst_ligand,87,-7.94234
5cst_ligand,88,-7.92307
5cst_ligand,89,-7.9581
5cst_ligand,90,-7.99089
5cst_ligand,91,-7.93264
5cst_ligand,92,-7.93546
5cst_ligand,93,-7.96864
5cst_ligand,94,-7.99064
5cst_ligand,95,-7.93768
5cst_ligand,96,-7.95543
5cst_ligand,97,-7.98951
5cst_ligand,98,-7.98466
5cst_ligand,99,-7.93287
5cst_ligand,100,-7.97008
5cst_ligand,101,-7.99967
5cst_ligand,102,-7.97164
5cst_ligand,103,-7.95825
5cst_ligand,104,-7.99399
5cst_ligand,105,-8.00012
5cst_ligand,106,-7.96838
5cst_ligand,107,-7.97279
5cst_ligand,108,-8.00574
5cst_ligand,109,-7.98603
5cst_ligand,110,-7.98275
5cst_ligand,111,-7.99249
5cst_ligand,112,-8.00446
5cst_ligand,113,-8.00221
5cst_ligand,114,-7.98325
5cst_ligand,115,-8.00488
5cst_ligand,116,-7.98918
5cst_ligand,117,-8.02335
5cst_ligand,118,-8.00455
5cst_ligand,119,-8.00258
5cst_ligand,120,-8.00141
5cst_ligand,121,-8.03434
5cst_ligand,122,-8.00922
5cst_ligand,123,-7.98748
5cst_ligand,124,-8.02333
5cst_ligand,125,-8.05698
5cst_ligand,126,-7.99377
5cst_ligand,127,-8.00039
5cst_ligand,128,-8.0345
5cst_ligand,129,-8.05721
5cst_ligand,130,-8.00681
5cst_ligand,131,-8.02327
5cst_ligand,132,-8.05828
5cst_ligand,133,-8.04477
5cst_ligand,134,-8.01692
5cst_ligand,135,-8.03616
5cst_ligand,136,-8.05024
5cst_ligand,137,-8.05458
