ligand,iteration,com_distance
5uez_ligand,1,0
5uez_ligand,2,0.00764649
5uez_ligand,3,0.014957
5uez_ligand,4,0.0230949
5uez_ligand,5,0.025136
5uez_ligand,6,0.0336473
5uez_ligand,7,0.0369077
5uez_ligand,8,0.0413192
5uez_ligand,9,0.0499641
5uez_ligand,10,0.0516963
5uez_ligand,11,0.0594095
5uez_ligand,12,0.061636
5uez_ligand,13,0.0670255
5uez_ligand,14,0.0728904
5uez_ligand,15,0.0765431
5uez_ligand,16,0.0852473
5uez_ligand,17,0.0898394
5uez_ligand,18,0.095085
5uez_ligand,19,0.100189
5uez_ligand,20,0.105844
5uez_ligand,21,0.104735
5uez_ligand,22,0.109685
5uez_ligand,23,0.115273
5uez_ligand,24,0.114219
5uez_ligand,25,0.119179
5uez_ligand,26,0.118103
5uez_ligand,27,0.122119
5uez_ligand,28,0.126827
5uez_ligand,29,0.125313
5uez_ligand,30,0.129962
5uez_ligand,31,0.128991
5uez_ligand,32,0.134963
5uez_ligand,33,0.139735
5uez_ligand,34,0.140489
5uez_ligand,35,0.144939
5uez_ligand,36,0.145698
5uez_ligand,37,0.150082
5uez_ligand,38,0.15177
5uez_ligand,39,0.155977
5uez_ligand,40,0.157671
5uez_ligand,41,0.162819
5uez_ligand,42,0.168675
5uez_ligand,43,0.169459
5uez_ligand,44,0.175202
5uez_ligand,45,0.176033
5uez_ligand,46,0.181763
5uez_ligand,47,0.183377
5uez_ligand,48,0.184383
5uez_ligand,49,0.189704
5uez_ligand,50,0.191437
5uez_ligand,51,0.197206
5uez_ligand,52,0.199201
5uez_ligand,53,0.205032
5uez_ligand,54,0.207116
5uez_ligand,55,0.213087
5uez_ligand,56,0.215242
5uez_ligand,57,0.21756
5uez_ligand,58,0.223435
5uez_ligand,59,0.225871
5uez_ligand,60,0.232047
5uez_ligand,61,0.234673
5uez_ligand,62,0.237453
5uez_ligand,63,0.243581
5uez_ligand,64,0.246486
5uez_ligand,65,0.252913
5uez_ligand,66,0.255997
5uez_ligand,67,0.259311
5uez_ligand,68,0.265967
5uez_ligand,69,0.269256
5uez_ligand,70,0.272756
5uez_ligand,71,0.279388
5uez_ligand,72,0.283115
5uez_ligand,73,0.28709
5uez_ligand,74,0.294128
5uez_ligand,75,0.298491
5uez_ligand,76,0.302405
5uez_ligand,77,0.30654
5uez_ligand,78,0.313398
5uez_ligand,79,0.318118
5uez_ligand,80,0.323171
