ligand,iteration,standalone_ls_score
5uez_ligand,1,-9.45327
5uez_ligand,2,-9.45885
5uez_ligand,3,-9.4634
5uez_ligand,4,-9.46836
5uez_ligand,5,-9.47191
5uez_ligand,6,-9.47698
5uez_ligand,7,-9.48017
5uez_ligand,8,-9.48362
5uez_ligand,9,-9.48839
5uez_ligand,10,-9.49047
5uez_ligand,11,-9.49479
5uez_ligand,12,-9.49726
5uez_ligand,13,-9.50091
5uez_ligand,14,-9.50477
5uez_ligand,15,-9.50758
5uez_ligand,16,-9.51295
5uez_ligand,17,-9.51706
5uez_ligand,18,-9.52105
5uez_ligand,19,-9.52512
5uez_ligand,20,-9.52953
5uez_ligand,21,-9.5254
5uez_ligand,22,-9.5298
5uez_ligand,23,-9.53335
5uez_ligand,24,-9.53006
5uez_ligand,25,-9.53479
5uez_ligand,26,-9.52998
5uez_ligand,27,-9.53436
5uez_ligand,28,-9.5372
5uez_ligand,29,-9.53375
5uez_ligand,30,-9.53787
5uez_ligand,31,-9.53299
5uez_ligand,32,-9.53855
5uez_ligand,33,-9.541
5uez_ligand,34,-9.5391
5uez_ligand,35,-9.54263
5uez_ligand,36,-9.53972
5uez_ligand,37,-9.54369
5uez_ligand,38,-9.54076
5uez_ligand,39,-9.54559
5uez_ligand,40,-9.54199
5uez_ligand,41,-9.54834
5uez_ligand,42,-9.55139
5uez_ligand,43,-9.55047
5uez_ligand,44,-9.55351
5uez_ligand,45,-9.55267
5uez_ligand,46,-9.5554
5uez_ligand,47,-9.55532
5uez_ligand,48,-9.55069
5uez_ligand,49,-9.5562
5uez_ligand,50,-9.55295
5uez_ligand,51,-9.55899
5uez_ligand,52,-9.55659
5uez_ligand,53,-9.56218
5uez_ligand,54,-9.56067
5uez_ligand,55,-9.56529
5uez_ligand,56,-9.56501
5uez_ligand,57,-9.56094
5uez_ligand,58,-9.56805
5uez_ligand,59,-9.56578
5uez_ligand,60,-9.57121
5uez_ligand,61,-9.57052
5uez_ligand,62,-9.56713
5uez_ligand,63,-9.57436
5uez_ligand,64,-9.57324
5uez_ligand,65,-9.57846
5uez_ligand,66,-9.57815
5uez_ligand,67,-9.57642
5uez_ligand,68,-9.58212
5uez_ligand,69,-9.58218
5uez_ligand,70,-9.58078
5uez_ligand,71,-9.58707
5uez_ligand,72,-9.58695
5uez_ligand,73,-9.5862
5uez_ligand,74,-9.59196
5uez_ligand,75,-9.59174
5uez_ligand,76,-9.59097
5uez_ligand,77,-9.58874
5uez_ligand,78,-9.5951
5uez_ligand,79,-9.59457
5uez_ligand,80,-9.59121
5uez_ligand,81,-9.59419
5uez_ligand,82,-9.59065
5uez_ligand,83,-9.59245
5uez_ligand,84,-9.59515
5uez_ligand,85,-9.59332
5uez_ligand,86,-9.6003
5uez_ligand,87,-9.59961
5uez_ligand,88,-9.59819
5uez_ligand,89,-9.59977
5uez_ligand,90,-9.5976
5uez_ligand,91,-9.60082
5uez_ligand,92,-9.59794
5uez_ligand,93,-9.59967
5uez_ligand,94,-9.59867
5uez_ligand,95,-9.59895
5uez_ligand,96,-9.59927
5uez_ligand,97,-9.59965
5uez_ligand,98,-9.59855
5uez_ligand,99,-9.6019
5uez_ligand,100,-9.60887
5uez_ligand,101,-9.60595
5uez_ligand,102,-9.60042
5uez_ligand,103,-9.60251
5uez_ligand,104,-9.60287
5uez_ligand,105,-9.60325
5uez_ligand,106,-9.60366
5uez_ligand,107,-9.60305
5uez_ligand,108,-9.60585
5uez_ligand,109,-9.60644
5uez_ligand,110,-9.60706
5uez_ligand,111,-9.60711
5uez_ligand,112,-9.60166
5uez_ligand,113,-9.60494
5uez_ligand,114,-9.60534
5uez_ligand,115,-9.60437
5uez_ligand,116,-9.60753
5uez_ligand,117,-9.60812
5uez_ligand,118,-9.60872
5uez_ligand,119,-9.60883
5uez_ligand,120,-9.61109
5uez_ligand,121,-9.61186
5uez_ligand,122,-9.60883
5uez_ligand,123,-9.60743
5uez_ligand,124,-9.6104
5uez_ligand,125,-9.61101
5uez_ligand,126,-9.61164
5uez_ligand,127,-9.6123
5uez_ligand,128,-9.61146
5uez_ligand,129,-9.6148
5uez_ligand,130,-9.61564
5uez_ligand,131,-9.61651
5uez_ligand,132,-9.61449
5uez_ligand,133,-9.6147
5uez_ligand,134,-9.61535
5uez_ligand,135,-9.61556
5uez_ligand,136,-9.61795
5uez_ligand,137,-9.61879
5uez_ligand,138,-9.61966
5uez_ligand,139,-9.62056
5uez_ligand,140,-9.62003
5uez_ligand,141,-9.6235
5uez_ligand,142,-9.62437
5uez_ligand,143,-9.6208
5uez_ligand,144,-9.62268
5uez_ligand,145,-9.62371
5uez_ligand,146,-9.62462
5uez_ligand,147,-9.62418
5uez_ligand,148,-9.62727
5uez_ligand,149,-9.62838
5uez_ligand,150,-9.62808
5uez_ligand,151,-9.63124
5uez_ligand,152,-9.63187
5uez_ligand,153,-9.62966
5uez_ligand,154,-9.63097
5uez_ligand,155,-9.6293
5uez_ligand,156,-9.63331
5uez_ligand,157,-9.63444
5uez_ligand,158,-9.63593
5uez_ligand,159,-9.63778
5uez_ligand,160,-9.637
5uez_ligand,161,-9.64074
5uez_ligand,162,-9.6385
5uez_ligand,163,-9.6395
5uez_ligand,164,-9.63772
5uez_ligand,165,-9.64041
5uez_ligand,166,-9.64207
5uez_ligand,167,-9.64154
5uez_ligand,168,-9.64334
5uez_ligand,169,-9.64494
5uez_ligand,170,-9.64442
5uez_ligand,171,-9.64665
5uez_ligand,172,-9.64157
5uez_ligand,173,-9.6441
5uez_ligand,174,-9.64292
5uez_ligand,175,-9.64714
5uez_ligand,176,-9.64557
5uez_ligand,177,-9.64876
5uez_ligand,178,-9.64711
5uez_ligand,179,-9.65061
5uez_ligand,180,-9.65057
5uez_ligand,181,-9.64663
5uez_ligand,182,-9.65014
5uez_ligand,183,-9.64898
5uez_ligand,184,-9.65178
5uez_ligand,185,-9.65058
5uez_ligand,186,-9.6538
5uez_ligand,187,-9.65207
5uez_ligand,188,-9.65605
5uez_ligand,189,-9.65393
5uez_ligand,190,-9.65268
5uez_ligand,191,-9.65413
5uez_ligand,192,-9.6544
5uez_ligand,193,-9.65618
5uez_ligand,194,-9.65714
5uez_ligand,195,-9.65854
5uez_ligand,196,-9.65954
5uez_ligand,197,-9.65861
5uez_ligand,198,-9.65981
5uez_ligand,199,-9.65864
5uez_ligand,200,-9.65464
5uez_ligand,201,-9.65959
5uez_ligand,202,-9.6597
5uez_ligand,203,-9.65944
5uez_ligand,204,-9.6603
5uez_ligand,205,-9.66423
5uez_ligand,206,-9.66304
5uez_ligand,207,-9.66638
5uez_ligand,208,-9.66039
5uez_ligand,209,-9.66204
5uez_ligand,210,-9.66206
5uez_ligand,211,-9.66387
5uez_ligand,212,-9.66464
5uez_ligand,213,-9.66594
5uez_ligand,214,-9.66695
5uez_ligand,215,-9.66811
5uez_ligand,216,-9.66657
5uez_ligand,217,-9.66576
5uez_ligand,218,-9.66406
5uez_ligand,219,-9.66613
5uez_ligand,220,-9.66687
5uez_ligand,221,-9.66835
5uez_ligand,222,-9.66942
5uez_ligand,223,-9.67067
5uez_ligand,224,-9.66921
5uez_ligand,225,-9.67319
5uez_ligand,226,-9.66704
5uez_ligand,227,-9.66943
5uez_ligand,228,-9.66905
5uez_ligand,229,-9.67167
5uez_ligand,230,-9.66926
5uez_ligand,231,-9.67411
5uez_ligand,232,-9.67206
5uez_ligand,233,-9.67392
5uez_ligand,234,-9.67447
5uez_ligand,235,-9.67126
5uez_ligand,236,-9.67305
5uez_ligand,237,-9.67481
5uez_ligand,238,-9.67556
5uez_ligand,239,-9.67514
5uez_ligand,240,-9.67827
5uez_ligand,241,-9.67788
5uez_ligand,242,-9.67847
5uez_ligand,243,-9.67771
5uez_ligand,244,-9.67783
5uez_ligand,245,-9.67625
5uez_ligand,246,-9.67819
5uez_ligand,247,-9.67679
5uez_ligand,248,-9.68095
5uez_ligand,249,-9.67884
5uez_ligand,250,-9.68133
5uez_ligand,251,-9.67891
5uez_ligand,252,-9.6843
5uez_ligand,253,-9.68066
5uez_ligand,254,-9.6794
5uez_ligand,255,-9.68116
5uez_ligand,256,-9.68159
5uez_ligand,257,-9.68433
5uez_ligand,258,-9.6811
5uez_ligand,259,-9.68394
5uez_ligand,260,-9.68727
5uez_ligand,261,-9.68704
5uez_ligand,262,-9.68452
5uez_ligand,263,-9.6834
5uez_ligand,264,-9.68523
5uez_ligand,265,-9.68512
5uez_ligand,266,-9.68656
5uez_ligand,267,-9.68815
5uez_ligand,268,-9.69077
5uez_ligand,269,-9.68879
5uez_ligand,270,-9.69118
5uez_ligand,271,-9.68828
5uez_ligand,272,-9.68905
5uez_ligand,273,-9.69134
5uez_ligand,274,-9.69128
5uez_ligand,275,-9.69308
5uez_ligand,276,-9.69334
5uez_ligand,277,-9.69499
5uez_ligand,278,-9.6963
5uez_ligand,279,-9.69708
5uez_ligand,280,-9.69705
5uez_ligand,281,-9.69627
5uez_ligand,282,-9.69552
5uez_ligand,283,-9.69819
5uez_ligand,284,-9.69809
5uez_ligand,285,-9.7003
5uez_ligand,286,-9.70052
5uez_ligand,287,-9.7026
5uez_ligand,288,-9.70284
5uez_ligand,289,-9.70399
5uez_ligand,290,-9.7021
5uez_ligand,291,-9.7036
5uez_ligand,292,-9.70272
5uez_ligand,293,-9.70593
5uez_ligand,294,-9.70578
5uez_ligand,295,-9.70738
5uez_ligand,296,-9.70871
5uez_ligand,297,-9.71012
5uez_ligand,298,-9.71041
5uez_ligand,299,-9.71066
5uez_ligand,300,-9.70892
