ligand,iteration,com_distance
5wuk_ligand,1,0
5wuk_ligand,2,0.00773059
5wuk_ligand,3,0.0156271
5wuk_ligand,4,0.0232912
5wuk_ligand,5,0.025766
5wuk_ligand,6,0.0314721
5wuk_ligand,7,0.0371301
5wuk_ligand,8,0.0427808
5wuk_ligand,9,0.0482447
5wuk_ligand,10,0.0508057
5wuk_ligand,11,0.0563049
5wuk_ligand,12,0.0573472
5wuk_ligand,13,0.0600559
5wuk_ligand,14,0.0652903
5wuk_ligand,15,0.0682124
5wuk_ligand,16,0.0706237
5wuk_ligand,17,0.0751789
5wuk_ligand,18,0.077723
5wuk_ligand,19,0.0809866
5wuk_ligand,20,0.0833491
5wuk_ligand,21,0.0838784
5wuk_ligand,22,0.0862488
5wuk_ligand,23,0.0868644
5wuk_ligand,24,0.0881366
5wuk_ligand,25,0.0885542
5wuk_ligand,26,0.0908212
5wuk_ligand,27,0.0913405
5wuk_ligand,28,0.0920146
5wuk_ligand,29,0.0924061
5wuk_ligand,30,0.0920506
5wuk_ligand,31,0.0934315
5wuk_ligand,32,0.0926778
5wuk_ligand,33,0.0945604
5wuk_ligand,34,0.0938806
5wuk_ligand,35,0.0947117
5wuk_ligand,36,0.0938522
5wuk_ligand,37,0.0947942
5wuk_ligand,38,0.0949133
5wuk_ligand,39,0.0968552
5wuk_ligand,40,0.0949639
5wuk_ligand,41,0.0941465
5wuk_ligand,42,0.0963748
5wuk_ligand,43,0.0955931
5wuk_ligand,44,0.0979352
5wuk_ligand,45,0.0959917
5wuk_ligand,46,0.0961037
5wuk_ligand,47,0.09737
5wuk_ligand,48,0.0975341
5wuk_ligand,49,0.0989015
5wuk_ligand,50,0.0969094
5wuk_ligand,51,0.0974126
5wuk_ligand,52,0.0986818
5wuk_ligand,53,0.098796
5wuk_ligand,54,0.0984351
5wuk_ligand,55,0.0997025
5wuk_ligand,56,0.0986868
5wuk_ligand,57,0.0992793
5wuk_ligand,58,0.100557
5wuk_ligand,59,0.0996833
5wuk_ligand,60,0.09927
5wuk_ligand,61,0.100452
5wuk_ligand,62,0.100984
5wuk_ligand,63,0.1005
5wuk_ligand,64,0.101266
5wuk_ligand,65,0.101436
5wuk_ligand,66,0.100798
5wuk_ligand,67,0.101444
5wuk_ligand,68,0.102689
5wuk_ligand,69,0.102151
5wuk_ligand,70,0.10178
5wuk_ligand,71,0.101182
5wuk_ligand,72,0.10362
5wuk_ligand,73,0.103022
5wuk_ligand,74,0.10253
5wuk_ligand,75,0.102311
5wuk_ligand,76,0.103418
5wuk_ligand,77,0.102765
5wuk_ligand,78,0.103588
5wuk_ligand,79,0.10483
5wuk_ligand,80,0.103134
5wuk_ligand,81,0.103843
5wuk_ligand,82,0.103244
5wuk_ligand,83,0.105886
5wuk_ligand,84,0.10528
5wuk_ligand,85,0.10367
5wuk_ligand,86,0.106256
5wuk_ligand,87,0.105222
5wuk_ligand,88,0.104568
5wuk_ligand,89,0.105644
5wuk_ligand,90,0.105528
5wuk_ligand,91,0.106315
5wuk_ligand,92,0.105325
5wuk_ligand,93,0.107864
5wuk_ligand,94,0.106834
5wuk_ligand,95,0.106655
