ligand,iteration,com_distance
1fkb_ligand,1,0
1fkb_ligand,2,0.757574
1fkb_ligand,3,0.328315
1fkb_ligand,4,0.278794
1fkb_ligand,5,0.245498
1fkb_ligand,6,0.211418
1fkb_ligand,7,0.183879
1fkb_ligand,8,0.168248
1fkb_ligand,9,0.150818
1fkb_ligand,10,0.142153
1fkb_ligand,11,0.159503
1fkb_ligand,12,0.174067
1fkb_ligand,13,0.199496
1fkb_ligand,14,0.220143
1fkb_ligand,15,0.2451
1fkb_ligand,16,0.281389
1fkb_ligand,17,0.291924
1fkb_ligand,18,0.300487
1fkb_ligand,19,0.305775
1fkb_ligand,20,0.310919
1fkb_ligand,21,0.314296
1fkb_ligand,22,0.314811
1fkb_ligand,23,0.315416
1fkb_ligand,24,0.314188
1fkb_ligand,25,0.312377
1fkb_ligand,26,0.30925
1fkb_ligand,27,0.29272
1fkb_ligand,28,0.303901
1fkb_ligand,29,0.283759
1fkb_ligand,30,0.315458
1fkb_ligand,31,0.292779
1fkb_ligand,32,0.27533
1fkb_ligand,33,0.31633
1fkb_ligand,34,0.286155
1fkb_ligand,35,0.323015
1fkb_ligand,36,0.285266
1fkb_ligand,37,0.328927
1fkb_ligand,38,0.286628
1fkb_ligand,39,0.326128
1fkb_ligand,40,0.284071
1fkb_ligand,41,0.323233
1fkb_ligand,42,0.281818
1fkb_ligand,43,0.318481
1fkb_ligand,44,0.341149
1fkb_ligand,45,0.287276
1fkb_ligand,46,0.321748
1fkb_ligand,47,0.278236
1fkb_ligand,48,0.317512
1fkb_ligand,49,0.337915
1fkb_ligand,50,0.287022
1fkb_ligand,51,0.30909
1fkb_ligand,52,0.346147
1fkb_ligand,53,0.292891
1fkb_ligand,54,0.315324
1fkb_ligand,55,0.348433
1fkb_ligand,56,0.300632
1fkb_ligand,57,0.557208
1fkb_ligand,58,0.274786
1fkb_ligand,59,0.353611
1fkb_ligand,60,0.293827
1fkb_ligand,61,0.320008
1fkb_ligand,62,0.350421
1fkb_ligand,63,0.307266
1fkb_ligand,64,0.35805
1fkb_ligand,65,0.373522
1fkb_ligand,66,0.308414
1fkb_ligand,67,0.338257
1fkb_ligand,68,0.362604
1fkb_ligand,69,0.385172
1fkb_ligand,70,0.325392
1fkb_ligand,71,0.341355
1fkb_ligand,72,0.361163
1fkb_ligand,73,0.387794
1fkb_ligand,74,0.331439
1fkb_ligand,75,0.585403
