ligand,iteration,standalone_ls_score
1fkb_ligand,1,-15.7972
1fkb_ligand,2,15.9563
1fkb_ligand,3,-13.5964
1fkb_ligand,4,-13.9282
1fkb_ligand,5,-14.1654
1fkb_ligand,6,-14.4568
1fkb_ligand,7,-14.8328
1fkb_ligand,8,-15.1396
1fkb_ligand,9,-15.3494
1fkb_ligand,10,-15.5511
1fkb_ligand,11,-15.7707
1fkb_ligand,12,-16.0143
1fkb_ligand,13,-16.2623
1fkb_ligand,14,-16.4744
1fkb_ligand,15,-16.6242
1fkb_ligand,16,-16.7453
1fkb_ligand,17,-16.8193
1fkb_ligand,18,-16.8547
1fkb_ligand,19,-16.8806
1fkb_ligand,20,-16.9009
1fkb_ligand,21,-16.917
1fkb_ligand,22,-16.9321
1fkb_ligand,23,-16.9491
1fkb_ligand,24,-16.9679
1fkb_ligand,25,-16.9926
1fkb_ligand,26,-17.0169
1fkb_ligand,27,-17.0376
1fkb_ligand,28,-17.0698
1fkb_ligand,29,-17.0744
1fkb_ligand,30,-17.1128
1fkb_ligand,31,-17.1817
1fkb_ligand,32,-17.1031
1fkb_ligand,33,-17.1826
1fkb_ligand,34,-17.1725
1fkb_ligand,35,-17.189
1fkb_ligand,36,-17.1646
1fkb_ligand,37,-17.1908
1fkb_ligand,38,-17.158
1fkb_ligand,39,-17.2101
1fkb_ligand,40,-17.1372
1fkb_ligand,41,-17.255
1fkb_ligand,42,-17.0922
1fkb_ligand,43,-17.279
1fkb_ligand,44,-17.1837
1fkb_ligand,45,-17.1513
1fkb_ligand,46,-17.3271
1fkb_ligand,47,-17.034
1fkb_ligand,48,-17.2446
1fkb_ligand,49,-17.253
1fkb_ligand,50,-17.0877
1fkb_ligand,51,-17.2643
1fkb_ligand,52,-17.2374
1fkb_ligand,53,-17.088
1fkb_ligand,54,-17.2727
1fkb_ligand,55,-17.2847
1fkb_ligand,56,-16.9577
1fkb_ligand,57,-15.0407
1fkb_ligand,58,-17.2177
1fkb_ligand,59,-17.2079
1fkb_ligand,60,-17.1214
1fkb_ligand,61,-17.2991
1fkb_ligand,62,-17.3378
1fkb_ligand,63,-17.0633
1fkb_ligand,64,-17.3349
1fkb_ligand,65,-17.2074
1fkb_ligand,66,-17.1132
1fkb_ligand,67,-17.2941
1fkb_ligand,68,-17.4133
1fkb_ligand,69,-17.2606
1fkb_ligand,70,-17.0636
1fkb_ligand,71,-17.265
1fkb_ligand,72,-17.3913
1fkb_ligand,73,-17.3641
1fkb_ligand,74,-16.8528
1fkb_ligand,75,-14.5124
1fkb_ligand,76,-16.8622
1fkb_ligand,77,-17.4229
1fkb_ligand,78,-17.3139
1fkb_ligand,79,-16.9959
1fkb_ligand,80,-17.2112
1fkb_ligand,81,-17.372
1fkb_ligand,82,-17.4435
1fkb_ligand,83,-16.9453
1fkb_ligand,84,-17.1457
1fkb_ligand,85,-17.3197
1fkb_ligand,86,-17.4528
1fkb_ligand,87,-17.2654
1fkb_ligand,88,-16.8813
1fkb_ligand,89,-13.6751
1fkb_ligand,90,-16.3937
1fkb_ligand,91,-17.1646
1fkb_ligand,92,-17.3443
1fkb_ligand,93,-16.8493
1fkb_ligand,94,-17.1837
1fkb_ligand,95,-17.3691
1fkb_ligand,96,-17.4789
1fkb_ligand,97,-17.3185
1fkb_ligand,98,-16.8951
1fkb_ligand,99,-17.1522
1fkb_ligand,100,-17.3198
1fkb_ligand,101,-17.4351
1fkb_ligand,102,-17.5068
1fkb_ligand,103,-17.3721
1fkb_ligand,104,-16.2932
1fkb_ligand,105,-13.3393
1fkb_ligand,106,-15.9897
1fkb_ligand,107,-16.9787
1fkb_ligand,108,-17.3604
1fkb_ligand,109,-17.4497
1fkb_ligand,110,-17.2653
1fkb_ligand,111,-16.8201
1fkb_ligand,112,-17.256
1fkb_ligand,113,-17.4062
1fkb_ligand,114,-17.4658
1fkb_ligand,115,-17.512
1fkb_ligand,116,-17.3807
