ligand,iteration,com_distance
1hii_ligand,1,0
1hii_ligand,2,0.709883
1hii_ligand,3,0.299554
1hii_ligand,4,0.380087
1hii_ligand,5,1.13373
1hii_ligand,6,1.85867
1hii_ligand,7,1.2367
1hii_ligand,8,1.2153
1hii_ligand,9,1.19686
1hii_ligand,10,1.17804
1hii_ligand,11,1.16056
1hii_ligand,12,1.1432
1hii_ligand,13,1.13047
1hii_ligand,14,1.11822
1hii_ligand,15,1.10584
1hii_ligand,16,1.09335
1hii_ligand,17,1.081
1hii_ligand,18,1.06851
1hii_ligand,19,1.05724
1hii_ligand,20,1.04576
1hii_ligand,21,1.0339
1hii_ligand,22,1.02369
1hii_ligand,23,1.01356
1hii_ligand,24,0.999584
1hii_ligand,25,0.990836
1hii_ligand,26,0.984572
1hii_ligand,27,0.978285
1hii_ligand,28,0.971949
1hii_ligand,29,0.965617
1hii_ligand,30,0.959233
1hii_ligand,31,0.9528
1hii_ligand,32,0.946158
1hii_ligand,33,0.939407
1hii_ligand,34,0.932638
1hii_ligand,35,0.921867
1hii_ligand,36,0.911107
1hii_ligand,37,0.90116
1hii_ligand,38,0.891279
1hii_ligand,39,0.881186
1hii_ligand,40,0.871387
1hii_ligand,41,0.863653
1hii_ligand,42,0.856593
1hii_ligand,43,0.849698
1hii_ligand,44,0.842927
1hii_ligand,45,0.836078
1hii_ligand,46,0.829068
1hii_ligand,47,0.822107
1hii_ligand,48,0.815147
1hii_ligand,49,0.808072
1hii_ligand,50,0.800847
1hii_ligand,51,0.795112
1hii_ligand,52,0.789348
1hii_ligand,53,0.78345
1hii_ligand,54,0.778244
1hii_ligand,55,0.772966
1hii_ligand,56,0.767808
1hii_ligand,57,0.762666
1hii_ligand,58,0.757489
1hii_ligand,59,0.752172
1hii_ligand,60,0.747007
1hii_ligand,61,0.743975
1hii_ligand,62,0.738681
1hii_ligand,63,0.733294
1hii_ligand,64,0.727605
1hii_ligand,65,0.7218
1hii_ligand,66,0.715865
1hii_ligand,67,0.709819
1hii_ligand,68,0.703635
1hii_ligand,69,0.697917
1hii_ligand,70,0.694737
1hii_ligand,71,0.68886
1hii_ligand,72,0.68285
1hii_ligand,73,0.676959
1hii_ligand,74,0.670917
1hii_ligand,75,0.664778
1hii_ligand,76,0.658472
1hii_ligand,77,0.651885
1hii_ligand,78,0.648158
1hii_ligand,79,0.641354
1hii_ligand,80,0.634368
1hii_ligand,81,0.627099
1hii_ligand,82,0.619645
1hii_ligand,83,0.612691
1hii_ligand,84,0.608128
1hii_ligand,85,0.602674
1hii_ligand,86,0.598216
1hii_ligand,87,0.593559
1hii_ligand,88,0.5917
1hii_ligand,89,0.585708
1hii_ligand,90,0.581187
1hii_ligand,91,0.576441
1hii_ligand,92,0.567995
1hii_ligand,93,0.565119
1hii_ligand,94,0.560739
1hii_ligand,95,0.555974
1hii_ligand,96,0.549035
1hii_ligand,97,0.543787
1hii_ligand,98,0.538332
1hii_ligand,99,0.534414
1hii_ligand,100,0.530702
1hii_ligand,101,0.528825
1hii_ligand,102,0.525347
1hii_ligand,103,0.521317
1hii_ligand,104,0.512533
1hii_ligand,105,0.507119
1hii_ligand,106,0.501388
1hii_ligand,107,0.489491
1hii_ligand,108,0.479261
1hii_ligand,109,0.46737
1hii_ligand,110,0.45644
1hii_ligand,111,0.445273
1hii_ligand,112,0.43521
1hii_ligand,113,0.424917
1hii_ligand,114,0.417591
1hii_ligand,115,0.410321
1hii_ligand,116,0.402976
1hii_ligand,117,0.395808
1hii_ligand,118,0.390185
1hii_ligand,119,0.384383
1hii_ligand,120,0.379032
1hii_ligand,121,0.37272
1hii_ligand,122,0.36676
1hii_ligand,123,0.361185
1hii_ligand,124,0.356788
1hii_ligand,125,0.351888
1hii_ligand,126,0.348677
1hii_ligand,127,0.344867
1hii_ligand,128,0.34095
1hii_ligand,129,0.33792
1hii_ligand,130,0.333973
1hii_ligand,131,0.330995
1hii_ligand,132,0.326882
1hii_ligand,133,0.323914
1hii_ligand,134,0.319943
1hii_ligand,135,0.317199
1hii_ligand,136,0.314451
1hii_ligand,137,0.310871
1hii_ligand,138,0.308417
1hii_ligand,139,0.304892
1hii_ligand,140,0.302635
1hii_ligand,141,0.301923
1hii_ligand,142,0.299093
1hii_ligand,143,0.297121
1hii_ligand,144,0.295304
1hii_ligand,145,0.293473
1hii_ligand,146,0.29175
1hii_ligand,147,0.289787
1hii_ligand,148,0.28507
1hii_ligand,149,0.283735
1hii_ligand,150,0.279735
1hii_ligand,151,0.279829
1hii_ligand,152,0.275278
1hii_ligand,153,0.27496
1hii_ligand,154,0.270707
