ligand,iteration,standalone_ls_score
1hii_ligand,1,-15.0215
1hii_ligand,2,-11.4686
1hii_ligand,3,-14.9694
1hii_ligand,4,-13.9962
1hii_ligand,5,307.76
1hii_ligand,6,17629.6
1hii_ligand,7,-5.30894
1hii_ligand,8,-5.89083
1hii_ligand,9,-6.16595
1hii_ligand,10,-6.4415
1hii_ligand,11,-6.6871
1hii_ligand,12,-6.91854
1hii_ligand,13,-7.04901
1hii_ligand,14,-7.17639
1hii_ligand,15,-7.30543
1hii_ligand,16,-7.43612
1hii_ligand,17,-7.56636
1hii_ligand,18,-7.6932
1hii_ligand,19,-7.80462
1hii_ligand,20,-7.9182
1hii_ligand,21,-8.02192
1hii_ligand,22,-8.11615
1hii_ligand,23,-8.23307
1hii_ligand,24,-8.36827
1hii_ligand,25,-8.43262
1hii_ligand,26,-8.49174
1hii_ligand,27,-8.55145
1hii_ligand,28,-8.6106
1hii_ligand,29,-8.66776
1hii_ligand,30,-8.72568
1hii_ligand,31,-8.7845
1hii_ligand,32,-8.84421
1hii_ligand,33,-8.90443
1hii_ligand,34,-8.97684
1hii_ligand,35,-9.08722
1hii_ligand,36,-9.19125
1hii_ligand,37,-9.28445
1hii_ligand,38,-9.37823
1hii_ligand,39,-9.47121
1hii_ligand,40,-9.55509
1hii_ligand,41,-9.61738
1hii_ligand,42,-9.67287
1hii_ligand,43,-9.72655
1hii_ligand,44,-9.77981
1hii_ligand,45,-9.83369
1hii_ligand,46,-9.88833
1hii_ligand,47,-9.94218
1hii_ligand,48,-9.99643
1hii_ligand,49,-10.0516
1hii_ligand,50,-10.1009
1hii_ligand,51,-10.1453
1hii_ligand,52,-10.1896
1hii_ligand,53,-10.2317
1hii_ligand,54,-10.2722
1hii_ligand,55,-10.3125
1hii_ligand,56,-10.3525
1hii_ligand,57,-10.3925
1hii_ligand,58,-10.4326
1hii_ligand,59,-10.4725
1hii_ligand,60,-10.5098
1hii_ligand,61,-10.5499
1hii_ligand,62,-10.5903
1hii_ligand,63,-10.6314
1hii_ligand,64,-10.6739
1hii_ligand,65,-10.7165
1hii_ligand,66,-10.7584
1hii_ligand,67,-10.8008
1hii_ligand,68,-10.8434
1hii_ligand,69,-10.8801
1hii_ligand,70,-10.9208
1hii_ligand,71,-10.9623
1hii_ligand,72,-11.0036
1hii_ligand,73,-11.0452
1hii_ligand,74,-11.0875
1hii_ligand,75,-11.1307
1hii_ligand,76,-11.1752
1hii_ligand,77,-11.2195
1hii_ligand,78,-11.2604
1hii_ligand,79,-11.3078
1hii_ligand,80,-11.3566
1hii_ligand,81,-11.4073
1hii_ligand,82,-11.4586
1hii_ligand,83,-11.5051
1hii_ligand,84,-11.5509
1hii_ligand,85,-11.5489
1hii_ligand,86,-11.6167
1hii_ligand,87,-11.6784
1hii_ligand,88,-11.7043
1hii_ligand,89,-11.7268
1hii_ligand,90,-11.7952
1hii_ligand,91,-11.8594
1hii_ligand,92,-11.8995
1hii_ligand,93,-11.9161
1hii_ligand,94,-11.9857
1hii_ligand,95,-12.0224
1hii_ligand,96,-12.0456
1hii_ligand,97,-12.1196
1hii_ligand,98,-12.1709
1hii_ligand,99,-12.2028
1hii_ligand,100,-12.2728
1hii_ligand,101,-12.2909
1hii_ligand,102,-12.3637
1hii_ligand,103,-12.3837
1hii_ligand,104,-12.428
1hii_ligand,105,-12.5049
1hii_ligand,106,-12.5536
1hii_ligand,107,-12.6623
1hii_ligand,108,-12.7648
1hii_ligand,109,-12.875
1hii_ligand,110,-12.9636
1hii_ligand,111,-13.0625
1hii_ligand,112,-13.1482
1hii_ligand,113,-13.2299
1hii_ligand,114,-13.3058
1hii_ligand,115,-13.3816
1hii_ligand,116,-13.458
1hii_ligand,117,-13.5336
1hii_ligand,118,-13.5977
1hii_ligand,119,-13.6526
1hii_ligand,120,-13.7085
1hii_ligand,121,-13.7729
1hii_ligand,122,-13.8374
1hii_ligand,123,-13.8969
1hii_ligand,124,-13.953
1hii_ligand,125,-14.0074
1hii_ligand,126,-14.059
1hii_ligand,127,-14.1082
1hii_ligand,128,-14.1475
1hii_ligand,129,-14.1936
1hii_ligand,130,-14.2456
1hii_ligand,131,-14.2915
1hii_ligand,132,-14.3404
1hii_ligand,133,-14.3879
1hii_ligand,134,-14.4289
1hii_ligand,135,-14.4605
1hii_ligand,136,-14.5011
1hii_ligand,137,-14.5466
1hii_ligand,138,-14.5786
1hii_ligand,139,-14.6077
1hii_ligand,140,-14.6292
1hii_ligand,141,-14.6332
1hii_ligand,142,-14.6557
1hii_ligand,143,-14.6844
1hii_ligand,144,-14.6991
1hii_ligand,145,-14.7358
1hii_ligand,146,-14.744
1hii_ligand,147,-14.7495
1hii_ligand,148,-14.7899
1hii_ligand,149,-14.8041
1hii_ligand,150,-14.8219
1hii_ligand,151,-14.8179
1hii_ligand,152,-14.8555
1hii_ligand,153,-14.8682
1hii_ligand,154,-14.9077
1hii_ligand,155,-14.8893
1hii_ligand,156,-14.9149
1hii_ligand,157,-14.9159
1hii_ligand,158,-14.9452
