ligand,iteration,com_distance
2ya6_ligand,1,0
2ya6_ligand,2,0.77108
2ya6_ligand,3,0.342987
2ya6_ligand,4,0.313264
2ya6_ligand,5,0.25
2ya6_ligand,6,0.20217
2ya6_ligand,7,0.177129
2ya6_ligand,8,0.178684
2ya6_ligand,9,0.178796
2ya6_ligand,10,0.201232
2ya6_ligand,11,0.170155
2ya6_ligand,12,0.215994
2ya6_ligand,13,0.210144
2ya6_ligand,14,0.184376
2ya6_ligand,15,0.189839
2ya6_ligand,16,0.1653
2ya6_ligand,17,0.211296
2ya6_ligand,18,0.238008
2ya6_ligand,19,0.196651
2ya6_ligand,20,0.194357
2ya6_ligand,21,0.166309
2ya6_ligand,22,0.215727
2ya6_ligand,23,0.157067
2ya6_ligand,24,0.168479
2ya6_ligand,25,0.174117
2ya6_ligand,26,0.301109
2ya6_ligand,27,0.200378
2ya6_ligand,28,0.192031
2ya6_ligand,29,0.187953
2ya6_ligand,30,0.185772
2ya6_ligand,31,0.308089
2ya6_ligand,32,0.231747
2ya6_ligand,33,0.214207
2ya6_ligand,34,0.198888
2ya6_ligand,35,0.168147
2ya6_ligand,36,0.204555
2ya6_ligand,37,0.26555
2ya6_ligand,38,0.20154
2ya6_ligand,39,0.268158
2ya6_ligand,40,0.265634
2ya6_ligand,41,0.195239
2ya6_ligand,42,0.235164
2ya6_ligand,43,0.152929
2ya6_ligand,44,0.344432
2ya6_ligand,45,0.502637
2ya6_ligand,46,0.295138
2ya6_ligand,47,0.415335
2ya6_ligand,48,0.311214
2ya6_ligand,49,0.279071
2ya6_ligand,50,0.253144
2ya6_ligand,51,0.208981
2ya6_ligand,52,0.282272
2ya6_ligand,53,0.208973
2ya6_ligand,54,0.193704
2ya6_ligand,55,0.204532
2ya6_ligand,56,0.328145
2ya6_ligand,57,0.199384
2ya6_ligand,58,0.201848
2ya6_ligand,59,0.228894
2ya6_ligand,60,0.334614
2ya6_ligand,61,0.211306
2ya6_ligand,62,0.199225
2ya6_ligand,63,0.213782
2ya6_ligand,64,0.36236
2ya6_ligand,65,0.228486
2ya6_ligand,66,0.219282
2ya6_ligand,67,0.202116
2ya6_ligand,68,0.165616
2ya6_ligand,69,0.44784
2ya6_ligand,70,0.197832
2ya6_ligand,71,0.223677
2ya6_ligand,72,0.179314
2ya6_ligand,73,0.339381
2ya6_ligand,74,0.517915
2ya6_ligand,75,0.477207
2ya6_ligand,76,0.42931
2ya6_ligand,77,0.274348
2ya6_ligand,78,0.315973
2ya6_ligand,79,0.269414
2ya6_ligand,80,0.166285
2ya6_ligand,81,0.385377
2ya6_ligand,82,0.24045
2ya6_ligand,83,0.233204
2ya6_ligand,84,0.224512
2ya6_ligand,85,0.21622
2ya6_ligand,86,0.219093
2ya6_ligand,87,0.0914959
2ya6_ligand,88,0.48283
2ya6_ligand,89,0.208943
2ya6_ligand,90,0.23865
2ya6_ligand,91,0.122909
2ya6_ligand,92,0.450546
2ya6_ligand,93,0.175682
2ya6_ligand,94,0.43174
2ya6_ligand,95,0.180406
2ya6_ligand,96,0.728693
2ya6_ligand,97,0.558857
2ya6_ligand,98,0.426224
2ya6_ligand,99,0.445923
2ya6_ligand,100,0.308896
2ya6_ligand,101,0.331722
2ya6_ligand,102,0.219164
2ya6_ligand,103,0.443266
2ya6_ligand,104,0.268022
2ya6_ligand,105,0.222782
2ya6_ligand,106,0.200395
2ya6_ligand,107,0.513889
2ya6_ligand,108,0.1889
2ya6_ligand,109,0.193705
2ya6_ligand,110,0.30687
2ya6_ligand,111,0.483639
2ya6_ligand,112,0.161269
2ya6_ligand,113,0.43145
2ya6_ligand,114,0.278688
2ya6_ligand,115,0.236913
2ya6_ligand,116,0.213888
2ya6_ligand,117,0.317553
2ya6_ligand,118,0.53168
2ya6_ligand,119,0.294995
2ya6_ligand,120,0.374229
2ya6_ligand,121,0.229261
2ya6_ligand,122,0.224233
2ya6_ligand,123,0.268328
2ya6_ligand,124,0.174068
2ya6_ligand,125,0.193316
2ya6_ligand,126,0.445379
2ya6_ligand,127,0.28847
2ya6_ligand,128,0.258973
2ya6_ligand,129,0.364155
2ya6_ligand,130,0.210123
2ya6_ligand,131,0.208893
2ya6_ligand,132,0.279952
2ya6_ligand,133,0.529484
