ligand,iteration,standalone_ls_score
2ya6_ligand,1,-10.7923
2ya6_ligand,2,4.828
2ya6_ligand,3,-4.47554
2ya6_ligand,4,-12.7337
2ya6_ligand,5,-13.1966
2ya6_ligand,6,-13.4366
2ya6_ligand,7,-13.5458
2ya6_ligand,8,-13.4516
2ya6_ligand,9,-13.4986
2ya6_ligand,10,-13.5302
2ya6_ligand,11,-13.5636
2ya6_ligand,12,-13.5187
2ya6_ligand,13,-13.5478
2ya6_ligand,14,-13.5735
2ya6_ligand,15,-13.5183
2ya6_ligand,16,-13.4995
2ya6_ligand,17,-13.55
2ya6_ligand,18,-13.5029
2ya6_ligand,19,-13.5603
2ya6_ligand,20,-13.5795
2ya6_ligand,21,-13.584
2ya6_ligand,22,-13.5225
2ya6_ligand,23,-13.5632
2ya6_ligand,24,-13.5738
2ya6_ligand,25,-13.2939
2ya6_ligand,26,-13.3643
2ya6_ligand,27,-13.5431
2ya6_ligand,28,-13.609
2ya6_ligand,29,-13.5547
2ya6_ligand,30,-13.3757
2ya6_ligand,31,-13.2899
2ya6_ligand,32,-13.5349
2ya6_ligand,33,-13.5865
2ya6_ligand,34,-13.618
2ya6_ligand,35,-13.5622
2ya6_ligand,36,-13.4784
2ya6_ligand,37,-13.4535
2ya6_ligand,38,-13.3824
2ya6_ligand,39,-13.3667
2ya6_ligand,40,-13.4641
2ya6_ligand,41,-13.6101
2ya6_ligand,42,-13.5118
2ya6_ligand,43,-13.5157
2ya6_ligand,44,-13.0228
2ya6_ligand,45,-11.9609
2ya6_ligand,46,-13.4152
2ya6_ligand,47,-12.9851
2ya6_ligand,48,-13.3969
2ya6_ligand,49,-13.4908
2ya6_ligand,50,-13.5307
2ya6_ligand,51,-13.4842
2ya6_ligand,52,-13.442
2ya6_ligand,53,-13.5701
2ya6_ligand,54,-13.6206
2ya6_ligand,55,-13.5303
2ya6_ligand,56,-13.2839
2ya6_ligand,57,-13.5702
2ya6_ligand,58,-13.6057
2ya6_ligand,59,-13.5098
2ya6_ligand,60,-13.274
2ya6_ligand,61,-13.5334
2ya6_ligand,62,-13.5844
2ya6_ligand,63,-13.4219
2ya6_ligand,64,-13.1841
2ya6_ligand,65,-13.4012
2ya6_ligand,66,-13.562
2ya6_ligand,67,-13.6195
2ya6_ligand,68,-13.426
2ya6_ligand,69,-12.5245
2ya6_ligand,70,-13.5741
2ya6_ligand,71,-13.4021
2ya6_ligand,72,-12.7368
2ya6_ligand,73,-12.9355
2ya6_ligand,74,-11.5513
2ya6_ligand,75,-11.9384
2ya6_ligand,76,-12.3846
2ya6_ligand,77,-13.2673
2ya6_ligand,78,-13.4255
2ya6_ligand,79,-13.4125
2ya6_ligand,80,-13.1268
2ya6_ligand,81,-13.0818
2ya6_ligand,82,-13.3701
2ya6_ligand,83,-13.5729
2ya6_ligand,84,-13.562
2ya6_ligand,85,-13.6259
2ya6_ligand,86,-13.4951
2ya6_ligand,87,-12.8352
2ya6_ligand,88,-12.2474
2ya6_ligand,89,-13.5409
2ya6_ligand,90,-13.5148
2ya6_ligand,91,-12.967
2ya6_ligand,92,-12.6714
2ya6_ligand,93,-13.3354
2ya6_ligand,94,-12.6141
2ya6_ligand,95,-8.52633
2ya6_ligand,96,-8.93118
2ya6_ligand,97,-11.0392
2ya6_ligand,98,-11.9826
2ya6_ligand,99,-12.0546
2ya6_ligand,100,-12.6027
2ya6_ligand,101,-12.9169
2ya6_ligand,102,-12.8743
2ya6_ligand,103,-13.0022
2ya6_ligand,104,-13.4605
2ya6_ligand,105,-13.5952
2ya6_ligand,106,-13.4694
2ya6_ligand,107,-12.1713
2ya6_ligand,108,-13.4259
2ya6_ligand,109,-13.3536
2ya6_ligand,110,-12.822
2ya6_ligand,111,-12.5081
2ya6_ligand,112,-12.9664
2ya6_ligand,113,-13.1294
2ya6_ligand,114,-13.4677
2ya6_ligand,115,-13.594
2ya6_ligand,116,-13.5455
2ya6_ligand,117,-13.0562
2ya6_ligand,118,-11.7844
2ya6_ligand,119,-13.5111
2ya6_ligand,120,-13.2483
2ya6_ligand,121,-13.5651
2ya6_ligand,122,-13.5926
2ya6_ligand,123,-13.5179
2ya6_ligand,124,-13.5787
2ya6_ligand,125,-13.0252
2ya6_ligand,126,-12.96
2ya6_ligand,127,-13.5543
2ya6_ligand,128,-13.5357
2ya6_ligand,129,-13.2628
2ya6_ligand,130,-13.5742
2ya6_ligand,131,-13.5845
2ya6_ligand,132,-13.2385
2ya6_ligand,133,-11.967
2ya6_ligand,134,-12.9274
2ya6_ligand,135,-13.1823
