ligand,iteration,com_distance
3udd_ligand,1,0
3udd_ligand,2,0.702437
3udd_ligand,3,0.336039
3udd_ligand,4,0.20596
3udd_ligand,5,0.408189
3udd_ligand,6,0.454779
3udd_ligand,7,0.283881
3udd_ligand,8,0.409035
3udd_ligand,9,0.29211
3udd_ligand,10,0.471357
3udd_ligand,11,0.329303
3udd_ligand,12,0.407716
3udd_ligand,13,0.259041
3udd_ligand,14,0.457325
3udd_ligand,15,0.279637
3udd_ligand,16,0.468459
3udd_ligand,17,0.319069
3udd_ligand,18,0.451042
3udd_ligand,19,0.324897
3udd_ligand,20,0.464269
3udd_ligand,21,0.307748
3udd_ligand,22,0.538772
3udd_ligand,23,0.325246
3udd_ligand,24,0.498664
3udd_ligand,25,0.337988
3udd_ligand,26,0.523868
3udd_ligand,27,0.345434
3udd_ligand,28,0.529282
3udd_ligand,29,0.346652
3udd_ligand,30,0.545062
3udd_ligand,31,0.337951
3udd_ligand,32,0.563377
3udd_ligand,33,0.365623
3udd_ligand,34,0.567002
3udd_ligand,35,0.399725
3udd_ligand,36,0.585058
3udd_ligand,37,0.376933
3udd_ligand,38,0.603518
3udd_ligand,39,0.435337
3udd_ligand,40,0.432178
3udd_ligand,41,0.621941
3udd_ligand,42,0.337999
3udd_ligand,43,0.68618
3udd_ligand,44,0.202164
3udd_ligand,45,0.425701
3udd_ligand,46,0.556215
3udd_ligand,47,0.392346
3udd_ligand,48,0.606481
3udd_ligand,49,0.227843
3udd_ligand,50,0.627237
3udd_ligand,51,0.381879
3udd_ligand,52,0.55683
3udd_ligand,53,0.395803
3udd_ligand,54,0.576846
3udd_ligand,55,0.332045
3udd_ligand,56,0.685262
3udd_ligand,57,0.25914
3udd_ligand,58,0.641634
3udd_ligand,59,0.431046
3udd_ligand,60,0.613753
3udd_ligand,61,0.138478
3udd_ligand,62,0.489689
3udd_ligand,63,0.337651
3udd_ligand,64,0.580357
3udd_ligand,65,0.303255
3udd_ligand,66,0.676906
3udd_ligand,67,0.255479
3udd_ligand,68,0.671473
3udd_ligand,69,0.309269
3udd_ligand,70,0.619113
3udd_ligand,71,0.512504
3udd_ligand,72,0.627731
3udd_ligand,73,0.582137
3udd_ligand,74,0.709358
3udd_ligand,75,0.601359
3udd_ligand,76,1.33565
