ligand,iteration,standalone_ls_score
3udd_ligand,1,-18.9354
3udd_ligand,2,-16.0703
3udd_ligand,3,-17.533
3udd_ligand,4,-18.7187
3udd_ligand,5,-19.1744
3udd_ligand,6,-19.2794
3udd_ligand,7,-19.2535
3udd_ligand,8,-19.4107
3udd_ligand,9,-19.3499
3udd_ligand,10,-19.4173
3udd_ligand,11,-19.5008
3udd_ligand,12,-19.5365
3udd_ligand,13,-19.495
3udd_ligand,14,-19.5449
3udd_ligand,15,-19.5576
3udd_ligand,16,-19.5937
3udd_ligand,17,-19.5923
3udd_ligand,18,-19.6215
3udd_ligand,19,-19.6324
3udd_ligand,20,-19.6653
3udd_ligand,21,-19.6483
3udd_ligand,22,-19.6234
3udd_ligand,23,-19.6851
3udd_ligand,24,-19.7164
3udd_ligand,25,-19.7192
3udd_ligand,26,-19.7244
3udd_ligand,27,-19.7453
3udd_ligand,28,-19.7561
3udd_ligand,29,-19.7591
3udd_ligand,30,-19.7688
3udd_ligand,31,-19.7618
3udd_ligand,32,-19.7808
3udd_ligand,33,-19.796
3udd_ligand,34,-19.8052
3udd_ligand,35,-19.8453
3udd_ligand,36,-19.8059
3udd_ligand,37,-19.802
3udd_ligand,38,-19.813
3udd_ligand,39,-19.8874
3udd_ligand,40,-19.8091
3udd_ligand,41,-19.7643
3udd_ligand,42,-19.6692
3udd_ligand,43,-19.6802
3udd_ligand,44,-18.7349
3udd_ligand,45,-19.9277
3udd_ligand,46,-19.8732
3udd_ligand,47,-19.7901
3udd_ligand,48,-19.5342
3udd_ligand,49,-19.5055
3udd_ligand,50,-19.6613
3udd_ligand,51,-19.7958
3udd_ligand,52,-19.8236
3udd_ligand,53,-19.9379
3udd_ligand,54,-19.8678
3udd_ligand,55,-19.6486
3udd_ligand,56,-19.3417
3udd_ligand,57,-19.622
3udd_ligand,58,-19.7773
3udd_ligand,59,-19.8732
3udd_ligand,60,-19.4501
3udd_ligand,61,-19.1425
3udd_ligand,62,-19.953
3udd_ligand,63,-19.7876
3udd_ligand,64,-19.7224
3udd_ligand,65,-19.4352
3udd_ligand,66,-19.7098
3udd_ligand,67,-19.4301
3udd_ligand,68,-19.7786
3udd_ligand,69,-19.6493
3udd_ligand,70,-19.8227
3udd_ligand,71,-19.5953
3udd_ligand,72,-19.5606
3udd_ligand,73,-18.9323
3udd_ligand,74,-18.203
3udd_ligand,75,-16.5424
3udd_ligand,76,59.3722
3udd_ligand,77,787.375
3udd_ligand,78,2338.32
3udd_ligand,79,361231
3udd_ligand,80,279323
3udd_ligand,81,365576
3udd_ligand,82,0.45248
3udd_ligand,83,0.452472
3udd_ligand,84,0.452463
3udd_ligand,85,0.452459
3udd_ligand,86,0.452452
3udd_ligand,87,0.452443
3udd_ligand,88,0.452439
3udd_ligand,89,0.452432
3udd_ligand,90,0.452425
3udd_ligand,91,0.45242
3udd_ligand,92,0.452411
3udd_ligand,93,0.452408
3udd_ligand,94,0.452399
3udd_ligand,95,0.452393
3udd_ligand,96,0.452388
3udd_ligand,97,0.45238
3udd_ligand,98,0.452374
3udd_ligand,99,0.452368
3udd_ligand,100,0.452361
3udd_ligand,101,0.452354
3udd_ligand,102,0.452351
3udd_ligand,103,0.452343
3udd_ligand,104,0.452337
3udd_ligand,105,0.452327
3udd_ligand,106,0.452323
3udd_ligand,107,0.452316
3udd_ligand,108,0.45231
3udd_ligand,109,0.452304
3udd_ligand,110,0.452298
3udd_ligand,111,0.452289
3udd_ligand,112,0.452284
3udd_ligand,113,0.452279
3udd_ligand,114,0.452271
3udd_ligand,115,0.452264
3udd_ligand,116,0.452257
3udd_ligand,117,0.452253
3udd_ligand,118,0.452244
3udd_ligand,119,0.452239
3udd_ligand,120,0.452233
3udd_ligand,121,0.452227
3udd_ligand,122,0.452217
3udd_ligand,123,0.452212
3udd_ligand,124,0.452205
3udd_ligand,125,0.4522
3udd_ligand,126,0.452191
3udd_ligand,127,0.452183
3udd_ligand,128,0.452178
3udd_ligand,129,0.452171
3udd_ligand,130,0.452164
3udd_ligand,131,0.452158
3udd_ligand,132,0.452152
3udd_ligand,133,0.452144
3udd_ligand,134,0.452138
