ligand,iteration,com_distance
4few_ligand,1,0
4few_ligand,2,0.767759
4few_ligand,3,0.254082
4few_ligand,4,0.511613
4few_ligand,5,0.737152
4few_ligand,6,0.464268
4few_ligand,7,0.68776
4few_ligand,8,0.669608
4few_ligand,9,0.532297
4few_ligand,10,0.743066
4few_ligand,11,0.292344
4few_ligand,12,0.513287
4few_ligand,13,0.865027
4few_ligand,14,0.389562
4few_ligand,15,0.476783
4few_ligand,16,0.724907
4few_ligand,17,0.390305
4few_ligand,18,0.600703
4few_ligand,19,0.379949
4few_ligand,20,0.716818
4few_ligand,21,0.26255
4few_ligand,22,0.657752
4few_ligand,23,0.579909
4few_ligand,24,0.262544
4few_ligand,25,0.745533
4few_ligand,26,0.319244
4few_ligand,27,0.34009
4few_ligand,28,0.656662
4few_ligand,29,0.36009
4few_ligand,30,0.700069
4few_ligand,31,0.485995
4few_ligand,32,0.346861
4few_ligand,33,0.634397
4few_ligand,34,0.478543
4few_ligand,35,0.741419
4few_ligand,36,0.724606
4few_ligand,37,0.374403
4few_ligand,38,0.637317
4few_ligand,39,0.32197
4few_ligand,40,0.624154
4few_ligand,41,0.415851
4few_ligand,42,0.48421
4few_ligand,43,0.727333
4few_ligand,44,0.848127
4few_ligand,45,1.00512
4few_ligand,46,0.591204
4few_ligand,47,0.195854
4few_ligand,48,0.441985
4few_ligand,49,0.684689
4few_ligand,50,0.370964
4few_ligand,51,0.333706
4few_ligand,52,0.58478
4few_ligand,53,0.444039
4few_ligand,54,0.448912
4few_ligand,55,0.688632
4few_ligand,56,0.92045
4few_ligand,57,0.269018
4few_ligand,58,0.534711
4few_ligand,59,0.550506
4few_ligand,60,0.206367
4few_ligand,61,0.518709
4few_ligand,62,0.576452
4few_ligand,63,0.280711
4few_ligand,64,0.564902
4few_ligand,65,0.52631
4few_ligand,66,0.30628
4few_ligand,67,0.3763
4few_ligand,68,0.569999
4few_ligand,69,0.492692
4few_ligand,70,0.314788
4few_ligand,71,0.298305
4few_ligand,72,0.511181
4few_ligand,73,0.479108
4few_ligand,74,0.676175
4few_ligand,75,0.800695
4few_ligand,76,0.180763
4few_ligand,77,0.451263
4few_ligand,78,0.636098
4few_ligand,79,0.272559
4few_ligand,80,0.449533
4few_ligand,81,0.660312
4few_ligand,82,0.890291
4few_ligand,83,0.23733
4few_ligand,84,0.477921
4few_ligand,85,0.625914
4few_ligand,86,0.464125
4few_ligand,87,0.592088
4few_ligand,88,0.310853
4few_ligand,89,0.369999
4few_ligand,90,0.516575
4few_ligand,91,0.465774
4few_ligand,92,0.653769
4few_ligand,93,0.75786
4few_ligand,94,0.261981
4few_ligand,95,0.471517
4few_ligand,96,0.446009
4few_ligand,97,0.640076
4few_ligand,98,0.74058
4few_ligand,99,0.277723
4few_ligand,100,0.46963
4few_ligand,101,0.420184
4few_ligand,102,0.601616
4few_ligand,103,0.33545
4few_ligand,104,0.467169
4few_ligand,105,0.3562
4few_ligand,106,0.540864
4few_ligand,107,0.279144
4few_ligand,108,0.506642
4few_ligand,109,0.405088
4few_ligand,110,0.574619
4few_ligand,111,0.319322
4few_ligand,112,0.548043
4few_ligand,113,0.452227
4few_ligand,114,0.607112
4few_ligand,115,0.391335
4few_ligand,116,0.440464
4few_ligand,117,0.367908
4few_ligand,118,0.54265
4few_ligand,119,0.290027
4few_ligand,120,0.535551
4few_ligand,121,0.469475
4few_ligand,122,0.597062
4few_ligand,123,0.665618
4few_ligand,124,0.425015
4few_ligand,125,0.569798
4few_ligand,126,0.539575
4few_ligand,127,0.567692
4few_ligand,128,0.206301
4few_ligand,129,0.354831
4few_ligand,130,0.506959
4few_ligand,131,0.450557
4few_ligand,132,0.593789
4few_ligand,133,0.362557
4few_ligand,134,0.2942
4few_ligand,135,0.472166
4few_ligand,136,0.616561
4few_ligand,137,0.183538
4few_ligand,138,0.330017
4few_ligand,139,0.497803
4few_ligand,140,0.500046
4few_ligand,141,0.638421
4few_ligand,142,0.68967
4few_ligand,143,0.420764
4few_ligand,144,0.535455
4few_ligand,145,0.509238
4few_ligand,146,0.242918
4few_ligand,147,0.412881
4few_ligand,148,0.529204
4few_ligand,149,0.480096
4few_ligand,150,0.555087
4few_ligand,151,0.260151
4few_ligand,152,0.491959
4few_ligand,153,0.446268
4few_ligand,154,0.541644
4few_ligand,155,0.236023
4few_ligand,156,0.466258
4few_ligand,157,0.445143
4few_ligand,158,0.585846
4few_ligand,159,0.365718
4few_ligand,160,0.403897
4few_ligand,161,0.560074
4few_ligand,162,0.534959
4few_ligand,163,0.577247
4few_ligand,164,0.315177
4few_ligand,165,0.480179
4few_ligand,166,0.484273
4few_ligand,167,0.372387
4few_ligand,168,0.494404
4few_ligand,169,0.614987
4few_ligand,170,0.588212
4few_ligand,171,0.58712
4few_ligand,172,0.421759
4few_ligand,173,0.51197
4few_ligand,174,0.226346
4few_ligand,175,0.394586
4few_ligand,176,0.520673
4few_ligand,177,0.446763
4few_ligand,178,0.533749
4few_ligand,179,0.221161
4few_ligand,180,0.38291
4few_ligand,181,0.516976
4few_ligand,182,0.403624
4few_ligand,183,0.491278
4few_ligand,184,0.602551
4few_ligand,185,0.34906
4few_ligand,186,0.503934
4few_ligand,187,0.385432
4few_ligand,188,0.485469
4few_ligand,189,0.600866
4few_ligand,190,0.388391
4few_ligand,191,0.285332
4few_ligand,192,0.420025
4few_ligand,193,0.537363
4few_ligand,194,0.630297
4few_ligand,195,0.358994
4few_ligand,196,0.363821
4few_ligand,197,0.482748
4few_ligand,198,0.58368
4few_ligand,199,0.351704
4few_ligand,200,0.475721
4few_ligand,201,0.425801
4few_ligand,202,0.384523
4few_ligand,203,0.483135
4few_ligand,204,0.579603
4few_ligand,205,0.355981
4few_ligand,206,0.462807
4few_ligand,207,0.388484
4few_ligand,208,0.37292
4few_ligand,209,0.469672
4few_ligand,210,0.555955
4few_ligand,211,0.565455
4few_ligand,212,0.656451
4few_ligand,213,0.282409
4few_ligand,214,0.258653
4few_ligand,215,0.330157
4few_ligand,216,0.450917
4few_ligand,217,0.557755
4few_ligand,218,0.636615
4few_ligand,219,0.243195
4few_ligand,220,0.210059
4few_ligand,221,0.302096
4few_ligand,222,0.420183
4few_ligand,223,0.521242
4few_ligand,224,0.599125
4few_ligand,225,0.64666
4few_ligand,226,0.217886
4few_ligand,227,0.309981
4few_ligand,228,0.419918
4few_ligand,229,0.513876
4few_ligand,230,0.587243
4few_ligand,231,0.525169
4few_ligand,232,0.212266
4few_ligand,233,0.439665
4few_ligand,234,0.427655
4few_ligand,235,0.50916
4few_ligand,236,0.568656
4few_ligand,237,0.488063
4few_ligand,238,0.575266
4few_ligand,239,0.25374
4few_ligand,240,0.365036
4few_ligand,241,0.462698
4few_ligand,242,0.316085
4few_ligand,243,0.386218
4few_ligand,244,0.500027
4few_ligand,245,0.57412
4few_ligand,246,0.309007
4few_ligand,247,0.553656
4few_ligand,248,0.554542
4few_ligand,249,0.599734
4few_ligand,250,0.507517
4few_ligand,251,0.277976
4few_ligand,252,0.31591
4few_ligand,253,0.399597
4few_ligand,254,0.452397
4few_ligand,255,0.522622
4few_ligand,256,0.541988
4few_ligand,257,0.574375
4few_ligand,258,0.474759
4few_ligand,259,0.535744
4few_ligand,260,0.249773
4few_ligand,261,0.481456
4few_ligand,262,0.421683
4few_ligand,263,0.453395
4few_ligand,264,0.504376
4few_ligand,265,0.548475
4few_ligand,266,0.588005
4few_ligand,267,0.62804
4few_ligand,268,0.375579
4few_ligand,269,0.456703
4few_ligand,270,0.505424
4few_ligand,271,0.558943
4few_ligand,272,0.624189
4few_ligand,273,0.401256
4few_ligand,274,0.375967
4few_ligand,275,0.412737
4few_ligand,276,0.482907
4few_ligand,277,0.524088
4few_ligand,278,0.541619
4few_ligand,279,0.576067
4few_ligand,280,0.472105
4few_ligand,281,0.519092
4few_ligand,282,0.291361
4few_ligand,283,0.54742
4few_ligand,284,0.509901
4few_ligand,285,0.566185
4few_ligand,286,0.494498
4few_ligand,287,0.557843
4few_ligand,288,0.579803
4few_ligand,289,0.569809
4few_ligand,290,0.590677
4few_ligand,291,0.585012
4few_ligand,292,0.392886
4few_ligand,293,0.271381
4few_ligand,294,0.319468
4few_ligand,295,0.405736
4few_ligand,296,0.467382
4few_ligand,297,0.524403
4few_ligand,298,0.54643
4few_ligand,299,0.56728
4few_ligand,300,0.588677
