ligand,iteration,standalone_ls_score
4few_ligand,1,244.443
4few_ligand,2,259.671
4few_ligand,3,239.532
4few_ligand,4,229.179
4few_ligand,5,212.359
4few_ligand,6,183.254
4few_ligand,7,149.113
4few_ligand,8,114.063
4few_ligand,9,83.6009
4few_ligand,10,63.2339
4few_ligand,11,46.2979
4few_ligand,12,34.902
4few_ligand,13,31.9825
4few_ligand,14,23.3193
4few_ligand,15,17.5578
4few_ligand,16,16.1771
4few_ligand,17,13.0606
4few_ligand,18,10.2859
4few_ligand,19,7.56283
4few_ligand,20,8.6764
4few_ligand,21,4.88616
4few_ligand,22,6.22079
4few_ligand,23,4.0273
4few_ligand,24,2.17255
4few_ligand,25,4.93885
4few_ligand,26,0.894309
4few_ligand,27,-0.0317183
4few_ligand,28,1.70611
4few_ligand,29,-0.79917
4few_ligand,30,1.67761
4few_ligand,31,0.348227
4few_ligand,32,-2.28548
4few_ligand,33,0.104655
4few_ligand,34,-2.03794
4few_ligand,35,2.23483
4few_ligand,36,0.462232
4few_ligand,37,-3.48322
4few_ligand,38,-2.45792
4few_ligand,39,-3.92544
4few_ligand,40,-2.61381
4few_ligand,41,-3.39447
4few_ligand,42,-4.12136
4few_ligand,43,-1.4032
4few_ligand,44,5.68885
4few_ligand,45,3.76057
4few_ligand,46,-3.2846
4few_ligand,47,-5.13353
4few_ligand,48,-5.11322
4few_ligand,49,-3.15143
4few_ligand,50,-4.30517
4few_ligand,51,-5.70486
4few_ligand,52,-4.85824
4few_ligand,53,-5.10526
4few_ligand,54,-5.65754
4few_ligand,55,-2.874
4few_ligand,56,0.12017
4few_ligand,57,-6.55791
4few_ligand,58,-4.95006
4few_ligand,59,-5.08653
4few_ligand,60,-6.8575
4few_ligand,61,-5.70997
4few_ligand,62,-4.9945
4few_ligand,63,-6.94954
4few_ligand,64,-5.16268
4few_ligand,65,-5.50092
4few_ligand,66,-6.67404
4few_ligand,67,-6.88479
4few_ligand,68,-5.12561
4few_ligand,69,-6.35568
4few_ligand,70,-6.83322
4few_ligand,71,-7.23797
4few_ligand,72,-6.18634
4few_ligand,73,-6.5761
4few_ligand,74,-1.96188
4few_ligand,75,-3.09085
4few_ligand,76,-7.75473
4few_ligand,77,-7.06864
4few_ligand,78,-5.19497
4few_ligand,79,-7.3088
4few_ligand,80,-7.22301
4few_ligand,81,-4.36648
4few_ligand,82,-2.00106
4few_ligand,83,-7.99039
4few_ligand,84,-7.33574
4few_ligand,85,-5.47219
4few_ligand,86,-7.01481
4few_ligand,87,-5.74173
4few_ligand,88,-7.77465
4few_ligand,89,-8.07899
4few_ligand,90,-6.64053
4few_ligand,91,-7.54855
4few_ligand,92,-4.71115
4few_ligand,93,-4.38224
4few_ligand,94,-8.4515
4few_ligand,95,-7.38361
4few_ligand,96,-7.80537
4few_ligand,97,-5.44564
4few_ligand,98,-4.92667
4few_ligand,99,-8.56848
4few_ligand,100,-7.40757
4few_ligand,101,-7.97502
4few_ligand,102,-6.36949
4few_ligand,103,-8.34898
4few_ligand,104,-7.08304
4few_ligand,105,-8.17077
4few_ligand,106,-7.40155
4few_ligand,107,-8.92342
4few_ligand,108,-6.9129
4few_ligand,109,-8.1458
4few_ligand,110,-7.08642
4few_ligand,111,-8.93179
4few_ligand,112,-7.10488
4few_ligand,113,-8.07876
4few_ligand,114,-6.6216
4few_ligand,115,-8.27899
4few_ligand,116,-8.06653
4few_ligand,117,-8.36617
4few_ligand,118,-7.59301
4few_ligand,119,-9.0237
4few_ligand,120,-7.11123
4few_ligand,121,-8.13546
4few_ligand,122,-6.6027
4few_ligand,123,-5.8006
4few_ligand,124,-8.53782
4few_ligand,125,-7.61781
4few_ligand,126,-7.36144
4few_ligand,127,-7.49912
4few_ligand,128,-9.1889
4few_ligand,129,-8.8701
4few_ligand,130,-8.16666
4few_ligand,131,-8.64579
4few_ligand,132,-7.48304
4few_ligand,133,-9.2652
4few_ligand,134,-9.02623
4few_ligand,135,-8.67229
4few_ligand,136,-7.64995
4few_ligand,137,-9.57507
4few_ligand,138,-9.24111
4few_ligand,139,-8.7499
4few_ligand,140,-8.78484
4few_ligand,141,-6.93732
4few_ligand,142,-5.79873
4few_ligand,143,-9.02667
4few_ligand,144,-8.71491
4few_ligand,145,-8.52327
4few_ligand,146,-9.5356
4few_ligand,147,-9.26703
4few_ligand,148,-8.09956
4few_ligand,149,-8.66447
4few_ligand,150,-8.01708
4few_ligand,151,-9.844
4few_ligand,152,-8.70411
4few_ligand,153,-8.81508
4few_ligand,154,-8.17314
4few_ligand,155,-9.85559
4few_ligand,156,-9.02874
4few_ligand,157,-9.23799
4few_ligand,158,-8.25973
4few_ligand,159,-9.89026
4few_ligand,160,-9.62877
4few_ligand,161,-7.93237
4few_ligand,162,-8.83806
4few_ligand,163,-8.34588
4few_ligand,164,-10.0486
4few_ligand,165,-7.7303
4few_ligand,166,-8.48558
4few_ligand,167,-9.42579
4few_ligand,168,-9.25154
4few_ligand,169,-8.19372
4few_ligand,170,-5.73172
4few_ligand,171,-7.39414
4few_ligand,172,-9.44629
4few_ligand,173,-9.34614
4few_ligand,174,-10.2863
4few_ligand,175,-9.92259
4few_ligand,176,-8.90406
4few_ligand,177,-9.32301
4few_ligand,178,-8.9863
4few_ligand,179,-10.3864
4few_ligand,180,-10.0455
4few_ligand,181,-8.65113
4few_ligand,182,-9.52514
4few_ligand,183,-9.60352
4few_ligand,184,-8.46379
4few_ligand,185,-10.4164
4few_ligand,186,-8.83201
4few_ligand,187,-9.7369
4few_ligand,188,-9.70445
4few_ligand,189,-8.97792
4few_ligand,190,-10.1851
4few_ligand,191,-10.1595
4few_ligand,192,-9.87644
4few_ligand,193,-9.58994
4few_ligand,194,-8.47083
4few_ligand,195,-9.67401
4few_ligand,196,-9.93759
4few_ligand,197,-9.78995
4few_ligand,198,-9.02873
4few_ligand,199,-10.5038
4few_ligand,200,-8.65194
4few_ligand,201,-9.547
4few_ligand,202,-9.85268
4few_ligand,203,-9.82984
