ligand,iteration,com_distance
5cst_ligand,1,0
5cst_ligand,2,0.778678
5cst_ligand,3,0.418108
5cst_ligand,4,1.02698
5cst_ligand,5,0.918179
5cst_ligand,6,1.79355
5cst_ligand,7,1.23234
5cst_ligand,8,1.09791
5cst_ligand,9,0.758164
5cst_ligand,10,0.755119
5cst_ligand,11,0.752111
5cst_ligand,12,0.749128
5cst_ligand,13,0.74618
5cst_ligand,14,0.743275
5cst_ligand,15,0.740392
5cst_ligand,16,0.737537
5cst_ligand,17,0.73471
5cst_ligand,18,0.731908
5cst_ligand,19,0.729126
5cst_ligand,20,0.726535
5cst_ligand,21,0.723971
5cst_ligand,22,0.721432
5cst_ligand,23,0.718916
5cst_ligand,24,0.716455
5cst_ligand,25,0.714018
5cst_ligand,26,0.711602
5cst_ligand,27,0.709204
5cst_ligand,28,0.706831
5cst_ligand,29,0.705519
5cst_ligand,30,0.704201
5cst_ligand,31,0.702877
5cst_ligand,32,0.701548
5cst_ligand,33,0.700225
5cst_ligand,34,0.698758
5cst_ligand,35,0.697282
5cst_ligand,36,0.695798
5cst_ligand,37,0.694301
5cst_ligand,38,0.692797
5cst_ligand,39,0.691279
5cst_ligand,40,0.689749
5cst_ligand,41,0.688209
5cst_ligand,42,0.686659
5cst_ligand,43,0.685096
5cst_ligand,44,0.683677
5cst_ligand,45,0.682249
5cst_ligand,46,0.68081
5cst_ligand,47,0.679361
5cst_ligand,48,0.677901
5cst_ligand,49,0.676429
5cst_ligand,50,0.674944
5cst_ligand,51,0.673452
5cst_ligand,52,0.671945
5cst_ligand,53,0.670424
5cst_ligand,54,0.668888
5cst_ligand,55,0.667342
5cst_ligand,56,0.66578
5cst_ligand,57,0.664202
5cst_ligand,58,0.662609
5cst_ligand,59,0.661003
5cst_ligand,60,0.659378
5cst_ligand,61,0.657732
5cst_ligand,62,0.656073
5cst_ligand,63,0.654396
5cst_ligand,64,0.652697
5cst_ligand,65,0.650981
5cst_ligand,66,0.649246
5cst_ligand,67,0.647488
